GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,594.4249,1555.3324,2298.2098,0.0,0.0,0.0,-1330.6578,-11613.425,614.2923,5796.6553,-3205.1429,83.57184360000001,-2085.168099999998,-3121.5710563999996,-5206.739156399998
1,592.2656,1560.0995,2300.95,0.0,0.0,0.0,-1338.0192,-11514.8954,619.7121,5758.253,-3310.5211,83.55181895999999,-2021.6344000000008,-3226.96928104,-5248.603681040001
2,547.4931,1507.4914,2346.3778,0.0,0.0,0.0,-1335.5539,-11571.6292,633.3912,5760.5763,-3225.9741,82.28930616,-2111.853299999998,-3143.68479384,-5255.5380938399985
3,600.1097,1502.3218,2304.9609,0.0,0.0,0.0,-1336.8722,-11738.4711,610.6976,5792.5396,-3140.0038,84.92684976,-2264.7137000000002,-3055.07695024,-5319.790650240001
4,619.0033,1573.2311,2289.6414,0.0,0.0,0.0,-1341.6458,-11702.6012,620.3894,5815.6013,-3165.5286,85.86833832,-2126.3804999999993,-3079.66026168,-5206.040761679999
5,590.3612,1509.6491,2263.4058,0.0,0.0,0.0,-1353.2069,-11526.3954,605.5517,5760.0228,-3252.3373,82.95576912,-2150.6117000000004,-3169.3815308800004,-5319.993230880001
6,588.781,1526.5481,2303.772,0.0,0.0,0.0,-1361.5496,-11535.614,600.3656,5753.0704,-3268.0417,82.41588143999999,-2124.6265000000003,-3185.6258185600004,-5310.25231856
7,571.3855,1527.2271,2309.7923,0.0,0.0,0.0,-1376.5054,-11677.0599,616.0756,5805.6092,-3193.4986,82.45221984,-2223.4756000000007,-3111.04638016,-5334.521980160001
8,579.9346,1548.3916,2281.3933,0.0,0.0,0.0,-1304.376,-11729.1611,625.1097,5792.7531,-3146.9166,83.10129768,-2205.9547999999986,-3063.8153023200002,-5269.770102319998
9,576.1005,1520.174,2301.8032,0.0,0.0,0.0,-1309.4815,-11509.7122,620.5863,5753.8169,-3309.2996,85.31488368,-2046.7128000000002,-3223.9847163199997,-5270.6975163199995
