GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,577.2079,1560.6963,2290.6818,0.0,0.0,0.0,-1343.8611,-11643.3771,617.6679,5791.7009,-3210.6455,81.11855736,-2149.2834000000003,-3129.52694264,-5278.810342640001
1,562.9122,1541.1685,2317.1553,0.0,0.0,0.0,-1339.5634,-11630.1413,630.8541,5874.8623,-3234.1331,85.2341112,-2042.7522999999992,-3148.8989888,-5191.651288799999
2,599.3241,1583.2074,2303.9291,0.0,0.0,0.0,-1314.7014,-11584.4874,611.3996,5802.4647,-3261.6789,82.8459,-1998.8638999999994,-3178.833,-5177.696899999999
3,615.746,1539.691,2327.3146,0.0,0.0,0.0,-1336.4067,-11632.9086,636.623,5913.1122,-3265.4811,84.62277431999999,-1936.8285000000014,-3180.85832568,-5117.686825680002
4,595.6239,1540.9186,2312.1858,0.0,0.0,0.0,-1370.5649,-11568.8252,607.9786,5811.6106,-3258.8249,82.66364712,-2071.0725999999977,-3176.16125288,-5247.233852879997
5,582.3804,1574.097,2290.5973,0.0,0.0,0.0,-1320.0696,-11609.2939,630.9844,5859.3815,-3284.9602,85.58001648,-1991.9229000000014,-3199.38018352,-5191.303083520001
6,542.529,1516.4909,2274.9267,0.0,0.0,0.0,-1344.8786,-11613.984,609.1027,5842.3288,-3242.5201,83.5387776,-2173.4845000000005,-3158.9813224,-5332.4658224
7,565.1041,1470.8387,2302.8727,0.0,0.0,0.0,-1333.1143,-11562.5929,606.7763,5833.3016,-3285.0657,85.23382248,-2116.813800000001,-3199.83187752,-5316.645677520001
8,589.3479,1510.3375,2334.5763,0.0,0.0,0.0,-1361.9346,-11597.0444,614.7074,5803.9117,-3235.0097,85.66967448,-2106.0982000000004,-3149.34002552,-5255.438225520001
9,557.205,1552.3253,2293.6473,0.0,0.0,0.0,-1336.0213,-11520.0252,616.1036,5798.8347,-3324.9414,86.57307576,-2037.9306000000006,-3238.36832424,-5276.298924240001
10,595.8694,1584.4024,2326.3467,0.0,0.0,0.0,-1316.0455,-11632.045,606.9074,5787.7723,-3238.2155,86.38525007999999,-2046.7923,-3151.83024992,-5198.622549919999
11,604.6558,1514.2439,2297.4102,0.0,0.0,0.0,-1323.4783,-11616.4561,618.6263,5786.7543,-3246.059,84.38732064,-2118.2438999999986,-3161.6716793600003,-5279.915579359998
12,564.386,1504.3897,2291.6804,0.0,0.0,0.0,-1356.3235,-11634.3523,614.8909,5810.6332,-3236.5297,82.05100415999999,-2204.695599999999,-3154.47869584,-5359.174295839999
13,540.763,1486.5897,2287.1571,0.0,0.0,0.0,-1347.286,-11496.3346,631.0096,5803.5553,-3328.3496,82.50976656,-2094.5459,-3245.83983344,-5340.385733440001
14,603.4237,1538.8978,2302.1692,0.0,0.0,0.0,-1348.0191,-11584.4483,608.9965,5791.4859,-3259.5103,83.94794352000001,-2087.4942999999994,-3175.56235648,-5263.056656479999
15,584.7338,1500.4204,2324.0735,0.0,0.0,0.0,-1324.1871,-11581.6444,618.0159,5880.0668,-3339.5502,84.91024224,-1998.5211000000008,-3254.63995776,-5253.161057760001
16,606.6618,1531.6779,2302.1949,0.0,0.0,0.0,-1348.0718,-11591.7381,606.6816,5918.8772,-3311.2329,83.67965352,-1973.7165000000014,-3227.55324648,-5201.269746480001
17,595.3944,1544.2916,2318.7859,0.0,0.0,0.0,-1316.4717,-11553.4216,613.965,5793.0029,-3328.547,84.65228567999999,-2004.4534999999987,-3243.89471432,-5248.348214319998
18,573.1214,1468.1094,2305.9184,0.0,0.0,0.0,-1316.4472,-11570.2776,631.9099,5875.2979,-3336.112,85.85818272,-2032.367800000001,-3250.25381728,-5282.621617280001
19,595.4122,1558.1645,2293.84,0.0,0.0,0.0,-1350.4002,-11486.0181,601.3929,5816.2216,-3369.9211,83.26810296000001,-1971.3871,-3286.65299704,-5258.04009704
20,577.9558,1553.5829,2290.5732,0.0,0.0,0.0,-1312.4008,-11631.4691,618.0058,5839.6027,-3253.4857,86.89557168,-2064.1494999999995,-3166.59012832,-5230.73962832
21,578.1935,1489.8731,2341.2427,0.0,0.0,0.0,-1316.9603,-11729.8911,621.3905,5904.5074,-3248.3519,83.23391592,-2111.6442000000006,-3165.11798408,-5276.76218408
22,588.9182,1514.4569,2278.4546,0.0,0.0,0.0,-1339.7492,-11608.5665,610.8316,5841.3952,-3290.8634,82.8479448,-2114.2592000000013,-3208.0154552000004,-5322.274655200002
23,589.7957,1517.4909,2308.4919,0.0,0.0,0.0,-1364.4043,-11649.6466,647.1281,5884.053,-3261.7918,79.59826656,-2067.0913,-3182.19353344,-5249.28483344
24,606.9481,1504.4607,2297.8814,0.0,0.0,0.0,-1318.5283,-11578.1401,623.782,5821.9501,-3329.3715,84.32807688,-2041.646099999999,-3245.04342312,-5286.68952312
25,572.0273,1488.9164,2315.2109,0.0,0.0,0.0,-1348.6567,-11537.7891,620.5406,5864.0555,-3332.5041,80.26734096,-2025.695099999999,-3252.23675904,-5277.931859039999
26,593.2979,1505.3101,2286.0676,0.0,0.0,0.0,-1359.4459,-11565.7454,618.8731,5847.8725,-3298.1041,80.44704,-2073.7700999999997,-3217.65706,-5291.42716
27,601.868,1571.732,2264.2866,0.0,0.0,0.0,-1365.9575,-11656.0485,605.0252,5872.1139,-3265.7957,80.94858696,-2106.980300000001,-3184.8471130400003,-5291.827413040001
28,589.489,1510.1814,2292.1279,0.0,0.0,0.0,-1321.5753,-11577.3839,625.1936,5895.6731,-3366.4959,84.502206,-1986.2942000000012,-3281.993694,-5268.287894000001
29,545.5707,1561.14,2324.8432,0.0,0.0,0.0,-1324.6706,-11673.3002,608.2918,5909.4153,-3291.9297,85.30785144000001,-2048.7098000000005,-3206.62184856,-5255.331648560001
30,592.3117,1512.3627,2279.4394,0.0,0.0,0.0,-1346.7825,-11581.703,612.1608,5873.1302,-3343.7945,83.27414808,-2059.0807000000004,-3260.52035192,-5319.601051920001
31,583.6791,1487.2533,2311.7099,0.0,0.0,0.0,-1331.2003,-11711.3912,622.2473,5914.8967,-3276.8996,83.30669712,-2122.8052000000007,-3193.59290288,-5316.398102880002
32,597.2427,1508.6339,2314.7283,0.0,0.0,0.0,-1317.9084,-11773.9025,616.0522,5929.489,-3257.3613,82.12696704,-2125.6648000000005,-3175.23433296,-5300.899132960001
33,584.0434,1566.1066,2264.5634,0.0,0.0,0.0,-1364.2163,-11576.4624,614.1913,5815.4891,-3298.7051,78.89627376,-2096.2848999999997,-3219.80882624,-5316.093726239999
34,597.2653,1545.1319,2304.024,0.0,0.0,0.0,-1344.7875,-11550.277,625.0416,5850.5541,-3362.5454,82.30706568,-1973.047599999999,-3280.23833432,-5253.285934319999
35,632.6339,1546.9204,2293.7099,0.0,0.0,0.0,-1347.2613,-11513.2151,615.2882,5806.6698,-3360.1895,82.72899432,-1965.2542000000003,-3277.46050568,-5242.7147056799995
36,607.7477,1509.2842,2314.6397,0.0,0.0,0.0,-1333.7426,-11595.5255,606.4505,5847.4531,-3349.2059,80.62895087999999,-2043.6929,-3268.57694912,-5312.26984912
37,566.001,1559.6566,2300.5842,0.0,0.0,0.0,-1352.7408,-11654.7926,613.1172,5859.4089,-3260.2766,81.75386015999999,-2108.7655000000004,-3178.52273984,-5287.288239840001
38,538.3723,1544.6148,2288.8115,0.0,0.0,0.0,-1345.3485,-11534.8083,620.5205,5814.5418,-3335.6466,84.27086927999999,-2073.295900000001,-3251.37573072,-5324.671630720001
39,572.1861,1542.3683,2275.726,0.0,0.0,0.0,-1369.4216,-11682.6457,640.0819,5884.6318,-3236.1507,81.42257592,-2137.073199999999,-3154.7281240800003,-5291.801324079999
40,609.7259,1558.2412,2297.2004,0.0,0.0,0.0,-1323.6867,-11608.9935,629.1825,5819.2987,-3268.5069,82.56659112,-2019.031500000001,-3185.94030888,-5204.971808880001
41,573.3914,1522.5242,2298.2033,0.0,0.0,0.0,-1336.2985,-11553.0345,610.2065,5840.749,-3321.1853,84.26886264,-2044.2585999999992,-3236.91643736,-5281.175037359999
42,560.6186,1543.5247,2318.5092,0.0,0.0,0.0,-1361.6262,-11466.687,611.9909,5853.9462,-3395.6575,82.54924704,-1939.7236000000003,-3313.10825296,-5252.83185296
43,555.5059,1530.7285,2296.0604,0.0,0.0,0.0,-1363.8588,-11432.8326,619.1029,5878.6914,-3431.9578,83.00124360000001,-1916.6023000000005,-3348.9565564,-5265.558856400001
44,590.1827,1550.8964,2300.7111,0.0,0.0,0.0,-1337.6325,-11420.0406,633.8805,5763.3025,-3346.0826,81.95736312,-1918.6999000000005,-3264.12523688,-5182.825136880001
45,564.8197,1515.364,2280.2722,0.0,0.0,0.0,-1349.4538,-11623.7658,623.8317,5843.5181,-3275.8169,81.99531504,-2145.4138999999996,-3193.8215849599997,-5339.23548496
46,596.9135,1517.7718,2298.8553,0.0,0.0,0.0,-1334.4677,-11571.8473,615.9085,5815.011,-3287.8888,85.12469784,-2061.8548999999985,-3202.76410216,-5264.619002159999
47,592.5515,1557.2838,2272.1197,0.0,0.0,0.0,-1322.347,-11645.2018,604.1137,5831.1113,-3238.0558,85.19056848,-2110.368800000001,-3152.86523152,-5263.234031520001
48,564.6493,1542.5335,2302.068,0.0,0.0,0.0,-1338.0364,-11585.7634,620.7636,5831.9633,-3301.1258,84.95351712,-2061.8220999999985,-3216.17228288,-5277.994382879999
49,579.3058,1533.0851,2292.0478,0.0,0.0,0.0,-1332.3786,-11569.3759,597.4742,5774.2635,-3290.1296,84.85573391999999,-2125.5781000000006,-3205.27386608,-5330.851966080001
50,597.829,1538.0761,2284.6277,0.0,0.0,0.0,-1338.6107,-11628.0676,610.5049,5826.2799,-3268.238,85.56175223999999,-2109.3607,-3182.67624776,-5292.036947760001
51,543.2118,1533.0744,2266.5535,0.0,0.0,0.0,-1360.1666,-11487.2556,626.6474,5813.7737,-3348.2279,86.4047988,-2064.161400000001,-3261.8231011999997,-5325.9845012000005
52,547.2895,1527.7132,2284.9487,0.0,0.0,0.0,-1341.7984,-11576.6609,627.0909,5843.9564,-3307.5288,83.58988896,-2087.4606000000003,-3223.93891104,-5311.39951104
53,541.5445,1462.7721,2289.3427,0.0,0.0,0.0,-1366.6334,-11603.2392,620.7937,5811.0585,-3223.848,84.37359456,-2244.361099999999,-3139.47440544,-5383.835505439999
54,622.4409,1498.1905,2274.3434,0.0,0.0,0.0,-1351.7741,-11584.9385,600.4808,5811.5768,-3279.3788,81.70966007999999,-2129.6802000000007,-3197.66913992,-5327.3493399200015
55,545.01,1512.1312,2312.1796,0.0,0.0,0.0,-1338.7448,-11536.2032,636.5274,5859.2265,-3375.6385,84.96117287999999,-2009.873300000001,-3290.67732712,-5300.550627120001
56,576.6361,1501.801,2275.0222,0.0,0.0,0.0,-1335.7347,-11614.3785,614.5651,5875.376,-3315.3726,84.87093816000001,-2106.712800000001,-3230.50166184,-5337.214461840002
57,595.5022,1501.1017,2283.8966,0.0,0.0,0.0,-1360.8031,-11596.8437,627.3705,5808.4085,-3280.2474,83.74030344,-2141.367300000001,-3196.5070965600003,-5337.874396560001
58,561.569,1564.2193,2277.2177,0.0,0.0,0.0,-1361.3418,-11600.3442,610.1086,5833.2148,-3290.4171,85.42600992,-2115.356600000001,-3204.99109008,-5320.3476900800015
59,583.5362,1458.291,2278.6266,0.0,0.0,0.0,-1330.0149,-11509.6576,627.5351,5807.6556,-3377.5904,85.53937968,-2084.028000000001,-3292.05102032,-5376.079020320001
60,591.7481,1532.5013,2285.104,0.0,0.0,0.0,-1354.7452,-11671.0643,612.4609,5893.0836,-3299.2995,83.24094096,-2110.9115999999995,-3216.05855904,-5326.970159039999
61,591.9364,1539.1723,2328.1063,0.0,0.0,0.0,-1341.1237,-11595.4086,595.3238,5811.0721,-3308.053,85.12808256000001,-2070.9214,-3222.9249174399997,-5293.84631744
62,578.2626,1523.4808,2299.9742,0.0,0.0,0.0,-1333.0865,-11629.7782,608.4372,5883.9631,-3300.319,82.85020272,-2068.7468,-3217.4687972799998,-5286.21559728
63,582.1984,1510.74,2316.1696,0.0,0.0,0.0,-1341.5346,-11612.9908,624.3636,5820.8736,-3273.7227,83.44047096,-2100.180199999999,-3190.28222904,-5290.462429039999
64,577.17,1533.089,2289.1907,0.0,0.0,0.0,-1337.9433,-11654.5048,608.7461,5882.2597,-3281.7072,85.11294744,-2101.9926000000005,-3196.59425256,-5298.58685256
65,541.1394,1539.1655,2322.3338,0.0,0.0,0.0,-1330.2901,-11634.957,626.2041,5836.5707,-3273.3732,85.40784287999999,-2099.833600000001,-3187.96535712,-5287.7989571200005
66,600.581,1539.8531,2322.47,0.0,0.0,0.0,-1335.3416,-11512.9371,621.2074,5815.6323,-3375.6225,86.03251056,-1948.5348999999987,-3289.58998944,-5238.124889439998
67,557.5784,1576.5682,2304.0394,0.0,0.0,0.0,-1341.9707,-11434.0023,617.3063,5799.8983,-3395.9077,86.93214768,-1920.5824000000002,-3308.97555232,-5229.557952320001
