GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,580.4155,1531.9235,2305.7348,0.0,0.0,0.0,-1373.4656,-11573.784,620.4604,5770.4616,-3236.8482,80.94685464,-2138.2537999999995,-3155.90134536,-5294.155145359999
1,610.3541,1553.4798,2283.5221,0.0,0.0,0.0,-1315.4156,-11452.1184,613.6148,5746.2306,-3359.7564,84.44252447999999,-1960.3325999999997,-3275.3138755200002,-5235.6464755199995
2,590.011,1504.6281,2324.1294,0.0,0.0,0.0,-1320.6472,-11565.812,628.3493,5797.2636,-3308.1638,84.63057768,-2042.0777999999991,-3223.53322232,-5265.611022319999
3,596.6139,1512.7509,2317.7868,0.0,0.0,0.0,-1355.1095,-11466.6649,590.2511,5791.7424,-3358.6379,85.36391567999999,-2012.6293000000014,-3273.27398432,-5285.903284320002
4,580.3105,1557.4296,2281.8601,0.0,0.0,0.0,-1327.159,-11567.8035,611.8316,5798.755,-3263.9892,85.25209896,-2064.775700000001,-3178.73710104,-5243.512801040001
5,640.3691,1531.0155,2311.5721,0.0,0.0,0.0,-1321.454,-11601.7975,611.5752,5784.6701,-3252.9391,85.92800831999999,-2044.0494999999992,-3167.01109168,-5211.060591679999
6,604.3311,1517.1612,2303.5094,0.0,0.0,0.0,-1323.7488,-11720.7277,635.499,5829.6337,-3188.0924,85.12422192,-2154.3421,-3102.96817808,-5257.310278079999
7,575.8374,1505.0285,2268.1141,0.0,0.0,0.0,-1296.1546,-11694.1844,624.3632,5797.3522,-3221.8796,87.3867276,-2219.6436000000003,-3134.4928724,-5354.1364724000005
8,606.3645,1459.0169,2291.4455,0.0,0.0,0.0,-1325.0149,-11574.2197,620.5352,5818.3631,-3313.5222,86.53862376,-2103.5094,-3226.98357624,-5330.492976240001
9,604.02,1524.6763,2291.2899,0.0,0.0,0.0,-1340.8285,-11597.4243,629.1247,5828.4366,-3281.3269,83.47200480000001,-2060.7053000000005,-3197.8548952,-5258.560195200001
10,565.2866,1536.2442,2298.285,0.0,0.0,0.0,-1332.8388,-11573.5993,621.7985,5770.1925,-3271.5278,84.40384032,-2114.631299999999,-3187.1239596799996,-5301.755259679999
11,592.0823,1524.9852,2298.247,0.0,0.0,0.0,-1341.7843,-11469.5482,628.6186,5788.3732,-3392.0861,85.86647208,-1979.0262000000002,-3306.2196279199998,-5285.245827920001
12,567.3807,1567.3844,2305.7024,0.0,0.0,0.0,-1348.1538,-11547.7893,609.9181,5790.6332,-3275.6612,84.76498728,-2054.9242999999997,-3190.89621272,-5245.820512719999
13,606.8708,1521.7874,2325.6045,0.0,0.0,0.0,-1336.1055,-11568.4348,623.5758,5810.6557,-3316.3961,89.67663144,-2016.0461000000014,-3226.7194685599998,-5242.765568560001
14,614.152,1443.7813,2277.4544,0.0,0.0,0.0,-1333.2546,-11590.9007,638.1317,5792.4093,-3274.7955,84.26803392,-2158.226599999999,-3190.52746608,-5348.75406608
