GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,612.3911,1491.0875,2298.5093,0.0,0.0,0.0,-1329.5769,-11485.1577,605.6188,5824.4783,-3427.2301,83.03441903999999,-1982.6495999999997,-3344.19568096,-5326.845280959999
1,579.9156,1510.1804,2285.68,0.0,0.0,0.0,-1335.4781,-11584.5822,633.3461,5800.4292,-3306.8672,81.2194452,-2110.509000000002,-3225.6477548000003,-5336.156754800002
2,561.42,1500.8846,2292.0345,0.0,0.0,0.0,-1350.7137,-11530.3391,631.8015,5832.906,-3414.7322,81.60303024,-2062.0062000000007,-3333.12916976,-5395.13536976
3,560.0496,1410.5115,2317.2631,0.0,0.0,0.0,-1333.8993,-11573.364,618.0352,5815.423,-3350.0802,82.61503632,-2185.9808999999996,-3267.46516368,-5453.446063679999
4,610.5722,1524.9004,2296.3345,0.0,0.0,0.0,-1350.4926,-11566.1608,614.2609,5828.2141,-3380.3691,82.67536584,-2042.3712999999989,-3297.69373416,-5340.0650341599985
5,576.0524,1458.1281,2300.1448,0.0,0.0,0.0,-1329.0877,-11488.2911,616.0877,5831.6213,-3443.3698,80.55416663999999,-2035.3445000000002,-3362.81563336,-5398.160133359999
6,614.7098,1549.7744,2295.6787,0.0,0.0,0.0,-1359.8756,-11555.3415,609.6363,5739.095,-3302.1373,78.75781272,-2106.322900000002,-3223.37948728,-5329.702387280001
7,620.1785,1541.3995,2301.8777,0.0,0.0,0.0,-1340.4813,-11572.4699,621.5073,5801.6473,-3357.39,82.12734504,-2026.3408999999992,-3275.26265496,-5301.603554959998
8,582.1444,1469.2427,2273.5306,0.0,0.0,0.0,-1349.8136,-11608.4307,620.318,5902.4294,-3360.4751,80.80887671999999,-2110.5792,-3279.66622328,-5390.24542328
9,604.492,1481.8071,2292.0884,0.0,0.0,0.0,-1325.8021,-11529.0927,613.6577,5790.3721,-3388.3223,82.25640144,-2072.477499999998,-3306.06589856,-5378.5433985599975
10,587.0965,1499.3218,2285.5118,0.0,0.0,0.0,-1335.1418,-11551.4525,634.0433,5854.7014,-3399.5865,83.76857279999999,-2025.919499999999,-3315.8179271999998,-5341.7374272
11,609.8805,1493.084,2287.4445,0.0,0.0,0.0,-1332.6397,-11492.9113,632.201,5782.6786,-3416.7402,80.96886719999999,-2020.2623999999996,-3335.7713328,-5356.0337328
12,562.0368,1527.3681,2291.9352,0.0,0.0,0.0,-1330.444,-11425.5404,610.5273,5847.449,-3551.3989,85.63682664,-1916.6680000000006,-3465.76207336,-5382.43007336
13,569.9648,1499.4959,2339.0146,0.0,0.0,0.0,-1334.9937,-11504.1655,645.4773,5838.3175,-3456.8904,83.03963904,-1946.8890999999994,-3373.85076096,-5320.7398609599995
14,621.1049,1490.2562,2289.3958,0.0,0.0,0.0,-1333.3807,-11372.8888,612.6025,5816.2478,-3542.0726,85.50952704000001,-1876.6623,-3456.5630729599998,-5333.22537296
15,596.0438,1563.9571,2298.3561,0.0,0.0,0.0,-1310.6167,-11318.154,614.8061,5814.0895,-3581.8918,85.74771168,-1741.5181000000011,-3496.14408832,-5237.6621883200005
16,567.7928,1494.1576,2309.2566,0.0,0.0,0.0,-1308.3865,-11489.5044,624.3263,5823.5153,-3449.1556,83.76004872,-1978.8423000000003,-3365.39555128,-5344.2378512800005
17,573.9983,1524.6036,2302.9135,0.0,0.0,0.0,-1341.7201,-11452.7547,617.8474,5801.3449,-3478.2751,82.22552495999999,-1973.7671,-3396.04957504,-5369.81667504
18,597.9861,1514.1305,2293.549,0.0,0.0,0.0,-1336.5132,-11460.2003,616.1985,5770.427,-3458.4467,82.4406408,-2004.4224000000013,-3376.0060592,-5380.428459200001
19,555.4979,1475.486,2325.3327,0.0,0.0,0.0,-1336.2525,-11558.497,617.5773,5829.6554,-3400.8189,82.3025376,-2091.2002,-3318.5163624,-5409.716562400001
20,594.3017,1477.3177,2265.6297,0.0,0.0,0.0,-1349.2545,-11427.7995,623.2295,5805.3625,-3479.7076,81.61492032,-2011.2128999999986,-3398.0926796800004,-5409.305579679998
21,595.636,1499.682,2280.2442,0.0,0.0,0.0,-1326.8967,-11438.412,601.044,5822.8595,-3466.5733,83.60456832,-1965.8430000000017,-3382.96873168,-5348.811731680002
22,582.8159,1552.7784,2278.964,0.0,0.0,0.0,-1341.4138,-11546.1935,622.2987,5808.0868,-3376.7475,81.36139968,-2042.6634999999987,-3295.38610032,-5338.049600319998
23,571.0861,1443.6516,2309.2754,0.0,0.0,0.0,-1331.7458,-11432.8729,611.5057,5830.0087,-3491.0881,84.06689472,-1999.091199999999,-3407.02120528,-5406.112405279999
24,582.0113,1435.9399,2284.183,0.0,0.0,0.0,-1338.5105,-11426.3345,617.2775,5799.4847,-3470.8713,82.94590152,-2045.9486000000006,-3387.92539848,-5433.87399848
25,588.9202,1527.0753,2273.9721,0.0,0.0,0.0,-1351.6762,-11466.6498,605.9529,5829.0985,-3448.8731,81.39932495999999,-1993.3069999999989,-3367.47377504,-5360.780775039999
