GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,571.2674,1539.2508,2306.9654,0.0,0.0,0.0,-1371.3954,-11543.2728,615.6328,5784.2687,-3352.1106,79.28951112,-2097.2831000000006,-3272.82108888,-5370.104188880001
1,594.6323,1488.3575,2304.9873,0.0,0.0,0.0,-1347.8715,-11493.2381,591.3308,5817.1338,-3425.9338,82.70599464,-2044.6679000000004,-3343.22780536,-5387.89570536
2,578.5389,1507.9754,2277.2211,0.0,0.0,0.0,-1343.3228,-11561.5259,613.8697,5766.4611,-3343.6956,81.27314928,-2160.7825000000003,-3262.42245072,-5423.20495072
3,569.1415,1493.3318,2298.0999,0.0,0.0,0.0,-1333.8732,-11416.5076,622.2529,5796.5327,-3484.5283,83.63952936,-1971.0220000000008,-3400.88877064,-5371.910770640001
4,597.1324,1532.4661,2321.0987,0.0,0.0,0.0,-1307.3858,-11352.3522,635.019,5779.465,-3556.3265,85.27035024,-1794.5567999999985,-3471.05614976,-5265.612949759999
5,596.2141,1560.4856,2301.5311,0.0,0.0,0.0,-1359.6258,-11321.8631,606.6437,5785.6566,-3577.7212,84.85349472,-1830.9577999999992,-3492.86770528,-5323.82550528
6,605.6515,1508.4709,2295.9921,0.0,0.0,0.0,-1353.3978,-11363.9371,605.7449,5770.7383,-3510.1886,83.54648952,-1930.7371999999987,-3426.64211048,-5357.379310479999
7,579.1424,1497.9768,2313.928,0.0,0.0,0.0,-1333.7834,-11492.4228,624.2021,5826.4783,-3476.5883,83.70916199999999,-1984.4785999999995,-3392.879138,-5377.357738
8,603.8049,1543.1706,2257.5312,0.0,0.0,0.0,-1339.6361,-11206.2275,621.5783,5768.0839,-3667.9386,83.7450864,-1751.694700000001,-3584.1935135999997,-5335.888213600001
9,569.3454,1483.9092,2305.2045,0.0,0.0,0.0,-1349.1902,-11304.0884,621.8149,5754.0586,-3562.1625,84.35992968,-1918.9460000000008,-3477.80257032,-5396.74857032
10,597.4114,1531.7584,2309.9717,0.0,0.0,0.0,-1315.4284,-11286.1652,613.1309,5757.7411,-3621.2893,84.6506088,-1791.5800999999992,-3536.6386912,-5328.2187912
11,562.539,1572.5787,2293.6249,0.0,0.0,0.0,-1374.5849,-11352.2307,611.0434,5800.8374,-3559.5466,83.01579695999999,-1886.1921999999995,-3476.53080304,-5362.723003039999
12,573.7691,1583.4572,2317.6667,0.0,0.0,0.0,-1340.7619,-11227.9934,632.3043,5786.4484,-3658.1957,84.91941576,-1675.1095999999989,-3573.27628424,-5248.385884239999
13,623.631,1492.5093,2302.8929,0.0,0.0,0.0,-1361.4455,-11315.3069,608.8149,5774.7545,-3570.711,81.38898791999999,-1874.1497999999992,-3489.3220120799997,-5363.471812079999
14,591.6167,1555.6904,2315.1782,0.0,0.0,0.0,-1317.9774,-11197.8189,619.7916,5757.0957,-3658.0276,86.82108912,-1676.4236999999994,-3571.2065108799998,-5247.630210879999
15,602.9715,1545.3468,2317.4451,0.0,0.0,0.0,-1356.7468,-11284.5705,600.287,5788.7538,-3595.9354,84.99993696,-1786.5130999999992,-3510.93546304,-5297.448563039999
16,588.5459,1525.5761,2281.1605,0.0,0.0,0.0,-1347.7893,-11277.0289,611.6434,5726.6809,-3580.0779,85.12652736,-1891.2114000000001,-3494.95137264,-5386.16277264
17,562.9367,1508.138,2277.0087,0.0,0.0,0.0,-1361.8024,-11396.3785,606.9481,5841.0352,-3544.6762,82.89588168,-1962.1142000000018,-3461.78031832,-5423.894518320001
18,551.7041,1548.6265,2320.377,0.0,0.0,0.0,-1352.0253,-11348.8699,619.2303,5781.6306,-3547.9667,83.44072008,-1879.3267000000005,-3464.52597992,-5343.852679920001
19,616.2969,1510.0859,2310.8526,0.0,0.0,0.0,-1336.4552,-11268.7368,630.8834,5786.5765,-3650.0359,85.75378992,-1750.4967000000006,-3564.2821100799997,-5314.778810080001
20,620.289,1526.0025,2318.6869,0.0,0.0,0.0,-1336.6634,-11362.6423,628.5482,5722.8528,-3493.8979,86.27282063999999,-1882.9262999999992,-3407.6250793599997,-5290.551379359999
21,608.3669,1531.4966,2300.0431,0.0,0.0,0.0,-1326.1441,-11439.3967,607.5255,5805.1924,-3511.8409,85.2344532,-1912.916299999999,-3426.6064468,-5339.522746799999
22,578.1704,1547.0891,2291.9183,0.0,0.0,0.0,-1351.9299,-11289.2535,623.8418,5746.6913,-3581.3579,83.2218264,-1853.4724999999999,-3498.1360736,-5351.6085735999995
23,584.7429,1531.421,2310.1953,0.0,0.0,0.0,-1303.6725,-11307.3029,632.9208,5767.942,-3615.6169,87.89791608,-1783.7534000000005,-3527.71898392,-5311.4723839200005
24,600.4713,1557.065,2280.1072,0.0,0.0,0.0,-1346.23,-11186.2447,609.1277,5746.121,-3666.1959,85.22115263999999,-1739.5824999999986,-3580.97474736,-5320.55724736
25,594.1022,1520.2306,2274.1325,0.0,0.0,0.0,-1331.0022,-11421.5114,617.4108,5789.8404,-3486.1557,85.24910736,-1956.7970999999989,-3400.90659264,-5357.703692639999
26,560.4605,1559.2657,2294.8082,0.0,0.0,0.0,-1346.8746,-11276.2151,611.1308,5737.7588,-3564.8903,85.01530824,-1859.6657000000005,-3479.87499176,-5339.54069176
27,560.2684,1524.5027,2300.8044,0.0,0.0,0.0,-1356.4667,-11309.5379,616.1327,5786.0411,-3561.744,84.6729972,-1878.255299999999,-3477.0710028000003,-5355.326302799999
28,574.1672,1631.5205,2321.4461,0.0,0.0,0.0,-1339.7524,-11353.9662,619.6116,5750.2692,-3529.0817,85.8329424,-1796.7040000000015,-3443.2487576000003,-5239.952757600002
29,610.1496,1503.0862,2299.6564,0.0,0.0,0.0,-1339.0548,-11366.2363,629.6521,5797.7689,-3576.2597,84.27868776,-1864.9778999999999,-3491.98101224,-5356.95891224
30,599.1352,1505.0296,2321.2433,0.0,0.0,0.0,-1373.438,-11316.7989,619.1229,5761.8059,-3530.9344,84.00680496,-1883.8999999999987,-3446.92759504,-5330.827595039998
31,547.8101,1523.2578,2280.2719,0.0,0.0,0.0,-1344.934,-11258.4238,605.8109,5733.8065,-3581.172,83.39806727999999,-1912.4006,-3497.77393272,-5410.17453272
32,569.6828,1502.6763,2317.7923,0.0,0.0,0.0,-1339.3428,-11164.139,605.9896,5699.6042,-3652.212,86.49659448,-1807.7365999999993,-3565.71540552,-5373.45200552
33,557.1995,1507.8586,2306.1455,0.0,0.0,0.0,-1307.8753,-11159.2403,609.3602,5741.5253,-3707.8244,86.91410736,-1745.0264999999981,-3620.91029264,-5365.936792639997
34,586.8498,1540.4918,2285.1714,0.0,0.0,0.0,-1308.8223,-11303.8436,632.4239,5745.7898,-3587.2967,83.47043664,-1821.9392000000016,-3503.8262633599998,-5325.765463360001
35,619.3754,1546.9773,2320.452,0.0,0.0,0.0,-1331.1913,-11291.6944,625.7127,5759.6355,-3575.4538,83.54919312,-1750.7327999999998,-3491.90460688,-5242.637406879999
36,630.8988,1545.5381,2281.6868,0.0,0.0,0.0,-1348.1021,-11284.2987,604.8245,5745.3019,-3574.0211,85.27083264000001,-1824.1506999999992,-3488.7502673599997,-5312.900967359999
37,559.9453,1534.1662,2317.642,0.0,0.0,0.0,-1339.0449,-11279.2859,593.2848,5743.8504,-3596.8515,83.07146375999999,-1869.4421000000002,-3513.7800362400003,-5383.2221362400005
38,569.0357,1519.5901,2284.4342,0.0,0.0,0.0,-1339.4072,-11312.892,628.4327,5778.6551,-3568.0067,86.0472072,-1872.1513999999997,-3481.9594927999997,-5354.110892799999
39,569.9448,1555.1918,2303.7515,0.0,0.0,0.0,-1357.8492,-11314.0967,618.9245,5788.0844,-3598.4826,81.61501896,-1836.0489000000007,-3516.86758104,-5352.916481040001
40,605.883,1547.3007,2291.4962,0.0,0.0,0.0,-1377.6628,-11312.5024,607.4823,5794.0682,-3571.8143,83.78223695999999,-1843.934800000001,-3488.03206304,-5331.966863040001
41,588.4021,1562.6147,2311.4801,0.0,0.0,0.0,-1334.0672,-11324.3229,599.059,5788.53,-3587.1967,85.41127368,-1808.3041999999987,-3501.78542632,-5310.089626319999
42,551.2819,1562.2852,2292.9066,0.0,0.0,0.0,-1349.211,-11262.9999,614.8715,5816.1191,-3658.2346,86.06183976,-1774.7465999999995,-3572.1727602399997,-5346.919360239999
43,573.2351,1559.4616,2318.2364,0.0,0.0,0.0,-1337.1422,-11376.5893,626.3626,5811.7918,-3602.0595,84.24729216,-1824.6439999999993,-3517.8122078399997,-5342.4562078399995
44,573.0585,1534.0967,2314.044,0.0,0.0,0.0,-1329.9642,-11387.3798,608.2274,5767.9302,-3517.5343,86.16681288,-1919.9872000000005,-3431.3674871199996,-5351.354687120001
45,610.7917,1555.4733,2286.0715,0.0,0.0,0.0,-1315.3223,-11539.9997,604.2682,5806.8801,-3427.29,84.29432688,-1991.8371999999981,-3342.99567312,-5334.832873119998
46,587.2591,1577.5405,2283.5547,0.0,0.0,0.0,-1335.584,-11519.912,626.1693,5775.1375,-3411.2428,83.78126424,-2005.8349000000007,-3327.46153576,-5333.29643576
47,560.0231,1536.4254,2288.3436,0.0,0.0,0.0,-1329.947,-11433.999,619.4499,5797.5984,-3501.1621,86.39358624,-1962.1055999999999,-3414.76851376,-5376.87411376
48,551.1817,1521.3737,2287.63,0.0,0.0,0.0,-1301.0745,-11577.7575,631.6451,5821.9215,-3391.6133,85.68640223999999,-2065.08,-3305.92689776,-5371.00689776
49,573.8874,1501.7955,2284.6014,0.0,0.0,0.0,-1342.1282,-11433.018,616.4151,5823.9195,-3460.6437,83.81829887999999,-1974.5272999999997,-3376.82540112,-5351.35270112
50,594.3461,1557.3615,2305.7805,0.0,0.0,0.0,-1355.1856,-11415.0292,624.1971,5828.3528,-3487.7503,84.28442616,-1860.176800000001,-3403.4658738400003,-5263.6426738400005
51,575.569,1484.7098,2290.0146,0.0,0.0,0.0,-1346.1048,-11493.1598,609.8973,5805.3158,-3413.8045,85.34719296,-2073.7581,-3328.45730704,-5402.21540704
52,596.9596,1581.0263,2340.3006,0.0,0.0,0.0,-1374.0073,-11483.3815,616.9451,5838.5944,-3468.0958,84.46743575999999,-1883.5627999999988,-3383.62836424,-5267.191164239999
53,549.5015,1527.9649,2340.0843,0.0,0.0,0.0,-1357.2149,-11485.1904,621.6435,5762.8016,-3427.9984,83.06305704,-2040.4094999999988,-3344.93534296,-5385.3448429599985
54,582.594,1564.9282,2291.7867,0.0,0.0,0.0,-1356.9185,-11471.4145,627.5181,5818.9509,-3475.6895,82.3918572,-1942.5551000000005,-3393.2976428,-5335.8527428
55,573.1954,1496.8992,2324.7401,0.0,0.0,0.0,-1352.8348,-11461.2062,613.8063,5820.6323,-3479.2198,83.19026735999999,-1984.7677000000012,-3396.02953264,-5380.797232640001
56,569.4557,1491.5738,2301.2153,0.0,0.0,0.0,-1317.8052,-11587.3514,616.4706,5841.9799,-3392.5643,84.16181519999999,-2084.4613,-3308.4024848,-5392.8637848
57,595.5796,1527.0149,2311.344,0.0,0.0,0.0,-1340.4532,-11573.9662,616.707,5814.0871,-3397.0592,83.93974776,-2049.6868000000004,-3313.11945224,-5362.806252240001
58,603.9073,1503.7351,2332.2598,0.0,0.0,0.0,-1341.3921,-11595.4391,626.8763,5813.3351,-3378.8043,83.24991648,-2056.7176,-3295.5543835199996,-5352.27198352
59,582.2993,1493.8,2308.3446,0.0,0.0,0.0,-1346.9003,-11468.4217,625.5347,5829.1129,-3493.7157,84.74568767999999,-1976.2305000000015,-3408.97001232,-5385.200512320002
60,612.4169,1524.6963,2298.6479,0.0,0.0,0.0,-1355.3514,-11556.2351,622.5633,5811.8898,-3399.2777,84.19079448,-2041.3723,-3315.08690552,-5356.45920552
61,596.3186,1522.2566,2319.7319,0.0,0.0,0.0,-1345.5545,-11512.7658,628.2974,5801.5414,-3446.4891,82.02512304,-1990.174399999999,-3364.46397696,-5354.638376959999
62,577.2642,1555.5691,2304.3902,0.0,0.0,0.0,-1322.864,-11542.3344,615.351,5855.9163,-3479.999,84.80670768,-1956.7075999999997,-3395.19229232,-5351.89989232
63,529.3077,1571.5466,2316.8228,0.0,0.0,0.0,-1331.2497,-11396.289,623.2835,5853.7988,-3581.2344,87.18801624,-1832.779300000001,-3494.04638376,-5326.825683760001
64,574.8,1536.6171,2281.1303,0.0,0.0,0.0,-1328.1893,-11514.1232,620.4492,5790.9231,-3421.0957,84.740688,-2038.3928000000005,-3336.355012,-5374.7478120000005
65,591.0334,1464.9043,2285.7172,0.0,0.0,0.0,-1326.5943,-11426.0895,619.8004,5824.479,-3504.5968,86.84511192,-1966.7495000000008,-3417.75168808,-5384.501188080001
66,573.6385,1548.7951,2278.6251,0.0,0.0,0.0,-1347.7041,-11538.0111,628.7337,5768.0032,-3378.056,85.51331352,-2087.9195999999993,-3292.54268648,-5380.462286479999
67,586.3198,1519.7059,2276.6959,0.0,0.0,0.0,-1330.1497,-11429.9923,604.633,5787.6686,-3490.9859,85.27912344,-1985.1187999999993,-3405.70677656,-5390.82557656
68,606.9634,1542.6691,2291.7361,0.0,0.0,0.0,-1333.0289,-11501.5097,639.4139,5841.9186,-3477.0912,82.52871336,-1911.8375000000024,-3394.56248664,-5306.399986640002
69,604.4348,1520.2562,2320.9099,0.0,0.0,0.0,-1346.5705,-11493.7328,632.2678,5815.3643,-3486.2773,82.39639104,-1947.0703000000003,-3403.8809089600004,-5350.951208960001
70,587.2958,1527.7497,2277.3306,0.0,0.0,0.0,-1325.8845,-11452.4156,617.7073,5798.191,-3485.9757,85.77876888,-1970.025700000001,-3400.19693112,-5370.222631120001
