GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,583.9255,1553.158,2285.0319,0.0,0.0,0.0,-1377.8493,-11653.9459,603.3291,5800.23,-3168.721,79.22043864,-2206.120700000002,-3089.50056136,-5295.621261360003
1,574.4814,1534.1054,2276.8193,0.0,0.0,0.0,-1345.4419,-11651.7428,617.1226,5807.2802,-3182.089,83.10982392,-2187.3758,-3098.97917608,-5286.35497608
2,597.4558,1529.5509,2300.3397,0.0,0.0,0.0,-1339.651,-11586.8209,622.3781,5795.9486,-3249.1343,85.2881436,-2080.7988000000005,-3163.8461564000004,-5244.6449564
3,576.7897,1596.1845,2260.3657,0.0,0.0,0.0,-1318.7358,-11524.7227,611.5431,5789.339,-3303.4263,86.4449928,-2009.2365,-3216.9813072,-5226.2178072
4,566.373,1488.6118,2283.0598,0.0,0.0,0.0,-1342.1816,-11474.8011,621.9208,5821.4515,-3346.7067,85.72008816,-2035.5657999999994,-3260.98661184,-5296.552411839999
5,565.5878,1552.8475,2286.4722,0.0,0.0,0.0,-1315.6538,-11569.6748,631.4731,5779.9567,-3290.0738,85.43832191999999,-2068.9912999999997,-3204.63547808,-5273.62677808
6,584.8111,1572.8117,2252.0824,0.0,0.0,0.0,-1309.2406,-11709.9805,616.8085,5861.4439,-3212.748,85.04264664,-2131.263499999998,-3127.70535336,-5258.968853359998
7,589.5355,1485.7949,2319.5595,0.0,0.0,0.0,-1332.5263,-11632.0035,630.2149,5838.1013,-3240.515,85.21230888,-2101.3237,-3155.30269112,-5256.62639112
8,589.7947,1558.6687,2295.6596,0.0,0.0,0.0,-1331.616,-11710.3273,630.7793,5823.0117,-3189.9837,84.30626016,-2144.029300000001,-3105.6774398400003,-5249.70673984
9,574.9345,1541.7095,2304.3435,0.0,0.0,0.0,-1345.1842,-11697.3514,629.5007,5813.0409,-3176.4401,82.91713464,-2179.0064999999995,-3093.52296536,-5272.529465359999
10,591.2747,1584.4753,2318.455,0.0,0.0,0.0,-1346.1531,-11727.5903,608.6225,5884.2348,-3224.0959,84.50052696,-2086.6811,-3139.5953730399997,-5226.27647304
11,638.4778,1539.5866,2294.1437,0.0,0.0,0.0,-1356.077,-11572.07,608.4287,5814.2739,-3306.8468,83.57589432,-2033.2363000000005,-3223.27090568,-5256.50720568
12,559.529,1546.1011,2310.3821,0.0,0.0,0.0,-1323.7236,-11667.5951,613.8776,5849.5513,-3246.1588,84.4774776,-2111.8776000000007,-3161.6813224,-5273.5589224000005
13,588.8299,1537.6893,2293.4247,0.0,0.0,0.0,-1300.4425,-11577.6933,621.7189,5826.5912,-3314.4426,87.27962975999999,-2009.881800000002,-3227.16297024,-5237.0447702400015
14,573.5286,1583.679,2282.3297,0.0,0.0,0.0,-1303.7075,-11627.8186,608.0127,5854.9392,-3309.3172,87.63640416,-2029.036900000001,-3221.68079584,-5250.7176958400005
15,575.0317,1547.2173,2297.6823,0.0,0.0,0.0,-1325.7906,-11703.7572,605.3402,5813.4824,-3209.8207,85.67812872,-2190.7939000000006,-3124.14257128,-5314.936471280001
16,566.1356,1567.3739,2278.2722,0.0,0.0,0.0,-1303.0458,-11733.473,625.6253,5819.384,-3170.0486,85.85113752,-2179.7278000000006,-3084.19746248,-5263.925262480001
17,579.7325,1582.5445,2261.085,0.0,0.0,0.0,-1344.3514,-11648.8862,627.0788,5881.4819,-3275.7252,84.77227944,-2061.314900000001,-3190.9529205599997,-5252.267820560001
18,572.4746,1564.7766,2279.6545,0.0,0.0,0.0,-1354.4646,-11531.1967,607.5541,5800.1908,-3327.9571,82.93754088,-2061.0107,-3245.01955912,-5306.030259120001
19,590.2355,1578.5067,2307.8674,0.0,0.0,0.0,-1348.7428,-11573.6104,610.7734,5833.2467,-3319.9343,84.1282128,-2001.7235,-3235.8060872,-5237.5295872
20,612.1913,1523.555,2280.6855,0.0,0.0,0.0,-1334.6721,-11551.8523,611.5673,5809.6074,-3324.6306,84.35491272,-2048.9179000000004,-3240.27568728,-5289.19358728
21,605.568,1553.0646,2317.5065,0.0,0.0,0.0,-1344.9095,-11388.7241,598.4901,5757.4816,-3424.7632,84.6639792,-1901.5227999999988,-3340.0992208,-5241.622020799999
22,552.048,1637.6689,2291.5729,0.0,0.0,0.0,-1376.2764,-11548.5659,605.6525,5800.1218,-3318.1114,81.92125224,-2037.778199999998,-3236.19014776,-5273.968347759997
23,566.9601,1497.9442,2283.5965,0.0,0.0,0.0,-1369.7819,-11626.7219,628.2477,5840.3491,-3280.5785,81.83544264,-2179.4062000000004,-3198.74305736,-5378.149257360001
24,572.6971,1533.6116,2304.3831,0.0,0.0,0.0,-1329.2257,-11547.6406,611.179,5850.0462,-3350.8962,84.01397688,-2004.9493000000011,-3266.88222312,-5271.831523120001
25,615.2375,1559.4421,2300.6299,0.0,0.0,0.0,-1341.8944,-11506.6975,628.4306,5772.8426,-3327.9947,85.49921952,-1972.0092000000004,-3242.49548048,-5214.50468048
26,604.6945,1546.5139,2292.6979,0.0,0.0,0.0,-1320.9141,-11554.5124,613.1015,5796.3446,-3338.1664,85.13812512,-2022.074099999999,-3253.02827488,-5275.102374879999
27,585.2316,1527.7461,2302.2033,0.0,0.0,0.0,-1316.4343,-11411.4589,621.554,5814.2759,-3487.7524,86.11222968,-1876.8822999999984,-3401.64017032,-5278.522470319998
28,613.3096,1552.5167,2279.2041,0.0,0.0,0.0,-1337.1746,-11575.207,616.4504,5874.167,-3360.93,85.70649816,-1976.7338000000009,-3275.2235018399997,-5251.957301840001
29,574.3513,1536.437,2314.112,0.0,0.0,0.0,-1344.9128,-11509.4365,613.3836,5844.7315,-3378.5398,85.19432904,-1971.3339000000005,-3293.34547096,-5264.67937096
30,594.6048,1522.0708,2316.7488,0.0,0.0,0.0,-1364.7792,-11564.4216,628.4377,5850.2366,-3327.1017,81.45401616,-2017.1020999999982,-3245.6476838400004,-5262.749783839999
31,590.2651,1539.1242,2271.9093,0.0,0.0,0.0,-1352.1312,-11547.3527,620.182,5792.3308,-3295.7297,83.93491152,-2085.6724999999997,-3211.79478848,-5297.467288479999
32,604.537,1479.587,2292.2506,0.0,0.0,0.0,-1350.4136,-11540.7401,606.9307,5805.8405,-3326.5009,85.48981488,-2102.0079000000014,-3241.01108512,-5343.018985120001
33,561.8857,1535.0771,2321.7236,0.0,0.0,0.0,-1356.5363,-11493.981,629.7983,5815.4005,-3380.4118,81.934128,-1986.632099999999,-3298.477672,-5285.109771999999
34,549.0699,1532.9338,2281.5399,0.0,0.0,0.0,-1304.683,-11582.2364,614.6165,5849.0499,-3338.6487,87.31283616,-2059.709399999998,-3251.33586384,-5311.0452638399975
35,586.1199,1544.6554,2285.3695,0.0,0.0,0.0,-1330.7946,-11461.5762,623.6558,5841.0071,-3433.4427,84.83152824,-1911.5630999999985,-3348.61117176,-5260.174271759999
36,559.069,1605.1176,2280.518,0.0,0.0,0.0,-1343.7681,-11631.3585,609.9498,5824.6744,-3255.1698,83.38678992,-2095.7978000000003,-3171.78301008,-5267.5808100799995
37,594.6202,1569.6006,2310.9919,0.0,0.0,0.0,-1334.3414,-11599.5656,622.6885,5814.6199,-3313.7959,84.40154423999999,-2021.3858999999993,-3229.39435576,-5250.78025576
38,612.6286,1574.6626,2322.5603,0.0,0.0,0.0,-1333.4339,-11535.8755,614.0791,5792.7282,-3349.9772,84.68506151999999,-1952.6506,-3265.2921384799997,-5217.94273848
39,567.0439,1510.2996,2290.5976,0.0,0.0,0.0,-1315.1246,-11439.1408,602.54,5789.1696,-3424.8389,87.41034864,-1994.6147,-3337.4285513600003,-5332.043251360001
40,576.3611,1558.9238,2277.4667,0.0,0.0,0.0,-1338.0145,-11420.983,613.8024,5826.4231,-3460.9897,86.99310575999999,-1906.0204000000012,-3373.99659424,-5280.016994240002
41,561.4962,1556.6752,2270.5308,0.0,0.0,0.0,-1317.334,-11482.1239,615.7731,5790.5596,-3382.9565,88.40917512,-2004.4230000000016,-3294.54732488,-5298.970324880001
