GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,558.5773,1596.0541,2305.7281,0.0,0.0,0.0,-1357.8539,-11623.3432,612.3614,5769.4452,-3209.0982,83.33811432,-2139.030999999999,-3125.76008568,-5264.791085679999
1,592.0006,1560.0403,2329.0321,0.0,0.0,0.0,-1352.7567,-11627.891,615.6762,5767.0981,-3216.7801,84.10799088,-2116.800399999999,-3132.6721091199997,-5249.472509119999
2,557.1684,1502.7497,2290.7986,0.0,0.0,0.0,-1348.2462,-11644.7472,622.8343,5758.387,-3183.8739,83.87793719999999,-2261.0554,-3099.9959628,-5361.0513628
3,572.2477,1590.4183,2313.3542,0.0,0.0,0.0,-1367.9169,-11497.6504,635.9226,5772.6758,-3318.1684,81.32140656,-1980.9487,-3236.84699344,-5217.79569344
4,590.1845,1507.0515,2273.9585,0.0,0.0,0.0,-1343.0098,-11486.8638,620.409,5733.5562,-3317.7312,84.01073616000001,-2104.7138999999997,-3233.7204638400003,-5338.43436384
5,606.3371,1507.0365,2300.6705,0.0,0.0,0.0,-1348.8847,-11491.2861,614.0576,5738.1781,-3303.3528,82.24055999999999,-2073.8909999999987,-3221.11224,-5295.003239999998
6,559.1479,1487.7662,2325.6734,0.0,0.0,0.0,-1340.3681,-11687.4074,628.1417,5776.3758,-3159.6863,83.086146,-2250.6705,-3076.6001539999997,-5327.270654
7,594.0312,1496.1175,2321.9676,0.0,0.0,0.0,-1356.2421,-11537.4979,617.8173,5753.8727,-3274.1047,83.84111496,-2109.9337000000005,-3190.2635850399997,-5300.197285040001
8,582.7054,1540.2372,2285.9138,0.0,0.0,0.0,-1353.9741,-11600.0736,621.9479,5738.739,-3218.2563,82.52221248000001,-2184.504399999999,-3135.73408752,-5320.238487519999
9,585.9869,1499.409,2290.7958,0.0,0.0,0.0,-1346.42,-11559.3656,608.6514,5749.1631,-3272.8028,82.8570168,-2171.7794000000004,-3189.9457832,-5361.725183200001
10,611.8599,1496.4485,2287.3388,0.0,0.0,0.0,-1356.9567,-11608.4383,619.8408,5724.6538,-3198.6392,81.5348484,-2225.253200000001,-3117.1043516,-5342.357551600001
11,605.8369,1520.9024,2290.3191,0.0,0.0,0.0,-1370.6811,-11625.629,611.019,5728.6867,-3169.7476,81.76374216,-2239.5460000000003,-3087.98385784,-5327.529857840001
12,564.5593,1559.013,2288.9352,0.0,0.0,0.0,-1359.2545,-11472.2467,605.9785,5692.2882,-3310.0455,82.84340087999999,-2120.726999999999,-3227.20209912,-5347.92909912
13,599.0875,1498.31,2286.2543,0.0,0.0,0.0,-1369.2058,-11556.9594,614.7666,5733.749,-3251.057,80.60765184,-2193.9978,-3170.4493481599998,-5364.44714816
14,556.9866,1608.2285,2309.6471,0.0,0.0,0.0,-1330.822,-11584.3037,619.0049,5741.8548,-3276.6569,82.30484664,-2079.403800000001,-3194.35205336,-5273.755853360001
15,574.7153,1473.0186,2291.7383,0.0,0.0,0.0,-1369.37,-11484.688,635.374,5817.8938,-3367.8731,83.60436456,-2061.318000000001,-3284.26873544,-5345.586735440001
16,562.3205,1533.7219,2282.3406,0.0,0.0,0.0,-1354.3463,-11622.5279,632.4164,5780.2673,-3232.1166,82.54321992,-2185.8075,-3149.57338008,-5335.38088008
17,539.9414,1537.1837,2249.1449,0.0,0.0,0.0,-1335.466,-11525.9974,621.5547,5743.7563,-3311.455,84.00002255999999,-2169.8824000000004,-3227.4549774399998,-5397.337377440001
18,620.0811,1496.2092,2324.0706,0.0,0.0,0.0,-1318.9829,-11616.7209,615.5288,5733.0188,-3246.7273,82.20520872,-2146.7952999999998,-3164.52209128,-5311.31739128
19,566.2018,1552.9564,2300.0368,0.0,0.0,0.0,-1355.3244,-11663.1238,624.8251,5746.5774,-3186.2073,81.10007639999999,-2227.850699999999,-3105.1072236,-5332.957923599999
20,572.6486,1545.1621,2296.7911,0.0,0.0,0.0,-1359.0058,-11666.0851,619.7022,5816.7681,-3213.7519,84.73459176,-2174.018799999999,-3129.01730824,-5303.0361082399995
21,584.6879,1507.841,2301.2124,0.0,0.0,0.0,-1320.352,-11578.2663,625.8622,5775.2167,-3263.7347,84.53430144000001,-2103.798100000001,-3179.20039856,-5282.998498560001
22,568.8946,1539.3095,2282.2967,0.0,0.0,0.0,-1319.2312,-11561.1204,625.3793,5767.8546,-3312.1608,86.68880639999999,-2096.616900000001,-3225.4719936,-5322.0888936
23,602.9898,1527.2009,2311.9365,0.0,0.0,0.0,-1291.1738,-11537.6658,605.448,5715.096,-3305.3348,88.2123516,-2066.1684000000005,-3217.1224484,-5283.290848400001
24,582.5626,1559.6322,2276.7029,0.0,0.0,0.0,-1325.7776,-11514.1201,649.2871,5773.5106,-3362.0315,86.63428296000001,-1998.2023000000008,-3275.39721704,-5273.599517040001
25,601.1387,1525.2521,2283.2519,0.0,0.0,0.0,-1321.5107,-11538.3497,609.8592,5747.973,-3311.4598,83.88721584000001,-2092.3855000000012,-3227.57258416,-5319.958084160001
26,599.9947,1520.7808,2302.3405,0.0,0.0,0.0,-1301.5348,-11528.2416,620.0544,5776.72,-3353.0305,88.18572168,-2009.8859999999986,-3264.84477832,-5274.7307783199985
27,571.5627,1536.4809,2322.552,0.0,0.0,0.0,-1330.3486,-11532.2844,612.1008,5787.6586,-3320.9713,87.17252472,-2032.2780000000012,-3233.79877528,-5266.076775280001
