GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,576.1874,1506.216,2321.9357,0.0,0.0,0.0,-1312.772,-11443.7447,631.8203,5806.8639,-3412.0503,85.30871760000001,-1913.4933999999985,-3326.7415824,-5240.234982399998
1,569.4351,1512.2771,2313.4434,0.0,0.0,0.0,-1362.3959,-11462.4448,629.4379,5762.2015,-3327.4994,82.5325776,-2038.0456999999988,-3244.9668224,-5283.012522399999
2,560.3331,1524.2285,2299.4123,0.0,0.0,0.0,-1338.8363,-11575.7384,623.6531,5750.4825,-3239.9426,82.36803599999999,-2156.4652000000006,-3157.574564,-5314.039764000001
3,584.2164,1588.7121,2329.4822,0.0,0.0,0.0,-1353.3456,-11570.5888,615.0533,5756.5111,-3221.2731,81.8919216,-2049.9593000000004,-3139.3811784,-5189.3404784
4,571.1274,1515.0917,2294.9629,0.0,0.0,0.0,-1353.5848,-11507.8409,616.3394,5738.4802,-3250.5546,84.36387888,-2125.4240999999993,-3166.19072112,-5291.61482112
5,599.7746,1540.0451,2331.0164,0.0,0.0,0.0,-1356.4558,-11505.3383,608.7825,5738.4478,-3285.6835,81.51574824,-2043.7276999999985,-3204.16775176,-5247.895451759999
6,604.1343,1561.4801,2284.2975,0.0,0.0,0.0,-1325.6665,-11305.6479,616.5069,5640.6481,-3395.9889,83.8708128,-1924.2474999999995,-3312.1180872,-5236.3655872
7,578.9214,1586.1804,2271.6713,0.0,0.0,0.0,-1354.7703,-11365.6638,614.2409,5711.0327,-3364.7183,83.4194052,-1958.3874000000005,-3281.2988948,-5239.6862948
8,575.4517,1454.1825,2297.7995,0.0,0.0,0.0,-1323.4275,-11417.1754,613.5997,5741.2368,-3366.9265,83.29073256000001,-2058.332700000001,-3283.63576744,-5341.9684674400005
9,542.7057,1559.0301,2291.1798,0.0,0.0,0.0,-1342.2199,-11375.5779,628.1857,5767.885,-3394.781,83.22818472,-1928.8114999999998,-3311.55281528,-5240.36431528
10,607.4036,1525.9485,2281.5759,0.0,0.0,0.0,-1305.8722,-11461.8973,621.3522,5703.3168,-3339.8004,84.20994719999999,-2028.1725000000006,-3255.5904528,-5283.762952800001
11,600.436,1496.8323,2305.6459,0.0,0.0,0.0,-1351.8723,-11463.1661,631.5796,5767.9205,-3319.2044,85.87729151999999,-2012.6241,-3233.32710848,-5245.95120848
12,614.4437,1536.6564,2266.9593,0.0,0.0,0.0,-1352.1902,-11541.1219,629.0667,5757.4762,-3284.9922,82.70341632,-2088.7098000000005,-3202.28878368,-5290.9985836800015
13,573.0958,1533.7053,2307.8166,0.0,0.0,0.0,-1354.7123,-11468.5223,622.0264,5775.6127,-3354.5903,82.39910112,-2010.9778000000015,-3272.19119888,-5283.168998880002
14,555.3856,1543.6947,2328.3744,0.0,0.0,0.0,-1352.2089,-11456.3435,631.0729,5777.6875,-3362.2486,82.52366760000001,-1972.3373000000001,-3279.7249324,-5252.0622324
15,577.6233,1543.3798,2311.5849,0.0,0.0,0.0,-1353.876,-11393.2405,606.9755,5716.0808,-3371.4806,85.41488231999999,-1991.4722000000002,-3286.06571768,-5277.53791768
16,551.6181,1543.7953,2282.9156,0.0,0.0,0.0,-1346.3155,-11360.4014,616.9422,5747.128,-3401.8344,83.55875904,-1964.3177000000023,-3318.27564096,-5282.593340960003
17,546.9123,1570.6742,2306.001,0.0,0.0,0.0,-1333.4734,-11415.7306,612.3038,5777.8526,-3408.0237,84.42915192,-1935.4601000000002,-3323.59454808,-5259.05464808
18,559.961,1540.7643,2283.108,0.0,0.0,0.0,-1326.6131,-11307.9943,614.3658,5726.5171,-3458.9846,86.97906144,-1909.891200000001,-3372.00553856,-5281.896738560001
19,608.8489,1517.337,2303.3832,0.0,0.0,0.0,-1303.1348,-11302.7237,618.9789,5722.8964,-3473.483,88.33475231999999,-1834.4141,-3385.14824768,-5219.56234768
20,567.3367,1545.9195,2301.9705,0.0,0.0,0.0,-1323.1319,-11383.2999,607.4271,5732.046,-3396.6753,84.46447512,-1951.7320000000009,-3312.21082488,-5263.94282488
21,618.5527,1576.6135,2289.0042,0.0,0.0,0.0,-1311.4252,-11326.1085,612.2618,5665.7348,-3390.3251,85.07549808,-1875.3667000000005,-3305.24960192,-5180.61630192
22,573.5473,1555.1579,2296.9634,0.0,0.0,0.0,-1300.5025,-11416.1624,616.6459,5717.9829,-3399.9826,85.76098704,-1956.3674999999994,-3314.2216129599997,-5270.5891129599995
23,565.1817,1558.3178,2304.0843,0.0,0.0,0.0,-1358.5839,-11467.1225,595.4938,5708.7805,-3262.3491,83.02281768,-2093.8482999999987,-3179.32628232,-5273.174582319999
24,607.925,1568.7362,2299.923,0.0,0.0,0.0,-1337.7161,-11430.7459,614.5531,5704.0551,-3343.2722,82.75958351999999,-1973.2696000000005,-3260.51261648,-5233.782216480001
25,578.0995,1475.1104,2304.5994,0.0,0.0,0.0,-1337.6493,-11390.2442,626.4332,5678.6905,-3311.1432,82.62040104,-2064.9604999999992,-3228.52279896,-5293.48329896
26,570.3568,1529.9053,2299.4578,0.0,0.0,0.0,-1344.0065,-11449.9395,598.0754,5723.7148,-3330.0064,85.22181216,-2072.4359000000004,-3244.7845878400003,-5317.220487840001
27,599.9323,1505.4004,2272.6826,0.0,0.0,0.0,-1342.361,-11399.6855,606.8627,5665.0858,-3318.0071,83.6270388,-2092.0827,-3234.3800612,-5326.4627611999995
28,575.2218,1533.6299,2282.5469,0.0,0.0,0.0,-1349.7323,-11365.9815,619.2555,5665.621,-3364.6382,81.77064696,-2039.4386999999988,-3282.86755304,-5322.306253039998
29,575.2068,1544.7178,2291.2768,0.0,0.0,0.0,-1335.4706,-11311.4823,628.6937,5663.1908,-3396.2821,83.44684224,-1943.8670000000002,-3312.83525776,-5256.702257760001
30,571.5094,1541.0965,2305.4576,0.0,0.0,0.0,-1343.3052,-11358.2355,622.5301,5723.3551,-3392.2426,83.17691352,-1937.5920000000015,-3309.06568648,-5246.657686480002
31,584.916,1521.4469,2295.8652,0.0,0.0,0.0,-1346.9149,-11342.9313,599.2023,5680.8118,-3413.2121,84.28954535999999,-2007.6039999999994,-3328.9225546400003,-5336.52655464
32,603.4336,1536.3082,2297.6819,0.0,0.0,0.0,-1356.5957,-11471.0795,612.7525,5710.4173,-3306.8108,82.68357744,-2067.0816999999997,-3224.12722256,-5291.20892256
33,589.4607,1575.4305,2271.4104,0.0,0.0,0.0,-1351.203,-11438.9377,605.7076,5700.1774,-3314.8713,81.89605296,-2047.9541,-3232.97524704,-5280.92934704
34,577.5538,1539.0981,2281.6986,0.0,0.0,0.0,-1365.8912,-11414.572,616.8235,5783.9983,-3384.4958,82.09123919999999,-1981.290899999999,-3302.4045608,-5283.695460799999
35,548.9274,1576.2435,2278.6165,0.0,0.0,0.0,-1359.2992,-11381.7605,627.1784,5719.375,-3351.8853,81.32471496,-1990.7189000000008,-3270.5605850399998,-5261.2794850400005
36,583.2884,1560.5163,2289.8628,0.0,0.0,0.0,-1356.3478,-11486.9129,614.3073,5657.6471,-3232.4845,79.6904892,-2137.638799999999,-3152.7940108000003,-5290.432810799999
37,594.4293,1611.4338,2283.685,0.0,0.0,0.0,-1324.0314,-11350.4609,588.9312,5731.3242,-3450.2984,83.16719064,-1864.6888,-3367.13120936,-5231.82000936
38,603.1909,1503.8781,2290.2679,0.0,0.0,0.0,-1362.1837,-11282.1344,608.9524,5681.5772,-3449.337,82.96582968,-1956.4516000000003,-3366.37117032,-5322.82277032
39,586.3909,1565.7498,2288.9459,0.0,0.0,0.0,-1363.0923,-11425.7256,594.0876,5707.8685,-3352.8451,81.67681655999999,-2045.7752,-3271.16828344,-5316.943483440001
