GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,603.5643,1496.4937,2335.9338,0.0,0.0,0.0,-1346.0161,-11524.9272,601.144,5666.1829,-3260.9281,83.93404248,-2167.624599999999,-3176.9940575200003,-5344.618657519999
1,612.6042,1502.5223,2312.9286,0.0,0.0,0.0,-1336.4826,-11557.1908,616.0785,5626.6159,-3226.2162,81.96140951999999,-2222.9239000000007,-3144.25479048,-5367.17869048
2,544.3404,1544.772,2323.6771,0.0,0.0,0.0,-1372.8024,-11507.726,617.6256,5680.4892,-3276.3143,82.02127752,-2169.6241,-3194.29302248,-5363.91712248
3,579.0212,1510.5966,2330.9938,0.0,0.0,0.0,-1357.573,-11525.2389,623.1564,5687.7602,-3296.8172,81.88591248,-2151.283700000001,-3214.93128752,-5366.214987520001
4,596.9909,1537.6457,2308.2098,0.0,0.0,0.0,-1379.1924,-11528.5302,611.1638,5689.0708,-3253.2771,78.67723176,-2164.641599999998,-3174.59986824,-5339.2414682399985
5,624.615,1554.2006,2335.7922,0.0,0.0,0.0,-1355.511,-11511.958,602.1731,5617.4031,-3243.2347,80.55930384,-2133.2850000000008,-3162.6753961599998,-5295.9603961600005
6,555.6076,1489.0235,2325.0561,0.0,0.0,0.0,-1342.8467,-11584.0916,612.5044,5774.0224,-3280.3016,82.77731784000001,-2170.7243,-3197.52428216,-5368.248582159999
7,612.5234,1494.4391,2289.0673,0.0,0.0,0.0,-1318.4574,-11480.1917,630.4629,5666.4526,-3342.8858,83.76161183999999,-2105.7037999999984,-3259.12418816,-5364.827988159998
8,594.0446,1557.7903,2335.1303,0.0,0.0,0.0,-1364.7431,-11421.5803,619.978,5618.6123,-3338.324,79.94282904,-2060.767899999999,-3258.38117096,-5319.149070959999
9,557.3779,1459.9458,2334.1206,0.0,0.0,0.0,-1347.4973,-11445.4837,628.8556,5672.0981,-3352.572,83.8685412,-2140.5830000000005,-3268.7034588,-5409.2864588
10,609.2199,1601.1439,2320.963,0.0,0.0,0.0,-1352.4504,-11318.5647,601.7391,5593.1669,-3397.0768,83.47005504,-1944.7822999999999,-3313.60674496,-5258.389044959999
11,560.774,1527.0891,2281.5823,0.0,0.0,0.0,-1342.5506,-11574.6206,637.0755,5704.4367,-3286.1953,82.58754816,-2206.2136,-3203.6077518399998,-5409.821351840001
12,571.9893,1527.7959,2328.6701,0.0,0.0,0.0,-1351.1096,-11448.2343,611.7875,5685.1639,-3358.1328,81.83722392,-2073.9372000000003,-3276.29557608,-5350.23277608
13,560.3242,1583.5191,2339.9181,0.0,0.0,0.0,-1319.2402,-11443.2042,643.8477,5655.5498,-3359.4983,84.61106136,-1979.2855000000009,-3274.8872386400003,-5254.172738640001
14,577.6285,1568.9305,2320.3497,0.0,0.0,0.0,-1368.5971,-11449.264,609.7759,5662.7326,-3335.7974,84.4075044,-2078.4438999999984,-3251.3898956,-5329.833795599998
15,574.9435,1537.063,2335.7057,0.0,0.0,0.0,-1337.755,-11435.2801,613.0633,5629.305,-3364.367,83.44596168,-2082.954599999999,-3280.92103832,-5363.875638319999
16,568.3646,1532.005,2331.5429,0.0,0.0,0.0,-1318.1882,-11608.0216,615.1869,5729.167,-3268.9708,85.72678848,-2149.9434,-3183.24401152,-5333.18741152
17,607.2422,1524.0585,2300.9176,0.0,0.0,0.0,-1335.7182,-11394.1185,623.0476,5623.0599,-3373.345,83.93419872,-2051.5108999999993,-3289.4108012799998,-5340.921701279999
18,591.0497,1541.3973,2316.0049,0.0,0.0,0.0,-1349.4636,-11455.8047,603.1477,5678.3441,-3370.807,84.93228504,-2075.3246,-3285.87471496,-5361.199314959999
19,571.0846,1532.0153,2335.268,0.0,0.0,0.0,-1334.9413,-11518.7064,619.2832,5737.7314,-3368.3829,83.8006632,-2058.265199999999,-3284.5822368,-5342.847436799999
20,567.2082,1560.6551,2326.6951,0.0,0.0,0.0,-1346.3459,-11462.5848,607.0359,5692.3431,-3366.1783,83.4048216,-2054.993300000001,-3282.7734784,-5337.766778400001
21,596.9697,1517.5862,2323.6067,0.0,0.0,0.0,-1360.3263,-11445.5079,618.7278,5681.3977,-3389.803,84.3572664,-2067.5461000000014,-3305.4457336,-5372.991833600001
22,567.5252,1531.0242,2330.4874,0.0,0.0,0.0,-1349.9655,-11297.0416,618.5186,5615.9919,-3463.714,83.14451496,-1983.4598000000005,-3380.56948504,-5364.02928504
23,624.6936,1511.7615,2303.0116,0.0,0.0,0.0,-1329.0908,-11470.6685,615.0398,5632.4317,-3338.1504,83.42082792,-2112.8211,-3254.72957208,-5367.5506720799995
24,591.1553,1459.0692,2307.9063,0.0,0.0,0.0,-1342.7862,-11370.1196,619.731,5676.3996,-3439.3795,82.51140672,-2058.6444,-3356.86809328,-5415.51249328
25,613.6588,1554.1573,2323.5348,0.0,0.0,0.0,-1367.844,-11378.3496,595.5495,5634.186,-3384.9991,82.39683888,-2025.1072000000013,-3302.60226112,-5327.709461120001
26,581.4288,1517.2221,2304.593,0.0,0.0,0.0,-1357.2167,-11392.3727,623.0499,5744.8593,-3431.0549,84.24786528,-1978.4362999999994,-3346.80703472,-5325.243334719999
27,582.9487,1465.1249,2322.3198,0.0,0.0,0.0,-1328.3499,-11469.7299,611.2808,5743.3834,-3384.6676,84.28665455999999,-2073.0221999999985,-3300.3809454400002,-5373.403145439998
28,570.3724,1536.3799,2305.9153,0.0,0.0,0.0,-1338.1638,-11424.6806,640.073,5663.3179,-3350.9326,82.74527136,-2046.785899999999,-3268.18732864,-5314.973228639999
29,551.0925,1573.7504,2311.7069,0.0,0.0,0.0,-1357.5418,-11344.2305,612.6314,5636.7755,-3437.5389,84.5314956,-2015.8156,-3353.0074044,-5368.823004399999
30,575.2677,1526.1626,2301.9746,0.0,0.0,0.0,-1339.9719,-11373.4598,629.2667,5644.7545,-3419.5958,84.5357112,-2036.0056000000013,-3335.0600888,-5371.065688800001
31,581.3916,1585.3826,2314.724,0.0,0.0,0.0,-1331.5142,-11408.9462,611.2699,5646.804,-3439.0165,83.3841288,-2000.8882999999996,-3355.6323712000003,-5356.5206712
32,555.8849,1534.0909,2322.6123,0.0,0.0,0.0,-1370.8008,-11314.2312,631.3742,5694.9609,-3487.8852,82.63425168,-1946.1088,-3405.25094832,-5351.359748320001
33,545.1103,1497.5379,2318.5791,0.0,0.0,0.0,-1325.5087,-11298.7706,627.7417,5722.7842,-3534.5157,86.6951964,-1912.5260999999991,-3447.8205036,-5360.346603599999
34,597.6598,1514.1651,2311.9556,0.0,0.0,0.0,-1372.9374,-11282.4625,623.854,5672.0425,-3469.3134,82.15347528000001,-1935.7228999999998,-3387.15992472,-5322.88282472
35,559.8991,1519.6037,2317.3491,0.0,0.0,0.0,-1339.2615,-11419.3678,623.2655,5697.2641,-3399.9386,84.14023104,-2041.247800000001,-3315.79836896,-5357.046168960001
36,614.2359,1566.4963,2297.4278,0.0,0.0,0.0,-1364.0319,-11351.2484,615.0833,5669.9981,-3441.1898,83.22830424,-1952.0389000000005,-3357.96149576,-5310.00039576
37,569.3162,1539.7236,2277.3555,0.0,0.0,0.0,-1326.5042,-11380.2427,611.8549,5678.0749,-3419.6295,86.08811328,-2030.421800000002,-3333.54138672,-5363.963186720002
38,579.5081,1532.9849,2289.7866,0.0,0.0,0.0,-1361.3158,-11347.6929,618.2562,5709.3297,-3464.5444,83.56278528,-1979.1432000000004,-3380.9816147200004,-5360.124814720001
39,585.8266,1551.0279,2300.6714,0.0,0.0,0.0,-1337.1616,-11212.8607,609.3612,5665.7525,-3558.0825,86.62925447999999,-1837.3826999999983,-3471.45324552,-5308.835945519999
40,578.8034,1547.8357,2329.9865,0.0,0.0,0.0,-1326.0798,-11322.1382,629.3977,5658.9506,-3463.3844,82.63750248,-1903.2441,-3380.74689752,-5283.99099752
41,551.2764,1538.5712,2351.9182,0.0,0.0,0.0,-1357.2967,-11442.7005,623.552,5723.7573,-3404.5925,81.85229856,-2010.9221000000007,-3322.7402014400004,-5333.66230144
42,532.5094,1538.8708,2320.05,0.0,0.0,0.0,-1334.4403,-11262.5023,631.3618,5651.6736,-3499.5462,86.0579064,-1922.4769999999999,-3413.4882936000004,-5335.965293599999
43,555.075,1541.8416,2342.4161,0.0,0.0,0.0,-1341.7321,-11474.869,625.2201,5737.4749,-3348.5253,82.82776536,-2014.5734000000002,-3265.69753464,-5280.270934640001
44,568.763,1507.8067,2295.6086,0.0,0.0,0.0,-1374.1947,-11380.7096,615.2525,5658.2964,-3386.835,84.14119296,-2109.1771,-3302.69380704,-5411.87090704
45,588.8651,1542.305,2315.4092,0.0,0.0,0.0,-1379.9098,-11335.254,612.3348,5632.0723,-3432.7962,84.69030815999999,-2024.1774000000014,-3348.1058918400004,-5372.283291840001
46,571.6988,1533.5318,2313.7877,0.0,0.0,0.0,-1360.1187,-11381.8496,630.0944,5629.3834,-3350.9595,84.6005832,-2063.472200000001,-3266.3589168,-5329.831116800001
47,609.699,1528.8364,2305.5649,0.0,0.0,0.0,-1340.8116,-11390.6689,618.9297,5643.3775,-3397.4749,84.24222048,-2025.0730000000003,-3313.23267952,-5338.305679520001
