GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,555.174,1488.7865,2312.5613,0.0,0.0,0.0,-1359.5407,-11695.7593,648.1032,5893.6219,-3217.9327,83.6782884,-2157.053100000001,-3134.2544116,-5291.3075116
1,600.1986,1507.6694,2312.4262,0.0,0.0,0.0,-1332.8311,-11608.7954,637.367,5797.4678,-3250.5708,82.59708024,-2086.4975000000013,-3167.9737197599998,-5254.471219760001
2,644.3031,1541.6364,2303.1132,0.0,0.0,0.0,-1361.8944,-11809.255,613.8369,5867.1817,-3124.4852,83.27366568,-2201.078099999998,-3041.2115343200003,-5242.289634319998
3,584.5217,1543.4136,2301.9678,0.0,0.0,0.0,-1309.8024,-11684.9823,642.3202,5868.9969,-3222.7722,87.23686968,-2053.5645000000004,-3135.53533032,-5189.0998303199995
4,608.3593,1570.697,2283.0215,0.0,0.0,0.0,-1322.1089,-11682.144,618.0801,5771.9273,-3168.1507,85.26631536,-2152.1677,-3082.88438464,-5235.05208464
5,599.9184,1550.3017,2303.0033,0.0,0.0,0.0,-1358.5351,-11651.7374,621.0572,5803.9874,-3215.3339,83.38590864,-2132.0045,-3131.9479913600003,-5263.952491360001
6,588.8335,1526.6463,2306.3731,0.0,0.0,0.0,-1345.6283,-11578.6989,615.6396,5830.2309,-3291.6466,84.48946344,-2056.6038,-3207.1571365600003,-5263.76093656
7,576.7245,1531.1914,2299.7104,0.0,0.0,0.0,-1326.9465,-11540.6128,635.0157,5837.3993,-3360.6039,84.33418895999999,-1987.518000000001,-3276.26971104,-5263.787711040001
8,607.4535,1511.9897,2271.2856,0.0,0.0,0.0,-1356.5114,-11538.3669,616.3851,5833.7125,-3346.3711,82.97696232,-2054.0519000000004,-3263.39413768,-5317.446037680001
9,640.8859,1534.5589,2255.374,0.0,0.0,0.0,-1332.8032,-11511.5627,609.8314,5803.8292,-3351.7953,87.32466864,-1999.8864999999996,-3264.4706313600004,-5264.3571313600005
10,592.1807,1491.4791,2310.4264,0.0,0.0,0.0,-1326.8351,-11513.9838,609.9845,5816.0963,-3369.9489,85.85849304,-2020.6518999999998,-3284.0904069599997,-5304.74230696
11,607.1598,1495.7424,2328.179,0.0,0.0,0.0,-1341.7978,-11476.5182,620.6096,5764.3474,-3353.9423,83.10369888,-2002.2778000000008,-3270.83860112,-5273.116401120001
