GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,592.3585,1557.1846,2330.9265,0.0,0.0,0.0,-1354.056,-11382.6029,625.6381,5633.5814,-3373.6561,82.43279711999999,-1996.9697999999999,-3291.22330288,-5288.19310288
1,575.5328,1487.611,2327.294,0.0,0.0,0.0,-1353.6357,-11362.6759,613.7118,5660.8133,-3462.3591,83.87620055999999,-2051.3487000000014,-3378.48289944,-5429.831599440002
2,565.3551,1548.7602,2300.1117,0.0,0.0,0.0,-1378.0352,-11282.1382,621.3859,5690.3609,-3496.2298,84.10913712,-1934.1996000000008,-3412.12066288,-5346.320262880001
3,565.0232,1482.9698,2314.6294,0.0,0.0,0.0,-1314.7156,-11338.9081,612.5494,5675.1873,-3465.7004,85.02343128,-2003.2646000000004,-3380.6769687200003,-5383.94156872
4,609.8956,1531.3794,2292.5706,0.0,0.0,0.0,-1372.2105,-11150.6226,597.3427,5609.0365,-3526.2102,84.44017584,-1882.6082999999999,-3441.77002416,-5324.3783241599995
5,599.71,1496.8859,2301.9305,0.0,0.0,0.0,-1332.967,-11379.5844,627.0358,5684.827,-3426.6652,85.78167336,-2002.1621999999998,-3340.88352664,-5343.04572664
6,533.4237,1516.9803,2306.4069,0.0,0.0,0.0,-1322.6184,-11366.096,630.8353,5667.238,-3436.6503,84.78956376,-2033.8302000000003,-3351.86073624,-5385.690936239999
7,565.0132,1551.8371,2337.2877,0.0,0.0,0.0,-1348.9981,-11468.0702,626.6338,5691.1435,-3334.2434,84.55688136,-2045.1530000000002,-3249.68651864,-5294.839518639999
8,553.473,1561.9173,2324.5759,0.0,0.0,0.0,-1313.2672,-11315.7165,613.6163,5619.1377,-3463.5447,89.4973392,-1956.263500000001,-3374.0473607999998,-5330.310860800001
9,617.4722,1528.634,2282.1884,0.0,0.0,0.0,-1328.4408,-11216.431,613.0166,5686.8183,-3556.0819,85.5586332,-1816.7423000000008,-3470.5232668000003,-5287.265566800001
10,562.0878,1547.4567,2308.7822,0.0,0.0,0.0,-1304.2545,-11310.1633,652.8549,5660.8054,-3472.4298,86.01560856,-1882.430800000001,-3386.4141914399997,-5268.844991440001
11,574.981,1549.9066,2324.6962,0.0,0.0,0.0,-1303.4823,-11228.6499,641.4723,5615.413,-3503.9897,89.60535936,-1825.6630999999998,-3414.38434064,-5240.04744064
12,592.4528,1581.7094,2307.8078,0.0,0.0,0.0,-1338.0961,-11212.085,605.1063,5645.0996,-3556.8459,88.41343824,-1818.0051999999996,-3468.4324617599996,-5286.43766176
13,582.4973,1561.6696,2310.0845,0.0,0.0,0.0,-1333.0963,-11311.7311,614.3253,5629.0596,-3438.1827,87.45070967999999,-1947.191100000001,-3350.73199032,-5297.923090320001
14,613.6805,1540.4002,2285.4523,0.0,0.0,0.0,-1324.8692,-11244.9826,627.9688,5602.1508,-3490.8621,86.78026152,-1900.1992,-3404.08183848,-5304.28103848
15,584.3517,1542.1466,2283.2536,0.0,0.0,0.0,-1337.9071,-11370.0903,607.2743,5653.1961,-3395.9519,84.56204016,-2037.775099999999,-3311.38985984,-5349.164959839999
16,604.9048,1535.0813,2343.3854,0.0,0.0,0.0,-1340.3324,-11330.4682,617.064,5591.5457,-3397.8536,86.31473976,-1978.8193999999994,-3311.53886024,-5290.358260239999
17,601.4083,1513.8352,2304.6803,0.0,0.0,0.0,-1310.6966,-11255.4202,612.8076,5635.5331,-3506.3462,88.0164612,-1897.8523000000005,-3418.3297388,-5316.182038800001
18,596.4842,1513.5604,2319.8775,0.0,0.0,0.0,-1325.5541,-11356.736,632.3858,5650.0897,-3409.8457,87.69810672,-1969.8925000000017,-3322.14759328,-5292.040093280001
19,559.1502,1537.7184,2282.4944,0.0,0.0,0.0,-1318.9391,-11391.8878,647.6295,5687.4351,-3413.1638,83.93811335999999,-1996.399300000001,-3329.22568664,-5325.624986640001
