GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,554.634,1524.1812,2315.3489,0.0,0.0,0.0,-1346.1088,-11549.5361,633.6685,5563.119,-3230.2585,82.92074903999999,-2304.6933,-3147.33775096,-5452.031050959999
1,559.7278,1574.5222,2310.1258,0.0,0.0,0.0,-1405.7018,-11560.6891,615.7573,5531.0991,-3129.9299,79.73802,-2375.1587,-3050.1918800000003,-5425.35058
2,574.656,1512.9433,2278.7841,0.0,0.0,0.0,-1329.7196,-11422.8307,635.6789,5515.6962,-3300.0321,84.61759464,-2234.7918,-3215.41450536,-5450.2063053599995
3,600.9536,1535.092,2313.6911,0.0,0.0,0.0,-1346.7767,-11438.1827,629.9414,5506.7416,-3271.7477,81.91710936,-2198.5396999999984,-3189.83059064,-5388.3702906399985
4,585.8856,1541.5384,2336.5818,0.0,0.0,0.0,-1356.7899,-11454.052,634.6304,5472.24,-3236.3329,81.97330104000001,-2239.9657000000007,-3154.35959896,-5394.3252989600005
5,573.2716,1516.7346,2328.0978,0.0,0.0,0.0,-1350.6652,-11439.0126,638.2427,5454.8792,-3254.5079,83.46567816,-2278.4519,-3171.04222184,-5449.494121840001
6,550.1951,1593.9267,2274.1714,0.0,0.0,0.0,-1324.9397,-11531.4983,635.6071,5501.5937,-3212.4726,85.45605336,-2300.9439999999977,-3127.01654664,-5427.960546639998
7,624.7171,1507.0198,2307.0116,0.0,0.0,0.0,-1375.1316,-11422.7803,628.7638,5494.2048,-3290.8503,83.05590888,-2236.194800000001,-3207.79439112,-5443.989191120001
8,565.0402,1535.7101,2309.7134,0.0,0.0,0.0,-1355.6733,-11475.5646,625.2566,5473.9764,-3214.0613,81.39587112,-2321.5412000000006,-3132.66542888,-5454.206628880001
9,587.3549,1517.9102,2300.8806,0.0,0.0,0.0,-1354.9654,-11360.069,618.0927,5443.8495,-3319.6046,84.16089576,-2246.946499999999,-3235.44370424,-5482.390204239999
10,585.2367,1558.3865,2283.1352,0.0,0.0,0.0,-1338.5313,-11357.5228,617.4978,5494.0794,-3340.898,83.70366551999999,-2157.718500000001,-3257.19433448,-5414.912834480001
11,564.0951,1599.8497,2323.8523,0.0,0.0,0.0,-1358.4166,-11449.7906,626.4567,5478.8961,-3234.8878,82.92134159999999,-2215.0573000000013,-3151.9664584,-5367.023758400001
12,583.395,1551.1097,2297.6551,0.0,0.0,0.0,-1334.7711,-11430.3366,622.5792,5452.3104,-3274.9405,85.79734703999999,-2258.0583000000006,-3189.14315296,-5447.201452960001
13,602.2314,1536.4828,2308.3059,0.0,0.0,0.0,-1363.7335,-11322.9959,628.4459,5429.3747,-3319.8856,85.39903224,-2181.8887000000004,-3234.48656776,-5416.3752677600005
14,596.7118,1540.1451,2286.9088,0.0,0.0,0.0,-1354.782,-11257.2099,613.4545,5434.9635,-3374.5596,86.63570639999999,-2139.8082000000004,-3287.9238936,-5427.7320936
15,584.2589,1590.8426,2275.4872,0.0,0.0,0.0,-1337.8089,-11401.6868,628.4319,5461.6349,-3273.2936,83.02806432,-2198.8401999999996,-3190.26553568,-5389.105735679999
16,581.3364,1546.0424,2298.4795,0.0,0.0,0.0,-1355.698,-11309.1509,615.8292,5422.8738,-3349.2731,84.29432616,-2200.2876000000006,-3264.97877384,-5465.26637384
