GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,615.3149,1545.7644,2294.6512,0.0,0.0,0.0,-1321.0372,-11464.833,599.7647,5782.1253,-3419.735,85.18405752,-1948.2497000000003,-3334.5509424800002,-5282.8006424800005
1,592.726,1580.2055,2307.5985,0.0,0.0,0.0,-1314.4452,-11515.3287,607.7366,5785.2164,-3420.4342,85.65831072,-1956.290899999999,-3334.7758892800002,-5291.066789279999
2,580.4862,1538.7668,2325.7995,0.0,0.0,0.0,-1354.0226,-11488.0984,613.6166,5835.7365,-3459.6864,84.47352479999999,-1947.715400000001,-3375.2128752,-5322.928275200002
3,564.896,1570.3686,2316.9935,0.0,0.0,0.0,-1362.4209,-11478.8554,620.3811,5853.3605,-3501.783,84.57121007999999,-1915.276600000001,-3417.21178992,-5332.48838992
4,589.3537,1523.9018,2316.6134,0.0,0.0,0.0,-1335.8282,-11550.8682,618.4816,5873.9657,-3431.3805,85.13901864,-1964.3801999999996,-3346.2414813600003,-5310.6216813599995
5,593.5167,1506.2728,2320.1217,0.0,0.0,0.0,-1348.3724,-11526.5296,617.7401,5789.6237,-3411.085,81.48486312,-2047.6269999999995,-3329.60013688,-5377.227136879999
6,585.6166,1491.946,2350.7817,0.0,0.0,0.0,-1313.2806,-11544.9915,615.7335,5813.911,-3396.5699,84.05886456,-2000.283300000001,-3312.51103544,-5312.794335440001
7,616.9582,1539.1658,2337.5482,0.0,0.0,0.0,-1333.8695,-11559.7531,602.7202,5840.0988,-3429.6891,83.94336503999999,-1957.1314000000002,-3345.74573496,-5302.87713496
8,583.8946,1485.2709,2311.4761,0.0,0.0,0.0,-1308.8312,-11601.3148,628.225,5806.9544,-3342.2523,84.74836103999999,-2094.325,-3257.50393896,-5351.8289389599995
9,597.2057,1512.9953,2303.727,0.0,0.0,0.0,-1354.3151,-11614.5978,618.7746,5897.2675,-3400.2534,82.1606796,-2038.9427999999998,-3318.0927204,-5357.035520400001
10,560.8582,1547.7077,2291.8813,0.0,0.0,0.0,-1360.5895,-11553.5479,627.8956,5818.17,-3375.1968,83.28491856,-2067.624599999999,-3291.9118814400003,-5359.536481439999
11,569.8746,1482.5915,2316.8585,0.0,0.0,0.0,-1342.3684,-11521.6452,615.5086,5831.8827,-3408.7541,82.57424904,-2047.297700000002,-3326.1798509600003,-5373.477550960002
12,584.4166,1466.0803,2311.2561,0.0,0.0,0.0,-1327.7839,-11475.7004,604.1509,5837.1525,-3466.8981,85.22976096,-2000.4278999999997,-3381.66833904,-5382.096239039999
13,573.9133,1467.5434,2330.0361,0.0,0.0,0.0,-1326.1188,-11545.1034,638.4544,5878.248,-3446.9833,84.18868416,-1983.027000000001,-3362.79461584,-5345.821615840001
14,570.9946,1532.1086,2316.2446,0.0,0.0,0.0,-1377.4627,-11595.1827,615.184,5800.611,-3332.438,80.84694744000001,-2137.5026,-3251.59105256,-5389.09365256
15,613.4256,1509.5785,2336.605,0.0,0.0,0.0,-1368.3198,-11564.5169,607.352,5790.9788,-3353.76,82.30073688,-2074.8968000000023,-3271.4592631200003,-5346.356063120003
16,636.5581,1562.501,2316.6896,0.0,0.0,0.0,-1332.4296,-11470.3129,612.2757,5792.9266,-3434.0103,84.69838656,-1881.7915000000003,-3349.31191344,-5231.103413440001
17,602.4411,1495.0398,2316.3411,0.0,0.0,0.0,-1331.3199,-11472.0631,624.2037,5821.5032,-3467.4532,84.00994847999999,-1943.8540999999996,-3383.44325152,-5327.297351519999
18,576.88,1539.1554,2306.7985,0.0,0.0,0.0,-1347.7552,-11556.603,634.7897,5797.0702,-3368.4619,82.64121551999999,-2049.6643999999987,-3285.8206844799997,-5335.4850844799985
19,623.6925,1521.5812,2319.2086,0.0,0.0,0.0,-1369.1456,-11512.4873,596.5873,5827.4054,-3434.3044,80.53965504,-1993.157900000001,-3353.76474496,-5346.922644960001
20,553.589,1544.1512,2298.0673,0.0,0.0,0.0,-1372.9468,-11512.1702,623.5196,5800.2403,-3417.0058,80.5074552,-2065.5495999999994,-3336.4983448,-5402.0479448
21,576.1593,1529.0653,2302.7253,0.0,0.0,0.0,-1385.4172,-11504.6781,624.6275,5820.2703,-3425.8045,82.43892287999999,-2037.2475999999988,-3343.36557712,-5380.613177119999
22,579.1509,1579.7924,2303.1146,0.0,0.0,0.0,-1353.1987,-11422.5738,596.7781,5735.6193,-3464.7744,83.86420392,-1981.3171999999995,-3380.91019608,-5362.227396079999
23,597.4116,1545.9192,2310.9192,0.0,0.0,0.0,-1348.5795,-11427.8959,618.1823,5806.9503,-3487.479,83.44673856,-1897.0927999999985,-3404.0322614399997,-5301.125061439998
24,578.032,1524.4848,2330.8148,0.0,0.0,0.0,-1315.3437,-11389.6078,610.7849,5798.6585,-3544.8531,84.49400664000001,-1862.1765000000005,-3460.35909336,-5322.535593359999
25,565.3166,1503.2559,2333.8587,0.0,0.0,0.0,-1338.9407,-11431.3479,623.1089,5858.9903,-3566.1889,83.49938207999999,-1885.7582000000002,-3482.68951792,-5368.44771792
26,549.2017,1522.7921,2304.6239,0.0,0.0,0.0,-1320.2987,-11583.5574,621.9309,5860.1053,-3445.3435,84.57573672,-2045.2021999999997,-3360.76776328,-5405.969963279999
27,578.2808,1474.6174,2311.9089,0.0,0.0,0.0,-1330.3936,-11541.0907,620.5199,5871.9361,-3448.0055,83.20316472,-2014.2212000000018,-3364.80233528,-5379.023535280002
28,575.3751,1561.1276,2311.7563,0.0,0.0,0.0,-1332.5045,-11435.3192,635.164,5839.4775,-3520.2495,85.87122047999999,-1844.9231999999993,-3434.37827952,-5279.301479519999
29,561.0798,1512.6728,2322.1854,0.0,0.0,0.0,-1324.0045,-11464.819,623.9642,5880.2267,-3528.3682,84.28157712000001,-1888.6945999999998,-3444.08662288,-5332.781222879999
30,571.326,1519.7339,2320.7968,0.0,0.0,0.0,-1333.3729,-11578.4021,624.2225,5840.6117,-3391.2286,83.14339464,-2035.0840999999991,-3308.08520536,-5343.169305359998
31,591.8679,1557.0899,2335.1346,0.0,0.0,0.0,-1350.9612,-11456.0414,603.2378,5783.8128,-3467.292,82.17975672,-1935.8596000000007,-3385.11224328,-5320.971843280001
32,603.1904,1476.7618,2326.1602,0.0,0.0,0.0,-1354.2804,-11488.5744,618.6546,5829.0085,-3476.9335,83.58062904,-1989.0792999999994,-3393.35287096,-5382.43217096
33,574.3092,1534.9448,2320.5481,0.0,0.0,0.0,-1337.6779,-11577.9643,615.4304,5851.8876,-3406.3883,83.2464144,-2018.5220999999992,-3323.1418856,-5341.663985599999
34,599.0073,1544.3865,2330.942,0.0,0.0,0.0,-1334.9433,-11557.1525,625.4959,5811.0972,-3399.9109,85.12081199999999,-1981.1669000000002,-3314.7900879999997,-5295.956988
35,583.384,1528.3788,2333.9771,0.0,0.0,0.0,-1341.3818,-11561.52,631.0758,5874.2288,-3444.3737,86.83383312,-1951.8572999999997,-3357.5398668800003,-5309.3971668799995
36,591.4671,1602.8772,2318.0511,0.0,0.0,0.0,-1343.177,-11540.3501,603.2159,5848.2175,-3425.6446,85.40691912,-1919.6983,-3340.23768088,-5259.93598088
37,602.4297,1472.0903,2329.4976,0.0,0.0,0.0,-1345.2225,-11449.411,616.7128,5848.1135,-3514.7471,84.16955376,-1925.7896,-3430.57754624,-5356.367146240001
