GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,592.3821,1496.8196,2309.2037,0.0,0.0,0.0,-1364.9089,-11551.1415,633.5018,5794.353,-3225.6371,82.09648727999999,-2089.7902000000004,-3143.54061272,-5233.330812720001
1,604.6106,1513.0834,2306.6638,0.0,0.0,0.0,-1335.9071,-11599.8447,615.1357,5792.6088,-3218.1574,85.0315176,-2103.6495000000004,-3133.1258824,-5236.7753824
2,581.6009,1572.6537,2307.1945,0.0,0.0,0.0,-1382.8558,-11602.2132,617.4903,5791.2122,-3216.0849,82.06923311999999,-2114.917400000001,-3134.01566688,-5248.933066880001
3,606.8523,1508.5981,2292.3143,0.0,0.0,0.0,-1371.9716,-11437.6861,628.8543,5830.9597,-3392.996,85.22660087999999,-1942.0789999999997,-3307.76939912,-5249.84839912
4,593.99,1553.7254,2325.1247,0.0,0.0,0.0,-1347.8544,-11477.3357,619.2993,5784.7615,-3360.5348,84.52171367999999,-1948.289200000001,-3276.0130863199997,-5224.30228632
5,566.9803,1547.9935,2292.0858,0.0,0.0,0.0,-1355.6363,-11492.7696,615.1989,5817.4381,-3332.494,82.97946719999999,-2008.7092999999986,-3249.5145328000003,-5258.223832799999
6,611.7627,1476.8672,2337.6563,0.0,0.0,0.0,-1335.6851,-11602.783,608.2539,5802.216,-3246.497,82.48841856,-2101.7119999999995,-3164.00858144,-5265.720581439999
7,589.9959,1511.4341,2295.7116,0.0,0.0,0.0,-1334.9152,-11503.1363,619.0526,5873.0601,-3389.9885,85.94546832,-1948.7972000000009,-3304.04303168,-5252.84023168
8,570.3643,1495.105,2309.3421,0.0,0.0,0.0,-1333.416,-11389.2232,620.9395,5807.947,-3414.0218,86.68795896,-1918.9413000000004,-3327.33384104,-5246.275141040001
9,599.3886,1601.5138,2287.4055,0.0,0.0,0.0,-1347.98,-11396.6848,614.7115,5749.3453,-3397.7276,86.5029924,-1892.3001000000004,-3311.2246076,-5203.5247076000005
10,563.9466,1609.3738,2304.8309,0.0,0.0,0.0,-1357.2835,-11355.2508,606.1939,5771.5968,-3455.1142,85.18047983999999,-1856.5922999999993,-3369.93372016,-5226.5260201599995
