GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,551.7062,1520.169,2307.576,0.0,0.0,0.0,-1352.4174,-11639.5541,622.1249,5847.0034,-3208.6018,83.68738992,-2143.3920000000007,-3124.91441008,-5268.30641008
1,604.2702,1559.2446,2326.9716,0.0,0.0,0.0,-1341.1361,-11807.0856,621.9583,5794.3136,-3051.5767,83.87528112,-2241.4633999999996,-2967.70141888,-5209.16481888
2,618.4757,1578.6691,2300.3295,0.0,0.0,0.0,-1344.153,-11876.9552,601.1867,5743.9398,-2972.3824,82.3305528,-2378.5074000000004,-2890.0518472,-5268.559247200001
3,592.5672,1512.0047,2285.755,0.0,0.0,0.0,-1322.1345,-11809.3919,599.6851,5817.8796,-3114.9802,84.226392,-2323.6348000000007,-3030.753808,-5354.388608000001
4,594.3679,1545.0047,2304.15,0.0,0.0,0.0,-1346.3323,-11779.2787,624.9638,5864.3558,-3148.5148,78.58888848,-2192.7688000000007,-3069.9259115199998,-5262.694711520001
5,597.4458,1547.3349,2310.4963,0.0,0.0,0.0,-1343.715,-11743.3779,621.3091,5838.7124,-3167.5254,83.1857508,-2171.794399999999,-3084.3396492,-5256.134049199999
6,562.0815,1566.0745,2335.3226,0.0,0.0,0.0,-1337.1035,-11810.4524,601.4087,5830.0024,-3118.8083,81.74718936,-2252.6662000000006,-3037.06111064,-5289.727310640001
7,575.7565,1515.9308,2296.7249,0.0,0.0,0.0,-1352.8565,-11848.894,619.8638,5857.3764,-3095.9277,80.94951288,-2336.0981,-3014.9781871200003,-5351.07628712
8,551.7026,1508.4122,2308.3032,0.0,0.0,0.0,-1315.5989,-11750.6997,628.5827,5837.4653,-3156.9656,84.98907144,-2231.8326000000006,-3071.97652856,-5303.809128560001
9,585.8526,1561.1863,2320.199,0.0,0.0,0.0,-1363.9338,-11794.8304,620.9313,5842.4204,-3149.2648,82.45690775999999,-2228.174600000001,-3066.80789224,-5294.982492240001
10,566.3611,1528.9626,2348.3696,0.0,0.0,0.0,-1357.7783,-11764.7518,626.4629,5843.2033,-3152.8913,80.93899584,-2209.1706000000004,-3071.9523041599996,-5281.122904160001
11,559.8993,1535.3071,2298.7983,0.0,0.0,0.0,-1351.5406,-11743.9008,624.0085,5791.8573,-3156.1673,82.76765688,-2285.5709000000006,-3073.3996431200003,-5358.970543120001
12,610.0174,1577.6621,2320.6412,0.0,0.0,0.0,-1336.8413,-11822.5326,634.2864,5839.9333,-3102.8688,83.95312824,-2176.8335000000006,-3018.9156717600004,-5195.7491717600005
13,581.5626,1499.9763,2309.1384,0.0,0.0,0.0,-1357.028,-11787.9918,630.3212,5833.9818,-3133.9145,83.9915028,-2290.0395000000008,-3049.9229972,-5339.962497200001
14,597.096,1527.6402,2296.4286,0.0,0.0,0.0,-1314.7784,-11671.4025,624.3026,5761.0046,-3207.5134,85.61697984,-2179.7089000000005,-3121.8964201599997,-5301.605320160001
15,595.1446,1505.5572,2269.3934,0.0,0.0,0.0,-1314.6723,-11700.011,610.0437,5799.7161,-3197.223,85.30907615999999,-2234.828300000001,-3111.91392384,-5346.742223840001
16,588.9813,1541.4797,2312.9375,0.0,0.0,0.0,-1338.7134,-11725.2661,605.0987,5776.7998,-3164.8577,85.23086903999999,-2238.6825,-3079.62683096,-5318.30933096
17,617.8012,1505.5519,2320.1566,0.0,0.0,0.0,-1366.6089,-11676.8907,601.8714,5777.7807,-3186.993,82.23578567999999,-2220.3378000000002,-3104.75721432,-5325.09501432
18,596.8338,1510.9344,2310.5588,0.0,0.0,0.0,-1298.4002,-11728.9273,620.6134,5820.6002,-3187.1516,88.08968159999999,-2167.7869,-3099.0619184,-5266.8488184
19,590.639,1534.1456,2292.7764,0.0,0.0,0.0,-1331.7367,-11761.1031,613.2421,5795.6365,-3154.9003,84.3428808,-2266.4002,-3070.5574192,-5336.9576191999995
20,568.2882,1575.0306,2318.5408,0.0,0.0,0.0,-1339.5594,-11838.5889,615.4428,5819.1453,-3086.5049,81.01282248,-2281.700600000001,-3005.49207752,-5287.192677520001
21,565.4049,1512.7251,2345.9892,0.0,0.0,0.0,-1352.0621,-11799.0542,621.3515,5826.7247,-3110.7405,85.15183752,-2278.920900000001,-3025.58866248,-5304.509562480001
22,579.6567,1514.1867,2303.8201,0.0,0.0,0.0,-1357.1556,-11622.7268,608.8478,5793.1026,-3236.4388,82.34275032,-2180.2685,-3154.09604968,-5334.36454968
23,627.5265,1505.8896,2330.3951,0.0,0.0,0.0,-1347.2101,-11746.8404,606.485,5846.9465,-3170.5391,80.61331968,-2176.8077999999996,-3089.92578032,-5266.733580319999
24,621.1672,1510.2046,2291.5269,0.0,0.0,0.0,-1320.1008,-11752.3221,600.5961,5816.8432,-3137.8428,84.31291295999999,-2232.0849,-3053.5298870399997,-5285.61478704
25,601.1022,1496.1074,2295.7143,0.0,0.0,0.0,-1328.484,-11693.8771,616.7732,5820.7876,-3198.247,84.96606168,-2191.876400000001,-3113.2809383199997,-5305.15733832
26,607.9415,1530.1901,2310.0342,0.0,0.0,0.0,-1352.9668,-11713.8178,621.0799,5863.7325,-3213.1708,83.69110439999999,-2133.8064000000004,-3129.4796956,-5263.2860956
27,592.8277,1558.067,2280.6468,0.0,0.0,0.0,-1350.8808,-11711.3092,628.0947,5783.0425,-3174.5653,81.81836784000001,-2219.5113,-3092.74693216,-5312.25823216
28,589.4758,1596.1943,2298.2281,0.0,0.0,0.0,-1322.4609,-11604.879,616.2511,5756.0505,-3264.0765,84.99370968,-2071.1401000000014,-3179.08279032,-5250.222890320001
29,586.3921,1530.0635,2338.1998,0.0,0.0,0.0,-1314.9352,-11701.7255,611.3881,5829.0876,-3225.7342,84.94208064,-2121.5296000000008,-3140.79211936,-5262.32171936
30,604.1552,1563.4208,2296.748,0.0,0.0,0.0,-1341.127,-11663.9463,640.2635,5786.05,-3192.0577,81.30792744,-2114.4357999999993,-3110.7497725599997,-5225.185572559999
31,585.5771,1561.373,2319.283,0.0,0.0,0.0,-1342.9498,-11756.535,619.9043,5773.3272,-3118.6893,82.93602311999999,-2240.020200000001,-3035.75327688,-5275.773476880001
32,625.5093,1561.7233,2330.6533,0.0,0.0,0.0,-1361.6279,-11639.4049,609.9397,5772.3154,-3245.292,81.50037408,-2100.8917999999994,-3163.79162592,-5264.683425919999
33,607.6589,1501.8961,2304.5121,0.0,0.0,0.0,-1318.4184,-11703.0479,607.8172,5747.516,-3146.5397,82.85536512,-2252.0660000000007,-3063.68433488,-5315.75033488
34,616.1365,1505.3179,2289.8877,0.0,0.0,0.0,-1349.0802,-11713.6356,627.0911,5804.0951,-3175.3707,81.52098840000001,-2220.187500000001,-3093.8497116,-5314.037211600002
35,572.1074,1526.4473,2296.5491,0.0,0.0,0.0,-1353.6779,-11701.8901,616.9435,5778.3889,-3157.4172,79.70633136,-2265.1317999999983,-3077.7108686399997,-5342.842668639998
36,587.4887,1592.3393,2298.4694,0.0,0.0,0.0,-1318.7705,-11718.2836,616.0165,5785.0317,-3195.5649,83.58298272,-2157.7085000000025,-3111.98191728,-5269.690417280002
37,589.5454,1572.762,2293.6297,0.0,0.0,0.0,-1343.5909,-11753.5823,615.0785,5777.2377,-3133.994,81.52516943999998,-2248.9199000000026,-3052.4688305600002,-5301.388730560003
38,586.9942,1511.4684,2271.1504,0.0,0.0,0.0,-1339.6875,-11804.4047,626.3256,5803.896,-3105.4992,82.20617639999999,-2344.2576,-3023.2930236,-5367.5506236
39,578.4426,1533.5608,2326.8362,0.0,0.0,0.0,-1338.5627,-11732.6119,611.2576,5803.349,-3170.6551,83.14830936,-2217.728399999999,-3087.50679064,-5305.235190639999
40,619.4737,1511.4409,2315.2391,0.0,0.0,0.0,-1335.1931,-11695.5594,602.9678,5766.7883,-3150.64,85.20831143999999,-2214.8426999999992,-3065.43168856,-5280.274388559998
41,575.6226,1545.8991,2312.8417,0.0,0.0,0.0,-1348.7946,-11848.5676,615.3472,5877.9948,-3087.8111,84.03866424,-2269.6568000000007,-3003.77243576,-5273.429235760001
42,562.8257,1532.2583,2320.7601,0.0,0.0,0.0,-1358.1423,-11934.3741,624.0225,5851.3557,-3018.3498,81.08905392,-2401.294099999999,-2937.26074608,-5338.554846079999
43,568.1946,1536.0462,2301.6168,0.0,0.0,0.0,-1329.7936,-11787.286,639.6756,5849.2649,-3159.8156,82.93699656,-2222.281500000001,-3076.87860344,-5299.160103440001
44,589.2049,1541.558,2333.2139,0.0,0.0,0.0,-1331.4381,-11746.1475,612.1025,5823.82,-3200.53,83.80480823999999,-2177.6862999999985,-3116.72519176,-5294.411491759998
45,580.0519,1547.8927,2322.8258,0.0,0.0,0.0,-1324.861,-11741.017,602.4487,5788.2865,-3169.8514,84.23123039999999,-2224.3723999999993,-3085.6201696,-5309.9925696
46,593.1635,1510.1556,2302.7724,0.0,0.0,0.0,-1310.2446,-11691.6618,613.6902,5807.6899,-3208.4097,86.3758404,-2174.434799999999,-3122.0338596,-5296.468659599999
47,595.0081,1539.2466,2318.0018,0.0,0.0,0.0,-1303.4188,-11760.5657,617.6303,5789.3916,-3150.0304,85.99946832,-2204.7060999999994,-3064.0309316800003,-5268.737031679999
48,585.4246,1524.3874,2325.0965,0.0,0.0,0.0,-1334.8909,-11805.3385,609.7925,5794.9799,-3097.8701,83.19368159999999,-2300.548500000001,-3014.6764184000003,-5315.224918400001
49,558.2324,1540.7767,2303.3157,0.0,0.0,0.0,-1337.028,-11754.7213,628.3681,5845.3131,-3206.5329,85.72305456,-2215.743299999999,-3120.80984544,-5336.55314544
50,587.2015,1547.0568,2311.495,0.0,0.0,0.0,-1324.2592,-11852.2034,609.3078,5846.8287,-3150.9546,83.41586712,-2274.5728,-3067.53873288,-5342.11153288
51,562.6453,1579.6167,2271.1468,0.0,0.0,0.0,-1335.8702,-11829.4672,631.3142,5894.2546,-3169.8313,83.92244688,-2226.3597999999993,-3085.90885312,-5312.268653119999
52,583.7915,1536.8173,2341.2366,0.0,0.0,0.0,-1350.1444,-11802.3573,613.0094,5802.5274,-3128.6639,82.67142888000001,-2275.119499999999,-3045.99247112,-5321.111971119998
53,603.9676,1520.0217,2300.8293,0.0,0.0,0.0,-1348.196,-11654.1071,641.1106,5813.9857,-3243.8401,85.00493736,-2122.3881999999985,-3158.83516264,-5281.223362639998
54,578.1472,1542.1115,2317.2004,0.0,0.0,0.0,-1316.0038,-11709.1064,596.2712,5802.274,-3225.8933,85.5263664,-2189.1059000000005,-3140.3669336000003,-5329.4728336
55,590.2418,1550.6781,2324.2214,0.0,0.0,0.0,-1351.573,-11692.2624,608.4607,5843.3014,-3242.8165,85.34176488,-2126.9320000000007,-3157.47473512,-5284.406735120001
56,588.3569,1538.8696,2290.9051,0.0,0.0,0.0,-1321.3309,-11762.4072,625.4269,5833.8845,-3197.7138,83.77199928,-2206.2950999999994,-3113.94180072,-5320.236900719999
57,568.0509,1526.1415,2301.4812,0.0,0.0,0.0,-1307.4342,-11763.7953,619.0259,5777.8445,-3141.3374,83.27301336,-2278.6854999999996,-3058.06438664,-5336.74988664
58,620.0848,1478.8246,2317.0365,0.0,0.0,0.0,-1359.3514,-11821.2407,612.2165,5836.5674,-3124.7381,83.01966911999999,-2315.862299999999,-3041.71843088,-5357.5807308799995
59,580.8633,1597.4154,2296.0132,0.0,0.0,0.0,-1345.2147,-11727.0752,629.82,5842.682,-3203.3538,83.0786724,-2125.496,-3120.2751276,-5245.7711276
60,566.0442,1498.1297,2329.5455,0.0,0.0,0.0,-1330.0185,-11773.9599,613.6432,5829.2428,-3166.3811,85.50224928,-2267.3729999999996,-3080.87885072,-5348.25185072
61,575.1962,1530.0899,2319.5254,0.0,0.0,0.0,-1331.759,-11821.0974,633.6776,5813.7378,-3128.5107,84.23244576,-2280.629500000001,-3044.27825424,-5324.907754240001
62,580.0127,1497.4471,2316.6964,0.0,0.0,0.0,-1334.7026,-11870.831,618.5722,5847.0795,-3086.0501,84.46066199999999,-2345.725700000001,-3001.589438,-5347.315138000001
63,541.0014,1535.8027,2323.215,0.0,0.0,0.0,-1340.4511,-11701.1869,647.017,5802.9672,-3212.7594,84.83363856,-2191.6347000000014,-3127.92576144,-5319.560461440002
64,586.4316,1555.7137,2304.9963,0.0,0.0,0.0,-1326.5163,-11761.288,621.2622,5790.5362,-3147.9966,84.5669484,-2228.864300000001,-3063.4296516,-5292.2939516000015
65,573.8218,1595.177,2320.9971,0.0,0.0,0.0,-1327.6385,-11619.9165,611.5288,5797.4078,-3297.6819,88.13285280000001,-2048.6224999999986,-3209.5490472,-5258.171547199999
66,612.2288,1568.4913,2298.3225,0.0,0.0,0.0,-1325.6101,-11840.9873,617.0719,5845.2346,-3132.432,85.68586728,-2225.2483,-3046.74613272,-5271.99443272
67,562.6025,1555.0221,2298.6295,0.0,0.0,0.0,-1320.5833,-11720.8559,612.1936,5860.8616,-3228.8245,87.38425152,-2152.129900000001,-3141.4402484800003,-5293.57014848
68,581.8326,1523.8781,2332.2887,0.0,0.0,0.0,-1305.4353,-11769.9687,614.356,5910.3294,-3252.42,90.27137447999999,-2112.7192000000005,-3162.14862552,-5274.86782552
69,577.2261,1503.7023,2322.253,0.0,0.0,0.0,-1332.1216,-11715.8113,619.4488,5849.8438,-3225.7911,84.3433848,-2175.4589000000005,-3141.4477152,-5316.9066152
70,601.5145,1555.0422,2314.2683,0.0,0.0,0.0,-1300.2871,-11643.8345,607.0903,5823.7474,-3284.6807,85.35547584,-2042.4588999999996,-3199.32522416,-5241.78412416
71,545.4862,1570.9151,2302.6941,0.0,0.0,0.0,-1356.0618,-11651.0077,616.8772,5835.3425,-3266.3642,82.73547287999999,-2135.7544,-3183.62872712,-5319.38312712
72,576.3267,1532.6061,2277.7644,0.0,0.0,0.0,-1296.9355,-11628.9507,642.2035,5835.8,-3310.7797,87.32971511999999,-2061.1854999999987,-3223.44998488,-5284.635484879998
73,555.646,1557.9046,2335.3238,0.0,0.0,0.0,-1318.0298,-11645.6685,610.0756,5852.8313,-3314.0481,85.92519816,-2051.9169999999995,-3228.12290184,-5280.039901839999
74,569.2333,1507.6148,2299.0191,0.0,0.0,0.0,-1305.6972,-11678.3139,619.0632,5878.3849,-3300.0829,86.762952,-2110.6957999999986,-3213.319948,-5324.015747999999
75,561.5362,1553.8036,2294.2488,0.0,0.0,0.0,-1313.386,-11662.6295,605.7116,5829.1042,-3281.7795,86.31950615999999,-2131.611100000001,-3195.45999384,-5327.071093840001
76,582.8983,1509.1204,2280.1107,0.0,0.0,0.0,-1271.9663,-11623.55,622.7454,5848.7535,-3376.8523,91.34853984,-2051.888,-3285.50376016,-5337.39176016
77,607.3095,1595.0702,2306.2732,0.0,0.0,0.0,-1296.8749,-11653.0136,605.4288,5767.2734,-3274.4519,87.9297228,-2068.5334000000003,-3186.5221772,-5255.055577200001
78,600.9259,1545.7146,2321.3229,0.0,0.0,0.0,-1317.1104,-11741.6708,633.6744,5822.3472,-3218.9916,85.097358,-2134.796199999999,-3133.894242,-5268.690441999998
79,586.5736,1526.2282,2268.1296,0.0,0.0,0.0,-1320.9844,-11757.3355,617.7601,5809.397,-3176.8744,86.71250304,-2270.2313999999997,-3090.1618969600004,-5360.393296959999
80,590.3138,1515.1455,2302.4121,0.0,0.0,0.0,-1337.0303,-11760.9086,620.2326,5867.4319,-3219.4386,84.51188207999999,-2202.403000000001,-3134.92671792,-5337.329717920002
81,584.1504,1553.2589,2258.154,0.0,0.0,0.0,-1327.6802,-11776.9651,616.7684,5819.4056,-3148.5461,83.79609048,-2272.9079999999985,-3064.75000952,-5337.658009519999
82,578.8742,1542.3233,2297.3908,0.0,0.0,0.0,-1316.2993,-11727.5807,610.9911,5891.225,-3255.6199,87.01759368,-2123.075599999999,-3168.60230632,-5291.67790632
83,576.5859,1552.3991,2312.2088,0.0,0.0,0.0,-1321.2256,-11603.4753,616.9488,5813.7302,-3336.5371,84.94356816,-2052.828099999999,-3251.59353184,-5304.421631839999
84,624.5565,1550.2257,2306.295,0.0,0.0,0.0,-1319.2668,-11698.811,601.0146,5765.3166,-3210.4491,87.15980592,-2170.669399999999,-3123.2892940799998,-5293.958694079999
85,539.3883,1587.3077,2304.583,0.0,0.0,0.0,-1341.3821,-11775.8676,613.2745,5853.8895,-3170.132,84.08693448,-2218.8066999999983,-3086.04506552,-5304.8517655199985
86,561.0465,1564.8851,2285.1113,0.0,0.0,0.0,-1308.4423,-11807.453,604.4748,5851.261,-3139.3042,85.11429312,-2249.1165999999994,-3054.18990688,-5303.30650688
87,598.3916,1508.7888,2281.0247,0.0,0.0,0.0,-1337.6046,-11671.8831,614.4096,5856.3387,-3273.8847,85.00395599999999,-2150.5342999999984,-3188.880744,-5339.4150439999985
88,598.9348,1516.4973,2294.7444,0.0,0.0,0.0,-1352.9726,-11674.4026,618.2213,5798.0906,-3204.8665,85.40686367999999,-2200.8868,-3119.4596363200003,-5320.34643632
89,629.6268,1549.6283,2305.4761,0.0,0.0,0.0,-1311.754,-11600.5975,607.503,5813.6733,-3311.4442,85.396158,-2006.4439999999986,-3226.048042,-5232.492041999999
90,578.3526,1540.9096,2306.3587,0.0,0.0,0.0,-1309.8736,-11745.4033,610.3378,5862.9744,-3235.6406,86.68011096,-2156.3437999999987,-3148.96048904,-5305.304289039999
91,544.8412,1485.3615,2301.2815,0.0,0.0,0.0,-1343.3708,-11681.9648,640.4796,5838.9278,-3265.8552,82.73544264,-2214.4439999999995,-3183.1197573599998,-5397.56375736
92,570.1469,1563.9333,2333.4865,0.0,0.0,0.0,-1324.3983,-11680.6715,617.4278,5869.3027,-3288.2152,87.02930232,-2050.772600000001,-3201.18589768,-5251.958497680001
93,571.881,1506.7082,2312.3969,0.0,0.0,0.0,-1330.6092,-11490.6499,595.8341,5796.7198,-3378.0623,86.83896168,-2037.7191000000012,-3291.22333832,-5328.942438320002
94,589.2092,1566.9957,2301.2882,0.0,0.0,0.0,-1321.0444,-11564.9735,605.2814,5746.2734,-3286.8944,84.49044768,-2076.9699999999993,-3202.40395232,-5279.373952319999
95,610.3469,1552.9625,2319.9021,0.0,0.0,0.0,-1332.7092,-11706.534,621.7367,5803.0122,-3207.241,83.4455376,-2131.282799999999,-3123.7954624,-5255.078262399999
96,589.7006,1521.3901,2271.4074,0.0,0.0,0.0,-1332.8604,-11549.7769,603.6445,5799.2422,-3310.5821,85.00563,-2097.2524999999996,-3225.57647,-5322.8289700000005
97,566.0856,1533.1591,2299.093,0.0,0.0,0.0,-1337.8202,-11719.9278,625.3588,5852.845,-3216.3564,82.79011872,-2181.2064999999993,-3133.56628128,-5314.772781279999
