GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,577.9302,1573.8958,2287.8496,0.0,0.0,0.0,-1349.163,-11712.9864,639.1808,5871.3843,-3189.401,82.30533192,-2111.9087,-3107.09566808,-5219.00436808
1,591.162,1430.0387,2309.4887,0.0,0.0,0.0,-1336.9577,-11515.357,609.936,5802.0042,-3330.7081,84.23207495999999,-2109.6850999999997,-3246.47602504,-5356.161125039999
2,591.5111,1493.6763,2312.5385,0.0,0.0,0.0,-1342.6258,-11703.521,624.9374,5818.4561,-3197.8165,83.04872112,-2205.027400000001,-3114.7677788799997,-5319.795178880001
3,560.2949,1588.9967,2291.9866,0.0,0.0,0.0,-1357.5838,-11710.3151,640.0039,5825.2527,-3144.7824,82.84457807999999,-2161.3641,-3061.9378219200003,-5223.30192192
4,575.3106,1549.5608,2270.8081,0.0,0.0,0.0,-1321.1404,-11709.7026,607.2273,5834.0259,-3172.2936,84.19771008,-2193.9103000000005,-3088.09588992,-5282.00618992
5,553.4154,1452.2373,2284.9425,0.0,0.0,0.0,-1351.6072,-11813.2578,624.3777,5836.9227,-3074.1295,82.05438312,-2412.969400000001,-2992.07511688,-5405.044516880001
6,580.9756,1528.3534,2282.6181,0.0,0.0,0.0,-1339.0389,-11806.5952,613.8994,5824.5508,-3069.1455,80.726616,-2315.2367999999997,-2988.418884,-5303.655683999999
7,618.7635,1524.5724,2271.0957,0.0,0.0,0.0,-1366.8885,-11784.6417,623.1997,5821.6238,-3080.3743,81.62390736,-2292.2751000000007,-2998.75039264,-5291.02549264
8,569.9736,1551.0663,2312.259,0.0,0.0,0.0,-1363.6566,-11806.0029,603.738,5844.9375,-3094.9282,81.28303632000001,-2287.6850999999997,-3013.6451636799998,-5301.330263679999
9,578.3007,1468.7702,2295.7202,0.0,0.0,0.0,-1340.4038,-11789.1691,616.2789,5842.0062,-3084.7434,81.953442,-2328.496699999999,-3002.789958,-5331.286657999999
10,568.8762,1512.1944,2293.266,0.0,0.0,0.0,-1339.532,-11828.6847,610.6712,5777.2147,-2998.1564,81.19793088,-2405.9941999999983,-2916.95846912,-5322.952669119998
11,576.0711,1551.5655,2311.569,0.0,0.0,0.0,-1356.0503,-11838.9442,616.7852,5833.0841,-3067.0108,80.97208992,-2305.9195999999993,-2986.03871008,-5291.958310079999
12,567.3933,1557.7474,2292.0205,0.0,0.0,0.0,-1374.5284,-11807.3464,626.644,5830.6248,-3082.9611,80.22134232,-2307.4447999999993,-3002.73975768,-5310.18455768
13,594.3175,1477.151,2274.8133,0.0,0.0,0.0,-1314.87,-11793.9802,598.0481,5819.3786,-3092.1976,83.89953791999999,-2345.1417,-3008.29806208,-5353.43976208
14,571.4626,1494.8265,2311.9793,0.0,0.0,0.0,-1353.0583,-11783.1266,620.5315,5834.5989,-3111.8283,81.70900055999999,-2302.7860999999994,-3030.1192994400003,-5332.905399439999
15,569.7861,1492.7612,2285.2632,0.0,0.0,0.0,-1372.1682,-11806.1268,630.88,5845.4356,-3094.1595,81.25403472,-2354.1689000000015,-3012.90546528,-5367.074365280002
16,629.0433,1475.2861,2261.5382,0.0,0.0,0.0,-1342.2137,-11711.3131,615.983,5785.416,-3137.9357,81.52726968,-2286.2601999999997,-3056.40843032,-5342.6686303199995
17,588.2465,1536.8019,2294.1707,0.0,0.0,0.0,-1364.0131,-11648.6823,615.2636,5835.9489,-3231.1451,82.48167647999999,-2142.2637999999997,-3148.6634235200004,-5290.927223520001
18,620.107,1497.3002,2303.6291,0.0,0.0,0.0,-1341.052,-11667.7759,616.6108,5848.7552,-3237.4229,85.23815328,-2122.4256000000005,-3152.18474672,-5274.61034672
19,622.9402,1535.039,2318.1481,0.0,0.0,0.0,-1348.0776,-11803.2393,611.8452,5829.9808,-3121.5987,80.11724328,-2233.3635999999997,-3041.48145672,-5274.845056719999
20,573.5894,1501.1046,2283.3025,0.0,0.0,0.0,-1352.0306,-11755.3884,612.5132,5809.1653,-3114.6708,80.78889816,-2327.7440000000006,-3033.88190184,-5361.625901840001
21,607.0966,1548.3537,2295.4518,0.0,0.0,0.0,-1325.8629,-11708.9933,609.183,5785.2417,-3149.8553,82.575342,-2189.5294000000013,-3067.279958,-5256.809358000001
22,541.9484,1520.2311,2293.8387,0.0,0.0,0.0,-1352.1616,-11696.9167,610.3852,5860.3017,-3220.8909,82.14649992,-2222.373199999999,-3138.7444000799997,-5361.117600079999
