GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,620.6343,1488.5916,2314.3841,0.0,0.0,0.0,-1320.7886,-11465.8403,625.8891,5768.4509,-3453.177,86.03668728,-1968.678899999999,-3367.14031272,-5335.819212719999
1,590.1413,1548.5813,2325.9033,0.0,0.0,0.0,-1342.0988,-11527.1624,600.1737,5759.8542,-3397.3293,85.75037424,-2044.607399999998,-3311.57892576,-5356.186325759998
2,606.9249,1520.3184,2304.4497,0.0,0.0,0.0,-1369.2032,-11452.796,632.4094,5787.0723,-3425.1229,84.0240864,-1970.8244999999988,-3341.0988135999996,-5311.923313599999
3,615.1408,1525.6222,2303.4202,0.0,0.0,0.0,-1382.0941,-11508.6302,619.3328,5789.6028,-3367.1282,83.00090447999999,-2037.6055000000006,-3284.12729552,-5321.732795520001
4,628.0183,1532.3759,2338.1666,0.0,0.0,0.0,-1345.8985,-11414.474,598.937,5765.5497,-3497.6746,83.2031676,-1897.3250000000025,-3414.4714323999997,-5311.796432400003
5,585.3019,1565.1518,2301.1501,0.0,0.0,0.0,-1323.8452,-11695.1323,619.0856,5858.4045,-3307.5144,84.26817504,-2089.8836,-3223.24622496,-5313.12982496
6,585.8586,1510.001,2273.2918,0.0,0.0,0.0,-1343.6778,-11442.7844,604.4331,5743.4725,-3406.1452,82.71016056,-2069.405200000001,-3323.43503944,-5392.840239440001
7,572.6884,1528.0272,2323.7329,0.0,0.0,0.0,-1345.429,-11453.4139,618.1817,5794.6466,-3445.0757,83.60485128,-1961.566099999999,-3361.47084872,-5323.03694872
8,585.7888,1531.3703,2290.3468,0.0,0.0,0.0,-1334.3664,-11647.1934,615.487,5805.057,-3294.4002,84.58815744,-2153.509899999999,-3209.81204256,-5363.321942559999
9,569.1851,1536.2509,2302.2036,0.0,0.0,0.0,-1345.1361,-11409.7438,605.4738,5770.3707,-3470.9249,85.8889404,-1971.3957999999993,-3385.0359596,-5356.431759599999
10,596.3666,1532.6816,2319.6214,0.0,0.0,0.0,-1327.5476,-11467.9773,627.356,5779.3058,-3436.6104,85.90539095999999,-1940.1935000000012,-3350.70500904,-5290.898509040001
11,574.3971,1545.2665,2334.5858,0.0,0.0,0.0,-1336.1832,-11559.1761,611.9812,5816.1882,-3376.8862,86.6055528,-2012.9405000000015,-3290.2806471999997,-5303.221147200002
12,592.6194,1603.6514,2301.2833,0.0,0.0,0.0,-1336.7481,-11410.8359,631.0695,5788.7044,-3530.5144,85.75491600000001,-1830.2560000000003,-3444.759484,-5275.0154840000005
13,587.1185,1538.665,2281.8731,0.0,0.0,0.0,-1345.7597,-11585.3054,623.8639,5809.6779,-3334.9585,84.71441448,-2089.8666999999996,-3250.24408552,-5340.110785519999
14,596.4812,1536.5453,2325.4245,0.0,0.0,0.0,-1361.2992,-11592.3066,634.8115,5821.6472,-3352.3264,82.44559296,-2038.6961000000001,-3269.88080704,-5308.57690704
15,559.2782,1477.5091,2298.7747,0.0,0.0,0.0,-1358.0308,-11561.3926,606.7987,5757.0152,-3342.2357,81.90578664,-2220.0474999999997,-3260.3299133600003,-5480.37741336
16,562.09,1564.0646,2313.1538,0.0,0.0,0.0,-1333.9489,-11426.4382,621.3329,5748.7464,-3456.7158,84.3200136,-1950.9994000000015,-3372.3957864,-5323.395186400002
17,593.2579,1503.5105,2290.3535,0.0,0.0,0.0,-1330.6417,-11468.3859,621.4367,5750.9449,-3422.9441,84.55410864,-2039.5240999999987,-3338.3899913600003,-5377.9140913599995
18,541.0356,1512.4462,2322.6479,0.0,0.0,0.0,-1355.2968,-11478.1264,630.702,5788.5388,-3430.6461,84.17069855999999,-2038.0526999999993,-3346.47540144,-5384.528101439999
