GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,535.3722,1504.4014,2322.003,0.0,0.0,0.0,-1368.1792,-11645.9724,635.1487,5771.187,-3172.3748,79.73108423999999,-2246.0393000000004,-3092.64371576,-5338.68301576
1,592.1128,1508.5947,2295.6661,0.0,0.0,0.0,-1355.1423,-11611.9833,625.5046,5801.7508,-3204.9818,83.49081408,-2143.4966000000004,-3121.49098592,-5264.98758592
2,580.0494,1511.0015,2319.859,0.0,0.0,0.0,-1313.3358,-11652.2975,623.275,5776.9152,-3194.3558,83.11524984,-2154.533199999999,-3111.2405501599997,-5265.7737501599995
3,563.4585,1505.3383,2270.2828,0.0,0.0,0.0,-1340.7038,-11614.9524,621.8314,5755.2987,-3198.1708,81.67146335999999,-2239.4465,-3116.49933664,-5355.9458366399995
4,577.1523,1524.5773,2290.0009,0.0,0.0,0.0,-1345.5878,-11574.4994,637.4121,5760.0159,-3237.2879,82.60345512,-2130.9287000000004,-3154.68444488,-5285.61314488
5,582.1871,1507.8229,2334.2332,0.0,0.0,0.0,-1348.7307,-11532.1466,620.7075,5732.9971,-3234.8728,82.77719760000001,-2102.9294999999993,-3152.0956024,-5255.025102399999
6,581.2988,1478.6159,2274.1921,0.0,0.0,0.0,-1346.0507,-11546.4317,625.0558,5742.4262,-3221.1622,82.92958488,-2190.8935999999994,-3138.2326151200004,-5329.12621512
7,601.4301,1497.8454,2269.8284,0.0,0.0,0.0,-1384.1212,-11518.8726,613.5379,5718.8807,-3230.3785,77.24125656000001,-2201.4713,-3153.13724344,-5354.60854344
8,572.9717,1519.4486,2279.4431,0.0,0.0,0.0,-1353.2484,-11480.8154,607.0329,5687.3727,-3246.5115,82.74021768,-2167.7947999999997,-3163.77128232,-5331.5660823200005
9,558.5615,1477.5636,2294.928,0.0,0.0,0.0,-1361.9392,-11587.2188,610.7437,5810.4453,-3237.807,80.39291256,-2196.9159,-3157.41408744,-5354.32998744
10,549.5921,1497.9682,2269.7243,0.0,0.0,0.0,-1340.444,-11555.6215,607.3164,5753.21,-3239.5478,82.9944216,-2218.2545,-3156.5533784,-5374.807878399999
11,605.4995,1478.4684,2315.849,0.0,0.0,0.0,-1347.3202,-11631.4982,633.011,5807.3166,-3237.6962,82.008972,-2138.6739,-3155.687228,-5294.3611280000005
12,574.9592,1509.8367,2289.3088,0.0,0.0,0.0,-1366.8446,-11545.5925,618.5146,5723.5736,-3224.2893,80.36987832,-2196.244200000001,-3143.9194216799997,-5340.163621680002
13,594.4708,1541.1982,2259.8523,0.0,0.0,0.0,-1320.8592,-11558.4855,609.2392,5684.2438,-3218.31,83.91467376,-2190.340400000001,-3134.39532624,-5324.73572624
14,564.8511,1516.734,2289.5505,0.0,0.0,0.0,-1310.1082,-11506.4259,622.6056,5723.1302,-3294.353,84.64644,-2099.6627,-3209.70656,-5309.3692599999995
15,563.4363,1465.6412,2266.2396,0.0,0.0,0.0,-1335.7332,-11595.5917,634.0327,5798.7056,-3205.2705,83.03551992,-2203.2694999999994,-3122.2349800800002,-5325.504480079999
16,582.3319,1529.9011,2279.5664,0.0,0.0,0.0,-1331.2096,-11600.1263,611.1838,5738.9009,-3207.6669,84.5363484,-2189.4518000000007,-3123.1305516,-5312.582351600001
17,602.5036,1516.0183,2301.1687,0.0,0.0,0.0,-1297.7393,-11565.8866,630.1654,5757.2735,-3289.6476,86.09067431999999,-2056.496400000001,-3203.55692568,-5260.05332568
18,614.2638,1491.9304,2310.1356,0.0,0.0,0.0,-1349.2757,-11602.2067,610.1263,5724.6086,-3209.6138,81.95015952,-2200.417700000002,-3127.66364048,-5328.081340480002
19,599.0297,1568.223,2285.0915,0.0,0.0,0.0,-1305.0099,-11443.2483,609.4132,5721.7549,-3349.3797,86.24888928,-1964.7459000000008,-3263.1308107199998,-5227.876710720001
20,552.685,1484.7651,2305.1251,0.0,0.0,0.0,-1348.21,-11488.4376,615.6488,5775.2856,-3328.9001,82.97293608,-2103.137999999999,-3245.9271639199997,-5349.065163919999
