GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,559.7747,1562.2832,2318.8778,0.0,0.0,0.0,-1345.8019,-11510.7985,607.8079,5741.7237,-3291.1391,84.55797792,-2066.133100000002,-3206.5811220799997,-5272.7142220800015
1,572.9808,1579.9962,2285.2187,0.0,0.0,0.0,-1355.862,-11669.7723,622.5591,5730.3735,-3145.7544,81.67831992,-2234.506000000001,-3064.07608008,-5298.582080080001
2,531.9356,1544.0752,2309.6652,0.0,0.0,0.0,-1345.9415,-11676.8987,614.4849,5796.2531,-3197.6745,83.36588256,-2226.426199999999,-3114.30861744,-5340.7348174399995
3,571.7438,1527.3811,2310.5865,0.0,0.0,0.0,-1349.4848,-11574.106,626.6056,5724.1076,-3230.7337,83.48209920000001,-2163.1661999999997,-3147.2516008000002,-5310.4178008
4,547.9849,1511.4308,2310.8849,0.0,0.0,0.0,-1356.632,-11622.6929,630.9777,5756.3673,-3216.4836,82.37695464000001,-2221.679299999999,-3134.10664536,-5355.7859453599995
5,596.8129,1458.09,2305.7782,0.0,0.0,0.0,-1358.6294,-11647.4054,635.6814,5750.3896,-3186.309,81.5713056,-2259.282699999999,-3104.7376944000002,-5364.020394399999
6,592.5009,1518.4764,2351.8071,0.0,0.0,0.0,-1356.4126,-11536.2397,619.166,5712.9863,-3254.843,84.0281184,-2097.7155999999995,-3170.8148816,-5268.5304816
7,608.8441,1567.8163,2290.0312,0.0,0.0,0.0,-1347.2981,-11583.3348,612.2816,5718.1257,-3242.6533,84.14665488,-2133.5340000000006,-3158.50664512,-5292.040645120001
8,558.5915,1564.275,2302.6261,0.0,0.0,0.0,-1364.1649,-11564.101,634.6245,5748.4848,-3265.2213,80.63797824,-2119.6640000000007,-3184.58332176,-5304.247321760001
9,570.8239,1572.6181,2294.1679,0.0,0.0,0.0,-1359.9809,-11435.3533,615.6559,5688.0052,-3343.7865,80.21640672000001,-2054.0632000000023,-3263.57009328,-5317.633293280002
10,566.0427,1533.9724,2313.66,0.0,0.0,0.0,-1367.5108,-11504.4779,624.3093,5699.6543,-3290.213,81.68454648,-2134.3499999999995,-3208.5284535200003,-5342.87845352
11,609.0955,1548.8258,2301.046,0.0,0.0,0.0,-1329.626,-11476.6631,630.8152,5704.3675,-3331.7185,82.39430016,-2012.1390999999994,-3249.32419984,-5261.463299839999
12,564.451,1526.7895,2300.5789,0.0,0.0,0.0,-1356.3747,-11597.211,623.066,5733.9211,-3262.9205,82.20519288,-2204.7792,-3180.71530712,-5385.49450712
13,586.7962,1560.8548,2307.0128,0.0,0.0,0.0,-1338.994,-11586.9693,606.52,5707.4252,-3233.259,83.96984952,-2157.354300000001,-3149.28915048,-5306.643450480001
14,606.8134,1531.8833,2300.626,0.0,0.0,0.0,-1365.0972,-11490.5232,603.9917,5706.7775,-3303.7933,81.13839552,-2105.5284999999985,-3222.65490448,-5328.183404479998
15,554.9704,1517.517,2296.5221,0.0,0.0,0.0,-1335.1102,-11519.1378,606.9505,5757.1327,-3348.4984,83.85100488,-2121.1552999999994,-3264.64739512,-5385.802695119999
16,617.6374,1527.9103,2285.7442,0.0,0.0,0.0,-1330.3191,-11457.7087,609.6076,5673.6376,-3314.2574,84.81232728,-2073.4906999999994,-3229.44507272,-5302.935772719999
