GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,588.9783,1541.7831,2322.8321,0.0,0.0,0.0,-1370.6685,-11688.6238,615.4916,5788.1936,-3126.0501,83.24296559999999,-2202.0135999999984,-3042.8071344,-5244.820734399998
1,598.6699,1564.4335,2294.3006,0.0,0.0,0.0,-1326.4192,-11713.8875,630.1529,5772.891,-3113.6754,83.05048584,-2179.858800000001,-3030.62491416,-5210.483714160001
2,565.5453,1483.0792,2300.8004,0.0,0.0,0.0,-1322.2377,-11669.664,635.1334,5798.7591,-3157.5312,83.20003344,-2208.5843000000004,-3074.33116656,-5282.91546656
3,592.6556,1510.2667,2308.0908,0.0,0.0,0.0,-1351.4624,-11654.5007,602.5065,5780.9044,-3152.794,81.41967576,-2211.539100000001,-3071.37432424,-5282.9134242400005
4,595.116,1557.4889,2296.4948,0.0,0.0,0.0,-1333.2913,-11619.6907,621.7824,5752.9015,-3181.3397,83.24897112,-2129.1983999999975,-3098.09072888,-5227.289128879998
5,584.0991,1573.543,2289.7147,0.0,0.0,0.0,-1326.3827,-11695.0281,596.0074,5778.7438,-3158.412,84.20888952,-2199.3027999999995,-3074.20311048,-5273.505910479999
6,579.1559,1528.4381,2314.175,0.0,0.0,0.0,-1322.4055,-11665.0696,601.8769,5749.7588,-3146.5033,83.82181175999999,-2214.0703999999996,-3062.68148824,-5276.751888239999
7,608.3505,1564.4823,2322.94,0.0,0.0,0.0,-1310.5753,-11630.2389,607.4305,5780.1262,-3224.9415,87.15554208,-2057.4847,-3137.78595792,-5195.27065792
8,562.3416,1577.0991,2338.4032,0.0,0.0,0.0,-1319.5647,-11626.0933,612.4814,5786.9929,-3236.8705,88.77741191999999,-2068.3397999999997,-3148.09308808,-5216.432888079999
9,592.2537,1519.4602,2319.2307,0.0,0.0,0.0,-1293.4451,-11640.247,625.5953,5794.7549,-3252.405,85.90700448,-2082.3972999999996,-3166.49799552,-5248.895295519999
10,566.0406,1481.9316,2305.1804,0.0,0.0,0.0,-1322.2633,-11603.2142,628.9574,5824.4386,-3257.9089,86.96053943999999,-2118.928899999999,-3170.94836056,-5289.87726056
11,615.7811,1518.0163,2328.1278,0.0,0.0,0.0,-1335.9616,-11590.4323,625.1362,5787.9703,-3273.8649,86.1468912,-2051.3622000000014,-3187.7180088,-5239.080208800002
12,554.6546,1505.7774,2315.4731,0.0,0.0,0.0,-1303.6851,-11520.6369,635.2406,5832.8563,-3377.3257,86.96228183999999,-1980.3199999999997,-3290.36341816,-5270.683418159999
13,574.9669,1565.9901,2304.1124,0.0,0.0,0.0,-1298.9724,-11525.9835,595.3978,5820.047,-3373.8534,88.84400328,-1964.4417000000012,-3285.00939672,-5249.451096720001
14,589.0942,1547.2728,2314.7091,0.0,0.0,0.0,-1314.6608,-11547.1131,615.9206,5753.176,-3299.3265,86.07776328,-2041.6011999999992,-3213.24873672,-5254.849936719999
15,594.8025,1544.8417,2341.5136,0.0,0.0,0.0,-1318.9358,-11552.7928,618.4125,5762.3696,-3273.2384,85.24046304,-2009.7886999999992,-3187.99793696,-5197.78663696
16,552.6032,1531.5173,2310.259,0.0,0.0,0.0,-1326.3364,-11577.1037,629.6956,5804.2018,-3291.7784,84.63147624,-2075.163200000001,-3207.14692376,-5282.310123760001
17,582.7717,1518.6308,2309.5945,0.0,0.0,0.0,-1319.2819,-11609.0115,618.7936,5815.4361,-3270.6535,83.80189872,-2083.0666999999994,-3186.85160128,-5269.9183012799995
18,606.3833,1582.7205,2328.1141,0.0,0.0,0.0,-1356.6435,-11608.6175,614.5224,5830.9469,-3275.9432,84.06114624,-2002.573800000001,-3191.88205376,-5194.455853760001
19,542.7919,1564.6119,2331.6419,0.0,0.0,0.0,-1280.4722,-11576.4844,627.5731,5859.4916,-3350.4633,88.18763328,-1930.846199999999,-3262.27566672,-5193.121866719999
20,570.7735,1555.9049,2315.9707,0.0,0.0,0.0,-1323.2599,-11629.7366,622.2368,5860.301,-3294.5824,82.25467992,-2027.8096000000005,-3212.32772008,-5240.13732008
21,621.7426,1473.2289,2297.2776,0.0,0.0,0.0,-1328.9023,-11521.8896,611.8227,5831.6822,-3379.8503,85.64978088000001,-2015.0378999999994,-3294.20051912,-5309.238419119999
22,627.9631,1504.5976,2329.4072,0.0,0.0,0.0,-1357.1366,-11604.0323,620.5301,5880.0458,-3313.4826,85.17030263999999,-1998.625100000001,-3228.31229736,-5226.93739736
23,598.3065,1501.936,2293.7628,0.0,0.0,0.0,-1337.4864,-11585.1319,620.3612,5855.9,-3302.5241,86.20215336,-2052.3518000000013,-3216.32194664,-5268.673746640001
24,604.5368,1571.8129,2355.6786,0.0,0.0,0.0,-1363.7965,-11635.6658,617.3197,5802.2289,-3236.106,82.91133288,-2047.885400000001,-3153.1946671200003,-5201.08006712
