GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,648.2275,1513.2123,2276.3859,0.0,0.0,0.0,-1355.1499,-11508.6345,626.1276,5745.1441,-3268.1317,83.41335432,-2054.686999999999,-3184.71834568,-5239.405345679999
1,574.0558,1515.7241,2294.6284,0.0,0.0,0.0,-1332.016,-11589.1877,588.7596,5765.4891,-3230.362,85.3186752,-2182.546700000001,-3145.0433248,-5327.590024800001
2,575.0253,1512.8161,2314.8463,0.0,0.0,0.0,-1346.4238,-11613.5059,631.855,5818.8921,-3235.4246,81.79503624,-2106.4949000000006,-3153.6295637599997,-5260.12446376
3,555.5664,1503.5069,2321.7144,0.0,0.0,0.0,-1332.5357,-11567.954,623.8627,5799.6201,-3262.7097,82.94483304,-2096.2191999999995,-3179.76486696,-5275.984066959999
4,586.1026,1496.3927,2278.7467,0.0,0.0,0.0,-1311.8892,-11515.733,612.7768,5723.56,-3248.2632,85.02277104,-2130.0433999999996,-3163.24042896,-5293.2838289599995
5,561.461,1562.7711,2289.8627,0.0,0.0,0.0,-1319.0372,-11369.4028,622.8942,5740.0101,-3429.8504,86.90034672,-1911.4408999999996,-3342.95005328,-5254.390953279999
6,568.9919,1552.499,2261.2259,0.0,0.0,0.0,-1352.1192,-11518.4402,612.9273,5768.804,-3267.5132,82.97862839999999,-2106.1112999999996,-3184.5345715999997,-5290.6458716
7,603.1601,1539.4113,2311.4869,0.0,0.0,0.0,-1333.0442,-11577.7228,614.4023,5756.6479,-3250.5115,84.25996416,-2085.6584999999995,-3166.25153584,-5251.91003584
8,556.3724,1491.8586,2292.4408,0.0,0.0,0.0,-1335.0538,-11532.9626,621.9116,5766.5849,-3249.5567,84.65538527999999,-2138.8481,-3164.9013147200003,-5303.7494147200005
9,570.8152,1526.9324,2301.7739,0.0,0.0,0.0,-1351.1963,-11524.7599,620.5522,5748.0522,-3257.3773,84.45413592,-2107.8302999999996,-3172.92316408,-5280.7534640799995
10,568.6359,1474.6233,2287.1175,0.0,0.0,0.0,-1347.151,-11526.1941,608.3246,5723.479,-3221.6852,83.88550512,-2211.1648000000014,-3137.79969488,-5348.964494880001
11,612.9778,1482.9031,2269.2199,0.0,0.0,0.0,-1335.0715,-11500.7483,622.7338,5796.5712,-3306.3741,83.079072,-2051.413999999999,-3223.295028,-5274.709027999999
12,571.9888,1479.9285,2308.2031,0.0,0.0,0.0,-1342.0672,-11536.6008,622.3476,5799.4269,-3292.2726,84.0851316,-2096.7730999999994,-3208.1874684,-5304.960568399999
13,553.0662,1467.568,2310.7905,0.0,0.0,0.0,-1330.2954,-11562.7101,617.9977,5806.9476,-3296.4564,83.11611456,-2136.6354999999994,-3213.34028544,-5349.9757854399995
14,560.3875,1518.8269,2285.1347,0.0,0.0,0.0,-1380.6258,-11489.413,628.8065,5736.9642,-3290.3775,81.46865736,-2139.919000000001,-3208.90884264,-5348.82784264
15,580.3442,1532.5385,2275.996,0.0,0.0,0.0,-1358.3867,-11434.5843,607.9922,5814.6572,-3388.4722,83.65155192,-1981.442900000001,-3304.82064808,-5286.263548080001
16,600.0732,1477.3031,2286.1657,0.0,0.0,0.0,-1354.2354,-11397.5762,615.1315,5733.4145,-3353.9349,80.543088,-2039.7236000000003,-3273.3918120000003,-5313.115412
17,586.5995,1528.6805,2296.2798,0.0,0.0,0.0,-1347.8815,-11406.4483,622.0803,5759.4428,-3386.001,83.79701352,-1961.246900000001,-3302.2039864800004,-5263.450886480001
18,571.3728,1522.0612,2289.777,0.0,0.0,0.0,-1342.5862,-11416.3108,622.5464,5768.4223,-3366.3497,83.55938112,-1984.7172999999975,-3282.79031888,-5267.507618879998
19,627.632,1484.5032,2290.743,0.0,0.0,0.0,-1339.7947,-11411.8637,607.1763,5713.1878,-3364.1979,85.25929032,-2028.4160999999995,-3278.93860968,-5307.354709679999
20,613.3573,1492.4548,2277.5068,0.0,0.0,0.0,-1347.5912,-11368.6639,612.6947,5730.7861,-3386.6287,81.14025455999999,-1989.4553999999998,-3305.4884454400003,-5294.94384544
21,601.8834,1462.4721,2280.4116,0.0,0.0,0.0,-1326.4712,-11319.991,605.9945,5720.2149,-3418.4897,85.22098056,-1975.485700000001,-3333.26871944,-5308.754419440002
22,561.2179,1465.9867,2302.4524,0.0,0.0,0.0,-1332.5911,-11376.102,596.8018,5694.9065,-3364.6891,85.69241208,-2087.327800000001,-3278.99668792,-5366.32448792
23,544.9678,1514.3821,2286.1305,0.0,0.0,0.0,-1325.3778,-11332.8647,613.6938,5752.1909,-3435.7203,84.49422623999999,-1946.8774000000003,-3351.22607376,-5298.10347376
24,561.3672,1489.4154,2272.7401,0.0,0.0,0.0,-1329.5513,-11400.1047,617.3989,5755.4985,-3397.4997,83.82742344,-2033.2359000000015,-3313.67227656,-5346.908176560002
25,603.1809,1522.7531,2299.8014,0.0,0.0,0.0,-1326.4989,-11452.8331,615.8288,5729.842,-3368.1424,83.40091848,-2007.925800000001,-3284.74148152,-5292.667281520002
26,557.5642,1507.6691,2266.197,0.0,0.0,0.0,-1366.8193,-11263.5758,622.4145,5732.5484,-3447.1711,81.71119728000001,-1944.001900000002,-3365.45990272,-5309.461802720002
27,567.955,1521.0557,2275.5043,0.0,0.0,0.0,-1369.9608,-11339.4278,622.0979,5722.8185,-3389.7904,83.5428168,-1999.957199999999,-3306.2475832,-5306.204783199999
28,605.0125,1481.4747,2266.846,0.0,0.0,0.0,-1330.5869,-11330.9599,590.06,5708.7065,-3393.7351,87.84798407999999,-2009.4470999999994,-3305.88711592,-5315.334215919999
29,602.3734,1515.0051,2244.1855,0.0,0.0,0.0,-1329.3102,-11323.8868,605.0452,5728.3728,-3410.8924,86.58742752,-1958.2149999999992,-3324.3049724800003,-5282.519972479999
30,612.7107,1469.9553,2286.7261,0.0,0.0,0.0,-1335.2212,-11339.6666,614.6354,5728.6951,-3399.75,83.8431612,-1962.1651999999995,-3315.9068388,-5278.072038799999
31,573.7658,1529.8476,2275.3035,0.0,0.0,0.0,-1336.8662,-11433.1726,609.8548,5698.8453,-3319.0455,83.42277696000001,-2082.4218,-3235.62272304,-5318.04452304
32,549.717,1488.3775,2280.2486,0.0,0.0,0.0,-1312.5949,-11333.817,609.9138,5722.0481,-3450.2641,85.02212736,-1996.1068999999989,-3365.24197264,-5361.348872639999
33,590.1177,1519.8467,2284.553,0.0,0.0,0.0,-1328.0712,-11463.7096,626.8897,5760.0884,-3363.3182,85.08941496,-2010.2853000000005,-3278.2287850400003,-5288.514085040001
34,586.9262,1494.9953,2253.113,0.0,0.0,0.0,-1293.1594,-11290.1137,615.3186,5710.0616,-3487.507,88.46737272,-1922.858400000001,-3399.03962728,-5321.898027280001
35,615.6156,1468.5147,2292.937,0.0,0.0,0.0,-1330.5264,-11326.6788,608.1229,5775.0732,-3444.2909,85.31165591999999,-1896.9417999999996,-3358.97924408,-5255.92104408
36,564.0053,1496.4162,2282.6165,0.0,0.0,0.0,-1339.7055,-11394.9246,621.0046,5758.2953,-3378.0176,86.41232855999999,-2012.2921999999999,-3291.6052714400003,-5303.89747144
37,567.6706,1492.4388,2259.2019,0.0,0.0,0.0,-1335.4723,-11350.5653,615.5105,5734.409,-3414.822,86.20468415999999,-2016.8068000000003,-3328.61731584,-5345.42411584
38,619.0991,1519.9479,2292.8522,0.0,0.0,0.0,-1289.4971,-11352.6851,617.2646,5724.9787,-3423.4218,86.99249447999999,-1868.0397000000012,-3336.42930552,-5204.469005520002
39,606.3632,1503.8437,2301.9274,0.0,0.0,0.0,-1325.5217,-11366.5436,620.7098,5771.8837,-3431.4765,84.76214256,-1887.3375000000005,-3346.71435744,-5234.05185744
40,568.7492,1553.4824,2292.4539,0.0,0.0,0.0,-1350.5418,-11271.695,642.0948,5760.5227,-3486.3066,83.65606704,-1804.9337999999989,-3402.65053296,-5207.584332959998
41,539.823,1512.2902,2282.2103,0.0,0.0,0.0,-1337.693,-11400.4506,626.5812,5783.8876,-3416.4652,85.13247815999999,-1993.3513000000012,-3331.33272184,-5324.684021840001
42,577.5712,1490.4838,2285.5226,0.0,0.0,0.0,-1345.5327,-11383.5916,625.6568,5802.1594,-3419.647,87.24341663999999,-1947.7304999999997,-3332.40358336,-5280.13408336
43,579.3981,1492.3583,2283.2368,0.0,0.0,0.0,-1307.3323,-11318.8691,634.33,5755.8271,-3464.9079,87.84706464,-1881.0510999999988,-3377.06083536,-5258.111935359999
44,552.9845,1559.6636,2306.8487,0.0,0.0,0.0,-1312.1656,-11285.0727,621.6158,5768.9749,-3520.9282,85.2979752,-1787.1508000000003,-3435.6302247999997,-5222.7810248
45,558.8543,1482.6504,2276.7254,0.0,0.0,0.0,-1323.9412,-11433.3398,642.7592,5759.5132,-3354.0496,85.11228648,-2036.7784999999994,-3268.93731352,-5305.715813519999
46,619.2161,1551.546,2280.018,0.0,0.0,0.0,-1312.9836,-11462.1449,612.8663,5727.2061,-3320.5717,85.4426484,-1984.275999999999,-3235.1290516,-5219.405051599999
47,588.62,1597.5317,2274.8339,0.0,0.0,0.0,-1301.4476,-11517.3829,613.4045,5786.305,-3347.4346,86.47984512,-1958.1354000000001,-3260.95475488,-5219.090154879999
