GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,579.7913,1530.9001,2330.1714,0.0,0.0,0.0,-1325.0457,-11422.7131,625.6548,5650.4638,-3355.7121,82.34812079999999,-2030.7774,-3273.3639792000004,-5304.141379199999
1,562.8907,1538.9812,2341.9438,0.0,0.0,0.0,-1362.0645,-11364.002,638.0043,5669.4762,-3396.2939,83.52097488,-1974.7703000000001,-3312.7729251200003,-5287.543225120001
2,588.5601,1572.8085,2315.9001,0.0,0.0,0.0,-1339.2923,-11277.1593,634.9239,5664.7685,-3451.9573,83.76237791999999,-1839.490499999999,-3368.19492208,-5207.685422079999
3,586.4644,1518.8312,2339.3115,0.0,0.0,0.0,-1353.7987,-11415.9048,629.6531,5719.2033,-3367.191,83.17174824,-1976.2400000000025,-3284.01925176,-5260.259251760002
4,582.5953,1585.6898,2301.896,0.0,0.0,0.0,-1339.2789,-11307.171,631.5591,5636.6007,-3406.601,83.80773359999999,-1908.1090000000013,-3322.7932664,-5230.902266400001
5,544.677,1467.2074,2280.6391,0.0,0.0,0.0,-1339.5147,-11332.353,632.7687,5644.7014,-3346.093,85.06145735999999,-2101.8741,-3261.0315426399998,-5362.90564264
6,579.6372,1509.1198,2294.0348,0.0,0.0,0.0,-1309.8663,-11483.9398,634.9835,5695.8847,-3292.7444,83.09328192,-2080.146099999999,-3209.65111808,-5289.79721808
7,561.656,1555.1273,2308.6349,0.0,0.0,0.0,-1329.767,-11284.1746,608.8969,5630.7182,-3449.811,83.0794752,-1948.9083,-3366.7315248,-5315.6398248000005
8,557.1074,1486.1938,2298.0013,0.0,0.0,0.0,-1372.7137,-11428.612,644.2025,5709.1603,-3354.5019,80.68871736,-2106.6603999999998,-3273.8131826400004,-5380.47358264
9,601.8154,1486.224,2316.0065,0.0,0.0,0.0,-1366.7053,-11376.4792,633.666,5701.9639,-3394.8182,81.99553535999999,-2003.5087000000003,-3312.8226646400003,-5316.33136464
10,585.3094,1498.4176,2289.4871,0.0,0.0,0.0,-1346.5823,-11360.4904,628.4321,5668.0408,-3391.0064,83.37038039999999,-2037.3857000000016,-3307.6360196,-5345.021719600002
11,571.4487,1508.8975,2291.9295,0.0,0.0,0.0,-1337.7203,-11362.0708,608.5842,5663.2213,-3410.6351,84.7869336,-2055.7099,-3325.8481664,-5381.558066399999
12,584.8811,1486.3593,2294.6704,0.0,0.0,0.0,-1340.6897,-11396.1625,616.408,5654.803,-3362.3379,82.8741096,-2099.7303999999995,-3279.4637904,-5379.194190399999
13,575.2796,1500.2461,2288.5219,0.0,0.0,0.0,-1362.5372,-11374.1604,624.3406,5651.9719,-3373.4513,81.65969136,-2096.3375000000024,-3291.79160864,-5388.129108640002
