#Frame           gate
       1       2.8073
       2       1.2256
       3       2.6260
       4       4.0017
       5       2.8590
       6       2.1503
       7       3.7538
       8       3.2502
       9       3.7297
      10       3.4776
      11       3.9900
      12       3.4871
      13       4.2522
      14       4.8222
      15       3.7569
      16       3.4735
      17       3.8570
      18       2.8592
      19       2.8043
      20       3.8320
      21       2.8937
      22       2.4717
      23       2.7513
      24       3.0915
      25       5.3606
      26       4.7326
      27       4.0587
      28       4.4081
      29       3.3786
      30       3.5314
      31       3.3057
      32       4.5472
      33       4.4285
      34       4.3423
      35       3.5187
      36       3.3459
      37       4.1456
      38       4.0167
      39       4.4750
      40       3.9188
      41       4.7721
      42       3.6474
      43       3.4761
      44       3.3737
      45       2.4448
      46       2.8524
      47       2.7869
      48       2.8512
      49       2.4377
      50       2.1821
      51       2.8259
      52       1.9394
      53       2.6823
      54       3.2343
      55       3.7181
      56       3.2750
      57       3.5307
      58       4.4857
      59       4.5578
      60       3.8655
      61       4.5914
      62       4.0390
      63       2.9349
      64       3.4420
      65       3.7886
      66       4.3635
      67       4.5369
      68       4.8571
      69       4.2388
      70       3.8327
      71       3.4104
      72       3.7144
      73       2.8828
      74       3.1174
      75       3.6555
      76       3.3545
      77       2.9594
      78       4.0892
      79       3.6756
      80       4.2518
      81       3.3457
      82       3.7466
      83       4.5944
      84       5.4733
      85       5.7019
      86       6.0152
      87       5.7695
      88       5.8063
      89       4.1154
      90       4.4703
      91       3.3167
      92       2.7422
      93       3.4510
      94       2.6848
      95       2.9530
      96       3.0274
      97       2.5347
      98       3.2154
      99       4.3011
     100       3.8709
