#Frame           gate
       1       2.3433
       2       1.1787
       3       1.8124
       4       2.2545
       5       1.3172
       6       1.1742
       7       1.8308
       8       1.7876
       9       2.1175
      10       1.5515
      11       2.1839
      12       2.1675
      13       1.6996
      14       2.4637
      15       1.7523
      16       1.7408
      17       1.8018
      18       1.6911
      19       1.8943
      20       1.4907
      21       1.5320
      22       1.0205
      23       1.1928
      24       1.6018
      25       2.7288
      26       2.1931
      27       1.6938
      28       2.8022
      29       1.8627
      30       2.0625
      31       1.7566
      32       2.4820
      33       2.5485
      34       3.1550
      35       1.8205
      36       1.2713
      37       1.2754
      38       1.7349
      39       1.9374
      40       1.6318
      41       2.0519
      42       1.4719
      43       1.3640
      44       1.5774
      45       1.3417
      46       2.4101
      47       1.8789
      48       2.0682
      49       2.1499
      50       1.7187
      51       1.6709
      52       1.5135
      53       1.5922
      54       1.7907
      55       1.4765
      56       1.4795
      57       1.5444
      58       2.4636
      59       2.3355
      60       1.7136
      61       2.2713
      62       1.7113
      63       1.4969
      64       1.7374
      65       1.4989
      66       1.8477
      67       2.2384
      68       2.0198
      69       1.7710
      70       1.9707
      71       1.6390
      72       2.1434
      73       1.5029
      74       2.2912
      75       2.1155
      76       1.5210
      77       1.3495
      78       1.5981
      79       1.6392
      80       1.5522
      81       1.5436
      82       1.6942
      83       2.2273
      84       3.6338
      85       3.8898
      86       3.6872
      87       3.5906
      88       3.4875
      89       2.9859
      90       3.1678
      91       2.1231
      92       2.0522
      93       2.0625
      94       1.9452
      95       2.2652
      96       1.9132
      97       1.5383
      98       2.0764
      99       2.1494
     100       2.1950
