#Frame          latch
       1       1.6227
       2       1.1642
       3       1.3710
       4       1.3367
       5       1.5181
       6       1.4083
       7       2.2559
       8       1.7092
       9       2.6541
      10       2.5945
      11       2.1655
      12       1.9172
      13       2.8905
      14       3.2342
      15       3.2574
      16       2.2006
      17       2.9624
      18       1.1217
      19       1.9236
      20       4.0110
      21       2.7875
      22       3.3399
      23       3.0841
      24       3.8825
      25       4.2754
      26       4.6683
      27       4.4342
      28       3.3718
      29       3.6062
      30       3.5753
      31       4.1198
      32       4.0734
      33       4.5287
      34       4.2050
      35       4.2429
      36       4.2820
      37       4.7454
      38       4.0499
      39       4.7879
      40       4.4920
      41       4.0098
      42       3.6831
      43       4.0556
      44       2.9825
      45       2.1310
      46       1.4959
      47       2.3802
      48       2.0178
      49       1.3110
      50       2.1038
      51       1.3976
      52       1.4050
      53       1.4514
      54       1.9942
      55       2.9241
      56       2.5859
      57       3.0904
      58       3.1217
      59       3.1677
      60       2.5000
      61       2.1530
      62       2.2899
      63       1.9255
      64       1.7815
      65       2.6399
      66       3.3890
      67       2.9424
      68       3.3006
      69       3.9867
      70       3.6095
      71       3.0917
      72       3.2839
      73       3.5760
      74       2.3884
      75       3.2604
      76       3.5848
      77       4.3009
      78       4.5664
      79       4.0733
      80       4.0642
      81       3.7212
      82       3.9335
      83       4.2534
      84       4.2967
      85       3.8272
      86       3.0473
      87       2.5006
      88       3.7779
      89       3.7527
      90       3.0270
      91       3.0748
      92       3.4832
      93       3.9008
      94       2.5677
      95       3.7335
      96       2.8951
      97       3.4459
      98       2.4017
      99       2.5445
     100       2.6276
