#Frame          latch
       1       0.9978
       2       1.3154
       3       1.0634
       4       1.1423
       5       0.8232
       6       1.0495
       7       0.8717
       8       0.7666
       9       1.0762
      10       1.0489
      11       1.4359
      12       1.1822
      13       1.2158
      14       0.9987
      15       1.2407
      16       0.9805
      17       1.0795
      18       0.8980
      19       1.1191
      20       1.5053
      21       1.4398
      22       1.6371
      23       1.8455
      24       1.9311
      25       1.8322
      26       2.2934
      27       2.1458
      28       2.1564
      29       2.5524
      30       2.1594
      31       2.2349
      32       1.9368
      33       1.8215
      34       2.4670
      35       2.1146
      36       1.8063
      37       1.8633
      38       2.1589
      39       2.3917
      40       2.0576
      41       1.7885
      42       1.0232
      43       1.1031
      44       1.1521
      45       1.0351
      46       1.0048
      47       1.0348
      48       1.0106
      49       1.2314
      50       1.6044
      51       1.1414
      52       1.2788
      53       1.0808
      54       1.0734
      55       1.4289
      56       1.6081
      57       1.7977
      58       1.9065
      59       1.9386
      60       1.1260
      61       1.0890
      62       1.1168
      63       1.1817
      64       1.0663
      65       0.9191
      66       1.1367
      67       1.1182
      68       1.5531
      69       1.5067
      70       1.5653
      71       1.2234
      72       1.1622
      73       1.2671
      74       1.1903
      75       1.1451
      76       1.3316
      77       1.4010
      78       1.2265
      79       1.2038
      80       1.3842
      81       1.7865
      82       2.3910
      83       1.8362
      84       1.7620
      85       1.6001
      86       1.4395
      87       1.6648
      88       2.1467
      89       1.6103
      90       1.8579
      91       1.8064
      92       1.9801
      93       2.2385
      94       1.7950
      95       2.0298
      96       1.8686
      97       2.4610
      98       1.7785
      99       2.4775
     100       1.9616
