#Frame        carboxy
       1       1.6733
       2       1.4243
       3       1.3822
       4       1.1275
       5       0.9525
       6       1.3795
       7       1.0702
       8       1.7261
       9       1.2665
      10       0.8483
      11       1.3939
      12       1.6790
      13       1.1024
      14       0.8771
      15       1.2942
      16       0.9996
      17       1.1161
      18       0.5767
      19       0.3016
      20       1.4668
      21       1.1354
      22       1.1869
      23       0.8276
      24       1.2799
      25       1.3605
      26       0.9522
      27       1.3305
      28       1.3122
      29       1.5957
      30       0.9470
      31       0.9672
      32       0.8933
      33       2.2514
      34       1.1646
      35       1.3883
      36       1.1306
      37       1.1371
      38       0.8094
      39       1.4323
      40       1.2025
      41       1.0960
      42       0.8075
      43       0.9699
      44       0.6742
      45       0.8882
      46       1.4376
      47       0.9938
      48       0.8370
      49       1.0210
      50       1.1980
      51       1.7006
      52       1.1760
      53       1.3276
      54       1.3287
      55       0.8878
      56       1.0489
      57       1.4454
      58       1.2834
      59       1.6650
      60       1.1140
      61       1.2936
      62       1.4312
      63       2.2772
      64       2.8416
      65       2.0400
      66       2.4940
      67       2.7809
      68       3.5703
      69       2.3303
      70       2.8297
      71       3.1690
      72       2.6240
      73       2.7918
      74       2.4559
      75       2.7650
      76       3.2698
      77       2.1664
      78       2.6706
      79       2.3646
      80       2.2575
      81       2.2087
      82       2.1418
      83       3.0586
      84       3.6218
      85       2.4549
      86       2.1154
      87       2.4278
      88       3.0406
      89       3.1889
      90       2.7158
      91       2.9714
      92       3.5128
      93       3.3053
      94       4.0870
      95       3.4384
      96       2.8589
      97       2.8092
      98       3.2216
      99       3.5140
     100       2.9780
