#Frame           ring
       1       1.5838
       2       1.0068
       3       1.4982
       4       1.1905
       5       0.7903
       6       1.1138
       7       1.0651
       8       1.6418
       9       1.1376
      10       0.9479
      11       1.2580
      12       1.4361
      13       0.8594
      14       0.7175
      15       1.0896
      16       0.8877
      17       0.9041
      18       0.9132
      19       0.3732
      20       1.1985
      21       0.9807
      22       1.0353
      23       0.6684
      24       1.1385
      25       1.2493
      26       0.8782
      27       1.1508
      28       0.9411
      29       1.3988
      30       0.8064
      31       0.9422
      32       0.6734
      33       1.7224
      34       1.1281
      35       1.1318
      36       0.9450
      37       0.8289
      38       0.7167
      39       1.1415
      40       0.9821
      41       0.9909
      42       0.7305
      43       0.6989
      44       0.6813
      45       0.7292
      46       1.1416
      47       0.8864
      48       0.7863
      49       1.1333
      50       1.0148
      51       1.4792
      52       0.7515
      53       1.0212
      54       1.3365
      55       1.0460
      56       0.7112
      57       0.8920
      58       1.4584
      59       1.6752
      60       0.7303
      61       0.8841
      62       1.4732
      63       1.4937
      64       1.0663
      65       1.2590
      66       1.1038
      67       1.0618
      68       1.2465
      69       1.4492
      70       1.2477
      71       1.6157
      72       1.6497
      73       1.4379
      74       0.9741
      75       1.3223
      76       1.2885
      77       2.0012
      78       2.3127
      79       2.0978
      80       2.1325
      81       2.5696
      82       2.5689
      83       3.6948
      84       3.8705
      85       3.5054
      86       2.3389
      87       3.0157
      88       3.4989
      89       3.4872
      90       3.1711
      91       3.6301
      92       4.1565
      93       3.9771
      94       4.3137
      95       4.1815
      96       3.9218
      97       3.7478
      98       3.7547
      99       4.0266
     100       3.7931
