#Frame         ligrms
       1       1.5923
       2       1.1187
       3       1.3515
       4       1.2445
       5       1.0512
       6       1.1827
       7       1.0642
       8       1.7486
       9       1.1940
      10       0.9092
      11       1.3490
      12       1.4416
      13       1.1533
      14       0.8082
      15       1.2271
      16       0.9625
      17       1.0141
      18       0.8107
      19       0.4988
      20       1.2833
      21       0.9987
      22       1.1648
      23       0.7574
      24       1.4107
      25       1.2694
      26       1.0850
      27       1.2692
      28       1.1034
      29       1.4918
      30       0.7859
      31       0.9745
      32       0.6951
      33       1.7293
      34       1.1459
      35       1.3223
      36       1.0916
      37       0.9232
      38       0.9442
      39       1.3182
      40       1.1074
      41       0.9733
      42       0.7304
      43       0.8631
      44       0.7033
      45       0.8276
      46       1.2071
      47       0.8415
      48       0.8543
      49       1.1480
      50       0.9695
      51       1.5165
      52       0.9923
      53       1.3076
      54       1.3814
      55       1.0186
      56       0.9250
      57       1.3165
      58       1.5758
      59       2.0075
      60       1.2634
      61       1.6236
      62       2.6331
      63       3.2827
      64       3.2825
      65       2.7559
      66       3.2584
      67       3.4999
      68       3.8092
      69       3.0656
      70       3.2825
      71       3.5742
      72       3.2865
      73       3.5392
      74       2.8736
      75       3.2663
      76       3.6814
      77       3.2201
      78       3.1962
      79       3.2031
      80       3.2118
      81       3.3961
      82       3.3120
      83       4.2171
      84       4.4433
      85       3.9614
      86       3.2873
      87       3.5839
      88       3.9233
      89       4.0228
      90       3.6830
      91       4.0770
      92       4.5351
      93       4.4845
      94       4.8793
      95       4.7370
      96       4.3819
      97       4.1599
      98       4.2346
      99       4.5026
     100       4.1331
