GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,567.8443,1494.7209,2320.0562,0.0,0.0,0.0,-1374.3471,-11693.0771,615.2777,5796.6094,-3135.8065,80.77505472,-2272.9157000000014,-3055.0314452800003,-5327.947145280002
1,592.842,1553.857,2340.5768,0.0,0.0,0.0,-1353.9497,-11784.4394,613.7199,5747.0262,-3035.2819,80.18943264,-2290.3672000000006,-2955.09246736,-5245.459667360001
2,578.5515,1511.9794,2302.5554,0.0,0.0,0.0,-1367.4201,-11658.4362,597.521,5783.54,-3168.0004,80.10971208000001,-2251.7090000000007,-3087.89068792,-5339.599687920001
3,552.9037,1516.4222,2315.099,0.0,0.0,0.0,-1353.0086,-11602.3538,636.6484,5793.1411,-3217.3805,79.14480768,-2141.148,-3138.23569232,-5279.383692320001
4,554.4604,1547.34,2287.822,0.0,0.0,0.0,-1362.8239,-11569.1155,633.9649,5779.1993,-3271.812,80.79831792,-2129.152799999999,-3191.01368208,-5320.166482079999
5,577.5081,1530.5877,2300.7786,0.0,0.0,0.0,-1330.04,-11528.5085,611.4414,5730.5284,-3292.8289,83.52666432,-2107.7043000000003,-3209.30223568,-5317.00653568
6,578.9136,1574.7089,2309.8272,0.0,0.0,0.0,-1358.9518,-11582.3333,628.8917,5728.4569,-3208.8733,80.94854303999999,-2120.4867999999997,-3127.92475696,-5248.41155696
7,623.9475,1513.8473,2296.3144,0.0,0.0,0.0,-1337.396,-11505.0265,616.3304,5794.7498,-3367.0051,85.28374224,-1997.2331000000004,-3281.72135776,-5278.95445776
8,568.7585,1523.093,2282.8642,0.0,0.0,0.0,-1296.032,-11580.9687,624.2856,5819.9358,-3304.9785,85.81059791999999,-2058.0635999999995,-3219.16790208,-5277.23150208
9,576.4564,1477.6276,2325.1882,0.0,0.0,0.0,-1319.6769,-11566.2398,609.7721,5801.3876,-3296.3859,86.03547984,-2095.4848,-3210.3504201600003,-5305.83522016
