GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,564.9032,1545.0137,2283.128,0.0,0.0,0.0,-1347.6287,-11599.554,621.874,5829.9464,-3154.0238,81.91355256,-2102.317400000001,-3072.11024744,-5174.42764744
1,574.4936,1536.3314,2303.8104,0.0,0.0,0.0,-1361.3972,-11620.6084,603.0466,5836.5697,-3121.9026,82.50223967999999,-2127.7539000000015,-3039.40036032,-5167.154260320001
2,590.395,1529.0356,2276.0224,0.0,0.0,0.0,-1347.5409,-11576.7274,603.614,5847.5015,-3189.3517,82.94835599999999,-2077.6998000000003,-3106.4033440000003,-5184.103144000001
3,608.1489,1582.0889,2282.238,0.0,0.0,0.0,-1358.8448,-11720.7082,624.6368,5884.426,-3095.3237,82.07142264,-2098.014399999999,-3013.25227736,-5111.266677359999
4,559.9023,1543.7319,2282.1385,0.0,0.0,0.0,-1393.7536,-11502.0772,602.9938,5844.0872,-3209.2688,84.8444724,-2062.9771,-3124.4243275999997,-5187.4014276
5,615.8866,1507.1724,2301.1092,0.0,0.0,0.0,-1368.1441,-11619.7461,612.4054,5850.4509,-3137.9305,80.89138007999999,-2100.8657000000003,-3057.03911992,-5157.904819920001
6,574.7042,1571.0282,2297.2875,0.0,0.0,0.0,-1356.6983,-11677.9825,622.329,5885.928,-3129.8147,84.35043288,-2083.403900000001,-3045.46426712,-5128.868167120001
7,595.5873,1579.8815,2296.8592,0.0,0.0,0.0,-1390.5618,-11568.7877,613.2994,5833.3851,-3152.7933,82.15233047999999,-2040.3370000000004,-3070.64096952,-5110.97796952
8,567.6622,1533.6841,2300.018,0.0,0.0,0.0,-1376.2632,-11744.6912,630.3582,5935.8485,-3096.5288,83.5661628,-2153.3833999999997,-3012.9626372000002,-5166.3460372
9,580.7956,1565.4348,2306.6202,0.0,0.0,0.0,-1381.8699,-11707.1383,622.2176,5957.1441,-3120.1817,81.48020976,-2056.7959,-3038.70149024,-5095.49739024
10,550.9814,1529.1959,2300.395,0.0,0.0,0.0,-1354.2293,-11697.9331,631.2063,5954.6115,-3187.7613,81.6729084,-2085.7723000000015,-3106.0883916000003,-5191.860691600002
11,570.0542,1545.4318,2286.7928,0.0,0.0,0.0,-1354.8101,-11612.1514,624.4715,5889.7163,-3199.3432,82.28998584,-2050.4949000000015,-3117.0532141599997,-5167.548114160001
12,624.6009,1486.3033,2287.5133,0.0,0.0,0.0,-1371.9464,-11600.1635,603.9995,5836.6098,-3178.1934,81.05790599999999,-2133.0831,-3097.135494,-5230.218594
13,578.5555,1512.2,2280.7476,0.0,0.0,0.0,-1341.1539,-11515.7018,608.123,5842.0494,-3248.0758,85.37477976,-2035.1802000000025,-3162.70102024,-5197.881220240003
14,585.9992,1552.3561,2312.9484,0.0,0.0,0.0,-1366.8407,-11749.3845,612.7588,5878.3362,-3092.6546,83.63392344,-2173.826500000001,-3009.0206765599996,-5182.847176560001
15,594.2369,1506.5531,2284.2791,0.0,0.0,0.0,-1357.2429,-11558.3105,634.1297,5890.6733,-3234.0129,86.30380224,-2005.6813000000002,-3147.70909776,-5153.39039776
16,606.4034,1544.7409,2297.2462,0.0,0.0,0.0,-1387.4229,-11569.6002,619.795,5857.0212,-3184.6549,80.91124703999999,-2031.8164000000006,-3103.74365296,-5135.5600529600015
17,600.7541,1534.6761,2275.7002,0.0,0.0,0.0,-1350.3972,-11628.2535,621.789,5818.3853,-3137.1171,83.81345328,-2127.3460000000005,-3053.30364672,-5180.64964672
18,606.4751,1531.4966,2286.6929,0.0,0.0,0.0,-1331.1047,-11576.0426,611.9185,5814.5016,-3150.976,85.98903624,-2056.062600000001,-3064.98696376,-5121.049563760002
19,560.064,1549.0738,2277.9886,0.0,0.0,0.0,-1331.4327,-11690.0274,625.7971,5857.529,-3159.3453,83.60121527999999,-2151.007600000001,-3075.74408472,-5226.75168472
20,619.3056,1508.7531,2311.2534,0.0,0.0,0.0,-1356.5607,-11747.6312,614.5055,5830.5914,-3069.9177,81.79177607999999,-2219.7828999999983,-2988.12592392,-5207.908823919998
21,569.143,1546.3525,2297.8904,0.0,0.0,0.0,-1368.542,-11755.3406,616.6543,5879.1636,-3069.4017,82.2655188,-2214.6787999999997,-2987.1361812,-5201.8149812
22,613.1991,1550.2579,2293.4337,0.0,0.0,0.0,-1349.3779,-11663.9533,617.5267,5842.8472,-3133.6017,84.91082832,-2096.0665999999983,-3048.6908716800003,-5144.757471679998
23,604.4479,1507.972,2280.8056,0.0,0.0,0.0,-1357.409,-11729.3604,620.4403,5853.5943,-3068.7873,81.59338296,-2219.509299999999,-2987.19391704,-5206.703217039999
24,573.9109,1541.4403,2265.4111,0.0,0.0,0.0,-1360.3886,-11733.3753,608.1248,5829.4616,-3025.3843,81.41685048,-2275.4152000000004,-2943.96744952,-5219.382649520001
25,571.0092,1536.1455,2303.7576,0.0,0.0,0.0,-1383.0034,-11703.7717,611.0789,5833.4609,-3103.625,81.25882344,-2231.3229999999985,-3022.36617656,-5253.6891765599985
26,593.5399,1526.3641,2268.1073,0.0,0.0,0.0,-1370.4666,-11690.8129,601.9061,5837.0991,-3078.1439,81.11576808,-2234.263,-2997.02813192,-5231.29113192
27,618.3235,1522.8022,2319.4891,0.0,0.0,0.0,-1370.1226,-11649.4806,603.685,5805.6365,-3119.5099,82.43763695999999,-2149.666900000003,-3037.07226304,-5186.7391630400025
28,590.499,1534.5273,2308.4138,0.0,0.0,0.0,-1373.3582,-11665.6435,611.689,5806.4535,-3067.0262,81.93402504000001,-2187.419100000001,-2985.0921749599997,-5172.511274960001
29,566.7228,1541.1359,2291.8596,0.0,0.0,0.0,-1343.8992,-11644.369,618.1662,5819.0829,-3127.263,84.77761319999999,-2151.300800000002,-3042.4853868,-5193.786186800002
30,542.5215,1556.2828,2280.8254,0.0,0.0,0.0,-1361.9787,-11726.433,643.849,5858.7583,-3056.9378,82.88538408,-2206.1747000000005,-2974.0524159200004,-5180.227115920001
31,600.5754,1468.6081,2262.2369,0.0,0.0,0.0,-1384.0007,-11710.6745,605.4434,5842.3566,-3041.5045,80.0001108,-2315.4547999999986,-2961.5043892,-5276.959189199999
32,567.2638,1511.2144,2254.6819,0.0,0.0,0.0,-1383.4992,-11804.3144,614.5024,5837.0724,-2987.9965,78.09450048,-2403.078700000001,-2909.90199952,-5312.9806995200015
33,579.866,1524.8384,2310.3928,0.0,0.0,0.0,-1350.6105,-11699.2626,599.5982,5805.6472,-3079.1161,81.51609168,-2229.5305,-2997.60000832,-5227.13050832
34,584.3846,1567.6055,2286.5261,0.0,0.0,0.0,-1337.5891,-11698.0379,626.7772,5836.4382,-3080.0967,84.0117348,-2133.8953999999985,-2996.0849652,-5129.980365199998
35,571.0977,1512.8981,2317.4504,0.0,0.0,0.0,-1351.2835,-11771.2119,616.1716,5860.6512,-3058.2204,83.03882544,-2244.2263999999996,-2975.18157456,-5219.407974559999
36,558.4342,1473.9327,2320.9376,0.0,0.0,0.0,-1371.245,-11793.9895,623.2436,5890.5533,-3031.8814,79.22920392,-2298.133100000001,-2952.65219608,-5250.785296080001
37,535.8163,1500.5507,2293.8382,0.0,0.0,0.0,-1374.7482,-11803.7447,633.3579,5951.0631,-3059.5332,81.52542144,-2263.8666999999978,-2978.0077785599997,-5241.874478559997
38,577.6124,1552.5194,2294.1668,0.0,0.0,0.0,-1351.1161,-11705.5925,611.0822,5822.0662,-3085.0556,82.18528703999999,-2199.2616,-3002.8703129600003,-5202.13191296
39,542.4836,1573.5128,2287.7788,0.0,0.0,0.0,-1377.585,-11683.1655,644.0937,5825.2538,-3095.6177,80.23392792,-2187.6277999999975,-3015.3837720799997,-5203.011572079998
40,567.6422,1520.0956,2274.1236,0.0,0.0,0.0,-1363.1145,-11667.0891,608.3542,5823.461,-3097.818,81.635274,-2236.526999999999,-3016.182726,-5252.709725999999
41,570.9417,1550.5719,2285.1951,0.0,0.0,0.0,-1371.0858,-11677.7044,614.7055,5837.9093,-3132.6058,82.74769056,-2189.4667,-3049.8581094399997,-5239.3248094400005
42,585.8505,1538.5253,2289.2157,0.0,0.0,0.0,-1398.0043,-11575.5773,616.2488,5841.5276,-3193.791,82.36316015999999,-2102.2137000000002,-3111.42783984,-5213.64153984
43,584.3211,1531.7826,2341.5901,0.0,0.0,0.0,-1333.1581,-11600.0149,616.4095,5860.7991,-3222.7654,86.39424072,-1998.2705999999998,-3136.37115928,-5134.64175928
44,579.252,1539.8388,2308.506,0.0,0.0,0.0,-1349.9531,-11607.8362,615.0613,5879.778,-3217.1807,84.2458608,-2035.3532000000005,-3132.9348391999997,-5168.288039200001
45,607.5491,1542.4017,2325.8314,0.0,0.0,0.0,-1358.8466,-11475.3337,592.9783,5837.4388,-3307.3563,83.38827744,-1927.9809999999989,-3223.96802256,-5151.949022559999
46,568.5802,1519.0471,2270.7337,0.0,0.0,0.0,-1332.4431,-11707.0327,622.4982,5890.3051,-3121.1365,84.37385016,-2168.3115,-3036.76264984,-5205.07414984
47,579.0151,1595.4019,2275.4098,0.0,0.0,0.0,-1371.7449,-11620.9956,595.0339,5896.5031,-3158.9221,84.92440608,-2051.3767000000007,-3073.9976939199996,-5125.37439392
48,574.2999,1504.1977,2321.5539,0.0,0.0,0.0,-1374.2098,-11700.5297,615.2853,5872.2979,-3131.5163,82.04714784,-2187.104800000001,-3049.46915216,-5236.57395216
49,572.583,1574.8772,2307.7521,0.0,0.0,0.0,-1353.415,-11548.2324,609.9149,5868.0888,-3258.131,85.96030392,-1968.4314000000004,-3172.1706960799997,-5140.602096080001
50,574.0851,1502.245,2289.4061,0.0,0.0,0.0,-1343.0356,-11521.7748,608.4674,5916.2378,-3312.8473,85.89607487999999,-1974.3689999999997,-3226.95122512,-5201.32022512
51,565.5457,1536.6457,2318.5958,0.0,0.0,0.0,-1341.2738,-11538.3361,616.4063,5920.296,-3278.4361,86.22063648,-1922.1204000000007,-3192.21546352,-5114.33586352
52,577.5398,1507.6466,2298.4965,0.0,0.0,0.0,-1336.4254,-11512.5171,610.5313,5850.9959,-3290.8273,88.01800992,-2003.7323999999999,-3202.8092900799998,-5206.54169008
53,599.003,1521.8461,2283.5473,0.0,0.0,0.0,-1317.6677,-11486.2578,605.0963,5893.2798,-3346.6264,89.71087464,-1901.1529999999993,-3256.91552536,-5158.0685253599995
