GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,1600.9959,1555.5494,2313.3492,0.0,0.0,0.0,-870.5883,-11720.294,607.3319,5865.5605,-3050.8957,82.3957128,-648.0954000000002,-2968.4999872,-3616.5953872
1,1651.8722,1606.1476,2299.6107,0.0,0.0,0.0,-876.2773,-11612.6924,609.8781,5825.7624,-3148.1468,83.16272736,-495.6986999999999,-3064.98407264,-3560.6827726399997
2,1651.6663,1552.9669,2308.054,0.0,0.0,0.0,-893.1604,-11662.9637,618.2387,5891.4426,-3105.6183,81.46950696,-533.7555999999995,-3024.14879304,-3557.9043930399994
3,1580.0826,1599.0814,2304.4737,0.0,0.0,0.0,-888.0654,-11683.5663,611.7871,5926.9512,-3093.6888,81.36547344,-549.2557000000006,-3012.3233265599997,-3561.5790265600003
4,1669.9142,1620.0078,2288.8195,0.0,0.0,0.0,-895.2576,-11679.6649,616.1388,5882.2955,-3123.8454,82.62692208,-497.7466999999997,-3041.21847792,-3538.96517792
5,1643.0527,1535.8228,2266.9492,0.0,0.0,0.0,-869.3803,-11536.6861,612.7013,5862.9954,-3191.3486,82.01665296,-484.545000000001,-3109.3319470399997,-3593.8769470400007
6,1592.4512,1526.2627,2296.471,0.0,0.0,0.0,-854.5146,-11616.7049,604.4904,5887.6068,-3152.598,83.2948128,-563.9374000000016,-3069.3031872,-3633.2405872000018
7,1621.7953,1573.288,2286.2256,0.0,0.0,0.0,-898.5841,-11721.8803,624.544,5918.3037,-3074.3279,79.77111552,-596.3078000000005,-2994.5567844800003,-3590.8645844800008
8,1585.1431,1565.3174,2338.2558,0.0,0.0,0.0,-863.8129,-11660.9873,606.0829,5867.632,-3103.2822,82.25743824,-562.3690000000006,-3021.0247617600003,-3583.393761760001
9,1609.8101,1523.4729,2281.811,0.0,0.0,0.0,-841.5247,-11458.8645,603.8801,5823.0299,-3213.6739,85.28229936,-458.3851999999988,-3128.39160064,-3586.776800639999
10,1614.4072,1552.9339,2329.8958,0.0,0.0,0.0,-842.8542,-11649.5895,629.5809,5936.5,-3140.9972,84.39242184,-429.1259,-3056.60477816,-3485.73067816
11,1641.3513,1507.1809,2288.4768,0.0,0.0,0.0,-871.1922,-11742.8488,613.2272,5939.1722,-3073.6157,83.17970712,-624.632599999999,-2990.43599288,-3615.068592879999
12,1636.3209,1587.0842,2289.9235,0.0,0.0,0.0,-889.7285,-11768.9762,607.0077,5938.2488,-3076.2675,81.05561496,-600.1195999999991,-2995.2118850399997,-3595.331485039999
13,1619.8365,1533.0097,2318.021,0.0,0.0,0.0,-905.4767,-11739.6817,628.933,5937.6115,-3082.1421,78.94089576,-607.7466999999988,-3003.20120424,-3610.947904239999
14,1603.1895,1548.2065,2263.3224,0.0,0.0,0.0,-854.5606,-11678.8724,612.7368,5991.7779,-3171.7934,83.55565584,-514.1999000000005,-3088.23774416,-3602.4376441600007
15,1633.7598,1527.8023,2265.9159,0.0,0.0,0.0,-848.1877,-11616.3658,607.7469,5919.6945,-3194.7959,83.72730383999999,-509.6340999999993,-3111.06859616,-3620.7026961599995
16,1587.5738,1551.1058,2290.7935,0.0,0.0,0.0,-833.4995,-11631.4302,630.0538,5944.864,-3182.9246,83.2274856,-460.5388000000012,-3099.6971144,-3560.235914400001
17,1638.3165,1577.4428,2294.808,0.0,0.0,0.0,-842.2336,-11604.526,611.4813,5962.6346,-3255.7422,83.80529136,-362.0763999999999,-3171.93690864,-3534.01330864
18,1634.2268,1578.478,2302.2447,0.0,0.0,0.0,-866.7383,-11617.2696,611.4195,5927.8361,-3233.4941,84.09215592,-429.80279999999857,-3149.40194408,-3579.2047440799984
19,1669.5152,1473.8875,2289.5372,0.0,0.0,0.0,-847.3279,-11621.7562,614.3165,5945.8649,-3215.1544,86.61860064,-475.96280000000024,-3128.53579936,-3604.4985993600003
20,1621.0328,1616.1339,2300.6723,0.0,0.0,0.0,-873.5354,-11577.7245,620.4488,5920.4492,-3226.3401,82.6736004,-372.52289999999994,-3143.6664996,-3516.1893996
21,1642.4912,1611.5589,2305.8527,0.0,0.0,0.0,-885.615,-11530.8288,629.2783,5971.794,-3290.5418,81.67492152,-255.46869999999944,-3208.86687848,-3464.3355784799996
22,1615.5483,1520.6535,2321.1869,0.0,0.0,0.0,-856.546,-11495.0318,621.4946,5935.1116,-3321.4597,87.91253207999999,-337.58290000000125,-3233.54716792,-3571.1300679200012
23,1572.348,1535.6083,2305.8217,0.0,0.0,0.0,-842.0729,-11592.632,610.0502,5988.5796,-3263.8822,83.40043104,-422.2970999999998,-3180.48176896,-3602.7788689599997
24,1586.7702,1554.7246,2304.6529,0.0,0.0,0.0,-806.4177,-11540.1596,605.447,5952.3801,-3300.653,86.36797872000001,-342.6025000000009,-3214.28502128,-3556.887521280001
25,1636.8313,1583.6862,2277.0575,0.0,0.0,0.0,-867.4252,-11524.5999,616.8507,5961.3318,-3297.1097,85.17712968,-316.2675999999992,-3211.93257032,-3528.2001703199994
26,1612.8133,1576.9473,2284.8068,0.0,0.0,0.0,-860.8122,-11403.6471,620.6218,5982.2669,-3453.111,87.63239376,-187.00320000000102,-3365.47860624,-3552.481806240001
27,1587.0716,1551.8845,2289.2143,0.0,0.0,0.0,-808.3644,-11526.15,612.8085,5904.8353,-3269.4847,86.63781888,-388.7002000000002,-3182.84688112,-3571.5470811200003
28,1598.874,1610.3355,2314.3054,0.0,0.0,0.0,-829.2609,-11523.9348,591.8394,5917.8844,-3328.7386,86.27963184,-319.95700000000124,-3242.45896816,-3562.4159681600013
29,1634.3216,1554.4757,2278.6328,0.0,0.0,0.0,-893.7116,-11488.7157,599.1205,5926.7238,-3265.1657,83.44833048,-389.15290000000095,-3181.71736952,-3570.870269520001
30,1602.0396,1529.1187,2300.1101,0.0,0.0,0.0,-874.5071,-11548.3227,622.2016,5963.9049,-3323.6347,83.93924952,-405.4548999999997,-3239.69545048,-3645.15035048
31,1630.0816,1610.0112,2292.6336,0.0,0.0,0.0,-874.5587,-11578.5603,609.6433,5967.631,-3297.5734,81.91423223999999,-343.1182999999992,-3215.6591677600004,-3558.7774677599996
32,1590.508,1548.3125,2318.3382,0.0,0.0,0.0,-838.1802,-11618.7139,597.9222,5979.8318,-3244.2997,84.72432672,-421.9814000000006,-3159.57537328,-3581.5567732800005
33,1631.49,1566.0254,2313.1692,0.0,0.0,0.0,-866.5646,-11642.024,610.6482,5977.0566,-3248.5192,85.35231648,-410.1991999999991,-3163.1668835200003,-3573.3660835199994
34,1629.2681,1531.0364,2321.8129,0.0,0.0,0.0,-864.8702,-11642.6689,600.2843,5991.426,-3213.9736,84.1162356,-433.71140000000014,-3129.8573644,-3563.5687644
35,1646.7828,1581.5427,2297.4144,0.0,0.0,0.0,-889.3219,-11712.14,617.4866,5971.0456,-3178.921,84.89895336,-487.1897999999983,-3094.0220466399996,-3581.211846639998
36,1630.6397,1595.8715,2319.1777,0.0,0.0,0.0,-866.6622,-11634.5311,615.4689,5944.1995,-3220.7323,83.48433912,-395.83600000000024,-3137.24796088,-3533.08396088
37,1622.7112,1579.1845,2299.1773,0.0,0.0,0.0,-844.2246,-11518.5231,594.2083,5869.8891,-3250.9088,85.6751328,-397.577299999999,-3165.2336672,-3562.810967199999
38,1617.5167,1555.9348,2310.1265,0.0,0.0,0.0,-866.6246,-11500.6235,626.2347,5947.1124,-3350.4066,87.23528927999999,-310.3230000000003,-3263.17131072,-3573.49431072
39,1625.1978,1590.5134,2296.6569,0.0,0.0,0.0,-803.4998,-11552.1238,614.2794,5936.6253,-3303.3484,88.07882975999999,-292.35079999999925,-3215.2695702399997,-3507.620370239999
40,1606.9868,1599.6565,2310.5082,0.0,0.0,0.0,-808.2835,-11550.007,616.2114,5958.7803,-3314.7122,90.15846552,-266.1472999999987,-3224.55373448,-3490.7010344799987
41,1589.6992,1592.0752,2324.0324,0.0,0.0,0.0,-857.1709,-11521.8285,629.1891,5904.527,-3302.9983,87.68900448,-339.47649999999885,-3215.30929552,-3554.785795519999
42,1646.7086,1583.3358,2317.4326,0.0,0.0,0.0,-829.6501,-11555.491,603.9051,5897.6593,-3265.6663,87.35801112,-336.09969999999976,-3178.30828888,-3514.4079888799997
43,1614.873,1583.3811,2276.0881,0.0,0.0,0.0,-837.4702,-11570.3874,602.43,5961.8714,-3293.9004,86.8164696,-369.21399999999903,-3207.0839304,-3576.297930399999
44,1618.518,1509.3371,2304.8809,0.0,0.0,0.0,-850.9948,-11614.2012,623.5957,5969.4168,-3239.8124,87.55466616,-439.4475000000002,-3152.2577338399997,-3591.70523384
45,1657.1067,1590.1126,2282.6599,0.0,0.0,0.0,-780.8915,-11445.8675,595.1037,5904.062,-3400.7916,92.61062352,-197.71410000000105,-3308.18097648,-3505.895076480001
46,1650.3699,1538.1664,2299.0976,0.0,0.0,0.0,-845.0094,-11455.3415,617.722,5921.9012,-3372.8018,89.25043896,-273.09380000000056,-3283.5513610400003,-3556.645161040001
47,1655.304,1582.3536,2310.4057,0.0,0.0,0.0,-851.1302,-11421.3668,602.2789,5908.0594,-3415.1054,87.78537144,-214.09539999999924,-3327.32002856,-3541.4154285599993
48,1652.8396,1600.7026,2264.5579,0.0,0.0,0.0,-823.5397,-11385.3916,601.9432,5880.6574,-3411.6632,88.7685696,-208.2306000000017,-3322.8946304,-3531.125230400002
49,1600.9917,1551.0526,2317.5075,0.0,0.0,0.0,-859.6683,-11385.8148,610.7859,5925.8531,-3431.8268,88.97542704,-239.29230000000007,-3342.85137296,-3582.14367296
50,1609.3737,1591.7591,2296.8142,0.0,0.0,0.0,-813.1846,-11503.4062,593.0811,5917.0857,-3328.9601,91.41871751999999,-308.47699999999986,-3237.54138248,-3546.0183824799997
