GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,593.0709,1551.5567,2277.3683,0.0,0.0,0.0,-1354.1589,-11641.3385,631.5415,5856.5448,-3096.6633,82.89856584,-2085.4152000000004,-3013.76473416,-5099.179934160001
1,580.7211,1534.7651,2321.5965,0.0,0.0,0.0,-1381.4562,-11501.623,634.6984,5884.6437,-3260.0042,83.95473743999999,-1926.6543999999994,-3176.04946256,-5102.703862559999
2,570.7182,1497.3652,2300.4093,0.0,0.0,0.0,-1341.3807,-11566.1413,616.0669,5803.7064,-3142.6866,83.89994256,-2119.2559999999985,-3058.78665744,-5178.042657439999
3,546.3268,1526.0055,2285.2004,0.0,0.0,0.0,-1364.5944,-11582.1906,618.4984,5881.6026,-3208.5148,84.22023239999999,-2089.1512999999995,-3124.2945676,-5213.4458675999995
4,593.6202,1508.487,2289.0406,0.0,0.0,0.0,-1340.9646,-11586.1136,626.9606,5877.9394,-3202.6963,84.5211924,-2031.0304000000006,-3118.1751076,-5149.2055076000015
5,571.9868,1500.9344,2292.5201,0.0,0.0,0.0,-1374.4747,-11553.926,632.5763,5837.6996,-3196.9808,82.15022736,-2092.6835,-3114.83057264,-5207.51407264
6,561.5517,1531.9239,2247.2364,0.0,0.0,0.0,-1351.3487,-11603.7228,644.127,5806.2225,-3133.9307,85.70517336,-2164.01,-3048.2255266399998,-5212.23552664
7,574.0078,1537.4845,2297.7252,0.0,0.0,0.0,-1324.9611,-11585.7053,631.3596,5920.8643,-3236.385,85.55109336,-1949.2249999999995,-3150.8339066400004,-5100.05890664
8,567.3718,1540.1797,2272.4552,0.0,0.0,0.0,-1363.0615,-11562.0951,624.0659,5880.428,-3196.9727,85.91022216,-2040.6560000000009,-3111.0624778399997,-5151.7184778400015
9,623.2523,1537.8038,2288.6809,0.0,0.0,0.0,-1321.0832,-11534.124,613.5405,5819.8002,-3200.6499,88.64962776,-1972.1295,-3112.00027224,-5084.1297722399995
10,584.9367,1505.657,2294.59,0.0,0.0,0.0,-1350.4129,-11614.7847,611.0095,5822.9349,-3139.4863,83.89623312,-2146.0695000000014,-3055.59006688,-5201.659566880002
11,594.3353,1556.7276,2304.9023,0.0,0.0,0.0,-1343.1642,-11463.5876,613.8379,5820.125,-3255.1519,86.15627495999999,-1916.823699999999,-3168.99562504,-5085.819325039999
12,559.145,1486.2876,2303.7948,0.0,0.0,0.0,-1344.9441,-11594.3366,624.3392,5902.6168,-3226.5201,84.23305991999999,-2063.0972999999994,-3142.28704008,-5205.384340079999
13,556.3586,1522.9905,2288.8653,0.0,0.0,0.0,-1337.4519,-11694.862,638.8577,5873.866,-3129.0395,85.28781024,-2151.375799999998,-3043.75168976,-5195.127489759998
14,569.0859,1504.9616,2284.4348,0.0,0.0,0.0,-1357.5697,-11608.9132,611.9129,5890.4431,-3203.6036,85.19290991999999,-2105.6446000000005,-3118.4106900799998,-5224.05529008
15,588.1837,1549.5135,2303.2117,0.0,0.0,0.0,-1374.1198,-11518.742,590.7909,5814.7064,-3212.9224,85.2419196,-2046.4556000000002,-3127.6804804,-5174.1360804000005
16,617.1567,1497.5976,2311.6774,0.0,0.0,0.0,-1367.6977,-11501.4785,651.9113,5769.6968,-3167.7711,82.89103464,-2021.1363999999994,-3084.88006536,-5106.0164653599995
17,588.1215,1518.722,2254.0819,0.0,0.0,0.0,-1373.2431,-11458.9562,608.6611,5772.2536,-3190.6917,84.15313128,-2090.3592,-3106.53856872,-5196.89776872
18,549.3997,1589.3574,2287.0947,0.0,0.0,0.0,-1347.0289,-11573.0146,622.1532,5857.5142,-3182.4011,84.38824656,-2014.5243,-3098.01285344,-5112.53715344
19,567.2268,1514.8237,2287.2279,0.0,0.0,0.0,-1331.755,-11620.6773,631.731,5903.1814,-3177.5453,86.03291015999999,-2048.241500000001,-3091.51238984,-5139.753889840002
20,589.1937,1517.7906,2283.329,0.0,0.0,0.0,-1324.393,-11581.0265,628.6548,5815.1584,-3179.1776,86.63737032,-2071.2929999999997,-3092.54022968,-5163.83322968
21,591.6701,1537.7938,2277.1256,0.0,0.0,0.0,-1337.0249,-11555.3206,613.477,5775.9856,-3137.221,85.37319072,-2096.2933999999996,-3051.84780928,-5148.14120928
22,597.5668,1526.6386,2290.8741,0.0,0.0,0.0,-1350.8267,-11739.9173,607.432,5909.8692,-3097.296,84.88572192,-2158.363299999999,-3012.41027808,-5170.773578079999
23,617.9216,1470.8428,2275.0187,0.0,0.0,0.0,-1350.9354,-11677.3306,637.0937,5834.6687,-3056.6023,84.67586567999999,-2192.7204999999985,-2971.92643432,-5164.646934319998
24,571.636,1537.3558,2299.5643,0.0,0.0,0.0,-1310.2906,-11699.4775,603.47,5804.2415,-3067.291,88.73442792,-2193.500500000001,-2978.55657208,-5172.0570720800015
25,584.7641,1566.0144,2277.7798,0.0,0.0,0.0,-1335.1314,-11728.7122,605.843,5820.2469,-3059.0837,86.86760831999999,-2209.1953999999996,-2972.2160916800003,-5181.41149168
26,564.9475,1520.7478,2307.5681,0.0,0.0,0.0,-1323.9599,-11756.4402,613.8183,5910.5491,-3092.6034,88.23729744,-2162.769299999999,-3004.36610256,-5167.135402559999
27,610.648,1488.8336,2281.3968,0.0,0.0,0.0,-1326.8353,-11832.1387,640.9067,5947.3359,-3059.633,87.56916768,-2189.853000000001,-2972.0638323199996,-5161.916832320001
28,555.3244,1596.5661,2320.2727,0.0,0.0,0.0,-1370.9639,-11734.9672,628.9795,5894.1461,-3101.1064,85.55763599999999,-2110.6422999999986,-3015.548764,-5126.191063999999
29,563.7108,1481.2484,2294.8427,0.0,0.0,0.0,-1343.9918,-11653.1841,628.6168,5862.6786,-3164.7271,85.1722092,-2166.0786,-3079.5548908,-5245.6334908
