GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,588.8243,1585.7768,2283.5088,0.0,0.0,0.0,-1378.3299,-11559.3618,599.8442,5869.0348,-3235.0425,79.33290840000001,-2010.7028,-3155.7095916,-5166.412391600001
1,542.8883,1517.0204,2268.0575,0.0,0.0,0.0,-1357.6642,-11581.1827,627.1954,5869.2233,-3217.5531,81.61711199999999,-2114.4620000000004,-3135.935988,-5250.397988000001
2,602.9024,1482.5308,2287.1562,0.0,0.0,0.0,-1376.981,-11671.839,616.2236,5901.3704,-3164.7305,81.31211567999999,-2158.636599999999,-3083.4183843200003,-5242.05498432
3,602.5124,1521.2411,2296.96,0.0,0.0,0.0,-1376.0752,-11642.3971,620.7356,5869.2557,-3178.9675,81.73219895999999,-2107.7675,-3097.23530104,-5205.002801040001
4,578.8687,1473.7859,2280.3903,0.0,0.0,0.0,-1329.205,-11598.7712,622.6384,5865.7919,-3239.3853,84.13484832,-2106.501,-3155.25045168,-5261.75145168
5,617.8088,1494.8778,2285.0864,0.0,0.0,0.0,-1342.6425,-11530.4301,605.4782,5830.5126,-3290.3867,84.53835,-2039.3087999999989,-3205.84835,-5245.157149999999
6,618.5861,1520.3319,2294.514,0.0,0.0,0.0,-1369.8347,-11665.2499,623.4515,5949.1124,-3229.979,83.17383767999999,-2029.0887000000012,-3146.80516232,-5175.893862320001
7,548.0315,1519.5514,2250.1546,0.0,0.0,0.0,-1316.0669,-11509.2872,620.8197,5868.5127,-3302.3244,86.71028184,-2018.284200000001,-3215.61411816,-5233.8983181600015
8,626.956,1443.2753,2249.714,0.0,0.0,0.0,-1319.8084,-11642.0047,613.3321,5899.2741,-3231.2535,88.82958239999999,-2129.2616000000007,-3142.4239175999996,-5271.685517600001
9,605.8354,1551.5628,2260.2419,0.0,0.0,0.0,-1356.8526,-11506.0952,626.2645,5869.8096,-3303.2077,86.8262616,-1949.2335999999996,-3216.3814383999998,-5165.615038399999
10,636.6008,1462.0429,2256.8405,0.0,0.0,0.0,-1319.5744,-11536.6898,628.5159,5880.5402,-3313.8266,85.45189103999999,-1991.7239,-3228.3747089599997,-5220.098608959999
11,574.5961,1497.4466,2279.1866,0.0,0.0,0.0,-1368.9082,-11526.0019,624.7134,5899.1955,-3313.0935,82.36682136,-2019.7718999999988,-3230.72667864,-5250.498578639998
12,559.143,1532.745,2273.7223,0.0,0.0,0.0,-1379.0717,-11554.8918,612.9122,5866.8811,-3243.9875,81.86674104,-2088.5599,-3162.1207589600003,-5250.68065896
13,659.4022,1485.9886,2276.5189,0.0,0.0,0.0,-1353.4026,-11549.6221,625.1401,5871.0437,-3271.4517,82.42776719999999,-1984.9312,-3189.0239328000002,-5173.955132800001
14,581.1896,1486.0231,2290.3237,0.0,0.0,0.0,-1366.5785,-11551.6553,610.6028,5868.6175,-3254.6055,83.25617328,-2081.477100000001,-3171.34932672,-5252.826426720001
15,596.5478,1500.7501,2269.5575,0.0,0.0,0.0,-1371.5631,-11468.728,633.576,5826.9352,-3304.87,82.1207556,-2012.9244999999983,-3222.7492444,-5235.673744399998
16,598.8576,1479.8002,2286.4096,0.0,0.0,0.0,-1369.704,-11488.1967,621.9832,5875.0018,-3318.7654,83.91193272,-1995.8483000000006,-3234.85346728,-5230.701767280001
17,554.1918,1505.8412,2247.4153,0.0,0.0,0.0,-1355.8776,-11669.2105,622.3963,5912.0172,-3184.2304,82.93881096,-2183.2262999999984,-3101.29158904,-5284.517889039998
18,607.6582,1486.7618,2305.1535,0.0,0.0,0.0,-1359.6267,-11579.2599,603.8007,5875.4315,-3257.542,83.75645951999999,-2060.0809,-3173.78554048,-5233.86644048
19,580.1051,1493.752,2269.093,0.0,0.0,0.0,-1337.1559,-11565.2189,630.7178,5887.8716,-3288.2022,84.8169036,-2040.8352999999988,-3203.3852964000002,-5244.220596399999
20,605.4125,1507.735,2261.2665,0.0,0.0,0.0,-1363.4393,-11544.6075,602.4079,5838.1299,-3250.3936,81.11893464,-2093.0949999999993,-3169.2746653599997,-5262.369665359999
21,555.8893,1519.2214,2272.7914,0.0,0.0,0.0,-1339.5905,-11484.6926,625.1703,5866.5203,-3346.5512,84.41562888,-1984.6904000000013,-3262.13557112,-5246.825971120001
22,605.7262,1505.2112,2308.0634,0.0,0.0,0.0,-1351.8559,-11542.9084,618.8762,5898.8164,-3324.2454,85.0656384,-1958.0709000000015,-3239.1797616,-5197.250661600001
23,614.1742,1550.2205,2308.3913,0.0,0.0,0.0,-1376.7743,-11523.1032,596.424,5820.0332,-3274.1969,83.14428888,-2010.6342999999988,-3191.0526111199997,-5201.6869111199985
24,555.4396,1474.1103,2271.631,0.0,0.0,0.0,-1359.9379,-11536.8758,610.1152,5855.3113,-3270.5201,84.1854996,-2130.206299999999,-3186.3346004,-5316.540900399999
25,581.6229,1546.9163,2309.2369,0.0,0.0,0.0,-1360.0536,-11617.3107,605.1647,5871.0703,-3213.5396,82.71037295999999,-2063.3531999999996,-3130.82922704,-5194.182427039999
26,578.3237,1541.2933,2287.9621,0.0,0.0,0.0,-1373.7498,-11559.2564,609.2077,5883.7446,-3268.9082,85.62360744,-2032.474799999999,-3183.28459256,-5215.759392559999
27,566.9439,1477.416,2276.8706,0.0,0.0,0.0,-1385.339,-11514.3499,618.0397,5898.9127,-3305.5414,83.23237728,-2061.5059999999994,-3222.30902272,-5283.815022719999
28,588.7876,1497.9902,2301.6656,0.0,0.0,0.0,-1362.3401,-11560.7575,627.5834,5899.032,-3345.2719,82.55467728,-2008.0387999999994,-3262.7172227200003,-5270.75602272
29,586.7711,1536.8037,2281.9858,0.0,0.0,0.0,-1370.2467,-11470.4112,624.4359,5927.2139,-3383.404,83.79401184,-1883.4475000000011,-3299.60998816,-5183.0574881600005
30,556.4469,1534.8231,2272.5674,0.0,0.0,0.0,-1349.8075,-11485.6078,634.5665,5877.5445,-3351.5864,83.82277008,-1959.4669000000004,-3267.7636299200003,-5227.230529920001
31,570.8404,1487.9319,2279.4569,0.0,0.0,0.0,-1345.2559,-11545.4592,617.7357,5832.7788,-3281.7588,83.57899463999999,-2101.9713999999994,-3198.17980536,-5300.15120536
32,577.3766,1549.2598,2317.8501,0.0,0.0,0.0,-1335.4515,-11557.9072,626.9754,5873.3368,-3313.9134,87.68883312,-1948.5599999999977,-3226.22456688,-5174.784566879997
33,570.298,1449.6998,2312.7797,0.0,0.0,0.0,-1341.6166,-11572.6442,627.6443,5862.7771,-3257.6663,85.65820776,-2091.0618999999997,-3172.0080922399998,-5263.06999224
34,560.4882,1525.6949,2290.0192,0.0,0.0,0.0,-1340.5883,-11476.4088,608.6128,5862.6136,-3370.2827,86.57125631999999,-1969.5683999999983,-3283.7114436800002,-5253.279843679998
35,567.1591,1520.8918,2286.574,0.0,0.0,0.0,-1347.7053,-11490.3222,611.2448,5859.2663,-3314.5131,84.40704504,-1992.8914999999988,-3230.10605496,-5222.9975549599985
36,557.0377,1508.5693,2306.8231,0.0,0.0,0.0,-1376.5963,-11473.0963,611.6222,5920.3346,-3374.4534,83.31037848,-1945.3057000000008,-3291.14302152,-5236.4487215200015
37,627.7716,1511.4921,2289.7636,0.0,0.0,0.0,-1342.4118,-11400.9593,612.4936,5834.2198,-3432.2738,87.68911895999999,-1867.630400000001,-3344.58468104,-5212.215081040001
38,574.593,1526.0922,2292.0635,0.0,0.0,0.0,-1348.4918,-11442.7166,624.6498,5878.0421,-3403.8333,87.68165975999999,-1895.7677999999996,-3316.15164024,-5211.91944024
39,597.7433,1489.0908,2285.206,0.0,0.0,0.0,-1322.9787,-11497.5866,621.2187,5886.5174,-3363.3981,87.59368152,-1940.7891,-3275.80441848,-5216.59351848
40,626.9501,1539.3045,2284.5743,0.0,0.0,0.0,-1348.1257,-11620.9265,637.1114,5873.6268,-3241.4377,81.63510840000001,-2007.4850999999999,-3159.8025916,-5167.2876916000005
41,568.0024,1505.9245,2317.8417,0.0,0.0,0.0,-1341.4336,-11698.2671,595.4783,5905.0062,-3174.7957,86.04087984,-2147.4476000000004,-3088.7548201600002,-5236.20242016
42,579.6367,1550.5859,2265.7137,0.0,0.0,0.0,-1327.6508,-11401.4149,618.2962,5830.4906,-3398.9611,88.83606311999999,-1884.3426,-3310.12503688,-5194.46763688
43,597.0373,1494.4068,2284.6927,0.0,0.0,0.0,-1318.3944,-11526.2429,621.2531,5846.3073,-3322.6166,86.30954711999999,-2000.940099999998,-3236.30705288,-5237.247152879997
44,595.7157,1476.675,2272.7206,0.0,0.0,0.0,-1342.797,-11422.1662,601.6258,5834.5183,-3386.7431,85.3202772,-1983.7078000000001,-3301.4228228,-5285.130622799999
45,589.9394,1501.3214,2300.9682,0.0,0.0,0.0,-1314.4434,-11455.8206,608.9634,5880.1465,-3410.1205,87.97941503999999,-1888.9251000000004,-3322.14108496,-5211.06618496
46,577.8664,1517.1266,2262.4322,0.0,0.0,0.0,-1339.6364,-11479.8234,627.8232,5911.2579,-3411.6162,88.59143519999999,-1922.9534999999996,-3323.0247648,-5245.9782648
47,566.3283,1531.4388,2267.2779,0.0,0.0,0.0,-1298.6116,-11396.393,611.6726,5832.5609,-3417.6827,89.71878023999999,-1885.7260999999999,-3327.96391976,-5213.690019759999
48,588.1907,1500.5525,2259.8055,0.0,0.0,0.0,-1300.0693,-11379.6728,639.0249,5910.4868,-3499.5757,89.17814736,-1781.6817,-3410.39755264,-5192.07925264
49,570.7267,1489.786,2309.7043,0.0,0.0,0.0,-1312.5639,-11361.1114,628.856,5840.7535,-3476.1249,87.210774,-1833.8487999999988,-3388.9141259999997,-5222.7629259999985
50,602.7589,1476.4225,2293.0239,0.0,0.0,0.0,-1338.2587,-11383.2617,621.5752,5868.1353,-3471.0361,85.44313728,-1859.6045999999997,-3385.59296272,-5245.19756272
51,584.2122,1496.4949,2273.4133,0.0,0.0,0.0,-1320.6659,-11501.4911,615.2225,5865.0337,-3382.9819,86.10719976,-1987.7803999999996,-3296.87470024,-5284.65510024
52,555.1605,1493.3608,2252.9115,0.0,0.0,0.0,-1325.4679,-11415.5007,601.8043,5857.0489,-3400.4425,87.5775348,-1980.6826,-3312.8649652,-5293.5475652000005
53,607.2672,1494.0796,2300.3324,0.0,0.0,0.0,-1343.7334,-11379.965,626.0248,5861.78,-3449.2463,86.21825039999999,-1834.214399999999,-3363.0280495999996,-5197.2424495999985
54,571.8183,1473.5515,2255.5194,0.0,0.0,0.0,-1338.1971,-11539.6938,603.4117,5883.4353,-3309.0112,86.52490775999999,-2090.154700000001,-3222.48629224,-5312.640992240001
55,579.1576,1452.6518,2294.3099,0.0,0.0,0.0,-1358.2886,-11468.95,601.7276,5865.626,-3367.3831,86.60708783999999,-2033.7657,-3280.77601216,-5314.54171216
56,600.9868,1501.5355,2258.3761,0.0,0.0,0.0,-1327.6396,-11455.3173,614.2008,5834.1155,-3376.987,85.28186016,-1973.7422000000015,-3291.70513984,-5265.447339840001
57,588.387,1494.0004,2275.4425,0.0,0.0,0.0,-1337.835,-11476.0173,622.9055,5876.0162,-3372.7796,85.93626024000001,-1957.1007,-3286.8433397599997,-5243.94403976
58,619.595,1463.6233,2291.6938,0.0,0.0,0.0,-1357.7048,-11577.4924,630.0316,5879.2456,-3242.7388,83.95377839999999,-2051.0078999999987,-3158.7850216,-5209.792921599998
59,595.7883,1521.1123,2282.8791,0.0,0.0,0.0,-1327.4733,-11506.9465,596.5511,5843.2547,-3326.5731,84.47376743999999,-1994.8343000000004,-3242.09933256,-5236.93363256
60,574.7278,1513.9696,2267.8739,0.0,0.0,0.0,-1343.1862,-11554.9924,608.1572,5920.1355,-3339.068,85.27818888,-2013.3145999999997,-3253.78981112,-5267.10441112
61,587.2033,1516.7198,2298.4449,0.0,0.0,0.0,-1314.4118,-11558.6611,622.435,5865.2533,-3324.9844,86.91304968,-1983.016599999999,-3238.07135032,-5221.0879503199985
62,569.8321,1473.5859,2285.3861,0.0,0.0,0.0,-1319.5736,-11693.9866,613.8068,5916.5778,-3220.446,83.33336448,-2154.3714999999984,-3137.11263552,-5291.484135519999
63,568.5071,1483.2466,2273.4005,0.0,0.0,0.0,-1329.392,-11559.2648,613.5771,5896.9732,-3305.9006,85.63341672,-2052.952299999999,-3220.26718328,-5273.219483279999
64,578.3193,1471.2091,2281.6016,0.0,0.0,0.0,-1336.9456,-11564.1287,612.2141,5880.7055,-3281.4656,86.98183415999999,-2077.024699999999,-3194.48376584,-5271.508465839999
65,603.8919,1537.6445,2259.7743,0.0,0.0,0.0,-1344.0214,-11641.3894,608.6097,5895.4847,-3233.861,86.12574479999999,-2080.0056999999997,-3147.7352551999998,-5227.7409552
66,556.1652,1508.52,2288.814,0.0,0.0,0.0,-1369.1331,-11711.4861,621.1565,5944.7515,-3195.6481,80.37646776,-2161.2119999999986,-3115.2716322399997,-5276.483632239998
67,595.1469,1464.8496,2322.9868,0.0,0.0,0.0,-1348.6134,-11640.7114,615.6584,5924.6624,-3276.5821,84.63665304,-2066.0207,-3191.94544696,-5257.9661469600005
68,638.2621,1473.4648,2278.0326,0.0,0.0,0.0,-1361.1929,-11633.533,612.5223,5872.1409,-3234.0879,83.38669703999999,-2120.3031999999994,-3150.70120296,-5271.0044029599985
69,584.8961,1444.1586,2298.6253,0.0,0.0,0.0,-1341.8898,-11608.4071,632.0084,5876.5113,-3265.0487,84.01577616,-2114.097200000001,-3181.03292384,-5295.130123840001
70,567.5039,1543.3839,2286.6842,0.0,0.0,0.0,-1323.9425,-11458.557,624.267,5848.8234,-3376.4547,84.22286256,-1911.8371000000016,-3292.2318374399997,-5204.068937440001
