GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,576.2567,1552.5271,2286.2806,0.0,0.0,0.0,-1385.0626,-11534.4563,620.5857,5811.4774,-3257.3761,81.26842679999999,-2072.3914000000004,-3176.1076732,-5248.4990732
1,586.0955,1512.5466,2313.024,0.0,0.0,0.0,-1351.674,-11560.7312,615.495,5807.9759,-3253.6329,81.58598927999999,-2077.2681999999986,-3172.04691072,-5249.315110719999
2,614.3179,1566.5444,2313.9917,0.0,0.0,0.0,-1386.0167,-11624.3983,627.8099,5868.834,-3229.13,82.26255239999999,-2018.9171000000015,-3146.8674476,-5165.784547600002
3,549.033,1602.3135,2299.121,0.0,0.0,0.0,-1366.133,-11677.541,610.0976,5795.2488,-3132.1517,82.45944503999999,-2187.860099999998,-3049.69225496,-5237.552354959998
4,592.8519,1517.2,2300.0845,0.0,0.0,0.0,-1355.2782,-11617.3136,616.7475,5851.2477,-3230.8736,82.02676176,-2094.4601999999995,-3148.8468382399997,-5243.307038239999
5,574.4439,1532.8219,2302.3829,0.0,0.0,0.0,-1377.8521,-11582.19,610.6533,5860.6361,-3250.1434,82.05693912,-2079.104000000001,-3168.08646088,-5247.190460880001
6,624.5175,1515.9303,2315.0861,0.0,0.0,0.0,-1374.3371,-11629.8861,610.9693,5805.1507,-3170.6501,82.557828,-2132.5692999999983,-3088.092272,-5220.661571999998
7,610.178,1537.6857,2301.3082,0.0,0.0,0.0,-1345.9941,-11670.2977,610.7883,5841.9154,-3183.8274,82.73637432,-2114.4161999999997,-3101.0910256800003,-5215.5072256799995
8,550.0334,1540.8517,2282.1054,0.0,0.0,0.0,-1395.3452,-11510.7893,623.7258,5878.1082,-3303.1012,80.68168512,-2031.3100000000004,-3222.41951488,-5253.72951488
9,571.3848,1589.6221,2300.8648,0.0,0.0,0.0,-1387.943,-11637.8116,620.4459,5815.8341,-3181.527,79.86322295999999,-2127.602900000001,-3101.6637770400002,-5229.266677040001
10,630.171,1508.9235,2286.9328,0.0,0.0,0.0,-1399.6446,-11584.9622,612.7787,5811.3798,-3245.4378,78.78810528,-2134.4210000000003,-3166.6496947200003,-5301.07069472
11,585.7313,1473.2159,2294.3878,0.0,0.0,0.0,-1330.5358,-11690.7604,617.6992,5932.243,-3232.01,82.57905864,-2118.0189999999993,-3149.4309413600004,-5267.44994136
12,578.0558,1502.0891,2306.5014,0.0,0.0,0.0,-1337.4755,-11630.3959,609.1427,5824.767,-3219.1005,79.94485296,-2147.3153999999995,-3139.15564704,-5286.47104704
13,603.8251,1547.3079,2300.5119,0.0,0.0,0.0,-1388.4058,-11561.6907,626.4154,5811.9533,-3236.72,80.0293788,-2060.0829000000003,-3156.6906212,-5216.773521200001
14,551.7029,1565.8395,2270.2153,0.0,0.0,0.0,-1387.313,-11584.0077,637.3162,5829.1226,-3215.0029,81.3704688,-2117.1242,-3133.6324312,-5250.7566312
15,533.808,1545.8196,2299.703,0.0,0.0,0.0,-1353.6339,-11583.1476,608.4477,5839.6665,-3277.0957,80.64199008,-2109.3367,-3196.4537099199997,-5305.79040992
16,602.8158,1519.6083,2285.1522,0.0,0.0,0.0,-1365.0051,-11601.9843,615.0261,5859.138,-3294.2541,82.05703704,-2085.249,-3212.19706296,-5297.44606296
17,594.8291,1533.4637,2271.6516,0.0,0.0,0.0,-1351.3177,-11506.6562,628.4644,5878.0828,-3387.4923,81.00371088,-1951.4822999999988,-3306.4885891199997,-5257.970889119999
18,554.9839,1583.0735,2265.2739,0.0,0.0,0.0,-1389.8386,-11477.1514,596.4359,5850.9683,-3365.8785,82.058184,-2016.254499999999,-3283.820316,-5300.0748159999985
19,560.1718,1579.1889,2290.5424,0.0,0.0,0.0,-1363.1919,-11412.965,612.8548,5829.0329,-3390.7602,83.62388591999999,-1904.3661000000002,-3307.1363140800004,-5211.50241408
20,599.1847,1500.4846,2271.6415,0.0,0.0,0.0,-1409.8608,-11493.4925,598.5064,5891.2404,-3342.5152,82.98379656,-2042.2956999999997,-3259.53140344,-5301.8271034399995
21,617.8911,1504.4787,2305.2121,0.0,0.0,0.0,-1364.514,-11389.7007,620.1454,5835.2547,-3407.2981,85.17071088,-1871.2326999999987,-3322.12738912,-5193.3600891199985
22,604.0276,1459.5001,2323.5453,0.0,0.0,0.0,-1336.6132,-11405.4048,609.3095,5851.6281,-3483.5672,83.75144832,-1894.0073999999995,-3399.81575168,-5293.82315168
23,546.3807,1528.7352,2283.7142,0.0,0.0,0.0,-1367.7112,-11320.2204,622.4101,5854.5747,-3526.0174,82.46915999999999,-1852.1167000000005,-3443.54824,-5295.6649400000015
24,556.6249,1563.2922,2279.2671,0.0,0.0,0.0,-1362.5995,-11508.5779,631.2908,5925.7757,-3409.0762,84.85693272,-1914.926700000001,-3324.21926728,-5239.145967280001
25,533.6112,1570.6511,2292.0885,0.0,0.0,0.0,-1329.9567,-11372.0207,623.3104,5854.3059,-3512.4549,85.22252064,-1828.010299999999,-3427.2323793600003,-5255.242679359999
26,545.0707,1521.9021,2299.9736,0.0,0.0,0.0,-1342.1856,-11463.5273,617.6059,5845.8584,-3428.3548,85.46768712,-1975.3021999999992,-3342.88711288,-5318.189312879999
27,589.1031,1485.3737,2308.6569,0.0,0.0,0.0,-1355.7974,-11587.0234,619.3292,5865.7751,-3302.8452,83.52567072,-2074.582799999999,-3219.31952928,-5293.90232928
28,581.0083,1515.5302,2286.1144,0.0,0.0,0.0,-1351.8733,-11649.3378,625.207,5899.4851,-3296.6339,83.5261164,-2093.8660999999993,-3213.1077836,-5306.973883599999
29,606.0603,1515.3427,2297.7083,0.0,0.0,0.0,-1349.7206,-11622.0691,603.062,5844.5679,-3274.5304,82.31783112,-2105.048500000001,-3192.21256888,-5297.2610688800005
30,577.889,1611.9973,2300.3832,0.0,0.0,0.0,-1330.2636,-11610.6062,618.4393,5876.6159,-3294.5869,84.54723912,-1955.5451000000003,-3210.0396608799997,-5165.5847608799995
31,599.7417,1552.9065,2298.4,0.0,0.0,0.0,-1372.1026,-11572.9889,610.2509,5873.3811,-3299.702,85.62983688,-2010.4113000000016,-3214.0721631200004,-5224.483463120002
32,558.3096,1564.6776,2261.5424,0.0,0.0,0.0,-1333.304,-11641.4742,612.4425,5829.9123,-3237.5416,86.06538359999999,-2147.8938000000007,-3151.4762164,-5299.3700164
33,584.9893,1515.3691,2300.4434,0.0,0.0,0.0,-1344.3886,-11550.3308,593.6907,5898.1846,-3354.9121,84.29521824,-2002.042300000001,-3270.61688176,-5272.65918176
34,597.5217,1501.4031,2301.1523,0.0,0.0,0.0,-1346.6192,-11609.5882,626.8154,5917.4117,-3284.7959,84.43300031999999,-2011.9032000000016,-3200.3628996800003,-5212.266099680001
35,558.3791,1512.8237,2340.1471,0.0,0.0,0.0,-1329.2084,-11568.4572,616.3123,5903.0667,-3354.4564,86.82009984,-1966.936700000001,-3267.6363001600002,-5234.573000160001
36,621.84,1525.9345,2291.6663,0.0,0.0,0.0,-1363.7623,-11609.8015,634.8422,5868.0901,-3262.6552,82.58395536,-2031.1906999999992,-3180.0712446400003,-5211.2619446399995
37,575.1847,1545.8241,2286.565,0.0,0.0,0.0,-1339.6166,-11616.464,617.826,5936.8224,-3345.8215,85.10052456,-1993.8583999999992,-3260.72097544,-5254.579375439999
38,600.0273,1535.6193,2287.4852,0.0,0.0,0.0,-1336.0971,-11645.4274,612.7974,5862.1583,-3284.9852,85.75199855999999,-2083.437,-3199.23320144,-5282.67020144
39,569.3513,1526.6241,2314.9838,0.0,0.0,0.0,-1363.1161,-11515.5567,625.7137,5893.8387,-3393.7483,84.4606656,-1948.1611999999986,-3309.2876344,-5257.448834399999
40,590.3344,1515.4983,2286.4511,0.0,0.0,0.0,-1362.8138,-11649.3439,606.8719,5884.7025,-3255.1227,81.69017616,-2128.2994999999983,-3173.4325238399997,-5301.732023839998
41,588.3661,1502.3832,2291.145,0.0,0.0,0.0,-1342.1271,-11558.3984,617.1066,5916.5444,-3428.5175,83.51407584,-1984.9802,-3345.00342416,-5329.98362416
42,606.1454,1525.3926,2322.456,0.0,0.0,0.0,-1360.7979,-11490.8498,624.8802,5889.5773,-3419.5278,84.19965552,-1883.1961999999994,-3335.32814448,-5218.524344479999
43,585.5739,1566.1106,2292.5257,0.0,0.0,0.0,-1319.6853,-11539.8417,627.6655,5913.0694,-3398.5949,87.05752487999999,-1874.5819000000001,-3311.53737512,-5186.119275120001
44,616.9594,1569.1863,2327.7456,0.0,0.0,0.0,-1326.4136,-11501.516,616.0019,5888.3094,-3464.1306,87.70640112000001,-1809.7269999999999,-3376.42419888,-5186.151198879999
45,592.0949,1534.0101,2301.7905,0.0,0.0,0.0,-1344.8042,-11471.1171,616.2816,5939.6788,-3490.292,86.33228184,-1832.0653999999995,-3403.9597181599997,-5236.025118159999
46,583.5363,1529.5594,2307.3461,0.0,0.0,0.0,-1332.5812,-11466.6646,601.7413,5857.1536,-3454.2565,87.56645544,-1919.9091000000008,-3366.69004456,-5286.59914456
47,598.9087,1518.3414,2305.3717,0.0,0.0,0.0,-1313.7608,-11367.6093,615.9142,5855.3051,-3543.4243,90.52478135999999,-1787.5289999999995,-3452.89951864,-5240.428518639999
48,572.5251,1534.0239,2332.3635,0.0,0.0,0.0,-1319.3787,-11452.1146,628.1028,5922.6021,-3500.9116,89.02429271999999,-1781.8759,-3411.8873072799997,-5193.763207280001
49,585.4535,1478.7069,2272.194,0.0,0.0,0.0,-1335.8964,-11500.8683,626.4828,5916.949,-3427.8039,84.4221024,-1956.9785000000002,-3343.3817976,-5300.3602976
50,582.6597,1519.1564,2307.3079,0.0,0.0,0.0,-1363.7596,-11443.6463,603.6138,5902.7267,-3478.8697,83.81059848,-1891.9414000000015,-3395.0591015200002,-5287.000501520001
51,589.1874,1605.0999,2309.7021,0.0,0.0,0.0,-1357.6059,-11507.6792,609.1471,5890.0136,-3439.7206,81.90378864,-1862.1350000000002,-3357.81681136,-5219.951811360001
52,582.0558,1510.4527,2287.6167,0.0,0.0,0.0,-1369.8155,-11495.3111,616.5942,5909.0555,-3417.6289,82.20780504,-1959.351700000001,-3335.42109496,-5294.772794960001
53,572.6579,1547.0299,2294.4869,0.0,0.0,0.0,-1358.9675,-11525.6256,620.903,5849.9446,-3345.2045,83.69435304,-1999.5707999999986,-3261.51014696,-5261.080946959998
54,596.1783,1577.0244,2266.0669,0.0,0.0,0.0,-1332.8696,-11565.0738,627.9224,5896.2077,-3357.1861,84.74234111999999,-1934.5437000000002,-3272.44375888,-5206.98745888
55,599.7206,1555.9009,2320.0587,0.0,0.0,0.0,-1348.2942,-11552.4792,600.506,5854.964,-3354.973,84.28399848,-1969.623199999999,-3270.68900152,-5240.312201519999
56,608.0315,1540.3566,2287.7813,0.0,0.0,0.0,-1377.7259,-11574.1191,620.3239,5843.711,-3312.312,80.49918456,-2051.640699999998,-3231.81281544,-5283.453515439998
57,586.2889,1523.8426,2290.9866,0.0,0.0,0.0,-1382.0903,-11552.9707,610.9546,5910.4488,-3375.6113,82.191924,-2012.5394999999999,-3293.419376,-5305.958876
58,594.1605,1538.6489,2309.8479,0.0,0.0,0.0,-1354.4077,-11569.0362,628.6215,5896.2727,-3370.9663,82.76683967999999,-1955.8923999999988,-3288.19946032,-5244.091860319999
59,605.4473,1519.0986,2306.261,0.0,0.0,0.0,-1332.2228,-11594.5221,604.9973,5899.3276,-3355.6557,84.47325407999999,-1991.6131000000005,-3271.1824459199997,-5262.79554592
60,594.9774,1543.265,2305.5928,0.0,0.0,0.0,-1352.8388,-11476.721,607.2789,5828.1085,-3369.0639,84.77202024,-1950.337199999999,-3284.29187976,-5234.6290797599995
61,596.6359,1518.9322,2261.3749,0.0,0.0,0.0,-1349.7355,-11521.9212,608.1136,5873.0,-3357.7251,84.4055568,-2013.6001000000006,-3273.3195432,-5286.919643200001
62,573.1468,1514.456,2315.3256,0.0,0.0,0.0,-1372.4932,-11520.1428,626.0088,5900.3481,-3399.4081,82.14667055999999,-1963.3507,-3317.26142944,-5280.61212944
63,596.4612,1543.3402,2282.4088,0.0,0.0,0.0,-1353.3879,-11562.3688,609.4126,5895.6247,-3335.5417,82.91191536,-1988.5092000000004,-3252.6297846400003,-5241.13898464
64,562.1357,1504.7442,2273.122,0.0,0.0,0.0,-1323.3085,-11601.3619,610.5186,5945.5239,-3378.0543,84.74176800000001,-2028.6259999999993,-3293.312532,-5321.938531999999
65,595.9881,1499.7055,2295.3325,0.0,0.0,0.0,-1318.8362,-11580.9293,603.7185,5925.3302,-3367.374,85.92210504,-1979.6906999999983,-3281.4518949599997,-5261.142594959998
66,575.265,1555.9542,2307.0535,0.0,0.0,0.0,-1352.2172,-11535.1209,625.0277,5886.6737,-3352.1012,85.86951408,-1937.3639999999996,-3266.23168592,-5203.59568592
67,545.389,1577.3413,2304.7106,0.0,0.0,0.0,-1362.0931,-11390.7069,599.0237,5879.204,-3510.0465,86.4294048,-1847.1314000000002,-3423.6170951999998,-5270.7484952
68,610.2643,1608.548,2260.0901,0.0,0.0,0.0,-1339.9277,-11443.9653,621.3358,5893.839,-3489.9452,86.04729504,-1789.8158000000012,-3403.8979049600002,-5193.713704960001
69,564.6007,1558.4301,2299.6465,0.0,0.0,0.0,-1370.188,-11456.3308,620.309,5934.8241,-3456.2889,85.92562296,-1848.7084000000004,-3370.36327704,-5219.071677040001
70,592.0392,1508.3809,2283.9379,0.0,0.0,0.0,-1349.6046,-11414.329,612.5371,5892.3267,-3500.9982,85.93878959999999,-1874.711800000001,-3415.0594104,-5289.771210400001
71,563.2766,1568.54,2290.6832,0.0,0.0,0.0,-1357.6775,-11418.0799,616.0775,5864.9609,-3437.4629,83.6017236,-1872.2192000000005,-3353.8611764,-5226.0803764
72,603.9453,1533.9742,2294.5544,0.0,0.0,0.0,-1320.5492,-11455.5592,614.312,5831.2837,-3425.0337,88.74504648,-1898.0388000000003,-3336.28865352,-5234.32745352
73,597.9312,1525.9075,2319.2252,0.0,0.0,0.0,-1329.0177,-11475.8291,618.0453,5827.3282,-3401.6106,86.62741848,-1916.4094000000023,-3314.98318152,-5231.392581520002
74,651.0909,1508.6025,2276.8732,0.0,0.0,0.0,-1336.3472,-11398.5118,606.5135,5837.1395,-3456.0047,87.12899208,-1854.6394,-3368.87570792,-5223.5151079199995
75,592.5484,1484.7764,2286.8064,0.0,0.0,0.0,-1363.236,-11347.0218,617.622,5866.9872,-3504.3795,83.83725071999999,-1861.5173999999997,-3420.54224928,-5282.05964928
76,616.0593,1527.3999,2293.9915,0.0,0.0,0.0,-1349.4106,-11512.5377,619.4075,5924.6379,-3434.8863,82.60986456,-1880.4522000000024,-3352.27643544,-5232.728635440002
77,601.6019,1577.3673,2266.2775,0.0,0.0,0.0,-1361.261,-11398.3648,614.1184,5843.0411,-3465.7144,84.06878616,-1857.2195999999994,-3381.64561384,-5238.865213839999
78,554.0361,1526.6338,2310.1888,0.0,0.0,0.0,-1333.227,-11512.0388,625.7364,5905.5134,-3407.9813,84.46717728,-1923.1573000000008,-3323.5141227199997,-5246.67142272
79,597.9782,1493.2756,2262.9317,0.0,0.0,0.0,-1364.654,-11415.4769,619.3009,5884.828,-3472.177,84.71428992,-1921.8165,-3387.4627100800003,-5309.279210080001
80,598.1316,1496.0124,2266.3365,0.0,0.0,0.0,-1358.023,-11322.5288,626.6184,5899.8797,-3548.368,85.11132672,-1793.573199999999,-3463.25667328,-5256.829873279999
81,574.7654,1498.7901,2300.7194,0.0,0.0,0.0,-1324.2951,-11513.8205,611.1495,5910.097,-3420.9281,86.23287936,-1942.5942000000014,-3334.69522064,-5277.2894206400015
82,597.0008,1525.2908,2271.2418,0.0,0.0,0.0,-1303.2176,-11471.8324,613.447,5882.8075,-3446.0796,88.31816208000001,-1885.262099999999,-3357.76143792,-5243.023537919999
83,592.6509,1574.8739,2315.2409,0.0,0.0,0.0,-1329.3621,-11442.9837,607.7116,5840.9443,-3431.4064,85.96924487999999,-1840.9242000000013,-3345.4371551199997,-5186.3613551200015
84,556.5049,1559.9798,2266.0532,0.0,0.0,0.0,-1319.8005,-11496.001,632.1519,5924.2891,-3419.8734,88.26832224,-1876.8226000000022,-3331.60507776,-5208.427677760002
85,569.8473,1462.4541,2272.9267,0.0,0.0,0.0,-1303.2241,-11454.1204,615.1235,5870.2369,-3430.4701,90.42078599999999,-1966.7559999999994,-3340.049314,-5306.805314
86,621.7379,1530.4643,2303.489,0.0,0.0,0.0,-1296.1066,-11483.4834,617.7348,5869.0244,-3450.248,85.67555399999999,-1837.1395999999986,-3364.572446,-5201.712045999998
87,594.5499,1572.0303,2281.3285,0.0,0.0,0.0,-1358.3371,-11522.23,621.3511,5881.6839,-3381.8923,84.70166112,-1929.6234000000004,-3297.19063888,-5226.81403888
88,611.9944,1476.7332,2312.4594,0.0,0.0,0.0,-1329.7517,-11427.3293,618.3076,5878.4859,-3456.3726,86.71911264,-1859.1005000000005,-3369.6534873600003,-5228.753987360001
