GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,594.1238,1550.0979,2272.4468,0.0,0.0,0.0,-1371.7922,-11657.9557,594.5987,5820.5194,-3065.8697,82.65932784,-2197.9613,-2983.21037216,-5181.1716721600005
1,609.6116,1499.1705,2282.4933,0.0,0.0,0.0,-1331.7976,-11718.4578,624.5603,5906.9993,-3103.5073,84.89522303999999,-2127.420399999999,-3018.61207696,-5146.032476959999
2,597.8437,1559.3867,2312.7375,0.0,0.0,0.0,-1323.7917,-11675.5668,626.7927,5863.8897,-3111.4395,85.91707584,-2038.708200000001,-3025.52242416,-5064.230624160002
3,603.1003,1565.7373,2305.1836,0.0,0.0,0.0,-1333.81,-11684.7549,610.6401,5910.6005,-3154.922,84.9031884,-2023.303100000001,-3070.0188116,-5093.321911600002
4,617.8914,1555.7175,2321.9086,0.0,0.0,0.0,-1336.7245,-11791.1814,621.0615,5893.8961,-3052.7596,84.03575544,-2117.4308,-2968.7238445599996,-5086.15464456
5,572.7758,1520.5302,2289.4937,0.0,0.0,0.0,-1372.8699,-11805.0666,620.0179,5958.4136,-3048.3449,79.79533776,-2216.7053000000005,-2968.54956224,-5185.254862240001
6,617.1392,1563.4445,2278.6752,0.0,0.0,0.0,-1333.9865,-11672.6536,624.5202,5882.8306,-3128.2285,84.06409319999999,-2040.0303999999996,-3044.1644068,-5084.1948068
7,534.06,1477.9822,2298.9909,0.0,0.0,0.0,-1363.6887,-11614.1607,633.3449,5943.4296,-3204.1543,82.77010848,-2090.0418,-3121.38419152,-5211.42599152
8,582.0777,1540.1506,2290.2254,0.0,0.0,0.0,-1326.4557,-11740.148,615.6588,5893.0826,-3105.7015,83.38038696,-2145.4085999999998,-3022.32111304,-5167.72971304
9,582.891,1539.8492,2297.8102,0.0,0.0,0.0,-1331.0785,-11804.7834,620.8228,5941.8053,-3069.8122,83.62028375999999,-2152.6834,-2986.19191624,-5138.87531624
10,595.7625,1500.1632,2315.1254,0.0,0.0,0.0,-1350.786,-11670.5465,619.7211,5902.9819,-3127.2377,85.41431136,-2087.5784000000003,-3041.8233886400003,-5129.40178864
11,605.5514,1531.7313,2316.717,0.0,0.0,0.0,-1343.1222,-11623.9509,626.9545,5896.9774,-3203.273,82.82171736,-1989.1414999999997,-3120.45128264,-5109.59278264
12,611.414,1508.0115,2294.535,0.0,0.0,0.0,-1328.9572,-11544.6998,606.8079,5908.0645,-3289.8535,84.86111952,-1944.8240999999998,-3204.99238048,-5149.81648048
13,603.7652,1521.6819,2287.2751,0.0,0.0,0.0,-1364.2209,-11634.4415,607.3897,5922.527,-3202.3575,84.31524792,-2056.023500000001,-3118.0422520800003,-5174.065752080001
14,610.5412,1540.9433,2260.7088,0.0,0.0,0.0,-1354.3316,-11690.4516,607.4122,5891.1734,-3120.3978,83.78468856,-2134.0043000000014,-3036.61311144,-5170.617411440001
15,602.8391,1548.9576,2306.9444,0.0,0.0,0.0,-1340.7277,-11694.2509,601.7949,5921.6862,-3140.0343,82.74156768,-2052.7563999999993,-3057.2927323199997,-5110.049132319999
16,553.5087,1570.4907,2287.3532,0.0,0.0,0.0,-1367.0732,-11764.031,604.3369,5936.7827,-3081.8498,81.96880248,-2178.6319999999996,-2999.88099752,-5178.51299752
