GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,557.097,1541.5968,2291.7707,0.0,0.0,0.0,-1371.4426,-11742.6247,620.6785,5786.5178,-2966.7475,80.65569456,-2316.406500000001,-2886.09180544,-5202.498305440001
1,560.5664,1492.3437,2309.0006,0.0,0.0,0.0,-1393.7278,-11806.8181,619.9486,5885.9008,-2979.2617,79.75727352,-2332.7858000000006,-2899.50442648,-5232.2902264800005
2,585.4716,1526.0953,2300.6424,0.0,0.0,0.0,-1334.9737,-11668.6682,613.4716,5787.9774,-3093.8611,84.28535928,-2189.9836000000005,-3009.57574072,-5199.55934072
3,585.1566,1562.9464,2294.7401,0.0,0.0,0.0,-1370.9114,-11682.407,605.766,5842.4574,-3071.47,83.23326359999999,-2162.2518999999984,-2988.2367363999997,-5150.4886363999985
4,583.8023,1497.7159,2294.0736,0.0,0.0,0.0,-1385.2369,-11743.542,609.2488,5931.9903,-3069.2044,81.39124512,-2211.9479999999985,-2987.81315488,-5199.761154879999
5,589.0389,1506.1002,2340.2733,0.0,0.0,0.0,-1367.1439,-11646.1075,629.4198,5874.6901,-3166.7871,80.78582304,-2073.7291000000005,-3086.00127696,-5159.73037696
6,567.955,1564.5882,2288.3696,0.0,0.0,0.0,-1379.1266,-11557.2799,621.3347,5833.22,-3166.4286,81.09094824,-2060.9389999999985,-3085.33765176,-5146.2766517599985
7,610.6764,1542.7975,2282.8078,0.0,0.0,0.0,-1351.1306,-11629.1744,629.5175,5823.2559,-3161.9792,84.4855812,-2091.2499000000007,-3077.4936188,-5168.743518800001
8,591.6156,1526.0121,2310.3923,0.0,0.0,0.0,-1384.1541,-11727.8034,624.6946,5864.8505,-3094.852,79.59554424,-2194.3924000000006,-3015.25645576,-5209.6488557600005
9,563.1351,1543.4333,2283.4539,0.0,0.0,0.0,-1365.2268,-11645.5928,628.3597,5904.8194,-3203.5713,82.41634151999999,-2087.6182,-3121.15495848,-5208.77315848
10,616.5597,1488.6236,2290.1665,0.0,0.0,0.0,-1353.7914,-11686.7645,610.5072,5854.7125,-3143.3039,82.48146048,-2179.9864,-3060.82243952,-5240.808839519999
11,552.6561,1499.7483,2255.5926,0.0,0.0,0.0,-1401.4477,-11551.8808,621.7927,5870.8591,-3178.9272,81.01156392,-2152.6797000000006,-3097.9156360800002,-5250.59533608
