GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,587.6743,1517.8229,2309.6377,0.0,0.0,0.0,-1382.3052,-11562.2153,626.4151,5756.4502,-3079.701,81.93798504,-2146.520299999999,-2997.76301496,-5144.283314959999
1,590.2951,1542.2085,2288.7427,0.0,0.0,0.0,-1370.3216,-11620.2337,617.3338,5829.5446,-3103.5796,81.414558,-2122.4306000000006,-3022.165042,-5144.595642
2,570.7206,1522.8583,2291.2462,0.0,0.0,0.0,-1357.9404,-11600.1276,627.6682,5805.2199,-3114.3462,81.54214703999999,-2140.354799999999,-3032.80405296,-5173.158852959999
3,595.5209,1590.1372,2292.756,0.0,0.0,0.0,-1376.0671,-11525.2311,608.288,5778.0314,-3146.778,83.63038895999999,-2036.5647000000008,-3063.14761104,-5099.712311040001
4,614.4499,1515.2363,2299.2233,0.0,0.0,0.0,-1377.9701,-11503.5554,609.3449,5747.3086,-3158.82,81.05820623999999,-2095.9624999999996,-3077.7617937600003,-5173.7242937599995
5,621.1892,1594.2425,2284.3264,0.0,0.0,0.0,-1394.2117,-11510.4611,602.3011,5717.6977,-3135.1186,80.15959656,-2084.915900000002,-3054.95900344,-5139.874903440002
6,567.8957,1529.4874,2280.1698,0.0,0.0,0.0,-1343.3746,-11440.5431,627.5743,5786.6472,-3242.2583,82.43458559999999,-1992.1432999999988,-3159.8237144,-5151.967014399999
7,588.8298,1538.7185,2306.5798,0.0,0.0,0.0,-1375.1322,-11391.1842,623.318,5757.8055,-3275.1329,81.38695104,-1951.0647999999992,-3193.74594896,-5144.810748959999
8,596.4789,1508.4157,2294.7194,0.0,0.0,0.0,-1363.1867,-11452.5516,606.7941,5766.0804,-3222.9919,81.34099056,-2043.2498000000014,-3141.65090944,-5184.900709440001
9,581.1565,1574.2559,2270.1126,0.0,0.0,0.0,-1345.7104,-11590.7561,621.6241,5742.5949,-3082.6791,81.63310824,-2146.7225000000008,-3001.0459917599997,-5147.768491760001
10,604.682,1583.8752,2274.6691,0.0,0.0,0.0,-1381.8953,-11512.7604,586.6736,5776.8934,-3172.644,81.38641896,-2067.862399999999,-3091.25758104,-5159.1199810399985
11,583.2826,1538.4018,2281.022,0.0,0.0,0.0,-1362.411,-11686.7404,619.0386,5815.1275,-3043.3937,82.437174,-2212.2789000000002,-2960.956526,-5173.235426
12,581.255,1554.6104,2300.6834,0.0,0.0,0.0,-1386.7869,-11717.7816,618.5295,5839.5116,-3061.4184,80.40370104,-2209.9786000000013,-2981.01469896,-5190.993298960001
13,592.9388,1477.6306,2300.8541,0.0,0.0,0.0,-1355.9484,-11660.0039,616.5007,5813.8936,-3084.9698,83.75895792,-2214.134499999999,-3001.21084208,-5215.345342079999
14,571.7716,1528.8233,2314.4695,0.0,0.0,0.0,-1365.6455,-11679.8186,621.8541,5769.6526,-3029.8769,79.28045136,-2238.892999999999,-2950.5964486400003,-5189.489448639999
15,565.8229,1518.2578,2271.1332,0.0,0.0,0.0,-1367.4037,-11580.56,614.1685,5748.0484,-3087.9045,81.89750664,-2230.5328999999983,-3006.0069933600003,-5236.539893359999
16,582.4918,1534.1282,2281.827,0.0,0.0,0.0,-1369.3767,-11662.2809,619.2297,5803.6823,-3042.2622,82.47475296,-2210.2985999999983,-2959.78744704,-5170.086047039998
17,602.9509,1533.5759,2274.7751,0.0,0.0,0.0,-1380.0442,-11492.5902,608.0083,5782.299,-3185.2418,80.55987768,-2071.025200000001,-3104.68192232,-5175.707122320001
18,566.321,1509.4851,2283.1493,0.0,0.0,0.0,-1350.3794,-11620.9291,619.8082,5800.4299,-3107.2955,80.4891816,-2192.114999999998,-3026.8063184000002,-5218.921318399998
19,590.7392,1469.9195,2321.3732,0.0,0.0,0.0,-1365.7077,-11683.4405,623.495,5798.8091,-3006.4864,79.78436424,-2244.812200000001,-2926.70203576,-5171.514235760001
20,562.451,1498.7354,2291.7138,0.0,0.0,0.0,-1391.1657,-11546.8159,643.6848,5779.464,-3115.074,81.8279208,-2161.932599999999,-3033.2460792,-5195.178679199998
21,574.3437,1539.3681,2264.013,0.0,0.0,0.0,-1375.0214,-11567.802,607.8945,5761.5281,-3068.5721,80.25136056,-2195.6759999999986,-2988.3207394399997,-5183.996739439999
22,587.586,1493.0218,2322.8209,0.0,0.0,0.0,-1336.6965,-11528.7726,616.5209,5766.9876,-3156.451,84.20991984,-2078.5319,-3072.24108016,-5150.77298016
23,601.5209,1564.8018,2260.4312,0.0,0.0,0.0,-1353.2484,-11495.7986,588.5723,5726.2374,-3150.7005,83.26469376,-2107.483400000001,-3067.4358062399997,-5174.919206240001
24,599.0029,1550.544,2281.2305,0.0,0.0,0.0,-1387.9711,-11575.7711,613.9756,5822.303,-3141.0129,81.60601032000001,-2096.6861999999983,-3059.40688968,-5156.093089679998
25,567.4248,1516.4418,2292.7272,0.0,0.0,0.0,-1372.6779,-11502.6833,607.1366,5764.2219,-3179.618,84.20604623999999,-2127.4089000000013,-3095.41195376,-5222.82085376
26,559.2314,1521.6011,2293.8632,0.0,0.0,0.0,-1382.8232,-11602.8483,600.7952,5808.6314,-3120.1813,80.37328896,-2201.5491999999995,-3039.80801104,-5241.35721104
27,602.7953,1608.6533,2302.5814,0.0,0.0,0.0,-1344.6967,-11536.5844,621.8364,5794.6227,-3164.6205,83.97735552,-1950.7919999999995,-3080.64314448,-5031.4351444799995
28,637.902,1521.6671,2274.3845,0.0,0.0,0.0,-1324.3078,-11647.1795,623.5992,5775.3652,-3069.7617,83.10415392,-2138.5693,-2986.65754608,-5125.2268460800005
29,580.0475,1493.4907,2268.5635,0.0,0.0,0.0,-1359.0159,-11484.3414,613.7056,5770.8464,-3200.8333,83.03309712,-2116.7036,-3117.8002028799997,-5234.503802879999
30,587.2822,1508.7851,2280.7781,0.0,0.0,0.0,-1333.6296,-11569.5827,596.5459,5783.692,-3152.2204,87.4101924,-2146.129000000001,-3064.8102076,-5210.939207600001
31,596.9865,1530.7602,2274.4166,0.0,0.0,0.0,-1353.6381,-11547.1203,614.816,5736.18,-3123.8349,84.52267416,-2147.5991000000004,-3039.31222584,-5186.91132584
32,564.0536,1563.4244,2283.9534,0.0,0.0,0.0,-1376.082,-11713.432,608.3237,5858.5591,-3050.3412,81.39082968,-2211.1998000000012,-2968.95037032,-5180.150170320001
33,623.1674,1549.3634,2292.9223,0.0,0.0,0.0,-1348.5219,-11647.6665,609.7514,5804.3577,-3078.8919,83.73383208,-2116.626199999999,-2995.15806792,-5111.784267919999
34,567.2208,1540.2402,2300.2343,0.0,0.0,0.0,-1353.0417,-11594.258,625.1415,5845.8728,-3143.0443,83.28256632,-2068.5901000000003,-3059.76173368,-5128.351833680001
35,589.4787,1553.3537,2303.5189,0.0,0.0,0.0,-1387.9227,-11622.9963,615.3511,5782.8097,-3045.0495,82.02577391999999,-2166.4069,-2963.02372608,-5129.43062608
36,605.9602,1520.6422,2285.8972,0.0,0.0,0.0,-1367.5267,-11599.3421,618.3071,5791.8873,-3104.3166,83.87308223999999,-2144.1748000000007,-3020.4435177600003,-5164.6183177600005
37,595.9429,1540.8499,2295.4451,0.0,0.0,0.0,-1355.9681,-11531.3745,602.5256,5827.2831,-3190.9338,84.85529544,-2025.2960000000003,-3106.0785045599996,-5131.37450456
38,607.7644,1542.8146,2272.5336,0.0,0.0,0.0,-1355.9653,-11577.1299,618.1574,5771.9371,-3133.7044,83.14852248,-2119.888099999999,-3050.55587752,-5170.443977519999
39,555.6556,1514.8269,2296.9662,0.0,0.0,0.0,-1360.3553,-11606.7304,611.7486,5837.506,-3127.47,80.8350408,-2150.3824000000004,-3046.6349591999997,-5197.0173592
40,580.3194,1532.1337,2229.21,0.0,0.0,0.0,-1370.2424,-11508.2029,602.8468,5789.6906,-3185.2372,83.62109376000001,-2144.2448000000013,-3101.61610624,-5245.860906240002
41,589.453,1529.2682,2274.1091,0.0,0.0,0.0,-1368.9485,-11630.928,628.9633,5831.9908,-3105.9105,82.83054311999999,-2146.0921000000008,-3023.07995688,-5169.172056880001
42,594.8584,1607.8238,2280.1695,0.0,0.0,0.0,-1357.9952,-11625.6546,614.4195,5763.8048,-3073.0668,84.83116175999999,-2122.5738,-2988.2356382400003,-5110.80943824
43,623.9998,1556.9973,2273.2694,0.0,0.0,0.0,-1356.6087,-11578.8696,598.9068,5774.0325,-3110.526,82.67390784,-2108.272500000001,-3027.8520921599998,-5136.124592160001
44,570.9942,1606.9464,2296.8526,0.0,0.0,0.0,-1358.9223,-11649.2631,610.6467,5881.0751,-3140.0225,83.30274,-2041.6704,-3056.71976,-5098.39016
45,551.2559,1514.5219,2286.0385,0.0,0.0,0.0,-1366.7911,-11596.2544,614.2067,5782.6131,-3100.9892,82.30675031999999,-2214.4094000000005,-3018.68244968,-5233.09184968
46,555.1996,1543.1778,2292.0568,0.0,0.0,0.0,-1355.498,-11631.2273,607.5686,5778.9041,-3094.9484,83.32005384,-2209.818400000001,-3011.62834616,-5221.446746160002
47,589.8454,1526.8297,2299.0027,0.0,0.0,0.0,-1332.6019,-11419.8738,611.9573,5753.969,-3275.6772,88.85876976,-1970.8715999999995,-3186.81843024,-5157.69003024
48,594.9217,1546.1609,2305.544,0.0,0.0,0.0,-1344.0497,-11592.5502,614.5499,5833.5843,-3183.9885,85.18007951999999,-2041.8390999999992,-3098.8084204799998,-5140.647520479999
49,611.0815,1545.9953,2266.755,0.0,0.0,0.0,-1358.8354,-11483.3967,614.0393,5793.0059,-3241.3325,83.90329992,-2011.3550999999989,-3157.42920008,-5168.784300079999
50,630.1393,1560.9079,2308.7992,0.0,0.0,0.0,-1357.7142,-11590.0522,610.058,5807.9881,-3139.553,83.73667608,-2029.8739000000005,-3055.81632392,-5085.690223920001
51,609.5365,1456.2177,2285.4116,0.0,0.0,0.0,-1366.4901,-11543.5702,611.9131,5822.3791,-3162.0578,84.07418976,-2124.6023000000005,-3077.98361024,-5202.585910240001
52,597.5881,1502.309,2284.898,0.0,0.0,0.0,-1355.3832,-11522.4301,610.284,5792.5309,-3188.8459,84.46428144,-2090.203299999999,-3104.38161856,-5194.584918559999
53,586.6466,1542.8946,2285.5274,0.0,0.0,0.0,-1344.8073,-11557.5125,619.8806,5823.8689,-3179.956,83.92808016,-2043.5016999999998,-3096.0279198400003,-5139.52961984
54,604.0944,1553.2097,2280.4584,0.0,0.0,0.0,-1352.8396,-11510.1263,609.1572,5795.2108,-3219.2315,84.62230416,-2020.835399999999,-3134.6091958399998,-5155.444595839999
55,610.9487,1528.566,2288.7001,0.0,0.0,0.0,-1331.2014,-11430.228,588.5415,5767.8876,-3237.0428,85.41236735999999,-1976.785499999999,-3151.63043264,-5128.4159326399995
56,574.2071,1550.3987,2283.8877,0.0,0.0,0.0,-1347.6308,-11371.2546,602.8923,5825.2083,-3324.6923,85.2387516,-1882.291299999999,-3239.4535484000003,-5121.7448484
57,556.6314,1623.0321,2264.1733,0.0,0.0,0.0,-1346.9011,-11564.0037,600.7798,5829.5479,-3174.4888,84.18620087999999,-2036.7402999999995,-3090.30259912,-5127.04289912
58,574.0123,1513.9089,2257.3678,0.0,0.0,0.0,-1349.191,-11537.2054,624.5411,5843.7299,-3227.6212,83.93425416,-2072.8364,-3143.68694584,-5216.52334584
