GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,560.5002,1515.6466,2319.5734,0.0,0.0,0.0,-1342.7377,-11681.9079,649.8843,5766.7486,-3078.6374,82.9122264,-2212.2925000000005,-2995.7251736000003,-5208.017673600001
1,606.4315,1490.7379,2310.8284,0.0,0.0,0.0,-1372.9531,-11525.0116,605.688,5714.2404,-3169.4815,82.1001744,-2170.0384999999997,-3087.3813256,-5257.4198256
2,603.6112,1551.5415,2315.3774,0.0,0.0,0.0,-1391.6833,-11639.7312,630.214,5735.8989,-3098.29,80.3722644,-2194.771499999999,-3017.9177356,-5212.689235599999
3,608.4072,1518.1246,2302.9644,0.0,0.0,0.0,-1370.5831,-11623.9627,596.726,5749.4234,-3101.8061,82.78907904,-2218.900200000001,-3019.0170209599996,-5237.917220960001
4,565.9761,1497.4042,2299.3608,0.0,0.0,0.0,-1374.5227,-11426.8006,617.6761,5703.3857,-3274.9349,81.76470696,-2117.5204000000012,-3193.1701930400004,-5310.690593040002
5,571.8968,1524.1354,2301.0725,0.0,0.0,0.0,-1348.2008,-11502.1805,643.0961,5756.5146,-3217.3564,83.10630239999999,-2053.665900000001,-3134.2500976,-5187.915997600001
6,593.0272,1487.5121,2274.7477,0.0,0.0,0.0,-1345.7027,-11468.4644,623.494,5793.4269,-3265.0454,84.78661824,-2041.9592000000002,-3180.25878176,-5222.21798176
7,570.4081,1576.5969,2287.6238,0.0,0.0,0.0,-1360.4434,-11397.0801,621.7589,5728.9377,-3313.7009,84.23465759999999,-1972.1980999999987,-3229.4662424,-5201.6643423999985
8,565.5666,1503.3753,2279.683,0.0,0.0,0.0,-1389.3356,-11289.6401,632.6345,5750.569,-3403.8307,82.54873728,-1947.1472999999996,-3321.28196272,-5268.429262719999
9,583.6854,1519.3512,2324.7513,0.0,0.0,0.0,-1364.9148,-11467.8422,625.034,5701.2038,-3252.5525,83.01263975999998,-2078.7313000000004,-3169.5398602399996,-5248.27116024
10,596.8817,1538.1228,2283.4472,0.0,0.0,0.0,-1412.2429,-11442.611,620.9853,5760.7777,-3271.1337,81.41341752,-2054.6392000000005,-3189.7202824799997,-5244.35948248
11,594.2055,1546.3081,2310.3501,0.0,0.0,0.0,-1366.7202,-11472.4813,634.0577,5780.8427,-3332.3961,82.35032688,-1973.437399999999,-3250.04577312,-5223.483173119999
12,566.0012,1478.7395,2297.2815,0.0,0.0,0.0,-1364.0981,-11358.2551,633.3043,5720.1638,-3343.746,82.9956168,-2026.862900000002,-3260.7503832,-5287.613283200002
13,572.822,1506.078,2300.7024,0.0,0.0,0.0,-1358.2422,-11527.7844,631.8365,5757.2108,-3226.1877,82.41220296,-2117.376900000001,-3143.77549704,-5261.152397040001
14,589.8786,1550.4443,2316.3415,0.0,0.0,0.0,-1375.6144,-11336.4489,623.0033,5779.7586,-3412.323,84.729042,-1852.6369999999997,-3327.593958,-5180.230957999999
15,592.1172,1511.3223,2329.5344,0.0,0.0,0.0,-1382.4091,-11421.7222,635.8442,5766.8191,-3315.0054,84.76301664,-1968.4941000000008,-3230.24238336,-5198.73648336
16,595.5432,1553.7372,2333.2947,0.0,0.0,0.0,-1383.0799,-11435.5749,625.4996,5747.6307,-3288.2784,81.28878047999999,-1962.9493999999986,-3206.9896195200004,-5169.9390195199985
17,591.3083,1503.3095,2295.6671,0.0,0.0,0.0,-1353.9235,-11335.7612,622.4269,5733.0694,-3387.9853,85.48276175999999,-1943.9034999999985,-3302.50253824,-5246.406038239998
18,594.5873,1533.271,2347.8896,0.0,0.0,0.0,-1388.416,-11460.2671,622.1378,5734.7042,-3289.943,82.4547348,-2016.0931999999993,-3207.4882652,-5223.5814652
19,578.949,1524.3559,2284.0613,0.0,0.0,0.0,-1372.2769,-11446.2358,636.2811,5736.1639,-3275.4637,81.27239616,-2058.701499999999,-3194.19130384,-5252.892803839999
20,594.9271,1518.0216,2310.1341,0.0,0.0,0.0,-1387.0923,-11502.9396,620.9707,5803.423,-3280.2418,82.67345568,-2042.5554000000002,-3197.5683443199996,-5240.12374432
21,546.1733,1535.0305,2298.943,0.0,0.0,0.0,-1374.3864,-11333.7832,633.3809,5746.7576,-3400.73,81.43426151999999,-1947.8842999999988,-3319.29573848,-5267.180038479999
