GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,603.5688,1564.3898,2307.5893,0.0,0.0,0.0,-1407.4473,-11594.8068,631.718,5833.4103,-3132.7869,81.20776824,-2061.577900000001,-3051.57913176,-5113.157031760001
1,575.5142,1466.6515,2256.3033,0.0,0.0,0.0,-1347.5757,-11697.704,626.6261,5836.7371,-3057.1595,83.50017552,-2283.4475,-2973.65932448,-5257.10682448
2,590.7144,1493.9551,2275.2001,0.0,0.0,0.0,-1336.3912,-11524.4035,608.6346,5867.9694,-3249.125,87.04348128,-2024.3211000000001,-3162.08151872,-5186.40261872
3,642.9839,1481.4979,2282.1835,0.0,0.0,0.0,-1330.9585,-11485.2759,614.5574,5817.534,-3272.0112,86.88064464,-1977.4777000000013,-3185.13055536,-5162.608255360001
4,580.0982,1539.5052,2304.612,0.0,0.0,0.0,-1364.0866,-11509.0755,610.2946,5830.8713,-3224.0727,84.37295807999999,-2007.7808000000005,-3139.69974192,-5147.480541920001
5,571.9453,1484.036,2273.6483,0.0,0.0,0.0,-1352.1526,-11561.2196,637.2653,5857.1732,-3192.4789,85.62852936,-2089.3040999999994,-3106.85037064,-5196.154470639999
6,610.4879,1489.7196,2286.9638,0.0,0.0,0.0,-1335.9528,-11657.7662,614.0071,5836.9496,-3089.4866,85.00575672000001,-2155.5909999999994,-3004.48084328,-5160.0718432799995
7,574.7183,1571.1806,2306.6937,0.0,0.0,0.0,-1359.7207,-11576.5383,623.9634,5878.8772,-3206.9991,86.12142552,-1980.8258000000005,-3120.8776744799998,-5101.70347448
8,589.8708,1550.0064,2305.0226,0.0,0.0,0.0,-1355.9093,-11547.127,618.6896,5834.279,-3218.8979,86.44791024,-2005.1679000000004,-3132.44998976,-5137.61788976
9,575.0636,1580.6086,2283.3072,0.0,0.0,0.0,-1364.9638,-11487.6714,618.2825,5866.0928,-3294.2464,86.9717088,-1929.280499999998,-3207.2746912,-5136.555191199998
10,554.9867,1565.0254,2286.7027,0.0,0.0,0.0,-1311.7465,-11457.3119,635.7603,5886.9414,-3357.9672,90.17959895999999,-1839.6419000000005,-3267.78760104,-5107.429501040001
11,621.0604,1560.732,2293.5087,0.0,0.0,0.0,-1369.3855,-11507.3334,600.4822,5804.9288,-3217.3308,84.99789072,-1996.0067999999992,-3132.33290928,-5128.339709279999
12,584.2376,1496.549,2240.4395,0.0,0.0,0.0,-1384.1509,-11448.1024,621.1992,5858.5083,-3327.9545,83.14212456,-2031.3197,-3244.81237544,-5276.132075439999
13,598.9379,1580.983,2282.5128,0.0,0.0,0.0,-1347.6689,-11543.5757,605.7805,5850.8001,-3222.5035,87.11508816,-1972.2303000000002,-3135.3884118399997,-5107.61871184
14,565.3179,1567.9657,2269.6207,0.0,0.0,0.0,-1377.3269,-11528.4855,634.4104,5820.4222,-3213.9869,83.62064232,-2048.075500000001,-3130.3662576799998,-5178.441757680001
15,615.266,1534.6839,2266.9664,0.0,0.0,0.0,-1369.1926,-11608.2047,623.316,5870.0324,-3196.8067,83.0203272,-2067.1326,-3113.7863728,-5180.9189728
16,570.3314,1538.1289,2302.2115,0.0,0.0,0.0,-1362.0172,-11568.3635,609.7086,5827.1949,-3181.1464,82.93460832,-2082.8053999999993,-3098.2117916800003,-5181.017191679999
17,618.4158,1522.2598,2267.2824,0.0,0.0,0.0,-1353.7792,-11555.3935,610.4577,5852.729,-3202.505,85.84935048,-2038.0280000000002,-3116.65564952,-5154.6836495200005
18,602.3948,1502.2853,2287.6407,0.0,0.0,0.0,-1342.8342,-11578.0469,613.3307,5840.1574,-3199.7566,84.27191543999999,-2075.0722000000005,-3115.48468456,-5190.556884560001
19,584.0514,1539.8185,2291.3621,0.0,0.0,0.0,-1371.5337,-11575.3159,607.5881,5835.8663,-3181.6742,85.17271824,-2088.1632,-3096.50148176,-5184.66468176
20,564.402,1558.8758,2278.5836,0.0,0.0,0.0,-1347.8526,-11592.0567,623.3444,5851.659,-3158.5659,84.98704032,-2063.0445,-3073.5788596800003,-5136.623359679999
21,582.0947,1515.6298,2278.8391,0.0,0.0,0.0,-1369.8387,-11654.0269,611.376,5881.7126,-3141.679,82.676646,-2154.2134000000015,-3059.002354,-5213.215754000002
22,581.0801,1599.9192,2313.4366,0.0,0.0,0.0,-1359.7104,-11521.6156,622.7316,5850.5818,-3242.8982,84.26767248,-1913.5766999999987,-3158.63052752,-5072.207227519999
