GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,586.626,1534.5982,2279.178,0.0,0.0,0.0,-1384.3383,-11618.659,622.3047,5753.5572,-3081.2908,82.05907248,-2226.7332000000006,-2999.2317275200003,-5225.964927520001
1,569.2294,1522.9843,2320.6982,0.0,0.0,0.0,-1347.0928,-11493.8988,610.0397,5708.2196,-3175.2935,85.47652368,-2109.8203999999996,-3089.8169763200003,-5199.63737632
2,589.8442,1526.2457,2297.9013,0.0,0.0,0.0,-1374.3903,-11557.469,600.8,5769.5388,-3107.079,81.80604432,-2147.5292999999992,-3025.27295568,-5172.80225568
3,616.5565,1518.3728,2296.2689,0.0,0.0,0.0,-1354.1679,-11630.2308,621.7271,5723.9545,-3079.0465,82.87352639999999,-2207.518899999999,-2996.1729735999998,-5203.6918736
4,579.1267,1507.3338,2302.1968,0.0,0.0,0.0,-1370.0193,-11656.551,640.7612,5765.3113,-3065.2111,82.93391568,-2231.8404999999984,-2982.27718432,-5214.117684319999
5,575.7833,1559.7566,2281.3236,0.0,0.0,0.0,-1363.6947,-11552.7923,613.1384,5664.5417,-3110.7725,84.89322648,-2221.9434,-3025.87927352,-5247.8226735200005
6,581.4534,1523.2573,2298.0105,0.0,0.0,0.0,-1380.041,-11568.6503,646.9544,5711.666,-3061.4807,82.94262552,-2187.349699999999,-2978.53807448,-5165.887774479999
7,596.4363,1530.9397,2305.4562,0.0,0.0,0.0,-1398.2664,-11535.6615,588.096,5766.1481,-3197.2493,81.57104928,-2146.8516,-3115.67825072,-5262.52985072
8,579.3221,1574.5347,2307.7168,0.0,0.0,0.0,-1386.9573,-11631.6514,642.6669,5742.6943,-3077.9635,80.97566832,-2171.6739000000007,-2996.98783168,-5168.66173168
9,591.7925,1501.2494,2313.4473,0.0,0.0,0.0,-1395.8775,-11679.2006,639.169,5740.7775,-3042.6293,78.37297416,-2288.6424000000006,-2964.25632584,-5252.898725840001
10,591.6703,1452.6914,2291.2023,0.0,0.0,0.0,-1397.56,-11598.9585,634.1984,5748.9903,-3074.2564,80.62975224,-2277.765799999999,-2993.62664776,-5271.392447759999
11,622.1608,1502.2549,2312.0177,0.0,0.0,0.0,-1382.137,-11577.0703,599.2168,5727.5578,-3108.1979,82.07256312,-2195.9993000000004,-3026.1253368800003,-5222.12463688
12,575.0787,1489.2509,2330.3407,0.0,0.0,0.0,-1377.0084,-11545.9906,637.841,5767.1377,-3181.7291,82.80504576,-2123.3499999999976,-3098.92405424,-5222.274054239997
13,621.1953,1517.5525,2312.6264,0.0,0.0,0.0,-1393.1225,-11358.6397,617.6015,5696.9568,-3257.2155,82.7410032,-1985.8296999999993,-3174.4744968,-5160.304196799999
14,595.2653,1544.3349,2288.9019,0.0,0.0,0.0,-1402.5246,-11459.8227,623.1705,5747.4388,-3211.1281,83.46691512,-2063.2358999999997,-3127.66118488,-5190.89708488
15,554.5691,1504.7885,2333.6182,0.0,0.0,0.0,-1373.6573,-11330.207,610.8424,5765.621,-3356.0002,82.40612832,-1934.4251000000013,-3273.59407168,-5208.019171680001
16,618.2701,1527.4452,2278.4263,0.0,0.0,0.0,-1373.6961,-11394.2311,600.743,5757.5574,-3289.9139,83.68649928,-1985.485200000001,-3206.22740072,-5191.71260072
17,631.2426,1548.4989,2288.0407,0.0,0.0,0.0,-1362.3454,-11509.5527,636.1547,5754.1698,-3214.7988,83.10231359999999,-2013.791400000001,-3131.6964864,-5145.4878864
18,585.6588,1502.9118,2298.0497,0.0,0.0,0.0,-1387.0145,-11503.1442,638.8919,5784.4408,-3198.7602,81.91672272,-2080.2057000000013,-3116.84347728,-5197.0491772800015
19,614.4236,1500.1995,2294.3058,0.0,0.0,0.0,-1348.9221,-11416.6098,596.8337,5683.3946,-3279.4559,85.14352439999999,-2076.3746999999994,-3194.3123756,-5270.687075599999
20,611.2604,1529.6687,2273.8344,0.0,0.0,0.0,-1374.0484,-11317.7668,628.0541,5686.7956,-3324.1963,83.28277008,-1962.2019999999993,-3240.91352992,-5203.115529919999
21,560.5923,1527.02,2272.1339,0.0,0.0,0.0,-1391.6264,-11467.8708,617.3182,5703.4784,-3199.6958,84.01754376000001,-2178.9544000000005,-3115.67825624,-5294.63265624
22,562.8344,1567.1689,2328.8783,0.0,0.0,0.0,-1378.4922,-11361.8028,627.1789,5738.4363,-3344.9011,84.03979319999999,-1915.7981999999993,-3260.8613068,-5176.6595068
23,612.1617,1506.9891,2276.1348,0.0,0.0,0.0,-1355.3983,-11346.5428,626.6649,5744.289,-3325.7344,82.86499944,-1935.7016000000012,-3242.86940056,-5178.571000560001
24,594.4319,1511.2807,2299.2421,0.0,0.0,0.0,-1360.0491,-11412.2088,621.0839,5714.3695,-3283.9495,84.22235496,-2031.8498000000009,-3199.7271450400003,-5231.57694504
25,625.4056,1481.2388,2275.8999,0.0,0.0,0.0,-1339.5826,-11327.4571,617.0586,5712.2228,-3339.2844,88.05305016,-1955.214,-3251.23134984,-5206.445349840001
26,610.3601,1530.7023,2304.803,0.0,0.0,0.0,-1328.1265,-11303.0392,620.3494,5685.4312,-3372.8985,87.3251604,-1879.5196999999998,-3285.5733395999996,-5165.0930396
27,583.2358,1528.4743,2281.1309,0.0,0.0,0.0,-1351.6358,-11312.6681,619.4894,5686.6,-3331.2757,83.04254208,-1965.3734999999997,-3248.23315792,-5213.60665792
28,611.42,1501.473,2307.5743,0.0,0.0,0.0,-1364.477,-11445.7547,637.8561,5747.2545,-3286.2502,82.7035272,-2004.6538,-3203.5466728,-5208.2004728
29,609.3686,1487.3354,2337.386,0.0,0.0,0.0,-1366.6493,-11374.3159,615.2406,5695.3212,-3302.217,83.8737216,-1996.3133999999982,-3218.3432784,-5214.656678399998
30,561.6067,1523.79,2284.6925,0.0,0.0,0.0,-1370.4205,-11354.4562,618.4907,5743.1122,-3342.634,82.80803519999999,-1993.1846000000005,-3259.8259648,-5253.010564800001
