GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,545.6917,1494.7899,2295.5771,0.0,0.0,0.0,-1398.2583,-11524.0238,634.7603,5565.2522,-3083.2537,80.43424128,-2386.210900000001,-3002.81945872,-5389.0303587200015
1,600.8571,1584.2272,2333.5246,0.0,0.0,0.0,-1385.8885,-11600.442,613.7979,5479.0761,-3006.9558,81.29578031999999,-2374.847599999999,-2925.66001968,-5300.507619679999
2,578.2491,1529.9769,2308.5101,0.0,0.0,0.0,-1380.7747,-11541.754,621.3693,5478.8603,-3008.4658,82.47688416,-2405.563,-2925.98891584,-5331.55191584
3,588.8653,1553.4806,2300.3569,0.0,0.0,0.0,-1370.4471,-11507.387,640.2134,5471.9564,-3035.2946,82.53083088,-2322.9615000000013,-2952.7637691200002,-5275.725269120001
4,554.685,1538.945,2309.06,0.0,0.0,0.0,-1392.97,-11505.9656,651.4253,5529.6054,-3088.863,81.17987111999999,-2315.214899999998,-3007.68312888,-5322.8980288799985
5,620.6714,1516.9731,2295.8115,0.0,0.0,0.0,-1382.7574,-11515.1206,621.4747,5512.601,-3081.9322,83.30224248,-2330.346300000001,-2998.62995752,-5328.976257520001
6,641.8497,1601.1979,2298.3925,0.0,0.0,0.0,-1337.4935,-11409.7406,609.1612,5497.3114,-3197.9797,87.69878928,-2099.3214,-3110.28091072,-5209.60231072
7,604.0303,1586.7085,2280.7481,0.0,0.0,0.0,-1341.1743,-11274.9028,625.5231,5469.0864,-3255.2469,86.37121224,-2049.980699999999,-3168.87568776,-5218.856387759999
8,567.2195,1526.038,2275.6583,0.0,0.0,0.0,-1353.7806,-11481.1089,644.0978,5516.2869,-3114.0836,82.14311448,-2305.588999999999,-3031.94048552,-5337.529485519999
9,594.0289,1472.306,2304.5731,0.0,0.0,0.0,-1374.9782,-11369.5894,610.9319,5467.0368,-3175.0024,83.5105176,-2295.6909000000014,-3091.4918823999997,-5387.182782400001
10,563.1548,1516.0451,2282.4484,0.0,0.0,0.0,-1364.0085,-11345.7883,636.9289,5520.1624,-3209.5658,85.88425824,-2191.0571999999993,-3123.68154176,-5314.738741759999
11,630.4661,1551.9593,2275.456,0.0,0.0,0.0,-1367.6537,-11477.641,604.5274,5541.5136,-3135.9795,83.24601335999999,-2241.3723,-3052.73348664,-5294.105786640001
12,587.5208,1527.0591,2269.8937,0.0,0.0,0.0,-1393.895,-11504.8959,631.9481,5536.8455,-3052.6891,82.66175064,-2345.5237000000006,-2970.0273493600002,-5315.551049360001
13,623.8026,1526.8428,2266.6289,0.0,0.0,0.0,-1385.3407,-11384.7753,620.9616,5476.4983,-3151.0625,82.69588008,-2255.381799999999,-3068.36661992,-5323.748419919999
14,592.491,1529.8505,2281.1031,0.0,0.0,0.0,-1388.1729,-11485.7273,607.7117,5548.2662,-3101.1406,80.63469432,-2314.4777000000013,-3020.50590568,-5334.983605680002
15,567.1405,1526.3111,2263.032,0.0,0.0,0.0,-1368.5298,-11506.2959,613.0988,5514.069,-3092.856,81.89048088,-2391.1742999999997,-3010.9655191200004,-5402.1398191200005
16,579.7857,1514.3819,2284.2481,0.0,0.0,0.0,-1375.3835,-11400.4776,622.0358,5508.7449,-3184.8869,83.44276488,-2266.664700000001,-3101.44413512,-5368.108835120001
17,588.6673,1494.609,2269.0186,0.0,0.0,0.0,-1354.0858,-11496.5322,628.992,5565.0585,-3164.7989,84.54207672,-2304.2725999999993,-3080.25682328,-5384.529423279999
18,566.2113,1513.6862,2265.5367,0.0,0.0,0.0,-1383.0268,-11447.3906,627.208,5553.652,-3149.483,79.94128248,-2304.123200000001,-3069.54171752,-5373.664917520001
19,612.8171,1527.6421,2293.906,0.0,0.0,0.0,-1365.7372,-11619.6088,619.95,5557.6342,-3032.7666,81.52686792,-2373.396599999999,-2951.23973208,-5324.636332079999
20,604.6471,1526.9374,2288.6931,0.0,0.0,0.0,-1371.5675,-11626.8887,635.8863,5563.4979,-3033.7906,79.74216288,-2378.794399999999,-2954.04843712,-5332.842837119999
21,580.2221,1527.5377,2288.1784,0.0,0.0,0.0,-1396.4675,-11524.0028,638.4157,5493.6171,-3057.4831,79.27834104,-2392.4993000000004,-2978.2047589599997,-5370.704058960001
22,595.5785,1488.9427,2273.602,0.0,0.0,0.0,-1388.6239,-11546.1825,610.5815,5542.8231,-3067.5103,80.86137984,-2423.2786000000015,-2986.6489201599998,-5409.927520160001
23,575.0622,1544.7253,2298.7913,0.0,0.0,0.0,-1396.1262,-11595.132,624.303,5546.2006,-3011.3647,79.60467744,-2402.175800000001,-2931.76002256,-5333.935822560001
24,590.4765,1557.2878,2298.693,0.0,0.0,0.0,-1378.58,-11523.9587,625.2572,5543.2575,-3100.9477,81.22887504,-2287.5666999999994,-3019.7188249600003,-5307.28552496
25,601.4798,1531.8359,2286.2,0.0,0.0,0.0,-1374.1241,-11383.3683,612.2556,5488.8059,-3181.0062,84.40935551999999,-2236.9151999999985,-3096.5968444799996,-5333.512044479999
26,592.7973,1515.8459,2290.1645,0.0,0.0,0.0,-1376.7539,-11423.6512,619.0435,5543.5881,-3173.6173,81.73242216,-2238.965800000001,-3091.8848778399997,-5330.850677840001
27,586.4176,1557.3095,2299.3489,0.0,0.0,0.0,-1381.2861,-11411.083,631.7456,5503.1695,-3155.4919,81.37866456,-2214.3780000000006,-3074.11323544,-5288.49123544
28,581.5636,1518.9204,2269.4013,0.0,0.0,0.0,-1390.2691,-11430.5962,617.3875,5484.4132,-3130.0333,82.37697336000001,-2349.1793,-3047.65632664,-5396.83562664
29,629.6469,1514.4701,2279.7879,0.0,0.0,0.0,-1384.1884,-11435.4777,611.4284,5504.1638,-3144.8972,80.70470639999999,-2280.169000000001,-3064.1924936,-5344.361493600001
30,616.2,1550.6002,2306.8901,0.0,0.0,0.0,-1362.2405,-11497.7749,626.774,5534.7282,-3122.9123,84.27109895999999,-2224.8229,-3038.64120104,-5263.46410104
31,618.6879,1543.1273,2301.1425,0.0,0.0,0.0,-1403.324,-11469.3898,601.4918,5525.2983,-3159.8529,82.55146103999999,-2282.9660000000003,-3077.30143896,-5360.267438960001
32,608.1307,1534.8538,2332.1036,0.0,0.0,0.0,-1396.0818,-11401.0257,635.1028,5514.4629,-3206.9104,79.76967119999999,-2172.453700000001,-3127.1407288,-5299.594428800001
33,579.3856,1497.7613,2283.3407,0.0,0.0,0.0,-1371.9356,-11392.3875,623.6449,5523.075,-3205.2673,80.8088796,-2257.115600000001,-3124.4584204,-5381.5740204
34,588.631,1538.8578,2291.8391,0.0,0.0,0.0,-1357.7779,-11474.9115,634.6514,5533.6578,-3154.7062,82.67151816,-2245.0522999999994,-3072.0346818400003,-5317.08698184
35,596.5909,1549.6346,2288.7278,0.0,0.0,0.0,-1377.3748,-11291.9232,622.9009,5495.8767,-3275.7658,83.06617176,-2115.5671,-3192.69962824,-5308.266728240001
36,558.8476,1529.9432,2281.6139,0.0,0.0,0.0,-1369.2533,-11407.2696,625.4283,5502.3414,-3179.0285,81.51725376,-2278.348500000001,-3097.5112462399998,-5375.85974624
37,564.4541,1539.2709,2274.2907,0.0,0.0,0.0,-1353.2906,-11433.5366,610.3976,5560.5841,-3215.8344,85.45720104,-2237.8297999999995,-3130.37719896,-5368.2069989599995
38,567.8136,1564.9928,2300.3643,0.0,0.0,0.0,-1337.7189,-11493.5306,625.899,5462.4931,-3102.9127,84.80004912,-2309.6866999999993,-3018.11265088,-5327.799350879999
39,600.8102,1483.0876,2291.8813,0.0,0.0,0.0,-1365.8889,-11474.3459,605.2958,5508.3815,-3119.1527,81.73097568,-2350.7784,-3037.42172432,-5388.20012432
40,567.4724,1542.1167,2279.9938,0.0,0.0,0.0,-1378.3824,-11439.8465,632.4792,5490.2894,-3114.5148,82.91220408,-2305.8773999999994,-3031.60259592,-5337.479995919999
41,631.7796,1508.156,2313.5053,0.0,0.0,0.0,-1385.2838,-11399.8991,597.0313,5497.7794,-3176.6747,82.83107663999999,-2236.931300000002,-3093.84362336,-5330.774923360002
42,584.3449,1580.0011,2290.1828,0.0,0.0,0.0,-1367.4978,-11379.1883,621.7805,5478.7317,-3182.4491,82.55632032,-2191.645099999999,-3099.89277968,-5291.537879679999
43,632.7231,1531.1285,2304.2788,0.0,0.0,0.0,-1416.64,-11507.7426,606.0642,5498.5958,-3042.5573,79.21812888000001,-2351.592199999999,-2963.3391711199997,-5314.931371119999
44,588.6511,1504.0991,2284.4915,0.0,0.0,0.0,-1407.1661,-11486.083,612.943,5523.6072,-3089.5536,79.33950576,-2379.4572,-3010.21409424,-5389.67129424
45,600.6993,1533.2638,2299.43,0.0,0.0,0.0,-1388.7354,-11404.1344,620.5267,5447.1833,-3119.5587,81.03308399999999,-2291.766700000001,-3038.525616,-5330.292316000002
46,555.88,1537.8918,2272.3262,0.0,0.0,0.0,-1405.9331,-11443.1935,597.2959,5532.4199,-3139.075,79.94294928000001,-2353.3127999999997,-3059.13205072,-5412.4448507199995
47,619.0692,1554.9226,2286.3417,0.0,0.0,0.0,-1357.9068,-11367.7209,615.3856,5443.1739,-3190.0433,82.08753551999999,-2206.734700000001,-3107.9557644799997,-5314.690464480001
48,594.3816,1535.8243,2283.4252,0.0,0.0,0.0,-1348.2254,-11436.3102,633.0822,5522.7193,-3180.3035,83.00493072,-2215.103000000001,-3097.29856928,-5312.401569280001
49,586.682,1495.6697,2302.8495,0.0,0.0,0.0,-1364.8922,-11426.2951,618.7683,5512.9794,-3178.2254,85.06123559999999,-2274.2384,-3093.1641643999997,-5367.402564399999
50,594.8274,1514.8159,2264.0335,0.0,0.0,0.0,-1369.1643,-11462.1435,611.6734,5515.0204,-3127.9583,81.79720848000001,-2330.9371999999994,-3046.16109152,-5377.098291519998
