GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,580.1638,1551.85,2314.978,0.0,0.0,0.0,-1387.1958,-11656.7739,605.4234,5891.0906,-3191.4329,76.39030224,-2100.4638999999997,-3115.04259776,-5215.50649776
1,558.396,1527.3573,2329.504,0.0,0.0,0.0,-1397.5538,-11716.9991,624.0312,5915.4061,-3149.9652,79.78202999999999,-2159.858300000001,-3070.1831700000002,-5230.04147
2,633.2828,1523.3322,2294.0865,0.0,0.0,0.0,-1367.3816,-11658.289,613.9798,5867.6723,-3158.2971,81.39195647999999,-2093.317000000002,-3076.90514352,-5170.222143520002
3,566.1798,1538.6555,2284.072,0.0,0.0,0.0,-1375.314,-11700.476,634.2809,5905.6102,-3172.9513,81.40563,-2146.9916000000003,-3091.54567,-5238.53727
4,587.2298,1489.3715,2280.2073,0.0,0.0,0.0,-1366.0884,-11654.2278,621.8515,5829.4702,-3154.7645,81.12875328,-2212.1859000000013,-3073.63574672,-5285.821646720002
5,591.3329,1476.2775,2314.293,0.0,0.0,0.0,-1379.8353,-11598.5992,626.8454,5886.6795,-3244.4464,80.23862808,-2083.0062,-3164.2077719199997,-5247.2139719199995
6,561.9069,1594.6226,2296.645,0.0,0.0,0.0,-1413.0681,-11453.7528,621.2629,5827.3522,-3317.9393,79.13571911999999,-1965.0313000000015,-3238.80358088,-5203.834880880001
7,567.3757,1524.2095,2317.5265,0.0,0.0,0.0,-1403.4302,-11525.957,614.912,5886.3086,-3311.2052,80.73218088,-2019.0548999999992,-3230.4730191199997,-5249.52791912
8,576.6656,1554.9085,2263.8843,0.0,0.0,0.0,-1382.8921,-11461.9036,606.9965,5846.3763,-3346.1054,81.76742064,-1995.9644999999991,-3264.3379793599997,-5260.302479359999
9,570.8791,1519.6904,2281.2889,0.0,0.0,0.0,-1394.5548,-11632.6987,632.9471,5912.3886,-3217.8638,78.99128136,-2110.059400000001,-3138.87251864,-5248.931918640001
10,579.8685,1541.017,2297.6201,0.0,0.0,0.0,-1377.6698,-11595.1035,615.0051,5893.6763,-3252.2137,80.15176656,-2045.5862999999981,-3172.06193344,-5217.648233439997
11,613.6686,1554.8602,2305.5359,0.0,0.0,0.0,-1373.539,-11685.4785,607.162,5952.3797,-3221.8164,84.15378504,-2025.4110999999984,-3137.66261496,-5163.073714959999
12,622.544,1565.9378,2257.8717,0.0,0.0,0.0,-1372.9123,-11541.0676,619.5625,5873.3038,-3283.8382,80.61385607999999,-1974.7601000000013,-3203.22434392,-5177.9844439200015
13,627.6651,1517.1663,2305.5192,0.0,0.0,0.0,-1380.5819,-11490.8816,615.521,5887.4003,-3354.1493,82.33492104,-1918.1916,-3271.81437896,-5190.00597896
14,576.9916,1491.0386,2304.1174,0.0,0.0,0.0,-1361.2563,-11476.8878,616.8701,5888.3237,-3382.8136,83.3041584,-1960.802700000001,-3299.5094416,-5260.312141600001
15,603.6608,1497.4034,2280.9161,0.0,0.0,0.0,-1352.26,-11616.6238,621.4691,5878.9137,-3282.9831,80.66902392,-2086.5207,-3202.3140760799997,-5288.834776080001
16,598.9982,1554.2688,2298.1615,0.0,0.0,0.0,-1377.2703,-11534.4539,607.9463,5820.5448,-3287.6725,81.7538076,-2031.8046000000013,-3205.9186924,-5237.723292400002
17,582.489,1497.6089,2301.4208,0.0,0.0,0.0,-1352.1194,-11483.6202,626.0987,5856.034,-3342.673,82.41705431999999,-1972.0882000000001,-3260.25594568,-5232.34414568
18,587.4602,1527.6168,2301.8495,0.0,0.0,0.0,-1356.3802,-11544.5653,624.8814,5894.9974,-3318.7098,83.78054279999999,-1964.1401999999998,-3234.9292572,-5199.0694572
19,596.5879,1567.4169,2278.3041,0.0,0.0,0.0,-1337.5424,-11602.2998,634.3565,5893.865,-3271.5285,85.30640136,-1969.3118000000013,-3186.22209864,-5155.533898640002
20,575.3929,1583.8181,2274.7733,0.0,0.0,0.0,-1339.367,-11533.4373,600.9405,5807.2106,-3278.5484,85.30083072000001,-2030.6688999999997,-3193.2475692800003,-5223.9164692800005
21,574.6143,1525.5168,2303.749,0.0,0.0,0.0,-1368.4753,-11668.3371,613.4382,5933.6827,-3220.9765,84.82599288,-2085.8113999999996,-3136.1505071200004,-5221.9619071199995
22,543.9203,1540.2126,2287.0697,0.0,0.0,0.0,-1359.8862,-11572.1383,633.2171,5928.6239,-3340.8149,84.37051871999999,-1998.9808999999996,-3256.44438128,-5255.42528128
23,605.2886,1526.8136,2288.5786,0.0,0.0,0.0,-1366.3151,-11582.6282,642.876,5921.012,-3304.6205,82.97394335999999,-1964.374499999999,-3221.64655664,-5186.021056639999
24,589.5091,1525.3298,2305.8362,0.0,0.0,0.0,-1361.7105,-11562.0004,618.7528,5863.651,-3299.5226,82.74712104,-2020.6320000000014,-3216.77547896,-5237.407478960002
25,561.0632,1566.8026,2294.1929,0.0,0.0,0.0,-1358.2154,-11443.9838,626.8175,5835.8882,-3378.7046,86.07725712,-1917.434800000001,-3292.62734288,-5210.062142880001
26,599.8471,1534.3298,2328.8199,0.0,0.0,0.0,-1346.3674,-11486.7432,608.8127,5887.0005,-3410.146,85.8899196,-1874.3006000000005,-3324.2560804,-5198.556680400001
27,571.3702,1599.6415,2299.8849,0.0,0.0,0.0,-1374.9934,-11329.8913,622.807,5911.7195,-3560.409,84.93703272,-1699.4615999999987,-3475.47196728,-5174.933567279998
28,563.8948,1524.2301,2301.0691,0.0,0.0,0.0,-1356.3017,-11550.8356,652.3495,5905.3011,-3350.6902,85.18762799999999,-1960.2927000000009,-3265.502572,-5225.795272000001
29,596.5008,1479.4231,2277.8487,0.0,0.0,0.0,-1316.9726,-11462.4997,625.8296,5874.867,-3392.9198,87.74529408,-1925.0031000000008,-3305.1745059200002,-5230.177605920001
30,597.8351,1532.4411,2288.7001,0.0,0.0,0.0,-1340.161,-11462.2207,606.119,5876.4402,-3409.0179,84.96773567999999,-1900.8462,-3324.05016432,-5224.8963643199995
31,600.7281,1565.571,2281.5573,0.0,0.0,0.0,-1349.9871,-11522.1042,618.2538,5878.3955,-3333.1525,85.10788224,-1927.5855999999994,-3248.04461776,-5175.630217759999
32,571.3749,1541.1196,2265.2529,0.0,0.0,0.0,-1315.4931,-11399.0095,619.9689,5913.0975,-3521.9493,88.4872152,-1803.6888,-3433.4620848000004,-5237.1508848
33,600.6399,1536.1614,2298.8733,0.0,0.0,0.0,-1343.0909,-11393.7108,616.5231,5833.3996,-3432.1034,88.58314152,-1851.2044000000014,-3343.52025848,-5194.724658480001
34,574.9445,1542.2438,2277.8712,0.0,0.0,0.0,-1348.9912,-11341.8444,627.0024,5845.4036,-3473.2356,85.37554152,-1823.370100000001,-3387.86005848,-5211.230158480001
