GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,583.4421,1537.5722,2297.9823,0.0,0.0,0.0,-1382.1712,-11790.7633,620.0157,5907.483,-3009.7842,80.2203876,-2226.4392000000007,-2929.5638124,-5156.0030124
1,586.8454,1497.5006,2277.6367,0.0,0.0,0.0,-1383.9774,-11605.7952,603.1446,5857.1294,-3131.5748,82.89144432,-2167.5159000000003,-3048.6833556799997,-5216.1992556800005
2,618.1672,1529.3548,2312.217,0.0,0.0,0.0,-1354.6162,-11709.5086,606.2554,5904.184,-3075.0041,81.97781040000001,-2093.9464,-2993.0262896,-5086.9726896
3,572.7046,1527.6043,2323.6554,0.0,0.0,0.0,-1360.5461,-11804.2714,614.057,5902.3729,-3024.0342,81.85187303999999,-2224.4232999999995,-2942.18232696,-5166.605626959999
4,614.2533,1534.0784,2289.4596,0.0,0.0,0.0,-1364.795,-11826.1326,614.1881,5892.1196,-2984.4498,80.59529232,-2246.8286,-2903.85450768,-5150.683107679999
5,622.5576,1547.9343,2344.7346,0.0,0.0,0.0,-1354.1386,-11717.6617,621.712,5861.2802,-3049.8631,83.09178791999999,-2073.5816000000023,-2966.77131208,-5040.352912080002
6,586.1873,1494.9213,2305.0768,0.0,0.0,0.0,-1361.4177,-11557.0964,614.9802,5854.6594,-3177.4745,81.36157464,-2062.6891000000005,-3096.1129253599997,-5158.80202536
7,597.5369,1593.3138,2287.9425,0.0,0.0,0.0,-1369.1982,-11588.6886,594.7892,5836.6373,-3166.1483,85.2040188,-2047.6670999999997,-3080.9442811999998,-5128.611381199999
8,562.5922,1514.1491,2311.573,0.0,0.0,0.0,-1355.4754,-11652.1369,646.3903,5951.1352,-3192.8954,83.47474656,-2021.7724999999991,-3109.42065344,-5131.193153439998
9,608.4958,1555.7373,2291.451,0.0,0.0,0.0,-1383.2953,-11555.0903,626.5185,5864.6028,-3216.2304,83.37369527999999,-1991.5801999999994,-3132.85670472,-5124.436904719999
10,604.3078,1545.5797,2294.7559,0.0,0.0,0.0,-1345.6099,-11529.0206,625.7484,5853.9527,-3239.4258,84.42570024,-1950.286,-3155.00009976,-5105.28609976
11,568.8878,1521.6593,2281.789,0.0,0.0,0.0,-1368.324,-11620.5758,635.7824,5936.3095,-3199.8355,83.22318144,-2044.4718000000003,-3116.61231856,-5161.08411856
12,632.736,1493.6083,2301.3549,0.0,0.0,0.0,-1371.5297,-11581.9634,618.1163,5927.1935,-3223.585,81.46956168,-1980.4841000000006,-3142.11543832,-5122.599538320001
13,584.4907,1540.5878,2292.0849,0.0,0.0,0.0,-1393.3396,-11628.3038,621.8468,5888.2981,-3145.1113,80.92100375999999,-2094.3350999999993,-3064.19029624,-5158.525396239999
