GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,594.8614,1529.8564,2314.1772,0.0,0.0,0.0,-1373.9381,-11812.6108,616.0995,5881.3113,-3007.4831,80.22290112,-2250.2431000000006,-2927.2601988799997,-5177.503298880001
1,557.2188,1551.5574,2284.9823,0.0,0.0,0.0,-1340.7895,-11755.8638,621.1656,5913.2981,-3106.3329,83.29157352,-2168.431099999998,-3023.04132648,-5191.472426479997
2,587.0052,1505.4646,2306.9687,0.0,0.0,0.0,-1331.3343,-11734.844,630.2672,5858.7627,-3074.2908,83.48727744,-2177.709899999999,-2990.80352256,-5168.513422559999
3,574.4617,1584.2116,2295.4802,0.0,0.0,0.0,-1354.4064,-11759.3409,605.6401,5864.0056,-3063.3145,82.4438304,-2189.9480999999987,-2980.8706696,-5170.818769599999
4,615.5405,1580.957,2275.3532,0.0,0.0,0.0,-1358.6454,-11712.2609,616.919,5799.4311,-3046.3342,82.04075352,-2182.7055,-2964.2934464799996,-5146.998946479999
5,590.833,1527.8465,2310.3549,0.0,0.0,0.0,-1350.5754,-11801.6057,631.6259,5873.9844,-3020.4764,81.78698231999999,-2217.536399999999,-2938.68941768,-5156.225817679999
6,633.8747,1536.9939,2327.6048,0.0,0.0,0.0,-1387.3126,-11707.53,617.6642,5875.7663,-3103.9004,80.99366976,-2102.9387000000006,-3022.90673024,-5125.845430240001
7,605.3045,1568.8963,2274.0807,0.0,0.0,0.0,-1346.7006,-11684.9573,603.389,5852.6451,-3121.6537,82.80021887999999,-2127.342300000001,-3038.8534811199997,-5166.195781120001
8,591.0048,1515.7093,2277.4828,0.0,0.0,0.0,-1327.8043,-11580.4637,620.1184,5838.3598,-3207.351,86.13358559999999,-2065.5928999999987,-3121.2174144,-5186.810314399999
9,609.4794,1529.4737,2278.4409,0.0,0.0,0.0,-1318.4213,-11619.7288,589.5063,5795.0521,-3135.3616,86.0852232,-2136.1977000000006,-3049.2763768,-5185.474076800001
10,613.2397,1554.6966,2278.8381,0.0,0.0,0.0,-1331.232,-11711.6501,602.2087,5858.047,-3107.4807,84.4630848,-2135.8520000000008,-3023.0176152,-5158.869615200001
11,607.9666,1548.0871,2272.1415,0.0,0.0,0.0,-1338.8082,-11737.5654,615.3335,5849.2271,-3081.6832,84.45825288,-2183.617799999999,-2997.22494712,-5180.842747119999
12,572.1177,1557.3313,2305.4562,0.0,0.0,0.0,-1338.6846,-11689.7103,610.5703,5830.0775,-3119.4983,82.80094392,-2152.8418999999994,-3036.69735608,-5189.53925608
13,561.0815,1475.7676,2272.5633,0.0,0.0,0.0,-1341.2828,-11626.0235,614.7328,5866.2452,-3153.0749,85.8306996,-2176.915899999999,-3067.2442004,-5244.1601003999995
14,600.2718,1525.0003,2316.6052,0.0,0.0,0.0,-1364.0672,-11684.8895,604.8013,5853.6477,-3099.081,84.54838248,-2148.630399999998,-3014.5326175200003,-5163.163017519998
15,604.2086,1527.3659,2313.5275,0.0,0.0,0.0,-1333.9448,-11682.5162,630.1532,5831.2383,-3130.8241,85.46635439999999,-2109.9675000000007,-3045.3577456,-5155.325245600001
16,569.2479,1551.2283,2282.9677,0.0,0.0,0.0,-1338.2565,-11702.7838,628.8229,5876.2985,-3124.1589,85.8900132,-2132.4749999999985,-3038.2688868,-5170.743886799999
17,560.2462,1488.4519,2288.5993,0.0,0.0,0.0,-1357.7282,-11663.2305,626.6127,5857.2695,-3098.3563,83.95725743999999,-2199.7790999999997,-3014.39904256,-5214.178142559999
18,576.5036,1551.8856,2307.6486,0.0,0.0,0.0,-1333.5147,-11578.8211,609.7934,5841.4524,-3209.581,84.98564568,-2025.0521999999983,-3124.5953543200003,-5149.647554319999
19,596.8822,1518.0227,2250.7925,0.0,0.0,0.0,-1348.0295,-11654.2038,615.5343,5882.0729,-3144.2017,82.87666632,-2138.9286999999986,-3061.32503368,-5200.253733679998
20,578.42,1518.5257,2286.2695,0.0,0.0,0.0,-1339.8631,-11606.301,622.8638,5872.7943,-3235.9622,86.33260728,-2067.2907999999998,-3149.62959272,-5216.92039272
21,581.4023,1568.3208,2278.7806,0.0,0.0,0.0,-1348.4983,-11582.1766,605.4464,5857.0665,-3236.4731,86.95938744,-2039.658300000001,-3149.5137125600004,-5189.172012560001
22,599.7217,1512.3552,2296.0786,0.0,0.0,0.0,-1331.8211,-11619.5346,615.6816,5887.9983,-3214.7767,86.09588352,-2039.520300000001,-3128.68081648,-5168.201116480001
23,613.2768,1548.9706,2276.8155,0.0,0.0,0.0,-1327.8261,-11645.9492,619.2636,5932.1744,-3229.8012,86.7877308,-1983.2743999999984,-3143.0134691999997,-5126.287869199999
24,570.9482,1486.8303,2303.5609,0.0,0.0,0.0,-1358.0187,-11747.6169,629.9903,5957.9766,-3143.8407,85.91804855999999,-2156.3293000000003,-3057.92265144,-5214.25195144
25,557.2727,1549.238,2281.927,0.0,0.0,0.0,-1338.3099,-11628.2757,631.0607,5857.4795,-3181.5732,85.36831128,-2089.6076999999996,-3096.20488872,-5185.812588719999
26,614.5841,1561.5326,2304.8499,0.0,0.0,0.0,-1362.5832,-11554.2065,610.8263,5839.5329,-3221.8571,84.50065512,-1985.4639000000016,-3137.3564448800003,-5122.820344880001
27,600.4522,1535.9074,2262.1718,0.0,0.0,0.0,-1346.092,-11569.0594,620.1607,5892.095,-3243.7714,86.28786576,-2004.3643000000002,-3157.48353424,-5161.84783424
28,578.6152,1537.9244,2297.6812,0.0,0.0,0.0,-1345.851,-11505.8208,628.152,5853.7137,-3281.0374,86.4625428,-1955.5852999999988,-3194.5748572,-5150.160157199999
29,601.2832,1476.4677,2281.8671,0.0,0.0,0.0,-1346.4035,-11599.1816,626.3745,5898.1255,-3204.6281,84.99027168,-2061.4671,-3119.6378283199997,-5181.10492832
30,613.4925,1548.2742,2272.565,0.0,0.0,0.0,-1364.2417,-11511.8707,606.751,5832.2776,-3261.5846,82.12405392,-2002.7520999999988,-3179.4605460800003,-5182.212646079999
31,584.2166,1574.122,2322.1887,0.0,0.0,0.0,-1349.1222,-11666.5002,603.1167,5877.0171,-3160.5056,82.00208592,-2054.9613,-3078.50351408,-5133.464814079999
32,613.1508,1512.4596,2291.9483,0.0,0.0,0.0,-1346.7705,-11646.601,616.9245,5884.7717,-3199.428,84.65130504,-2074.116600000001,-3114.77669496,-5188.893294960001
33,574.6434,1534.192,2316.1989,0.0,0.0,0.0,-1356.8332,-11669.6945,621.5663,5854.7177,-3159.6693,80.72215776,-2125.209399999999,-3078.94714224,-5204.156542239999
34,603.5034,1573.065,2286.4777,0.0,0.0,0.0,-1338.6864,-11593.448,614.7289,5829.536,-3204.2416,86.35410288,-2024.8234000000011,-3117.88749712,-5142.7108971200005
35,610.1554,1540.8199,2275.9734,0.0,0.0,0.0,-1349.4412,-11595.1202,622.0461,5881.1443,-3205.542,85.42878696,-2014.4223000000002,-3120.11321304,-5134.535513039999
36,588.5368,1498.6607,2301.3783,0.0,0.0,0.0,-1316.3575,-11686.0922,613.846,5880.9097,-3147.9188,85.8908232,-2119.118199999999,-3062.0279768,-5181.146176799998
37,589.3025,1510.3196,2302.4007,0.0,0.0,0.0,-1329.5517,-11577.2948,617.9003,5892.274,-3255.7652,86.4617004,-1994.6493999999984,-3169.3034995999997,-5163.952899599998
38,556.8333,1574.517,2282.5335,0.0,0.0,0.0,-1371.6965,-11642.6713,619.7476,5878.7831,-3183.0227,84.34304208,-2101.953300000001,-3098.67965792,-5200.632957920001
39,594.4644,1496.3072,2266.9626,0.0,0.0,0.0,-1350.4165,-11700.8299,627.9095,5923.3707,-3153.6211,82.82894832,-2142.232000000001,-3070.7921516799997,-5213.024151680001
40,595.258,1466.6963,2283.6474,0.0,0.0,0.0,-1374.2591,-11629.6171,600.8901,5824.3431,-3132.9892,83.8473984,-2233.0413,-3049.1418016,-5282.1831016
41,600.1325,1546.8491,2285.9177,0.0,0.0,0.0,-1315.7595,-11667.4686,598.5462,5886.1628,-3173.3647,88.96984703999999,-2065.6197999999995,-3084.39485296,-5150.01465296
42,568.2406,1535.9779,2256.9213,0.0,0.0,0.0,-1382.5375,-11702.8675,629.8642,5886.8187,-3146.2781,82.63612008,-2207.5823,-3063.64197992,-5271.224279919999
43,571.0723,1550.4832,2299.8356,0.0,0.0,0.0,-1335.7672,-11663.5881,616.6436,5913.2484,-3186.7789,86.07995136,-2048.0722000000014,-3100.69894864,-5148.771148640002
44,602.7028,1554.45,2274.8381,0.0,0.0,0.0,-1333.5428,-11750.9351,620.1248,5927.381,-3146.2636,84.4667424,-2104.981200000001,-3061.7968576000003,-5166.778057600001
45,610.7332,1556.0115,2278.0237,0.0,0.0,0.0,-1343.2737,-11698.9384,600.468,5887.57,-3187.3275,83.70929159999999,-2109.4056999999984,-3103.6182083999997,-5213.023908399999
46,583.7974,1466.9698,2313.1572,0.0,0.0,0.0,-1332.6898,-11661.1834,626.2162,5908.0443,-3219.1588,86.64602328000001,-2095.6883000000007,-3132.51277672,-5228.201076720001
