GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,661.3063,1556.0568,2291.072,0.0,0.0,0.0,-1355.2084,-11692.6939,603.2012,5861.1358,-3068.4679,83.19620807999999,-2075.1301999999996,-2985.27169192,-5060.401891919999
1,552.4725,1516.4729,2305.5415,0.0,0.0,0.0,-1317.1667,-11743.9378,630.6843,5934.6677,-3089.6403,84.37128552,-2121.2655999999997,-3005.26901448,-5126.53461448
2,585.2298,1521.6074,2271.3907,0.0,0.0,0.0,-1363.9507,-11731.7783,624.2286,5930.0316,-3071.2609,83.154474,-2163.2409000000007,-2988.1064260000003,-5151.347326000001
3,615.5716,1501.4801,2282.9687,0.0,0.0,0.0,-1362.5577,-11778.0675,619.5318,5930.334,-3057.8612,82.65982176,-2190.7390000000014,-2975.20137824,-5165.94037824
4,613.4573,1522.1941,2290.4873,0.0,0.0,0.0,-1368.9351,-11828.665,606.4153,5951.7158,-3052.0085,82.35698112,-2213.3303000000005,-2969.65151888,-5182.98181888
5,606.8954,1509.8372,2305.2307,0.0,0.0,0.0,-1334.4139,-11749.5062,621.7783,5915.8025,-3090.0156,84.25737072,-2124.376,-3005.7582292800003,-5130.134229280001
6,565.0386,1529.9204,2308.5026,0.0,0.0,0.0,-1362.194,-11770.0645,622.3489,5934.3477,-3094.1283,82.04938632,-2172.100300000001,-3012.07891368,-5184.17921368
7,613.8204,1533.1861,2302.5163,0.0,0.0,0.0,-1320.7026,-11772.3944,619.6041,5919.0971,-3084.0668,85.12517088,-2104.8729999999987,-2998.94162912,-5103.814629119998
8,563.0361,1489.9423,2302.1672,0.0,0.0,0.0,-1339.9432,-11794.9484,631.0151,5941.9865,-3079.5252,84.72578904,-2206.7443999999996,-2994.79941096,-5201.54381096
9,601.8103,1525.3639,2278.7558,0.0,0.0,0.0,-1349.5092,-11708.7405,625.5109,5919.4866,-3132.6277,81.07397136,-2107.3221999999996,-3051.55372864,-5158.87592864
10,537.7575,1498.1942,2275.5633,0.0,0.0,0.0,-1314.8547,-11644.0025,621.7416,5896.9993,-3159.9864,84.04754616,-2128.6013000000003,-3075.93885384,-5204.54015384
11,592.4511,1463.017,2284.5496,0.0,0.0,0.0,-1321.5093,-11787.3168,625.5514,5953.5018,-3096.0007,84.35184912,-2189.7551999999996,-3011.6488508800003,-5201.40405088
12,579.0701,1570.2462,2287.5479,0.0,0.0,0.0,-1346.2385,-11560.5149,642.7036,5950.5304,-3292.7562,86.57530344,-1876.6552000000001,-3206.18089656,-5082.8360965599995
13,593.869,1508.5638,2248.3185,0.0,0.0,0.0,-1318.516,-11520.1513,598.7537,5863.4123,-3276.7973,86.6792088,-2025.749999999999,-3190.1180912,-5215.868091199999
14,593.0601,1458.3113,2272.978,0.0,0.0,0.0,-1342.7994,-11582.5572,622.6819,5937.8193,-3258.9859,85.99560048,-2040.5060000000003,-3172.99029952,-5213.496299520001
15,564.333,1475.4641,2325.9279,0.0,0.0,0.0,-1352.3693,-11601.8147,624.2799,5951.527,-3273.1551,83.87609256,-2012.6521000000012,-3189.27900744,-5201.931107440001
16,603.2689,1481.7477,2262.6504,0.0,0.0,0.0,-1379.5372,-11629.2146,613.4547,5969.4528,-3212.4155,83.63843928,-2078.1773000000003,-3128.77706072,-5206.95436072
17,602.4784,1546.9589,2255.5004,0.0,0.0,0.0,-1354.8878,-11559.3386,603.9986,5848.8144,-3237.1079,84.49794432,-2056.475699999999,-3152.60995568,-5209.085655679999
18,555.8814,1525.1015,2266.4884,0.0,0.0,0.0,-1356.0548,-11591.7,626.9667,5942.521,-3277.3373,83.9858364,-2030.7958000000017,-3193.3514636,-5224.147263600002
19,573.9754,1485.4198,2246.9708,0.0,0.0,0.0,-1334.9724,-11676.0647,644.8866,5938.4593,-3179.0236,84.21399072,-2121.325200000001,-3094.80960928,-5216.134809280002
20,596.0517,1499.207,2267.4818,0.0,0.0,0.0,-1335.2074,-11710.2443,603.6073,5964.3724,-3187.9025,84.29881535999999,-2114.7315000000017,-3103.60368464,-5218.335184640002
21,603.4712,1500.8624,2299.8016,0.0,0.0,0.0,-1373.8607,-11619.0064,610.6302,5935.2239,-3210.7094,84.66223896,-2042.8778000000011,-3126.04716104,-5168.924961040002
22,589.1551,1511.5534,2299.124,0.0,0.0,0.0,-1357.042,-11702.6173,609.077,5921.6452,-3164.6612,82.6155684,-2129.1046000000006,-3082.0456316,-5211.1502316000015
23,548.9706,1477.7817,2257.0242,0.0,0.0,0.0,-1360.2884,-11723.1302,628.9581,5984.7139,-3201.1309,81.4754772,-2185.9700999999995,-3119.6554228,-5305.6255228
24,555.402,1468.1314,2273.9605,0.0,0.0,0.0,-1369.4379,-11583.1841,633.1207,5993.152,-3299.2688,83.52714744000001,-2028.8553999999995,-3215.7416525599997,-5244.59705256
