GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,582.7289,1484.4357,2326.4873,0.0,0.0,0.0,-1365.2886,-11606.2024,637.0519,5843.5795,-3214.8835,81.05240376,-2097.207700000001,-3133.83109624,-5231.038796240001
1,612.5911,1519.5251,2299.7735,0.0,0.0,0.0,-1370.0541,-11583.045,612.8319,5811.5366,-3217.8421,84.51623952,-2096.8408999999992,-3133.32586048,-5230.166760479999
2,612.6566,1523.6134,2285.9201,0.0,0.0,0.0,-1345.5429,-11628.3836,625.7661,5829.882,-3231.1104,82.06885512,-2096.0883000000003,-3149.04154488,-5245.129844880001
3,627.0414,1545.7772,2278.5727,0.0,0.0,0.0,-1377.5456,-11546.3006,634.9624,5832.4008,-3298.7871,80.99254224,-2005.0917,-3217.79455776,-5222.88625776
4,594.9837,1544.8172,2298.2211,0.0,0.0,0.0,-1360.8898,-11558.7671,626.3603,5861.2451,-3300.3891,82.12533336,-1994.029499999997,-3218.26376664,-5212.2932666399975
5,596.3188,1529.2741,2293.1481,0.0,0.0,0.0,-1349.4057,-11464.71,617.7384,5808.014,-3378.2971,85.15899648,-1969.6223,-3293.1381035199997,-5262.76040352
6,570.3363,1593.9442,2276.3969,0.0,0.0,0.0,-1357.7994,-11470.8788,626.7775,5887.8465,-3408.7089,84.72493512,-1873.3768,-3323.9839648800003,-5197.36076488
7,576.1187,1541.109,2300.9578,0.0,0.0,0.0,-1354.364,-11509.4569,615.5011,5823.7771,-3335.0845,83.71689408,-2006.3571999999995,-3251.3676059199997,-5257.724805919999
8,609.3334,1513.8971,2304.8348,0.0,0.0,0.0,-1355.2195,-11517.1026,613.088,5811.4938,-3357.8977,84.39627384,-2019.6749999999993,-3273.50142616,-5293.176426159999
9,578.5111,1549.7,2306.6763,0.0,0.0,0.0,-1367.8794,-11499.7247,634.0212,5862.6491,-3377.198,82.16601336,-1936.046400000001,-3295.03198664,-5231.078386640002
10,578.4,1559.2086,2260.3505,0.0,0.0,0.0,-1361.0555,-11588.6117,609.1929,5908.2276,-3266.1963,84.31568784,-2034.2875999999997,-3181.88061216,-5216.16821216
11,604.6511,1589.3085,2291.5802,0.0,0.0,0.0,-1365.4832,-11610.8585,602.4032,5866.4256,-3274.4258,84.22288272,-2021.9730999999992,-3190.20291728,-5212.1760172799995
12,588.874,1511.2202,2293.2387,0.0,0.0,0.0,-1339.0246,-11616.7228,614.6165,5870.8826,-3258.874,84.25559088,-2076.915399999999,-3174.61840912,-5251.533809119999
13,586.3907,1503.108,2287.9607,0.0,0.0,0.0,-1358.8935,-11606.4965,623.4839,5861.6658,-3300.2358,85.2949584,-2102.7808999999997,-3214.9408416,-5317.7217416
