GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,590.0866,1457.7934,2303.6427,0.0,0.0,0.0,-1394.2515,-11669.4013,612.5686,5810.5327,-3048.6277,78.93821952,-2289.028800000001,-2969.68948048,-5258.718280480001
1,581.8621,1564.1934,2294.542,0.0,0.0,0.0,-1357.3608,-11729.6902,623.2024,5819.319,-3044.7146,81.91362888,-2203.932099999999,-2962.8009711199998,-5166.733071119999
2,595.1121,1446.7732,2293.2684,0.0,0.0,0.0,-1363.0163,-11601.3004,622.9252,5843.3379,-3132.5733,79.12492848,-2162.8999000000003,-3053.44837152,-5216.348271520001
3,569.6673,1525.8403,2285.9755,0.0,0.0,0.0,-1378.8359,-11584.4577,614.573,5767.9385,-3108.0165,80.07498288000001,-2199.299000000001,-3027.9415171200003,-5227.240517120001
4,575.3005,1516.9776,2325.6754,0.0,0.0,0.0,-1360.6271,-11641.2928,624.6933,5864.58,-3145.916,84.29953464,-2094.6930999999995,-3061.6164653600003,-5156.309565359999
5,631.3895,1515.1034,2267.9293,0.0,0.0,0.0,-1398.3643,-11542.2258,631.2855,5880.1273,-3211.2975,80.08786224,-2014.7551000000003,-3131.20963776,-5145.964737760001
6,557.4241,1512.8229,2310.0707,0.0,0.0,0.0,-1388.7074,-11537.9298,631.5834,5883.2479,-3230.5883,80.37276264,-2031.4882000000016,-3150.21553736,-5181.7037373600015
7,581.7028,1554.4218,2305.5159,0.0,0.0,0.0,-1343.0324,-11525.7124,611.977,5793.9752,-3211.7472,84.77490024,-2021.1521000000012,-3126.9722997599997,-5148.124399760001
8,558.382,1533.4501,2297.3187,0.0,0.0,0.0,-1386.636,-11541.3489,613.7326,5850.2598,-3206.0276,80.77849056,-2074.8417000000018,-3125.2491094399998,-5200.090809440002
9,556.5509,1482.9811,2294.5451,0.0,0.0,0.0,-1359.0651,-11541.4773,611.7021,5855.213,-3198.5268,83.67534216,-2099.5501999999997,-3114.85145784,-5214.40165784
10,581.9928,1547.8636,2296.8993,0.0,0.0,0.0,-1371.3677,-11547.2219,631.7234,5833.586,-3221.1014,80.01335087999999,-2026.5245000000014,-3141.08804912,-5167.612549120001
11,614.3689,1520.6128,2302.862,0.0,0.0,0.0,-1381.2038,-11583.5328,598.1332,5880.1085,-3172.5356,80.22380184,-2048.6512000000002,-3092.3117981600003,-5140.96299816
12,538.4354,1516.7982,2287.7837,0.0,0.0,0.0,-1369.2866,-11524.5667,632.7328,5873.7962,-3253.4883,81.84376655999999,-2044.3069999999998,-3171.64453344,-5215.951533439999
13,586.5452,1476.0107,2278.848,0.0,0.0,0.0,-1342.0161,-11546.1364,620.2001,5867.599,-3229.8249,83.28424679999999,-2058.949499999999,-3146.5406532,-5205.4901531999985
14,620.8479,1479.8037,2308.0382,0.0,0.0,0.0,-1372.5646,-11432.0792,618.8361,5793.9383,-3292.9906,82.32815592,-1983.1795999999995,-3210.66244408,-5193.842044079999
15,557.8688,1540.3322,2325.8195,0.0,0.0,0.0,-1365.7795,-11441.5204,607.8156,5807.5339,-3291.3423,81.97942536000001,-1967.9298999999992,-3209.36287464,-5177.292774639999
16,598.3732,1609.4228,2264.9232,0.0,0.0,0.0,-1372.9489,-11524.8476,625.9511,5791.0001,-3169.4242,83.17459151999999,-2008.1260999999986,-3086.24960848,-5094.375708479999
17,581.754,1459.0384,2298.5706,0.0,0.0,0.0,-1359.2026,-11583.8051,631.5357,5861.3983,-3161.7205,81.95959151999999,-2110.7107000000005,-3079.76090848,-5190.471608480001
18,570.2161,1513.8369,2305.8491,0.0,0.0,0.0,-1351.538,-11619.1923,621.8435,5839.7187,-3135.9394,81.53472959999999,-2119.2660000000014,-3054.4046704,-5173.670670400002
19,551.7437,1536.9643,2293.508,0.0,0.0,0.0,-1366.6027,-11710.2721,629.2577,5804.9407,-3077.3506,78.92492039999999,-2260.460399999999,-2998.4256796000004,-5258.8860796
20,612.5924,1556.2886,2315.7746,0.0,0.0,0.0,-1365.8801,-11516.2943,615.9706,5827.2617,-3218.7137,83.31836544,-1954.2865000000002,-3135.39533456,-5089.68183456
21,596.6735,1495.4044,2293.2041,0.0,0.0,0.0,-1395.8568,-11607.5429,616.8567,5826.4232,-3139.9344,79.30095336,-2174.8378000000002,-3060.6334466400003,-5235.471246640001
22,583.8046,1473.5397,2279.1658,0.0,0.0,0.0,-1365.0758,-11657.8071,609.9465,5811.932,-3090.0214,81.68705208,-2264.4942999999994,-3008.3343479200003,-5272.82864792
23,522.696,1542.7271,2286.1509,0.0,0.0,0.0,-1359.0983,-11532.0017,618.4229,5805.0656,-3204.7,81.881586,-2116.0375000000004,-3122.818414,-5238.855914
24,516.8763,1478.5839,2302.1415,0.0,0.0,0.0,-1365.7993,-11594.4979,635.034,5904.9769,-3193.1187,83.35012248,-2122.6846000000005,-3109.76857752,-5232.45317752
25,563.9774,1507.2308,2267.6501,0.0,0.0,0.0,-1353.7269,-11482.0364,634.1737,5829.2057,-3276.8125,83.80258848,-2033.5256,-3193.00991152,-5226.53551152
26,583.7661,1509.7787,2252.296,0.0,0.0,0.0,-1368.0885,-11515.6173,618.4751,5802.1063,-3199.0662,83.5160184,-2117.2835999999998,-3115.5501816,-5232.8337816
27,614.8903,1494.8598,2258.358,0.0,0.0,0.0,-1383.4885,-11487.504,629.7978,5850.2776,-3280.0314,83.25385415999999,-2022.8090000000002,-3196.7775458399997,-5219.58654584
28,601.6322,1585.4775,2283.7716,0.0,0.0,0.0,-1364.2223,-11488.4001,589.806,5828.5646,-3270.9017,83.5224588,-1963.370500000001,-3187.3792412,-5150.749741200001
29,580.3607,1484.5883,2270.5406,0.0,0.0,0.0,-1361.4947,-11533.8136,622.9205,5821.1207,-3244.5243,84.1159728,-2115.7774999999992,-3160.4083272000003,-5276.185827199999
30,555.3813,1539.6678,2319.6068,0.0,0.0,0.0,-1331.9894,-11540.0075,615.7899,5827.6875,-3262.3738,83.52894384,-2013.8636000000006,-3178.84485616,-5192.70845616
31,600.0599,1507.8752,2283.4715,0.0,0.0,0.0,-1337.4493,-11532.1176,609.2624,5805.7973,-3212.8213,86.77214135999999,-2063.1005999999998,-3126.04915864,-5189.149758639999
32,568.7146,1452.9595,2311.7842,0.0,0.0,0.0,-1343.604,-11492.8414,610.796,5827.1367,-3250.5312,85.61906352,-2065.054399999998,-3164.91213648,-5229.9665364799985
33,620.0453,1490.1577,2290.2032,0.0,0.0,0.0,-1322.0539,-11498.6938,611.9981,5817.9061,-3277.9177,87.49613735999999,-1990.4372999999987,-3190.42156264,-5180.858862639999
34,603.3955,1497.2972,2286.4142,0.0,0.0,0.0,-1317.9544,-11515.9387,624.8581,5869.2112,-3296.4478,85.27408344,-1952.7169000000004,-3211.17371656,-5163.89061656
35,584.8845,1547.1582,2272.933,0.0,0.0,0.0,-1358.6668,-11489.2632,620.0856,5841.1185,-3271.4601,81.46873296,-1981.7501999999995,-3189.9913670399997,-5171.741567039999
