GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,580.7522,1495.1622,2287.607,0.0,0.0,0.0,-1389.4172,-11522.7133,625.1106,5807.3502,-3200.2692,84.08133,-2116.1483,-3116.18787,-5232.33617
1,593.3131,1529.4777,2300.3643,0.0,0.0,0.0,-1364.5039,-11571.4526,620.6076,5749.7842,-3104.9183,82.54239552,-2142.4096,-3022.37590448,-5164.78550448
2,594.2423,1485.4453,2301.5133,0.0,0.0,0.0,-1345.2495,-11576.7604,612.2261,5773.3819,-3130.3562,83.16348696,-2155.200999999999,-3047.19271304,-5202.393713039999
3,564.3241,1513.1838,2302.0171,0.0,0.0,0.0,-1354.7065,-11630.7975,626.0511,5790.1473,-3087.3269,80.42594832,-2189.780600000002,-3006.90095168,-5196.681551680002
4,553.6665,1541.9975,2296.2817,0.0,0.0,0.0,-1340.6324,-11640.2813,646.9892,5776.3295,-3110.8799,81.88304328,-2165.649300000001,-3028.99685672,-5194.646156720001
5,568.35,1543.6591,2314.6092,0.0,0.0,0.0,-1370.5818,-11607.3412,626.185,5728.9588,-3076.5747,83.26308959999999,-2196.1609000000008,-2993.3116104,-5189.472510400001
6,587.2605,1542.5668,2273.3027,0.0,0.0,0.0,-1352.971,-11697.1254,624.0521,5771.1566,-3023.8414,81.41825016,-2251.757700000001,-2942.42314984,-5194.180849840001
7,586.7731,1436.6883,2289.3059,0.0,0.0,0.0,-1347.1272,-11770.5691,610.8243,5738.5963,-2940.2978,83.43456048,-2455.5083999999997,-2856.8632395199998,-5312.371639519999
8,568.6898,1539.6742,2285.3328,0.0,0.0,0.0,-1358.8372,-11771.1955,623.9337,5776.0298,-2951.548,83.55361463999999,-2336.3724,-2867.99438536,-5204.36678536
9,565.8712,1520.0871,2263.7361,0.0,0.0,0.0,-1350.106,-11689.6655,624.3105,5807.8882,-3077.7233,85.66923888,-2257.8783999999987,-2992.05406112,-5249.932461119999
10,581.4178,1555.7244,2295.8858,0.0,0.0,0.0,-1356.8674,-11723.7838,633.8119,5793.0547,-3041.6157,84.21910632,-2220.756599999999,-2957.39659368,-5178.153193679999
11,581.6167,1559.3183,2290.9058,0.0,0.0,0.0,-1357.0685,-11713.5856,614.7532,5760.1996,-3022.2479,82.56839328,-2263.8605000000016,-2939.67950672,-5203.540006720001
12,570.8234,1612.0028,2295.9322,0.0,0.0,0.0,-1353.4719,-11650.267,614.2883,5731.5286,-3073.5536,84.63029256,-2179.1636,-2988.9233074400004,-5168.08690744
13,591.5329,1534.1331,2307.0033,0.0,0.0,0.0,-1375.6225,-11569.2714,632.5534,5773.7788,-3155.4727,85.23672048,-2105.8923999999997,-3070.23597952,-5176.128379519999
14,595.3515,1546.6209,2278.7614,0.0,0.0,0.0,-1335.8599,-11588.6337,608.5719,5674.2238,-3071.9307,82.53737928,-2220.9641,-2989.39332072,-5210.35742072
15,577.1847,1502.4488,2309.6859,0.0,0.0,0.0,-1379.9443,-11657.9474,622.8311,5790.9623,-3089.4299,80.40483359999999,-2234.7788999999993,-3009.0250664,-5243.8039664
16,586.8431,1488.2088,2280.4399,0.0,0.0,0.0,-1372.8004,-11668.1559,634.1056,5763.0406,-3066.0529,81.30795047999999,-2288.3183,-2984.7449495200003,-5273.06324952
17,608.1715,1482.6884,2276.6512,0.0,0.0,0.0,-1389.3948,-11501.7673,613.1453,5742.7372,-3170.2908,81.16221383999999,-2167.7685,-3089.1285861600004,-5256.897086160001
18,596.5512,1533.0238,2274.7723,0.0,0.0,0.0,-1331.1382,-11534.6994,616.8326,5748.8579,-3173.1211,83.88728064,-2095.7998000000016,-3089.23381936,-5185.033619360001
19,593.1226,1596.9963,2256.6189,0.0,0.0,0.0,-1315.1422,-11632.328,613.0908,5759.6174,-3124.6142,85.58050607999999,-2128.0242000000007,-3039.03369392,-5167.05789392
20,613.1561,1476.518,2285.9209,0.0,0.0,0.0,-1353.1235,-11635.8454,621.1907,5804.9776,-3117.6446,84.54903768,-2187.2055999999984,-3033.09556232,-5220.301162319999
21,633.8192,1551.1979,2294.601,0.0,0.0,0.0,-1321.2912,-11540.5341,627.2528,5756.7481,-3198.5747,86.89808952,-1998.2063000000007,-3111.67661048,-5109.882910480001
22,567.1815,1501.2597,2283.9482,0.0,0.0,0.0,-1351.8244,-11605.0786,627.9572,5845.1766,-3190.2198,84.00415607999999,-2131.3798000000006,-3106.21564392,-5237.59544392
23,575.4436,1500.3062,2271.1018,0.0,0.0,0.0,-1352.2565,-11546.5836,613.3466,5801.6363,-3176.6861,84.8828124,-2137.0055999999995,-3091.8032875999997,-5228.808887599999
24,628.1914,1463.1503,2287.6264,0.0,0.0,0.0,-1346.1912,-11491.3238,630.157,5765.2016,-3246.3862,86.53413384,-2063.1883000000007,-3159.85206616,-5223.04036616
25,568.8922,1490.5716,2268.4849,0.0,0.0,0.0,-1344.5175,-11468.8308,615.9014,5809.6444,-3276.7147,86.88336408,-2059.853800000001,-3189.83133592,-5249.685135920001
26,607.3393,1525.4707,2283.1201,0.0,0.0,0.0,-1327.958,-11556.4809,621.885,5796.2931,-3204.4026,86.5963548,-2050.3307000000013,-3117.8062452,-5168.136945200002
27,554.6627,1532.6652,2276.0695,0.0,0.0,0.0,-1378.6387,-11575.3831,645.052,5808.7741,-3201.5069,85.41145944,-2136.7982999999995,-3116.09544056,-5252.893740559999
28,566.5551,1541.2926,2267.9555,0.0,0.0,0.0,-1364.2634,-11428.2617,615.55,5718.2544,-3279.239,85.06128023999999,-2082.9174999999987,-3194.17771976,-5277.095219759999
29,600.1674,1554.5771,2275.2342,0.0,0.0,0.0,-1354.7487,-11497.4108,623.8553,5770.7057,-3249.153,87.39294048,-2027.6197999999995,-3161.7600595199997,-5189.379859519999
30,552.8386,1479.8234,2287.4478,0.0,0.0,0.0,-1337.1716,-11324.5405,625.454,5768.2787,-3385.6618,89.777574,-1947.869599999999,-3295.8842259999997,-5243.753825999999
31,567.1324,1539.9864,2272.8916,0.0,0.0,0.0,-1319.9539,-11473.7236,624.2535,5810.9808,-3307.2649,88.9965972,-1978.4327999999987,-3218.2683028,-5196.701102799999
32,590.8467,1548.7167,2267.7133,0.0,0.0,0.0,-1331.6846,-11533.7841,606.6601,5765.955,-3223.2648,88.26974136,-2085.576900000001,-3134.99505864,-5220.571958640001
33,587.7299,1602.5133,2293.8664,0.0,0.0,0.0,-1368.7931,-11502.9784,617.8106,5773.5108,-3251.0611,85.71143015999999,-1996.3404999999993,-3165.34966984,-5161.690169839999
34,612.2019,1554.2618,2267.6665,0.0,0.0,0.0,-1350.0215,-11488.2526,616.1905,5784.1232,-3274.1368,86.53803767999999,-2003.8301999999994,-3187.5987623200003,-5191.428962319999
35,608.1529,1507.1898,2279.331,0.0,0.0,0.0,-1334.2698,-11554.5485,632.645,5802.314,-3232.9242,85.34446848,-2059.185599999999,-3147.5797315199998,-5206.765331519999
36,634.976,1554.7922,2303.3626,0.0,0.0,0.0,-1367.0455,-11477.2667,618.8168,5762.0281,-3235.385,86.04697392,-1970.3365000000013,-3149.3380260800004,-5119.674526080002
37,605.8461,1541.943,2269.7382,0.0,0.0,0.0,-1357.8287,-11486.8554,621.9345,5789.8513,-3264.2925,85.65884928,-2015.371,-3178.63365072,-5194.00465072
38,570.8202,1524.7344,2250.6902,0.0,0.0,0.0,-1358.8229,-11487.7248,605.445,5767.6396,-3243.9394,85.92276960000001,-2127.2182999999986,-3158.0166304000004,-5285.234930399999
39,612.928,1569.223,2269.1763,0.0,0.0,0.0,-1337.0162,-11561.3441,622.3216,5766.3199,-3187.0821,88.30397663999999,-2058.391499999999,-3098.77812336,-5157.16962336
40,588.9721,1563.7232,2275.772,0.0,0.0,0.0,-1363.0087,-11464.6033,626.3632,5776.4868,-3238.821,87.96579408,-1996.2947000000013,-3150.85520592,-5147.149905920001
41,578.1031,1503.2488,2268.2717,0.0,0.0,0.0,-1302.8295,-11669.5968,628.3855,5834.8228,-3171.1063,90.97371288,-2159.5944,-3080.1325871199997,-5239.72698712
42,559.0977,1486.9998,2287.8693,0.0,0.0,0.0,-1302.5176,-11691.3926,634.6816,5851.0572,-3151.0764,89.99822160000001,-2174.2046,-3061.0781784,-5235.2827784
43,597.24,1510.9626,2281.4163,0.0,0.0,0.0,-1350.2048,-11653.9602,617.328,5818.5623,-3126.039,87.07655448,-2178.6558000000005,-3038.96244552,-5217.618245520001
44,592.305,1501.2434,2284.4794,0.0,0.0,0.0,-1345.577,-11656.5176,617.8918,5783.8611,-3088.6193,86.8192308,-2222.3139,-3001.8000692,-5224.1139692
45,538.1055,1493.3408,2314.7395,0.0,0.0,0.0,-1320.6795,-11718.6632,622.7567,5848.1368,-3127.6614,88.46928144,-2222.2634000000016,-3039.19211856,-5261.455518560002
46,582.2219,1533.8962,2260.8001,0.0,0.0,0.0,-1342.4145,-11607.7724,623.035,5818.447,-3178.4579,87.38138231999999,-2131.7867000000006,-3091.07651768,-5222.86321768
47,555.1389,1564.3177,2296.5075,0.0,0.0,0.0,-1349.6022,-11732.1185,630.581,5757.9072,-3043.2436,86.91233112,-2277.268400000001,-2956.3312688799997,-5233.5996688800005
48,586.1717,1538.6376,2271.9668,0.0,0.0,0.0,-1327.5343,-11645.6169,625.6987,5829.1073,-3151.8585,86.50428696,-2121.5691000000015,-3065.3542130399996,-5186.923313040001
49,610.5191,1533.5224,2311.4711,0.0,0.0,0.0,-1338.672,-11682.3836,610.9573,5834.0979,-3145.2576,85.78446768,-2120.4878,-3059.47313232,-5179.96093232
50,590.9813,1544.9751,2286.7482,0.0,0.0,0.0,-1312.6764,-11590.3276,610.9066,5783.1684,-3191.9616,87.48735407999999,-2086.2244,-3104.47424592,-5190.69864592
51,560.049,1531.9588,2287.0185,0.0,0.0,0.0,-1313.8862,-11607.8915,639.0507,5797.4759,-3171.9615,88.85833128,-2106.224799999999,-3083.1031687199998,-5189.327968719999
52,595.8373,1501.9715,2292.8252,0.0,0.0,0.0,-1311.4531,-11587.3817,623.2809,5857.9112,-3254.1776,88.86426911999999,-2027.0086999999994,-3165.31333088,-5192.322030879999
53,612.1507,1576.054,2280.7902,0.0,0.0,0.0,-1318.2288,-11580.2418,619.1069,5768.8778,-3195.295,87.5746224,-2041.490999999999,-3107.7203776,-5149.211377599999
54,613.9989,1519.0761,2274.2413,0.0,0.0,0.0,-1340.9574,-11556.8486,620.8437,5804.0357,-3220.0291,86.33169072,-2065.6102999999976,-3133.69740928,-5199.307709279999
55,601.181,1564.4587,2263.4409,0.0,0.0,0.0,-1327.1396,-11491.0082,614.0606,5792.3321,-3300.2727,88.83560231999999,-1982.674500000002,-3211.43709768,-5194.111597680002
56,573.3058,1545.9729,2291.4125,0.0,0.0,0.0,-1338.3542,-11455.207,613.9371,5758.3198,-3248.7441,87.47960975999999,-2010.6131000000005,-3161.2644902399998,-5171.87759024
57,601.7489,1547.1765,2288.4585,0.0,0.0,0.0,-1307.5774,-11651.5228,617.1498,5791.653,-3146.1107,88.37889192,-2112.9134999999997,-3057.73180808,-5170.64530808
58,580.0836,1547.797,2262.0215,0.0,0.0,0.0,-1345.8429,-11452.4031,623.9788,5740.3132,-3255.9975,86.8284576,-2044.0519000000004,-3169.1690424,-5213.2209424
59,587.2349,1556.6734,2340.8021,0.0,0.0,0.0,-1363.2212,-11612.018,626.0664,5806.2672,-3159.251,84.4411176,-2058.1952,-3074.8098824000003,-5133.0050824
60,558.5639,1536.3072,2272.8502,0.0,0.0,0.0,-1345.0082,-11529.7847,612.572,5770.8855,-3205.9398,87.12522863999999,-2123.6141000000007,-3118.81457136,-5242.42867136
61,597.0508,1548.7258,2293.0397,0.0,0.0,0.0,-1347.9099,-11471.8216,610.939,5793.2406,-3275.6035,87.87568895999999,-1976.735599999999,-3187.7278110400002,-5164.463411039999
62,588.5294,1555.7627,2265.2655,0.0,0.0,0.0,-1339.2821,-11501.6467,610.562,5754.2864,-3242.2168,86.99431175999999,-2066.5227999999997,-3155.22248824,-5221.74528824
63,606.5887,1494.9137,2310.0418,0.0,0.0,0.0,-1335.3647,-11531.4686,619.2663,5811.5019,-3240.081,85.88573208,-2024.5208999999995,-3154.1952679200003,-5178.71616792
64,574.9138,1570.3438,2274.954,0.0,0.0,0.0,-1319.8488,-11568.4309,617.4354,5785.6559,-3207.8451,88.42457376,-2064.9767999999985,-3119.42052624,-5184.397326239999
65,577.1997,1511.2046,2258.443,0.0,0.0,0.0,-1323.3618,-11518.6113,625.3451,5831.9666,-3270.2246,89.47781567999999,-2037.8140999999996,-3180.74678432,-5218.560884319999
66,594.8865,1497.5576,2255.853,0.0,0.0,0.0,-1349.1754,-11497.2243,611.1437,5779.4697,-3240.1599,84.94024103999999,-2107.489200000001,-3155.2196589600003,-5262.708858960001
67,550.2858,1542.0368,2259.4969,0.0,0.0,0.0,-1337.4086,-11354.7594,633.5869,5805.58,-3385.37,88.24200768,-1901.1816,-3297.12799232,-5198.30959232
68,602.6432,1516.6775,2272.7015,0.0,0.0,0.0,-1309.6858,-11527.367,615.4392,5793.6366,-3262.3877,88.52682096,-2035.9548000000004,-3173.8608790400003,-5209.815679040001
69,596.4448,1527.994,2260.1715,0.0,0.0,0.0,-1308.9945,-11272.928,616.2999,5751.4864,-3453.714,88.97513904,-1829.5259000000005,-3364.73886096,-5194.264760960001
70,586.1445,1534.5292,2275.0563,0.0,0.0,0.0,-1328.7162,-11383.0512,606.7799,5787.387,-3353.9001,90.02677032,-1921.8705000000018,-3263.8733296799996,-5185.743829680002
