GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,602.1812,1523.4003,2297.5816,0.0,0.0,0.0,-1394.1211,-11698.5209,613.0965,5820.3092,-3024.57,79.70018759999999,-2236.0732000000007,-2944.8698124000002,-5180.9430124
1,538.1394,1543.0494,2267.2952,0.0,0.0,0.0,-1394.3737,-11770.7897,650.6683,5896.9159,-2969.9671,79.84302264,-2269.095199999999,-2890.12407736,-5159.219277359999
2,577.585,1610.2899,2286.2894,0.0,0.0,0.0,-1383.0901,-11625.5024,613.3952,5849.5488,-3092.4754,82.64021543999999,-2071.484199999999,-3009.83518456,-5081.319384559998
3,603.0602,1550.9959,2295.3345,0.0,0.0,0.0,-1380.975,-11705.4591,613.9852,5914.4978,-3086.7119,80.8796232,-2108.5604999999996,-3005.8322768,-5114.392776799999
4,621.7147,1526.7075,2303.7398,0.0,0.0,0.0,-1367.2484,-11738.3445,611.2704,5823.5414,-3006.0324,82.09334232,-2218.619099999999,-2923.93905768,-5142.558157679999
5,583.5161,1552.4606,2289.3401,0.0,0.0,0.0,-1346.9259,-11717.3773,619.7842,5817.1412,-3043.2623,82.25735184,-2202.0609999999997,-2961.00494816,-5163.06594816
6,602.2722,1517.6083,2306.679,0.0,0.0,0.0,-1368.2917,-11705.2556,616.909,5809.8289,-3027.822,80.88464232,-2220.249899999999,-2946.9373576800003,-5167.187257679999
7,602.165,1511.8213,2262.573,0.0,0.0,0.0,-1344.9356,-11679.3532,617.7703,5790.4408,-3024.9939,82.12796208,-2239.518399999999,-2942.86593792,-5182.384337919999
8,574.9257,1536.5017,2297.1016,0.0,0.0,0.0,-1349.6938,-11707.433,616.1243,5837.6637,-3047.2812,82.82990304,-2194.8098,-2964.45129696,-5159.26109696
9,571.1772,1517.186,2294.9441,0.0,0.0,0.0,-1329.81,-11747.3893,608.9314,5851.8766,-2994.5201,85.38363288000001,-2233.084,-2909.1364671200004,-5142.220467120001
10,598.3247,1556.9186,2326.8333,0.0,0.0,0.0,-1378.1671,-11682.0608,626.4764,5828.9225,-3062.5587,81.27322127999999,-2122.7523999999985,-2981.28547872,-5104.037878719999
11,605.6699,1546.6538,2301.1054,0.0,0.0,0.0,-1361.7124,-11622.1171,619.9028,5886.6392,-3158.8024,84.29961528,-2023.858400000001,-3074.50278472,-5098.361184720002
12,585.6936,1498.7482,2287.4825,0.0,0.0,0.0,-1328.4039,-11641.6781,642.7832,5837.657,-3111.8477,84.251664,-2117.7174999999997,-3027.596036,-5145.313535999999
13,591.1879,1508.5782,2322.2192,0.0,0.0,0.0,-1396.6861,-11663.3765,621.5159,5867.9985,-3111.2516,81.43414847999999,-2148.562900000001,-3029.81745152,-5178.380351520001
14,598.7626,1511.4187,2305.4874,0.0,0.0,0.0,-1385.3134,-11594.4846,606.113,5845.0557,-3119.3495,81.64645271999998,-2112.9606000000003,-3037.7030472799997,-5150.663647280001
15,602.5816,1536.876,2322.9094,0.0,0.0,0.0,-1343.0632,-11567.2537,605.34,5802.458,-3164.5456,84.61232064,-2040.1518999999998,-3079.93327936,-5120.08517936
16,572.0581,1514.3359,2289.122,0.0,0.0,0.0,-1369.5714,-11619.8792,627.2731,5849.2844,-3120.9265,84.07718928,-2137.3771000000006,-3036.84931072,-5174.226410720001
17,566.8904,1563.3994,2295.2309,0.0,0.0,0.0,-1364.0237,-11545.953,628.7403,5884.1911,-3208.851,85.109922,-1971.524599999998,-3123.741078,-5095.265677999998
18,545.9625,1601.9907,2324.7978,0.0,0.0,0.0,-1364.0907,-11478.4158,614.0937,5835.3287,-3270.4117,85.3706412,-1920.333099999999,-3185.0410588,-5105.374158799998
19,582.2106,1473.5834,2316.1055,0.0,0.0,0.0,-1374.4549,-11671.5674,610.8314,5819.0834,-3069.3684,84.35985696,-2244.2080000000005,-2985.00854304,-5229.21654304
20,589.562,1535.9457,2291.8021,0.0,0.0,0.0,-1362.9589,-11570.5011,593.4039,5809.0486,-3142.6989,84.19859208,-2113.6976999999997,-3058.50030792,-5172.19800792
21,613.1809,1524.3847,2317.5104,0.0,0.0,0.0,-1373.0127,-11519.9367,607.6314,5844.8957,-3226.1109,83.4848784,-1985.3463000000002,-3142.6260216,-5127.972321600001
22,547.9961,1558.8868,2280.4305,0.0,0.0,0.0,-1342.0803,-11587.7607,631.9789,5817.6522,-3167.0219,85.40516232,-2092.8965000000007,-3081.6167376800004,-5174.51323768
23,616.7306,1541.3583,2276.7728,0.0,0.0,0.0,-1352.7875,-11441.8734,607.3492,5761.5778,-3209.6991,85.37605056,-1990.8721999999998,-3124.32304944,-5115.195249439999
24,577.6887,1537.4271,2255.2027,0.0,0.0,0.0,-1363.1389,-11577.7881,629.2583,5869.5706,-3176.2297,82.81867176,-2071.7796000000008,-3093.4110282399997,-5165.1906282400005
25,582.0129,1544.7882,2310.2659,0.0,0.0,0.0,-1339.5675,-11571.3133,624.0057,5788.6991,-3158.854,83.61158112,-2061.1090000000004,-3075.2424188799996,-5136.35141888
26,578.1127,1561.4747,2271.853,0.0,0.0,0.0,-1348.9213,-11604.8409,615.8309,5839.1477,-3166.7996,83.28321,-2087.3431999999993,-3083.51639,-5170.85959
27,556.1,1515.8091,2294.4817,0.0,0.0,0.0,-1343.301,-11656.2808,610.1595,5828.1873,-3106.3762,83.34524592,-2194.8442000000014,-3023.0309540800004,-5217.875154080002
28,612.5408,1568.0728,2297.3113,0.0,0.0,0.0,-1363.0589,-11707.293,617.1611,5826.6783,-3050.6212,81.87790464000001,-2148.5876,-2968.74329536,-5117.33089536
29,582.2913,1597.8255,2294.3207,0.0,0.0,0.0,-1361.6104,-11686.3253,621.3482,5849.8927,-3086.064,82.14453288,-2102.2572999999993,-3003.91946712,-5106.17676712
30,602.9838,1515.8564,2314.2946,0.0,0.0,0.0,-1355.3186,-11628.8037,598.198,5803.7916,-3111.1094,82.41387624,-2148.997900000001,-3028.69552376,-5177.693423760002
31,578.9241,1496.8502,2310.7054,0.0,0.0,0.0,-1366.1847,-11680.0429,621.8679,5804.3121,-3052.6022,81.18808056,-2233.5679,-2971.41411944,-5204.982019439999
32,581.9245,1520.2711,2291.1718,0.0,0.0,0.0,-1356.1035,-11530.3457,621.4005,5784.6051,-3173.0953,82.16037792,-2087.0762000000004,-3090.93492208,-5178.01112208
33,594.8685,1527.7937,2290.8177,0.0,0.0,0.0,-1402.5907,-11574.3661,617.0852,5796.3862,-3136.314,79.7092452,-2150.0054999999984,-3056.6047547999997,-5206.610254799998
34,583.8655,1543.4682,2308.4194,0.0,0.0,0.0,-1345.8351,-11627.3494,621.3767,5839.8949,-3097.7429,82.72409544,-2076.1597999999994,-3015.0188045600003,-5091.178604559999
35,546.8556,1483.0981,2291.9664,0.0,0.0,0.0,-1347.8886,-11534.9605,638.3931,5841.6563,-3202.157,81.27935136,-2080.8796,-3120.87764864,-5201.75724864
36,582.8099,1573.5877,2277.5832,0.0,0.0,0.0,-1356.0014,-11594.8876,614.1931,5813.76,-3131.7358,82.70271647999999,-2088.955099999999,-3049.0330835199998,-5137.988183519999
37,566.6891,1490.5475,2289.7814,0.0,0.0,0.0,-1381.6091,-11554.6347,602.9191,5811.4656,-3157.9379,82.82280816,-2174.8410999999996,-3075.11509184,-5249.9561918399995
