GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,597.8513,1529.5953,2296.9532,0.0,0.0,0.0,-1384.9901,-11754.3985,622.3721,5844.5031,-2978.4572,77.94286632000001,-2248.1135999999988,-2900.5143336799997,-5148.627933679999
1,598.4975,1483.4424,2265.3073,0.0,0.0,0.0,-1368.6614,-11656.8382,618.3857,5903.5838,-3109.4004,79.33908096,-2156.282900000001,-3030.06131904,-5186.344219040001
2,574.2886,1549.4844,2272.7989,0.0,0.0,0.0,-1378.9048,-11661.6167,612.0935,5817.946,-3066.7323,78.58726992,-2213.9101,-2988.14503008,-5202.055130080001
3,567.402,1466.2787,2308.3063,0.0,0.0,0.0,-1387.0767,-11664.5433,635.4259,5895.6467,-3116.5782,80.15817311999999,-2178.5603999999994,-3036.42002688,-5214.980426879999
4,575.6109,1467.1781,2287.2311,0.0,0.0,0.0,-1372.6077,-11528.3399,610.6935,5806.9859,-3156.4271,79.76281752,-2153.2481000000016,-3076.66428248,-5229.912382480002
5,606.3044,1551.5777,2288.9202,0.0,0.0,0.0,-1365.6437,-11567.743,610.9305,5782.6946,-3099.5162,81.61120512,-2092.9593000000013,-3017.9049948800002,-5110.864294880002
6,605.8263,1513.7206,2269.9359,0.0,0.0,0.0,-1368.4967,-11706.9065,616.0759,5853.7565,-3060.8334,80.81835480000001,-2216.087999999999,-2980.0150452,-5196.1030451999995
7,576.3058,1544.0578,2273.2632,0.0,0.0,0.0,-1388.9703,-11634.5976,608.5036,5836.4081,-3082.3108,81.99168408,-2185.0294000000004,-3000.31911592,-5185.348515920001
8,563.8703,1541.987,2267.0042,0.0,0.0,0.0,-1405.4821,-11626.8835,630.8849,5866.7684,-3106.1199,79.20279287999999,-2161.8508,-3026.9171071200003,-5188.76790712
9,566.0097,1493.0104,2280.2196,0.0,0.0,0.0,-1324.354,-11540.1488,637.4031,5844.6503,-3214.2064,85.53979439999999,-2043.2097000000003,-3128.6666056,-5171.876305600001
10,576.1954,1491.4755,2294.1495,0.0,0.0,0.0,-1373.5694,-11647.8299,630.4865,5851.6728,-3104.991,83.73923927999999,-2177.4196,-3021.2517607199998,-5198.67136072
11,582.1341,1510.9174,2280.4061,0.0,0.0,0.0,-1374.9468,-11567.6296,615.0991,5820.407,-3150.4056,81.66073896,-2133.6126999999997,-3068.74486104,-5202.357561039999
12,566.3803,1527.6065,2255.0083,0.0,0.0,0.0,-1363.3062,-11591.5698,612.5941,5845.0622,-3148.718,83.23564103999999,-2148.2245999999996,-3065.48235896,-5213.70695896
13,564.0661,1496.1847,2294.4274,0.0,0.0,0.0,-1364.7943,-11553.0586,626.9909,5860.0775,-3191.9484,81.89254584,-2076.1062999999995,-3110.0558541600003,-5186.16215416
14,556.8278,1510.1151,2302.1081,0.0,0.0,0.0,-1370.9283,-11616.1946,614.5496,5899.5645,-3169.5329,83.44162655999999,-2103.9578,-3086.0912734400004,-5190.04907344
15,596.7839,1508.4438,2275.5525,0.0,0.0,0.0,-1361.3094,-11570.358,615.1345,5846.4116,-3184.7016,82.30258512,-2089.3411000000006,-3102.39901488,-5191.74011488
16,599.2224,1504.611,2265.161,0.0,0.0,0.0,-1383.4403,-11615.7645,614.8752,5836.6387,-3118.1631,81.91957896,-2178.696499999999,-3036.2435210400004,-5214.94002104
17,597.8646,1524.2977,2273.6644,0.0,0.0,0.0,-1338.7629,-11614.8531,632.3988,5884.8246,-3192.2482,82.70102736,-2040.5659000000005,-3109.54717264,-5150.113072640001
18,594.2047,1446.5077,2273.8528,0.0,0.0,0.0,-1349.5681,-11626.794,615.1498,5887.1169,-3167.6985,84.07722815999999,-2159.5301999999992,-3083.62127184,-5243.151471839999
19,598.8062,1529.5886,2287.1425,0.0,0.0,0.0,-1374.3786,-11669.3316,615.7602,5816.7445,-3052.1714,80.94446712,-2195.6682,-2971.2269328800003,-5166.89513288
20,600.4783,1450.4042,2286.3446,0.0,0.0,0.0,-1370.7524,-11604.3245,617.3156,5843.2033,-3149.9513,82.20214224,-2177.3309,-3067.7491577600003,-5245.080057759999
21,574.5356,1495.8077,2281.1965,0.0,0.0,0.0,-1366.4676,-11703.7636,627.4773,5899.0674,-3128.4871,80.0668548,-2192.1466999999993,-3048.4202452,-5240.566945199999
22,617.3166,1516.874,2276.0215,0.0,0.0,0.0,-1390.1737,-11544.9086,620.3988,5827.59,-3155.5951,80.75499264,-2076.881400000001,-3074.84010736,-5151.721507360001
23,592.0864,1541.5219,2270.0742,0.0,0.0,0.0,-1387.1073,-11514.8642,622.5072,5871.0044,-3226.6328,82.88366832,-2004.7774000000009,-3143.7491316799997,-5148.5265316800005
24,582.6978,1530.4593,2307.2274,0.0,0.0,0.0,-1370.4636,-11429.5934,618.3952,5792.5403,-3250.1631,81.83610144000001,-1968.737000000001,-3168.32699856,-5137.063998560001
25,588.8823,1471.7917,2239.9223,0.0,0.0,0.0,-1371.9568,-11489.0181,642.0687,5808.4193,-3201.9519,83.35979568,-2109.8906000000006,-3118.59210432,-5228.48270432
26,596.35,1489.9826,2306.7382,0.0,0.0,0.0,-1336.0282,-11554.678,620.1248,5838.9711,-3189.1277,84.04025616,-2038.5394999999999,-3105.08744384,-5143.6269438399995
27,621.0565,1496.6801,2285.0271,0.0,0.0,0.0,-1315.3454,-11619.8376,608.4722,5841.9479,-3173.6732,86.14339776,-2081.999200000001,-3087.52980224,-5169.529002240001
28,605.975,1532.4716,2288.1797,0.0,0.0,0.0,-1357.1666,-11593.4159,623.8948,5829.9732,-3137.8715,82.64786472,-2070.0882,-3055.22363528,-5125.31183528
29,570.3304,1526.597,2259.2006,0.0,0.0,0.0,-1383.599,-11689.4308,622.288,5914.2506,-3127.7664,80.6102172,-2180.363199999999,-3047.1561828,-5227.519382799998
30,599.8792,1501.7176,2347.7171,0.0,0.0,0.0,-1377.0908,-11639.2043,624.5433,5819.3633,-3114.8916,79.62147792,-2123.0746,-3035.27012208,-5158.34472208
31,571.7456,1416.3594,2296.0853,0.0,0.0,0.0,-1348.4642,-11704.2285,622.0029,5912.9508,-3129.7269,80.68653359999999,-2233.5487000000003,-3049.0403664,-5282.589066400001
32,559.4869,1534.0956,2303.2846,0.0,0.0,0.0,-1338.0004,-11659.883,608.7212,5900.2073,-3179.4781,82.71322127999998,-2092.0877999999993,-3096.7648787199996,-5188.85267872
33,578.2063,1546.7944,2315.462,0.0,0.0,0.0,-1394.3615,-11464.0383,603.9826,5846.3704,-3262.8883,81.85030488,-1967.5840999999991,-3181.0379951200002,-5148.622095119998
34,562.233,1494.7451,2283.0511,0.0,0.0,0.0,-1362.788,-11554.5067,634.4075,5861.1717,-3228.4408,81.53051832,-2081.6862999999994,-3146.91028168,-5228.59658168
35,594.0147,1517.8526,2306.8974,0.0,0.0,0.0,-1381.2578,-11529.3993,626.4309,5903.7274,-3269.8223,81.64489392,-1961.7341000000006,-3188.17740608,-5149.91150608
36,569.474,1493.5117,2314.1024,0.0,0.0,0.0,-1343.8408,-11609.1062,642.8655,5910.1898,-3253.011,81.90865944,-2022.8035999999993,-3171.10234056,-5193.90594056
37,571.4184,1508.9425,2277.9719,0.0,0.0,0.0,-1344.4417,-11443.2845,629.6293,5894.1868,-3329.0812,83.67417287999999,-1905.5773000000008,-3245.4070271200003,-5150.984327120002
38,570.3994,1476.751,2303.0149,0.0,0.0,0.0,-1343.8229,-11493.1059,623.3183,5837.4846,-3261.6714,86.66388215999999,-2025.9606000000013,-3175.00751784,-5200.9681178400015
