GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,592.4718,1521.4896,2329.7188,0.0,0.0,0.0,-1371.9306,-11771.6457,616.6273,5820.2852,-2968.1677,77.63927256,-2262.9835999999978,-2890.52842744,-5153.512027439998
1,591.84,1520.6531,2320.6652,0.0,0.0,0.0,-1413.166,-11683.903,614.4471,5823.8214,-3057.5369,79.5420072,-2225.6422000000002,-2977.9948928,-5203.637092800001
2,587.734,1503.2507,2313.9336,0.0,0.0,0.0,-1386.2776,-11721.8699,609.4668,5820.1407,-3021.2799,78.59243664,-2273.6216999999997,-2942.68746336,-5216.309163359999
3,580.3775,1522.5449,2303.303,0.0,0.0,0.0,-1359.4174,-11717.9486,617.2769,5826.6283,-3061.2979,79.08570576,-2227.2353999999987,-2982.21219424,-5209.4475942399995
4,576.2305,1513.6998,2306.3036,0.0,0.0,0.0,-1390.2357,-11673.3929,614.9282,5834.2261,-3099.857,79.81828128,-2218.2404000000006,-3020.03871872,-5238.279118720001
5,604.5716,1524.1744,2317.5194,0.0,0.0,0.0,-1369.0753,-11651.3519,614.4373,5790.9354,-3093.3476,80.63526168,-2168.7891,-3012.71233832,-5181.50143832
6,621.0758,1481.1399,2292.9968,0.0,0.0,0.0,-1365.9661,-11714.7359,626.9662,5839.6478,-3050.7646,81.79832592,-2218.8755,-2968.96627408,-5187.8417740800005
7,604.4272,1520.4344,2297.9792,0.0,0.0,0.0,-1385.9412,-11659.739,616.7709,5816.2054,-3054.8923,80.47747224,-2189.8631000000014,-2974.4148277599998,-5164.277927760002
8,600.1145,1558.1937,2315.3514,0.0,0.0,0.0,-1361.3714,-11699.3626,617.2811,5868.7313,-3115.9226,81.83955599999999,-2101.062000000001,-3034.083044,-5135.145044000001
9,553.8376,1568.3046,2299.9185,0.0,0.0,0.0,-1414.7119,-11631.9302,634.0739,5795.1037,-3093.9483,80.24562288,-2195.403800000001,-3013.70267712,-5209.106477120001
10,588.5275,1525.4215,2294.7035,0.0,0.0,0.0,-1371.4092,-11631.2312,618.3984,5797.419,-3060.7488,81.810108,-2178.1705,-2978.9386919999997,-5157.109192
11,548.0658,1499.423,2314.2696,0.0,0.0,0.0,-1378.4828,-11707.863,631.2432,5860.3947,-3095.2176,82.70020079999999,-2232.949499999999,-3012.5173992,-5245.466899199999
12,601.5207,1511.1167,2318.6946,0.0,0.0,0.0,-1365.7694,-11748.143,616.4561,5846.6797,-3039.1126,82.76080104,-2219.444599999999,-2956.35179896,-5175.796398959999
13,551.1362,1532.8742,2297.7597,0.0,0.0,0.0,-1369.9812,-11673.8561,630.8325,5822.3171,-3088.5799,80.83027224,-2208.9176000000007,-3007.7496277600003,-5216.667227760001
