GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,571.0127,1569.7487,2310.6229,0.0,0.0,0.0,-1396.006,-11655.1347,615.5177,5821.8858,-3045.3203,79.19180064,-2162.3529000000017,-2966.1284993599998,-5128.481399360001
1,596.7767,1553.2105,2285.5089,0.0,0.0,0.0,-1384.9192,-11670.8936,607.932,5797.4335,-3026.1266,80.17931808,-2214.9511999999995,-2945.94728192,-5160.8984819199995
2,598.0525,1475.8995,2265.0205,0.0,0.0,0.0,-1363.0341,-11761.844,614.9974,5908.258,-3018.9198,82.21275071999999,-2262.650199999998,-2936.7070492800003,-5199.357249279998
3,559.0667,1506.848,2298.0731,0.0,0.0,0.0,-1409.5177,-11686.0678,613.6037,5892.6787,-3038.0369,80.48400480000001,-2225.315300000002,-2957.5528952,-5182.868195200002
4,577.3856,1523.3818,2293.7594,0.0,0.0,0.0,-1385.8474,-11691.4421,612.5653,5832.6266,-3044.7547,79.85860272,-2237.5708000000013,-2964.89609728,-5202.466897280001
5,590.356,1508.0394,2280.008,0.0,0.0,0.0,-1374.2377,-11650.909,626.3727,5849.7363,-3071.6555,80.42045759999999,-2170.6343000000006,-2991.2350423999997,-5161.8693424
6,585.4661,1535.5926,2297.7293,0.0,0.0,0.0,-1372.8406,-11667.6638,628.3863,5823.5612,-3033.6851,81.41447808,-2169.768899999999,-2952.27062192,-5122.03952192
7,585.8058,1555.7806,2262.3066,0.0,0.0,0.0,-1370.039,-11666.2473,625.006,5888.7283,-3089.1338,81.08202311999999,-2118.6589999999997,-3008.05177688,-5126.71077688
8,582.7457,1471.6527,2288.7383,0.0,0.0,0.0,-1370.915,-11724.8694,641.235,5885.0696,-3016.5609,79.78999824,-2226.3431,-2936.77090176,-5163.11400176
9,573.9046,1518.8247,2278.4381,0.0,0.0,0.0,-1373.0548,-11761.1158,637.471,5887.8905,-3005.7368,80.77437144000001,-2237.641699999999,-2924.9624285600003,-5162.604128559999
10,603.429,1493.4635,2282.2117,0.0,0.0,0.0,-1379.9718,-11688.3166,622.8451,5883.9132,-3055.7453,82.89428039999999,-2182.4258999999993,-2972.8510196,-5155.276919599999
11,585.9625,1564.4171,2275.9981,0.0,0.0,0.0,-1397.1794,-11612.2437,616.4418,5874.6704,-3134.3066,80.94996072,-2091.933200000003,-3053.35663928,-5145.289839280003
12,618.6831,1555.6442,2325.983,0.0,0.0,0.0,-1395.1108,-11636.7558,617.3815,5880.2688,-3126.592,81.030096,-2033.9060000000009,-3045.561904,-5079.467904000001
13,564.1313,1572.2611,2297.9511,0.0,0.0,0.0,-1381.4186,-11592.6968,615.2759,5825.3673,-3126.2687,80.91026495999999,-2099.1287,-3045.35843504,-5144.48713504
14,592.1421,1564.852,2278.7667,0.0,0.0,0.0,-1360.8677,-11621.8714,624.289,5874.1332,-3147.3916,81.77305824,-2048.556099999999,-3065.61854176,-5114.174641759999
15,572.93,1529.0708,2292.1232,0.0,0.0,0.0,-1373.8943,-11566.6318,618.9705,5873.2392,-3195.3693,81.25746984,-2054.192399999999,-3114.11183016,-5168.304230159998
16,599.0362,1526.5077,2299.1176,0.0,0.0,0.0,-1387.7885,-11531.8944,616.7256,5861.9684,-3204.3793,82.59495912,-2016.3274000000001,-3121.78434088,-5138.111740880001
17,569.0347,1497.4501,2293.7094,0.0,0.0,0.0,-1364.7598,-11717.3727,630.8838,5923.8299,-3100.7496,81.03660984,-2167.2246000000005,-3019.71299016,-5186.937590160001
