#Frame         ligrms
       1       0.6908
       2       0.7949
       3       1.2875
       4       1.1463
       5       1.0803
       6       1.1623
       7       1.2511
       8       1.5818
       9       0.8119
      10       1.1573
      11       1.2469
      12       1.4787
      13       1.3238
      14       1.6820
      15       1.8862
      16       1.5217
      17       1.2884
      18       1.4221
      19       1.3772
      20       1.1930
      21       0.9310
      22       1.2028
      23       1.3336
      24       0.9309
      25       1.2787
      26       1.5824
      27       1.3836
      28       1.3390
      29       1.7275
      30       1.5402
      31       1.7458
      32       1.6508
      33       1.7289
      34       1.7864
      35       1.6163
      36       1.8134
      37       2.0366
      38       1.5504
      39       1.7138
      40       1.5193
      41       1.7199
      42       1.7647
      43       1.8339
      44       1.6784
      45       1.5911
      46       1.7372
      47       1.6064
      48       1.5892
      49       1.4324
      50       1.7658
      51       1.5997
      52       1.7517
      53       1.5587
      54       1.3149
      55       1.5348
      56       1.4538
      57       1.8966
      58       1.9520
      59       1.8130
      60       2.4546
      61       1.8656
      62       2.3235
      63       2.1247
      64       1.7863
      65       1.8601
      66       1.9081
      67       1.8380
      68       1.9556
      69       1.5544
      70       1.6801
      71       1.3615
      72       1.5501
      73       1.7472
      74       1.8201
      75       1.5978
      76       1.7030
      77       1.6637
      78       1.8151
      79       1.7844
      80       1.1693
      81       1.3407
      82       1.8018
      83       1.4797
      84       1.2241
      85       1.6586
      86       1.5937
      87       1.3629
      88       1.8770
      89       1.2522
      90       1.7490
      91       1.6620
      92       1.6067
      93       1.4735
      94       1.8067
      95       1.5489
      96       1.7441
      97       1.6892
      98       1.8585
      99       1.9069
     100       1.7186
