GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,600.3124,1543.1988,2291.6549,0.0,0.0,0.0,-1387.3567,-11690.7952,607.2141,5888.153,-3080.5085,81.2406276,-2147.6187,-2999.2678723999998,-5146.8865724
1,549.2881,1545.4794,2315.941,0.0,0.0,0.0,-1409.3922,-11590.7525,625.833,5847.8361,-3142.7898,81.62926056,-2115.7671,-3061.16053944,-5176.927639439999
2,565.9103,1544.0149,2279.4486,0.0,0.0,0.0,-1372.9997,-11684.1226,642.0912,5872.5387,-3092.5753,81.64169352,-2153.1186000000016,-3010.93360648,-5164.052206480002
3,612.5761,1522.2716,2294.3412,0.0,0.0,0.0,-1376.1479,-11688.0621,609.8439,5840.3361,-3063.2152,81.40830048,-2184.841099999998,-2981.80689952,-5166.647999519998
4,602.8345,1520.577,2320.0113,0.0,0.0,0.0,-1386.6575,-11601.8537,626.2652,5872.2926,-3158.6579,81.18259848,-2046.530600000001,-3077.4753015200004,-5124.005901520001
5,581.0363,1543.6039,2258.8999,0.0,0.0,0.0,-1351.9596,-11568.9667,621.1464,5823.8519,-3163.9515,83.35213775999999,-2092.3879000000015,-3080.59936224,-5172.987262240002
6,541.3764,1516.4746,2299.2622,0.0,0.0,0.0,-1376.2409,-11648.4037,643.9178,5892.6544,-3137.5508,82.10815776,-2130.9591999999993,-3055.44264224,-5186.4018422399995
7,605.416,1522.58,2296.8026,0.0,0.0,0.0,-1367.1742,-11690.7786,636.0719,5852.5158,-3129.6507,78.86104128,-2144.566499999999,-3050.7896587200003,-5195.356158719999
8,572.2555,1569.7235,2335.5756,0.0,0.0,0.0,-1400.6655,-11622.2478,612.4559,5818.4919,-3129.5987,80.5260492,-2114.410899999999,-3049.0726508,-5163.4835508
9,572.5471,1540.7126,2267.7092,0.0,0.0,0.0,-1384.9415,-11562.3346,633.4633,5852.4933,-3178.7403,80.84873808,-2080.350599999999,-3097.8915619199997,-5178.2421619199995
10,596.0687,1472.2699,2312.4275,0.0,0.0,0.0,-1379.7874,-11502.3467,607.8907,5792.1194,-3201.7001,83.56760424,-2101.357900000001,-3118.13249576,-5219.490395760001
11,580.7324,1564.3633,2287.3539,0.0,0.0,0.0,-1374.0827,-11729.7864,607.7844,5857.2591,-3096.0484,80.39791296,-2206.3759999999993,-3015.65048704,-5222.02648704
12,604.0625,1544.7975,2278.2459,0.0,0.0,0.0,-1352.4886,-11550.1756,589.3311,5778.1934,-3152.8504,83.96765423999999,-2108.0338,-3068.88274576,-5176.91654576
13,612.4764,1528.5592,2298.0776,0.0,0.0,0.0,-1372.6419,-11377.2735,612.9318,5779.8168,-3306.1299,84.04075872,-1918.0536000000002,-3222.0891412799997,-5140.14274128
14,554.1586,1479.2121,2301.676,0.0,0.0,0.0,-1390.0464,-11623.476,618.4914,5876.376,-3144.4974,81.36886752,-2183.608300000001,-3063.12853248,-5246.736832480001
15,587.4973,1549.0115,2329.5774,0.0,0.0,0.0,-1342.2874,-11644.6562,635.5896,5885.2034,-3170.1284,82.64787696,-2000.0644000000002,-3087.48052304,-5087.544923040001
16,582.8722,1574.9066,2266.5135,0.0,0.0,0.0,-1384.4099,-11488.6736,623.3043,5827.3901,-3231.6252,81.44746992,-1998.0968000000003,-3150.17773008,-5148.27453008
17,638.0806,1500.9978,2281.9678,0.0,0.0,0.0,-1344.4538,-11601.9287,633.485,5810.9578,-3169.2368,84.06918504,-2080.893499999999,-3085.1676149600003,-5166.061114959999
18,544.6683,1590.9277,2249.0235,0.0,0.0,0.0,-1379.9613,-11521.2071,617.171,5820.9421,-3173.6245,82.84046256,-2078.4357999999993,-3090.78403744,-5169.2198374399995
19,591.9984,1515.3064,2294.9171,0.0,0.0,0.0,-1361.5794,-11576.6906,612.6095,5808.3374,-3193.6611,82.98543599999999,-2115.101199999999,-3110.675664,-5225.776863999999
20,614.1602,1584.0532,2282.213,0.0,0.0,0.0,-1347.3284,-11538.0414,632.5475,5875.2337,-3241.8016,83.69795015999999,-1897.1622000000007,-3158.10364984,-5055.265849840001
21,614.6296,1540.1392,2263.8561,0.0,0.0,0.0,-1362.9716,-11527.2897,625.2892,5861.2435,-3272.6307,83.74485383999999,-1985.1036999999997,-3188.8858461600003,-5173.989546159999
22,568.6784,1486.6469,2307.4736,0.0,0.0,0.0,-1351.1154,-11579.2502,614.7939,5870.4592,-3211.8863,85.21083072,-2082.3135999999995,-3126.67546928,-5208.98906928
23,591.5511,1494.5579,2290.1629,0.0,0.0,0.0,-1363.9036,-11486.7248,629.222,5901.2061,-3307.0108,85.42181808,-1943.9283999999998,-3221.58898192,-5165.51738192
24,573.8287,1545.2886,2287.9494,0.0,0.0,0.0,-1380.0257,-11398.5324,622.6945,5805.1397,-3315.5,85.06968192,-1943.6572000000015,-3230.43031808,-5174.087518080001
25,561.8168,1529.4407,2307.036,0.0,0.0,0.0,-1360.5769,-11511.8566,642.9238,5849.5881,-3273.4675,83.12836752,-1981.628099999999,-3190.33913248,-5171.9672324799985
26,589.5283,1528.6557,2289.6331,0.0,0.0,0.0,-1394.5339,-11450.6473,626.5793,5786.8274,-3247.3731,82.26547704000001,-2023.9574000000002,-3165.10762296,-5189.06502296
27,597.5322,1581.6855,2292.6857,0.0,0.0,0.0,-1379.481,-11465.8209,615.5486,5824.3704,-3296.23,81.60053832,-1933.4794999999995,-3214.62946168,-5148.108961679999
28,627.8035,1542.2737,2289.2833,0.0,0.0,0.0,-1378.919,-11435.1889,609.5767,5803.4236,-3313.4785,82.28211408,-1941.7471000000005,-3231.19638592,-5172.943485920001
29,589.3717,1532.6697,2281.158,0.0,0.0,0.0,-1388.1076,-11521.2926,622.4781,5942.4824,-3326.8231,81.8394264,-1941.2403000000022,-3244.9836736,-5186.223973600003
30,604.7512,1603.6793,2257.1353,0.0,0.0,0.0,-1378.9908,-11532.3938,619.5009,5836.8605,-3235.1266,79.42443551999999,-1989.4573999999993,-3155.70216448,-5145.159564479999
31,593.8786,1497.5634,2309.0833,0.0,0.0,0.0,-1392.7182,-11411.0773,627.8743,5871.3197,-3349.828,81.07394976,-1904.0762000000032,-3268.7540502399997,-5172.830250240003
32,595.2201,1498.2208,2262.3592,0.0,0.0,0.0,-1386.0313,-11492.9046,615.0054,5885.8707,-3295.2674,82.11050064,-2022.2596999999996,-3213.1568993600004,-5235.416599359999
33,579.1915,1477.0541,2265.5739,0.0,0.0,0.0,-1352.533,-11497.9114,644.124,5903.0228,-3306.1273,84.48770592,-1981.4781000000012,-3221.6395940800003,-5203.1176940800015
34,605.4854,1500.9838,2292.2515,0.0,0.0,0.0,-1361.5674,-11533.4829,630.473,5904.9815,-3285.3091,83.74434264,-1960.875100000001,-3201.56475736,-5162.439857360002
35,591.0053,1544.381,2300.6429,0.0,0.0,0.0,-1372.8376,-11536.937,624.0058,5882.6384,-3277.4161,83.00701511999999,-1967.1012,-3194.40908488,-5161.51028488
36,534.7462,1536.0077,2323.176,0.0,0.0,0.0,-1360.7057,-11669.8742,615.6435,5899.7211,-3173.8617,85.15992744,-2121.2853999999998,-3088.70177256,-5209.9871725600005
37,600.8754,1481.7395,2279.942,0.0,0.0,0.0,-1358.4897,-11573.2586,631.1456,5875.438,-3228.8343,83.7644112,-2062.6077999999998,-3145.0698888,-5207.6776888
38,574.4502,1544.8299,2297.86,0.0,0.0,0.0,-1396.3221,-11525.8215,610.8163,5874.6878,-3257.0787,82.41069168,-2019.4993999999988,-3174.66800832,-5194.167408319999
