GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,606.7958,1456.3096,2275.1356,0.0,0.0,0.0,-1372.2302,-11631.0255,613.4733,5811.2134,-3210.1196,82.57509216,-2240.3280000000004,-3127.54450784,-5367.87250784
1,563.024,1505.0147,2290.8814,0.0,0.0,0.0,-1375.4411,-11620.4606,631.4643,5779.4267,-3172.355,82.17033047999999,-2226.0905999999995,-3090.18466952,-5316.275269519999
2,564.1135,1550.6975,2262.5019,0.0,0.0,0.0,-1341.3845,-11631.1967,620.0355,5795.5601,-3198.7742,81.773658,-2179.6727,-3117.0005419999998,-5296.673242
3,580.3591,1539.8916,2282.6499,0.0,0.0,0.0,-1343.7634,-11659.819,636.4261,5812.3869,-3186.2585,84.55866768,-2151.8687999999984,-3101.69983232,-5253.568632319998
4,573.032,1499.4099,2284.7643,0.0,0.0,0.0,-1324.8015,-11542.2948,605.1138,5797.889,-3284.5408,83.725326,-2106.8872999999985,-3200.815474,-5307.702773999999
5,579.0269,1526.5238,2290.8915,0.0,0.0,0.0,-1346.2933,-11552.3397,608.0308,5745.0135,-3250.7324,83.30483448,-2149.1465,-3167.42756552,-5316.57406552
6,608.7136,1519.2716,2324.1157,0.0,0.0,0.0,-1303.3722,-11547.1968,608.9346,5768.9325,-3287.6135,84.5955324,-2020.6009999999997,-3203.0179676,-5223.6189676
7,597.4182,1523.8802,2281.9638,0.0,0.0,0.0,-1353.185,-11493.8307,613.7612,5755.9947,-3273.8507,84.55919472,-2073.9976000000006,-3189.29150528,-5263.2891052800005
8,554.2603,1552.9238,2314.6026,0.0,0.0,0.0,-1354.9321,-11645.0862,637.8464,5817.9266,-3230.215,83.86304903999999,-2122.458599999999,-3146.35195096,-5268.810550959999
9,580.4254,1495.786,2313.1213,0.0,0.0,0.0,-1350.0176,-11591.477,620.4999,5775.9254,-3222.1048,82.79563895999999,-2155.736600000001,-3139.30916104,-5295.045761040001
10,574.6684,1560.0564,2295.8595,0.0,0.0,0.0,-1353.567,-11610.7859,614.4892,5785.3486,-3243.4972,82.39258368,-2133.930799999999,-3161.10461632,-5295.035416319999
11,614.9595,1485.4789,2320.5152,0.0,0.0,0.0,-1365.449,-11564.2983,618.9754,5834.926,-3287.9655,82.72087416,-2054.8922999999995,-3205.2446258399996,-5260.13692584
12,588.014,1534.8807,2294.1694,0.0,0.0,0.0,-1339.8394,-11688.7949,605.9182,5820.3361,-3203.085,83.67628391999999,-2185.3159000000014,-3119.40871608,-5304.724616080001
13,589.112,1494.4135,2320.6599,0.0,0.0,0.0,-1351.1986,-11618.3914,605.6236,5776.959,-3215.576,83.58215976,-2182.822,-3131.99384024,-5314.81584024
14,582.4401,1619.059,2309.6269,0.0,0.0,0.0,-1325.587,-11607.4134,608.719,5770.0541,-3256.8714,84.1239648,-2043.1012999999984,-3172.7474352,-5215.848735199998
15,546.1784,1491.22,2302.7814,0.0,0.0,0.0,-1346.6474,-11658.5564,633.4871,5853.1234,-3211.2423,83.27246976,-2178.4134999999987,-3127.9698302399997,-5306.383330239999
16,618.4585,1524.834,2292.0174,0.0,0.0,0.0,-1354.4135,-11491.0714,595.9864,5749.6426,-3299.3356,83.06540064,-2064.546000000001,-3216.27019936,-5280.816199360001
17,560.489,1493.4921,2291.8969,0.0,0.0,0.0,-1332.1809,-11593.4871,608.5787,5808.5727,-3266.139,83.3341212,-2162.638600000001,-3182.8048788,-5345.443478800002
18,542.5179,1507.5015,2316.5997,0.0,0.0,0.0,-1365.0699,-11596.7766,636.8579,5816.7696,-3262.8946,81.2398068,-2141.5999,-3181.6547932000003,-5323.2546932000005
