GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,567.1136,1510.6726,2313.6509,0.0,0.0,0.0,-1352.4025,-11724.3591,622.9179,5794.6796,-3137.3182,80.00043696,-2267.726999999998,-3057.31776304,-5325.0447630399985
1,596.1414,1573.254,2360.7428,0.0,0.0,0.0,-1359.6381,-11748.4052,625.9566,5777.4835,-3139.2871,81.47780639999999,-2174.465,-3057.8092936,-5232.2742935999995
2,581.889,1557.8687,2299.1826,0.0,0.0,0.0,-1363.1484,-11646.3232,599.4567,5804.5965,-3214.5773,81.33904944,-2166.478100000001,-3133.23825056,-5299.716350560001
3,576.9768,1498.9511,2320.803,0.0,0.0,0.0,-1361.0724,-11606.0874,615.0801,5734.5838,-3193.415,79.13783808000001,-2220.7649999999985,-3114.27716192,-5335.042161919999
4,579.3315,1471.3684,2298.8286,0.0,0.0,0.0,-1352.5013,-11611.1863,635.3056,5767.949,-3218.9908,80.90897256,-2210.9044999999996,-3138.08182744,-5348.98632744
5,617.0998,1476.9183,2307.505,0.0,0.0,0.0,-1353.8355,-11693.8028,612.001,5760.0735,-3152.9405,82.14804216,-2274.0406999999996,-3070.79245784,-5344.83315784
6,586.8611,1530.0238,2293.9036,0.0,0.0,0.0,-1329.0874,-11733.3935,618.568,5810.8469,-3158.6098,80.29035144,-2222.2775,-3078.31944856,-5300.59694856
7,620.0882,1504.6489,2317.6844,0.0,0.0,0.0,-1352.5885,-11695.7639,610.176,5766.6597,-3163.2193,79.37238672,-2229.095199999999,-3083.84691328,-5312.942113279999
8,571.7251,1499.7268,2297.0166,0.0,0.0,0.0,-1380.2846,-11761.9465,624.144,5771.8339,-3058.7615,78.86790288,-2377.7847,-2979.89359712,-5357.678297120001
9,538.2959,1468.8503,2328.7546,0.0,0.0,0.0,-1383.2782,-11644.158,630.25,5753.769,-3163.4167,79.77495384,-2307.5163999999986,-3083.6417461600004,-5391.158146159998
10,553.2418,1429.8658,2328.0937,0.0,0.0,0.0,-1380.2117,-11690.0152,621.5399,5821.027,-3185.7099,80.1938484,-2316.458700000001,-3105.5160515999996,-5421.974751600001
11,572.9469,1470.9398,2284.0216,0.0,0.0,0.0,-1349.93,-11672.5981,599.1926,5719.1955,-3116.9188,80.25933744,-2376.2317000000003,-3036.65946256,-5412.891162559999
12,573.8245,1486.7374,2305.5566,0.0,0.0,0.0,-1352.8372,-11734.8967,621.597,5812.2011,-3139.6219,80.99105976,-2287.817299999999,-3058.63084024,-5346.448140239999
13,578.9961,1590.0023,2303.6322,0.0,0.0,0.0,-1370.2803,-11688.6106,630.5468,5722.1269,-3129.0585,79.99617456,-2233.5865999999996,-3049.06232544,-5282.648925439999
14,574.2116,1475.0386,2305.2499,0.0,0.0,0.0,-1344.5336,-11805.1688,621.927,5785.129,-3061.0888,80.38567152,-2388.1463000000012,-2980.70312848,-5368.849428480002
15,608.9425,1472.8506,2306.0448,0.0,0.0,0.0,-1331.4734,-11674.1248,618.1338,5712.0563,-3128.787,82.92258288000001,-2287.5701999999983,-3045.86441712,-5333.434617119999
16,592.4718,1545.153,2336.277,0.0,0.0,0.0,-1397.5148,-11652.8976,627.457,5775.0222,-3192.2376,80.59484087999999,-2174.0314000000008,-3111.64275912,-5285.674159120001
17,592.1485,1495.501,2317.388,0.0,0.0,0.0,-1394.853,-11621.3679,631.1823,5741.3527,-3180.5055,78.14796408000001,-2238.6483999999973,-3102.3575359200004,-5341.005935919998
