GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,602.4879,1502.9018,2330.2024,0.0,0.0,0.0,-1372.0389,-11357.158,622.1856,5654.0885,-3382.2296,82.83056832,-2017.3306999999995,-3299.39903168,-5316.7297316799995
1,590.238,1531.1377,2302.8901,0.0,0.0,0.0,-1352.3651,-11407.8896,630.4966,5671.1915,-3353.0396,82.06531416,-2034.3008,-3270.97428584,-5305.27508584
2,569.0015,1516.9934,2341.1427,0.0,0.0,0.0,-1339.9184,-11409.1845,627.287,5678.9566,-3384.9815,83.0269512,-2015.7216999999991,-3301.9545488,-5317.676248799999
3,591.5442,1499.2265,2293.7718,0.0,0.0,0.0,-1355.7892,-11433.7781,629.1888,5669.054,-3327.8897,84.78693864,-2106.7819999999992,-3243.1027613600004,-5349.884761359999
4,573.3365,1506.1713,2291.4111,0.0,0.0,0.0,-1334.9243,-11426.8308,607.5308,5670.7941,-3365.1147,85.3261704,-2112.511299999999,-3279.7885296,-5392.2998296
5,554.3329,1503.012,2336.9024,0.0,0.0,0.0,-1350.0464,-11538.2892,602.5369,5740.7738,-3294.0143,83.97682848,-2150.7775999999994,-3210.0374715199996,-5360.815071519999
6,597.0631,1501.3057,2344.3181,0.0,0.0,0.0,-1345.5134,-11547.2423,616.2898,5705.6018,-3279.5268,84.26391264,-2128.1772,-3195.26288736,-5323.44008736
7,574.3482,1508.8313,2321.7753,0.0,0.0,0.0,-1309.9465,-11491.3446,625.362,5692.4151,-3316.2078,85.33041984,-2078.5592000000006,-3230.87738016,-5309.436580160001
8,588.7734,1599.5112,2300.993,0.0,0.0,0.0,-1352.0117,-11403.9673,604.7056,5657.5136,-3351.6018,85.50456984,-2004.4822000000013,-3266.09723016,-5270.579430160001
9,601.9254,1518.4924,2305.6768,0.0,0.0,0.0,-1337.4747,-11401.8896,620.525,5627.099,-3318.872,83.60987544,-2065.645700000001,-3235.26212456,-5300.90782456
10,583.2828,1472.146,2326.5216,0.0,0.0,0.0,-1346.5767,-11480.3863,624.4763,5685.0302,-3322.0094,85.08368519999999,-2135.5060999999996,-3236.9257147999997,-5372.431814799999
11,575.0788,1591.2581,2290.034,0.0,0.0,0.0,-1323.8563,-11448.1792,615.4044,5644.604,-3296.2317,84.78642239999999,-2055.6561999999994,-3211.4452776,-5267.101477599999
12,587.418,1516.337,2341.5236,0.0,0.0,0.0,-1344.0914,-11365.5729,617.5016,5645.4807,-3413.0409,84.94103088,-2001.4033999999992,-3328.0998691199998,-5329.5032691199995
13,600.8462,1517.1207,2309.3297,0.0,0.0,0.0,-1343.6326,-11320.599,629.4849,5674.4035,-3436.681,85.34698632,-1933.0466000000006,-3351.33401368,-5284.38061368
14,609.8301,1532.2024,2334.5377,0.0,0.0,0.0,-1344.8118,-11336.0671,637.4107,5622.0063,-3409.9043,85.42781855999999,-1944.8916999999992,-3324.47648144,-5269.36818144
15,595.6165,1520.4466,2313.0061,0.0,0.0,0.0,-1319.9877,-11357.4922,601.1969,5646.885,-3405.0936,85.46522039999999,-2000.3288000000002,-3319.6283796000002,-5319.9571796
16,578.2068,1497.6549,2305.1486,0.0,0.0,0.0,-1310.1711,-11339.9683,637.8327,5648.1911,-3406.2848,85.13805455999999,-1983.1053000000002,-3321.14674544,-5304.252045440001
17,609.3069,1500.3317,2341.552,0.0,0.0,0.0,-1344.1686,-11404.0716,617.25,5688.7488,-3376.1533,85.37376816,-1991.0507999999982,-3290.77953184,-5281.8303318399985
18,560.2171,1489.7056,2308.8261,0.0,0.0,0.0,-1329.9138,-11468.9873,635.3825,5726.9013,-3350.5278,84.22234055999999,-2077.8685000000014,-3266.30545944,-5344.173959440001
19,610.8379,1525.5478,2324.2593,0.0,0.0,0.0,-1348.2253,-11422.387,603.6978,5661.4165,-3374.6072,84.59989056,-2044.853,-3290.00730944,-5334.86030944
20,581.1123,1493.9032,2291.7795,0.0,0.0,0.0,-1378.4249,-11310.7333,601.3549,5646.4974,-3392.383,84.1473468,-2074.5108999999993,-3308.2356532,-5382.746553199999
21,593.1483,1559.1454,2282.3059,0.0,0.0,0.0,-1331.9119,-11361.3892,623.1625,5694.4285,-3446.3241,83.87327303999999,-1941.1104999999989,-3362.4508269599996,-5303.561326959999
22,572.579,1526.116,2307.0123,0.0,0.0,0.0,-1347.7483,-11344.1466,635.0592,5688.1983,-3440.0454,83.35253808,-1962.9301000000014,-3356.69286192,-5319.622961920001
