GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,557.5265,1483.3845,2313.3232,0.0,0.0,0.0,-1329.8569,-11523.8457,640.9843,5471.1239,-3168.9292,83.43809999999999,-2387.3602,-3085.4911,-5472.851299999999
1,585.6692,1602.8907,2291.4361,0.0,0.0,0.0,-1334.2736,-11535.8686,629.8076,5440.3782,-3136.0273,82.04831064,-2319.960399999999,-3053.97898936,-5373.93938936
2,542.3203,1519.8723,2323.6506,0.0,0.0,0.0,-1368.3722,-11585.9717,631.1385,5493.8993,-3126.266,82.92829968,-2443.4629000000004,-3043.3377003200003,-5486.80060032
3,561.9534,1633.307,2305.6365,0.0,0.0,0.0,-1345.814,-11518.8221,615.183,5435.2453,-3142.7946,84.26173032,-2313.3109000000004,-3058.53286968,-5371.84376968
4,627.2963,1536.408,2327.9973,0.0,0.0,0.0,-1342.2869,-11641.5106,601.3692,5454.1487,-3053.5273,82.32965568,-2436.5780000000004,-2971.19764432,-5407.775644320001
5,613.376,1546.6009,2298.7668,0.0,0.0,0.0,-1363.1527,-11459.6803,639.147,5418.2556,-3167.1841,81.97894008,-2306.686700000001,-3085.20515992,-5391.891859920001
6,573.1924,1542.2427,2328.1705,0.0,0.0,0.0,-1373.4774,-11548.6652,636.6888,5458.9664,-3129.7973,81.34118568,-2382.8817999999983,-3048.4561143200003,-5431.337914319998
7,593.9256,1466.7712,2327.8693,0.0,0.0,0.0,-1355.7663,-11561.5809,628.4359,5481.4326,-3125.4383,82.8461088,-2418.9125999999997,-3042.5921912,-5461.504791199999
8,607.5569,1520.3138,2306.2526,0.0,0.0,0.0,-1348.7605,-11506.1844,629.5754,5461.8276,-3202.078,83.42534592,-2329.418600000002,-3118.65265408,-5448.071254080002
9,606.0347,1549.0669,2316.3182,0.0,0.0,0.0,-1330.6751,-11520.2133,645.5599,5479.451,-3224.9997,83.51465472000001,-2254.4577,-3141.4850452799997,-5395.942745279999
10,582.24,1520.4256,2317.1812,0.0,0.0,0.0,-1350.3959,-11398.1536,631.292,5469.3164,-3273.2216,85.23384336,-2228.0942999999997,-3187.98775664,-5416.08205664
11,562.3518,1508.9699,2317.3646,0.0,0.0,0.0,-1355.6231,-11488.5747,628.8547,5443.1152,-3167.6946,85.82612184,-2383.5416000000005,-3081.86847816,-5465.41007816
12,557.5101,1486.8692,2309.8422,0.0,0.0,0.0,-1333.8378,-11497.11,626.4471,5467.7686,-3182.4171,84.4159284,-2382.5106000000014,-3098.0011716,-5480.511771600002
13,570.4211,1535.2336,2295.2768,0.0,0.0,0.0,-1367.6731,-11371.047,624.4196,5411.8408,-3231.5409,85.15716984,-2301.5281999999997,-3146.38373016,-5447.911930159999
14,582.2382,1525.8691,2318.3784,0.0,0.0,0.0,-1320.4461,-11421.92,608.7178,5465.383,-3268.1135,84.99568031999999,-2241.7796000000017,-3183.11781968,-5424.897419680001
15,560.505,1522.9347,2291.1229,0.0,0.0,0.0,-1355.981,-11328.0432,608.947,5414.761,-3287.9225,84.4603812,-2285.7536,-3203.4621188,-5489.215718800001
16,608.1794,1541.5592,2314.8624,0.0,0.0,0.0,-1348.5955,-11342.2216,617.4917,5390.277,-3314.3033,83.66429736,-2218.447400000001,-3230.63900264,-5449.08640264
17,616.157,1490.7234,2328.4393,0.0,0.0,0.0,-1344.116,-11409.4687,617.8521,5456.2306,-3245.4939,83.75551847999999,-2244.1822999999995,-3161.73838152,-5405.92068152
18,602.6266,1511.2452,2329.4506,0.0,0.0,0.0,-1360.5203,-11469.2715,604.1826,5429.7195,-3199.347,83.09574504,-2352.5673000000015,-3116.25125496,-5468.818554960002
19,557.5417,1519.1742,2297.8045,0.0,0.0,0.0,-1343.0373,-11545.9284,635.0554,5450.048,-3124.8223,82.4383548,-2429.3418999999994,-3042.3839451999997,-5471.7258452
20,615.8976,1513.6082,2311.7252,0.0,0.0,0.0,-1382.9063,-11487.962,624.2274,5450.7746,-3192.4565,81.5133816,-2354.635300000001,-3110.9431183999995,-5465.5784184
21,574.4592,1500.2673,2309.6508,0.0,0.0,0.0,-1359.8592,-11473.8291,615.3033,5415.4087,-3178.1676,82.75465799999999,-2418.599000000002,-3095.4129420000004,-5514.011942000003
22,575.366,1517.8232,2327.1259,0.0,0.0,0.0,-1369.1005,-11448.2816,632.088,5476.4268,-3247.8229,82.43805456,-2288.552200000001,-3165.38484544,-5453.937045440001
23,573.7505,1509.0511,2293.3668,0.0,0.0,0.0,-1380.9459,-11463.8068,609.1789,5470.8873,-3203.4914,81.25780536,-2388.5181000000002,-3122.23359464,-5510.75169464
24,613.9637,1500.4068,2284.4518,0.0,0.0,0.0,-1353.4858,-11489.17,615.9725,5449.2115,-3189.4635,81.10079856,-2378.6495000000004,-3108.36270144,-5487.01220144
25,560.9966,1544.462,2311.2696,0.0,0.0,0.0,-1350.9324,-11481.9749,640.4552,5499.6934,-3252.2313,83.48028192,-2276.030499999999,-3168.75101808,-5444.781518079998
26,579.8486,1512.0929,2312.8362,0.0,0.0,0.0,-1363.6898,-11494.5833,619.3247,5508.8197,-3230.3332,83.76868152,-2325.3509999999997,-3146.56451848,-5471.915518479999
27,646.1752,1551.9584,2314.3322,0.0,0.0,0.0,-1356.5063,-11439.2373,613.1817,5449.1151,-3264.6417,84.19599864,-2220.9809999999998,-3180.44570136,-5401.42670136
28,610.6092,1560.4024,2335.3984,0.0,0.0,0.0,-1361.3828,-11397.6372,617.6216,5438.5181,-3262.5639,83.42063784,-2196.4703,-3179.14326216,-5375.61356216
29,594.8115,1538.0488,2304.8266,0.0,0.0,0.0,-1340.1477,-11409.7735,631.3008,5438.2199,-3266.0968,83.8100736,-2242.713599999998,-3182.2867263999997,-5425.000326399999
30,574.8084,1539.4333,2310.2504,0.0,0.0,0.0,-1348.0439,-11410.4956,620.056,5481.6557,-3294.5541,84.33185399999999,-2232.3356999999987,-3210.222246,-5442.557945999999
31,591.2125,1558.751,2323.6322,0.0,0.0,0.0,-1367.6386,-11327.441,609.7558,5454.0675,-3338.4306,85.20244416,-2157.660600000001,-3253.22815584,-5410.888755840001
32,612.0078,1536.9189,2305.1071,0.0,0.0,0.0,-1371.3156,-11391.4429,619.1261,5468.2886,-3291.0579,83.5972596,-2221.3099999999995,-3207.4606403999996,-5428.770640399999
33,558.0697,1581.1817,2315.7976,0.0,0.0,0.0,-1357.1538,-11407.4334,605.9181,5435.8002,-3267.6896,84.03569639999999,-2267.8198999999995,-3183.6539036000004,-5451.4738036
34,557.0676,1542.7351,2297.0341,0.0,0.0,0.0,-1345.827,-11355.3049,611.7927,5396.4981,-3265.7805,84.18058992,-2296.0042999999996,-3181.59991008,-5477.60421008
35,577.1268,1513.8316,2301.3899,0.0,0.0,0.0,-1395.5513,-11339.5822,609.7567,5439.7681,-3287.0058,80.9751384,-2293.260400000002,-3206.0306616,-5499.291061600002
36,555.2805,1496.679,2280.1281,0.0,0.0,0.0,-1385.6799,-11371.7887,635.6447,5497.9169,-3322.9263,81.2630916,-2291.8193999999994,-3241.6632084000003,-5533.4826084
37,574.5567,1514.2578,2310.1588,0.0,0.0,0.0,-1384.8421,-11472.4464,628.4688,5497.0033,-3246.9177,80.63062127999999,-2332.843100000001,-3166.28707872,-5499.130178720001
38,564.1714,1545.1719,2316.97,0.0,0.0,0.0,-1343.1024,-11430.3736,619.4495,5454.5068,-3264.5978,82.85435639999999,-2273.206400000001,-3181.7434436,-5454.9498436
39,551.6527,1543.9955,2316.8386,0.0,0.0,0.0,-1348.9924,-11428.9152,622.2694,5438.0118,-3242.8752,83.88090072,-2305.1395999999995,-3158.9942992799997,-5464.133899279999
40,599.606,1557.2886,2339.299,0.0,0.0,0.0,-1365.1422,-11501.3553,626.2343,5447.761,-3199.0881,82.28865456,-2296.3085999999985,-3116.79944544,-5413.108045439998
41,589.14,1512.3582,2311.6053,0.0,0.0,0.0,-1358.7263,-11408.1276,612.7072,5441.2198,-3254.2636,82.10775024,-2299.823400000001,-3172.1558497600004,-5471.979249760001
42,584.941,1508.4716,2325.5855,0.0,0.0,0.0,-1368.752,-11444.5926,606.7751,5452.761,-3245.3254,83.23838927999999,-2334.8103999999994,-3162.0870107200003,-5496.89741072
43,609.3603,1532.6379,2323.8246,0.0,0.0,0.0,-1334.641,-11435.1186,615.7883,5454.9002,-3275.7194,85.42565352,-2233.2482999999993,-3190.2937464799998,-5423.542046479999
44,567.2141,1497.9166,2315.6748,0.0,0.0,0.0,-1341.4564,-11507.1978,619.0521,5499.1186,-3212.4699,83.86035623999999,-2349.677999999999,-3128.60954376,-5478.287543759999
45,587.0048,1487.2819,2329.4606,0.0,0.0,0.0,-1349.256,-11411.4169,624.8316,5459.6639,-3278.6925,82.45122192,-2272.4301000000014,-3196.24127808,-5468.671378080002
46,598.0229,1564.7464,2310.0082,0.0,0.0,0.0,-1373.2494,-11491.048,624.0624,5505.5341,-3240.7054,82.80504719999999,-2261.9233999999997,-3157.9003528,-5419.823752799999
47,598.5485,1588.5984,2305.3696,0.0,0.0,0.0,-1381.4058,-11367.3662,603.1243,5410.6807,-3263.3743,82.3120992,-2242.4505000000017,-3181.0622008,-5423.512700800002
48,597.0163,1547.9819,2295.3283,0.0,0.0,0.0,-1351.0925,-11471.252,625.551,5484.7188,-3220.4526,83.15819928,-2271.7482,-3137.29440072,-5409.04260072
49,617.2215,1536.7558,2288.4959,0.0,0.0,0.0,-1360.3277,-11404.0226,619.3652,5491.0887,-3281.9589,84.73079376,-2211.4231999999993,-3197.22810624,-5408.651306239999
50,610.3663,1517.9674,2311.7176,0.0,0.0,0.0,-1344.5722,-11380.7341,605.3376,5457.5098,-3307.9451,85.42751616,-2222.4075999999995,-3222.51758384,-5444.92518384
51,561.3522,1534.159,2294.5107,0.0,0.0,0.0,-1340.9074,-11437.1702,630.4323,5502.2518,-3292.8314,84.948336,-2255.3716000000004,-3207.883064,-5463.254664
52,566.2107,1535.3943,2289.3385,0.0,0.0,0.0,-1337.8683,-11467.6196,620.952,5489.9648,-3238.2945,84.05568864,-2303.6276000000007,-3154.23881136,-5457.866411360001
53,601.982,1537.3059,2324.6544,0.0,0.0,0.0,-1319.7393,-11446.5455,616.06,5435.1909,-3281.1058,84.1967856,-2251.0915999999997,-3196.9090143999997,-5448.000614399999
54,587.9999,1578.4828,2292.3524,0.0,0.0,0.0,-1365.4974,-11308.1321,616.9954,5401.4778,-3303.4734,83.94455015999999,-2196.321200000001,-3219.52884984,-5415.850049840001
55,588.1712,1536.7796,2279.6411,0.0,0.0,0.0,-1342.3021,-11364.4054,617.6082,5473.2961,-3332.6325,84.81155183999999,-2211.2113000000018,-3247.82094816,-5459.032248160002
56,557.233,1514.3609,2309.1534,0.0,0.0,0.0,-1364.2097,-11420.8783,633.1129,5508.269,-3237.661,83.81021688,-2262.9588000000003,-3153.85078312,-5416.809583120001
57,616.5941,1550.8657,2302.6793,0.0,0.0,0.0,-1373.6396,-11377.6699,611.9715,5417.9085,-3275.127,83.46189095999999,-2251.2904000000017,-3191.66510904,-5442.955509040002
58,574.0867,1565.4832,2321.7778,0.0,0.0,0.0,-1383.8585,-11333.7144,615.1583,5437.0432,-3294.1221,82.18415087999999,-2204.0237000000006,-3211.93794912,-5415.96164912
59,594.0019,1494.8507,2340.6689,0.0,0.0,0.0,-1385.0022,-11462.9162,630.8688,5506.2527,-3239.8846,80.42471712,-2281.2753999999995,-3159.45988288,-5440.735282879999
60,560.1853,1485.6546,2317.8737,0.0,0.0,0.0,-1369.2074,-11502.5108,618.2054,5465.015,-3210.9641,80.5889628,-2424.7842,-3130.3751372,-5555.1593372
61,579.1317,1555.2277,2303.3887,0.0,0.0,0.0,-1366.9121,-11484.8037,617.2168,5486.2424,-3227.0785,81.1956528,-2310.508500000001,-3145.8828472,-5456.391347200001
62,587.2505,1535.3455,2277.487,0.0,0.0,0.0,-1350.9323,-11438.1233,613.2417,5472.4832,-3258.1294,80.26047072,-2303.247699999999,-3177.86892928,-5481.116629279999
63,594.8968,1527.7704,2293.9081,0.0,0.0,0.0,-1376.2245,-11552.0981,626.5819,5477.7314,-3187.751,82.05203952,-2407.4339999999993,-3105.69896048,-5513.132960479999
64,578.4657,1506.1415,2302.4852,0.0,0.0,0.0,-1347.5127,-11454.5283,617.1079,5451.9615,-3235.211,82.26807984,-2345.8791999999994,-3152.9429201599996,-5498.822120159999
65,542.0516,1516.7992,2294.6431,0.0,0.0,0.0,-1363.9212,-11436.4157,629.9667,5480.9672,-3262.4652,80.75811816,-2335.9091000000008,-3181.7070818400002,-5517.616181840001
66,616.358,1504.633,2306.5563,0.0,0.0,0.0,-1379.4905,-11378.2289,622.1503,5484.2325,-3325.3174,82.38805271999999,-2223.7892999999995,-3242.92934728,-5466.7186472799995
