GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,545.5211,1476.3981,2298.4892,0.0,0.0,0.0,-1360.6591,-11716.9086,634.535,5829.1098,-3123.1883,82.24605648,-2293.5144999999993,-3040.94224352,-5334.456743519999
1,602.1895,1524.8051,2305.7712,0.0,0.0,0.0,-1383.8492,-11669.6939,621.493,5816.0544,-3158.5688,82.07349335999999,-2183.2298999999994,-3076.49530664,-5259.72520664
2,574.9941,1533.2538,2298.5286,0.0,0.0,0.0,-1346.7717,-11799.1237,616.5237,5840.4792,-3084.3637,82.57989744,-2282.116000000002,-3001.78380256,-5283.899802560001
3,547.1832,1540.0424,2339.8828,0.0,0.0,0.0,-1393.9026,-11677.2312,619.2159,5780.6516,-3139.5735,78.73213248,-2244.1579,-3060.84136752,-5304.999267520001
4,590.7652,1547.5673,2289.1986,0.0,0.0,0.0,-1374.7228,-11631.4892,644.8334,5795.4307,-3172.5645,79.69444560000001,-2138.4168,-3092.8700544,-5231.286854399999
5,587.7027,1514.294,2312.7709,0.0,0.0,0.0,-1349.1089,-11679.816,622.6524,5741.6295,-3131.624,79.67150423999999,-2249.875400000001,-3051.9524957599997,-5301.8278957600005
6,565.0957,1499.9508,2289.8607,0.0,0.0,0.0,-1358.7515,-11667.5458,658.5546,5805.6192,-3159.9319,78.78755952,-2207.2163,-3081.14434048,-5288.360640479999
7,587.5193,1558.9361,2294.6043,0.0,0.0,0.0,-1371.5075,-11769.296,622.2884,5823.2651,-3095.424,78.95266056,-2254.1903,-3016.47133944,-5270.66163944
8,599.406,1568.1009,2297.8211,0.0,0.0,0.0,-1370.8305,-11625.4405,629.8594,5764.3066,-3162.2952,79.82199792,-2136.777000000001,-3082.47320208,-5219.25020208
9,606.5889,1518.5988,2309.7057,0.0,0.0,0.0,-1368.156,-11575.7124,618.3107,5755.1789,-3207.1411,80.32558824,-2135.4854000000005,-3126.81551176,-5262.30091176
10,574.6009,1510.4884,2309.2863,0.0,0.0,0.0,-1380.9412,-11661.5823,625.3663,5811.1195,-3139.4505,78.61765607999999,-2211.6621000000005,-3060.83284392,-5272.49494392
