GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,587.3869,1548.4177,2274.7655,0.0,0.0,0.0,-1404.1251,-11586.0382,608.0426,5875.8446,-3144.5958,80.91464976,-2095.706000000001,-3063.68115024,-5159.387150240001
1,616.3721,1541.7223,2278.66,0.0,0.0,0.0,-1358.8294,-11642.5924,611.7549,5855.8468,-3112.9476,80.29654416,-2097.0657,-3032.65105584,-5129.716755840001
2,610.0813,1473.489,2259.8942,0.0,0.0,0.0,-1360.1899,-11676.564,618.7131,5850.5077,-3062.6866,80.50318704,-2224.0686000000014,-2982.18341296,-5206.252012960002
3,600.5816,1505.138,2289.8254,0.0,0.0,0.0,-1371.1589,-11690.4855,631.9724,5904.4308,-3067.8174,79.1231976,-2129.696200000001,-2988.6942024,-5118.390402400001
4,593.3748,1608.4047,2288.2388,0.0,0.0,0.0,-1378.9348,-11687.5743,611.1797,5797.3707,-3016.1344,78.01932384,-2167.9403999999995,-2938.1150761599997,-5106.05547616
5,578.0556,1522.9824,2279.5811,0.0,0.0,0.0,-1394.8005,-11745.0335,616.999,5870.9362,-2994.2586,80.26526664,-2271.279699999999,-2913.99333336,-5185.273033359999
6,558.0687,1542.3443,2271.5753,0.0,0.0,0.0,-1355.3247,-11677.9705,632.4909,5800.9446,-3038.82,79.66830024,-2227.8714,-2959.15169976,-5187.02309976
7,610.0676,1477.0015,2296.31,0.0,0.0,0.0,-1369.7962,-11799.1691,624.0435,5873.8962,-2968.5267,79.3448172,-2287.646499999998,-2889.1818828,-5176.828382799998
8,567.9023,1554.6267,2289.7482,0.0,0.0,0.0,-1400.0385,-11687.1598,617.1005,5869.0414,-3058.1387,79.1220204,-2188.779199999999,-2979.0166796,-5167.795879599998
9,622.2935,1523.936,2292.5178,0.0,0.0,0.0,-1372.2538,-11751.9157,616.912,5859.9435,-3034.4466,81.15389424,-2208.5666999999985,-2953.29270576,-5161.8594057599985
10,581.5311,1547.535,2285.5438,0.0,0.0,0.0,-1379.5106,-11639.1867,608.9608,5851.972,-3121.1217,81.33975,-2143.1546000000008,-3039.78195,-5182.936550000001
11,596.4182,1519.8016,2273.5486,0.0,0.0,0.0,-1379.8533,-11588.1908,620.3245,5824.0654,-3140.8998,80.1780876,-2133.8858,-3060.7217124000003,-5194.6075124
12,620.5065,1524.609,2310.9991,0.0,0.0,0.0,-1390.0769,-11604.4165,607.5367,5805.5933,-3098.987,79.86189816,-2125.2487999999985,-3019.1251018400003,-5144.373901839998
13,570.0428,1506.7271,2276.894,0.0,0.0,0.0,-1379.8827,-11661.4398,615.512,5859.8082,-3100.7156,81.08384975999999,-2212.3384000000005,-3019.63175024,-5231.97015024
14,556.3122,1551.4513,2290.6288,0.0,0.0,0.0,-1371.7666,-11673.167,646.7603,5835.5186,-3073.673,79.38904536,-2164.2624000000005,-2994.2839546399996,-5158.546354640001
15,572.5082,1572.3283,2306.6554,0.0,0.0,0.0,-1367.522,-11581.5031,616.9391,5790.9489,-3150.8196,83.18479536,-2089.6452,-3067.63480464,-5157.28000464
16,614.6161,1548.2833,2292.6628,0.0,0.0,0.0,-1365.4618,-11578.0196,613.7561,5808.1508,-3167.9466,81.00121464,-2066.0123000000003,-3086.9453853600003,-5152.95768536
17,574.0187,1502.4237,2288.2959,0.0,0.0,0.0,-1369.3467,-11526.4327,617.2997,5801.9422,-3181.3753,81.11998367999999,-2111.7991999999986,-3100.25531632,-5212.0545163199995
18,574.7621,1532.6531,2290.7874,0.0,0.0,0.0,-1364.1351,-11670.1206,622.1082,5845.0,-3125.2962,80.41709952000001,-2168.9448999999995,-3044.87910048,-5213.824000479999
19,575.5856,1486.1956,2276.0523,0.0,0.0,0.0,-1377.3668,-11570.2595,612.3479,5855.5139,-3178.6222,80.05401432000001,-2141.9309999999996,-3098.5681856799997,-5240.49918568
20,597.9443,1492.9478,2306.3507,0.0,0.0,0.0,-1377.6894,-11581.6388,607.25,5844.8016,-3163.7717,83.15440416,-2110.0338,-3080.6172958399998,-5190.65109584
21,607.6957,1505.0403,2286.7886,0.0,0.0,0.0,-1399.322,-11590.9825,616.0941,5838.5775,-3114.0819,81.0788904,-2136.108300000001,-3033.0030096,-5169.111309600001
22,583.3122,1537.2948,2291.9368,0.0,0.0,0.0,-1387.6042,-11732.9067,624.9027,5882.4845,-3059.1841,79.9720884,-2200.5799000000006,-2979.2120116,-5179.791911600001
23,555.523,1532.0445,2330.1873,0.0,0.0,0.0,-1394.287,-11689.962,619.3251,5889.8188,-3075.3349,81.00423144,-2157.350299999999,-2994.33066856,-5151.680968559999
24,593.981,1505.2705,2302.7693,0.0,0.0,0.0,-1362.8374,-11652.8104,622.1782,5836.4542,-3107.7966,81.0817272,-2154.9946,-3026.7148728,-5181.709472799999
25,558.2907,1523.5273,2277.139,0.0,0.0,0.0,-1387.9094,-11576.0107,611.5942,5834.133,-3134.3683,81.96388056,-2159.2359000000015,-3052.4044194400003,-5211.640319440002
26,622.106,1550.9748,2303.5531,0.0,0.0,0.0,-1389.1332,-11532.6986,607.719,5857.8177,-3216.7208,81.49758984,-1979.6611999999996,-3135.2232101600002,-5114.88441016
27,593.5405,1515.6672,2290.7438,0.0,0.0,0.0,-1373.5195,-11557.5728,619.7587,5832.4182,-3154.3761,79.84025064,-2078.9639000000006,-3074.53584936,-5153.49974936
28,605.2182,1541.8562,2271.1378,0.0,0.0,0.0,-1382.7212,-11616.6317,634.0584,5800.5307,-3121.9881,80.60735376,-2146.5516,-3041.38074624,-5187.93234624
29,643.4161,1531.9555,2277.5457,0.0,0.0,0.0,-1335.7453,-11716.1459,609.2148,5831.3705,-3049.4134,81.37229544,-2158.3885999999993,-2968.04110456,-5126.42970456
30,569.3555,1484.6565,2285.2983,0.0,0.0,0.0,-1366.8559,-11638.0005,616.164,5855.5802,-3113.1929,80.78409936,-2193.8018999999995,-3032.40880064,-5226.210700639999
31,611.7249,1542.114,2279.9988,0.0,0.0,0.0,-1390.1948,-11602.4065,607.7374,5841.3523,-3139.5457,81.0493308,-2109.673899999999,-3058.4963692,-5168.170269199998
32,564.5767,1525.7654,2275.7873,0.0,0.0,0.0,-1356.824,-11592.3896,604.6815,5804.4793,-3136.7445,83.97150336,-2173.9234000000015,-3052.7729966399997,-5226.696396640002
33,621.0017,1512.9357,2293.6421,0.0,0.0,0.0,-1366.2693,-11666.5341,596.9133,5792.7725,-3077.218,81.31675896,-2215.5381000000007,-2995.90124104,-5211.439341040001
34,567.7092,1511.1311,2284.525,0.0,0.0,0.0,-1385.0683,-11654.4547,619.8049,5827.1092,-3076.5538,80.84038032,-2229.2436,-2995.7134196800002,-5224.95701968
35,603.0212,1526.7557,2299.8693,0.0,0.0,0.0,-1370.7061,-11710.7731,630.7092,5857.5782,-3053.3248,80.73309168,-2163.545600000002,-2972.5917083199997,-5136.1373083200015
36,562.3279,1593.7254,2301.3586,0.0,0.0,0.0,-1388.0855,-11576.803,633.0179,5857.9804,-3187.4756,80.13423599999999,-2016.4782999999998,-3107.3413640000003,-5123.819664000001
37,594.6814,1525.1127,2290.3488,0.0,0.0,0.0,-1376.1518,-11588.1003,633.6686,5857.9814,-3168.8195,81.61333632,-2062.4591999999993,-3087.20616368,-5149.665363679999
38,615.0396,1503.7951,2310.3972,0.0,0.0,0.0,-1357.1393,-11621.4167,617.3062,5815.4142,-3114.5109,80.5933656,-2116.6036999999997,-3033.9175344,-5150.5212344
39,570.0544,1469.4188,2309.091,0.0,0.0,0.0,-1369.0303,-11616.3131,616.1287,5876.214,-3177.449,81.34499519999999,-2144.436499999999,-3096.1040048,-5240.540504799998
40,551.3302,1517.3778,2270.906,0.0,0.0,0.0,-1359.5458,-11587.1861,613.8413,5821.5161,-3160.2981,82.87605504,-2171.7605000000012,-3077.4220449599998,-5249.182544960001
41,562.8385,1549.2765,2272.7618,0.0,0.0,0.0,-1371.8555,-11555.5812,614.5952,5871.04,-3208.2175,84.70426608,-2056.9247000000005,-3123.5132339200004,-5180.43793392
42,557.312,1539.1405,2296.8419,0.0,0.0,0.0,-1349.3029,-11595.7411,627.6665,5855.0529,-3153.0103,83.83628592,-2069.0301999999992,-3069.17401408,-5138.2042140799995
43,598.095,1523.0931,2285.6548,0.0,0.0,0.0,-1364.9774,-11568.4582,620.8937,5839.22,-3170.9419,84.00307752,-2066.4789999999994,-3086.93882248,-5153.417822479999
44,601.9882,1523.3338,2293.5686,0.0,0.0,0.0,-1325.131,-11662.3615,622.3033,5877.8681,-3123.993,83.91273336,-2068.430500000002,-3040.08026664,-5108.510766640003
45,605.6403,1567.148,2266.0089,0.0,0.0,0.0,-1357.8341,-11551.3241,609.3928,5823.9512,-3179.7447,82.21075056,-2037.0170000000007,-3097.53394944,-5134.550949440001
46,598.1471,1474.301,2286.5375,0.0,0.0,0.0,-1350.32,-11611.4994,620.9716,5815.1154,-3123.9998,82.03104,-2166.746800000001,-3041.96876,-5208.715560000001
47,577.4585,1530.4445,2294.2118,0.0,0.0,0.0,-1371.9844,-11702.1687,633.1821,5894.9192,-3084.9927,79.71148584,-2143.937,-3005.2812141599998,-5149.21821416
48,579.829,1522.2609,2307.0567,0.0,0.0,0.0,-1390.4109,-11661.4234,619.4363,5869.01,-3112.9785,79.86080231999999,-2154.241399999998,-3033.11769768,-5187.359097679998
49,581.4129,1594.2693,2285.4264,0.0,0.0,0.0,-1359.026,-11650.5069,601.9868,5779.4642,-3093.9533,81.08335008,-2166.9733000000006,-3012.86994992,-5179.843249920001
