GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,571.7817,1580.0825,2338.1357,0.0,0.0,0.0,-1402.0346,-11601.2328,611.0015,5766.4459,-3088.2231,81.00232272,-2135.8201,-3007.22077728,-5143.04087728
1,600.8728,1532.7976,2293.961,0.0,0.0,0.0,-1396.4823,-11456.8259,626.0623,5681.8555,-3176.8803,81.30382344,-2117.759,-3095.5764765599997,-5213.33547656
2,628.4653,1518.4121,2321.7731,0.0,0.0,0.0,-1389.3965,-11638.5711,615.6504,5735.6207,-3041.5041,79.7197536,-2208.0459999999994,-2961.7843464000002,-5169.830346399999
3,631.4572,1514.4109,2317.4907,0.0,0.0,0.0,-1393.4786,-11550.2902,620.274,5672.5597,-3100.8125,80.3970072,-2187.5762999999997,-3020.4154928,-5207.9917927999995
4,547.7032,1510.7093,2281.5476,0.0,0.0,0.0,-1397.659,-11547.7945,619.4818,5789.5846,-3182.9885,80.652546,-2196.4269999999997,-3102.335954,-5298.762953999999
5,566.8385,1526.5885,2277.9733,0.0,0.0,0.0,-1386.2042,-11546.2705,631.7078,5734.4368,-3139.2601,80.36418888,-2194.929800000001,-3058.89591112,-5253.825711120001
6,633.7518,1554.4027,2271.7189,0.0,0.0,0.0,-1393.0718,-11506.0464,602.0642,5756.419,-3188.8803,81.0963216,-2080.761599999999,-3107.7839784,-5188.545578399999
7,587.9833,1540.44,2308.301,0.0,0.0,0.0,-1368.2306,-11496.2802,611.8339,5757.5593,-3219.9184,83.0429676,-2058.393299999999,-3136.8754324,-5195.268732399998
8,626.1155,1484.0739,2286.4877,0.0,0.0,0.0,-1378.8551,-11482.0194,616.0229,5724.6089,-3210.8616,81.65231496,-2123.565599999997,-3129.2092850400004,-5252.774885039998
9,566.9183,1500.6979,2287.6178,0.0,0.0,0.0,-1378.7065,-11555.4475,620.017,5753.918,-3173.7475,82.38847176,-2204.9850000000006,-3091.35902824,-5296.34402824
10,614.9261,1478.5374,2279.7339,0.0,0.0,0.0,-1364.2695,-11583.0075,600.5646,5736.1957,-3131.7592,83.01514103999999,-2237.319300000001,-3048.74405896,-5286.063358960001
11,590.7267,1497.8692,2281.1689,0.0,0.0,0.0,-1374.182,-11522.7176,613.8404,5747.4399,-3180.8346,83.10680280000001,-2165.8544999999995,-3097.7277972,-5263.5822972
12,558.4358,1544.6301,2303.4058,0.0,0.0,0.0,-1346.6524,-11569.5038,630.0671,5758.5126,-3177.1807,82.90018583999999,-2121.104799999999,-3094.2805141599997,-5215.385314159999
13,549.2168,1481.4321,2303.689,0.0,0.0,0.0,-1359.9073,-11585.1427,631.5907,5799.7962,-3181.6726,84.11899824,-2179.325200000001,-3097.5536017599998,-5276.878801760001
14,609.0952,1566.3488,2301.28,0.0,0.0,0.0,-1388.0547,-11498.3456,610.2535,5667.2653,-3147.8809,82.07914896,-2132.1574999999993,-3065.80175104,-5197.95925104
15,565.8743,1538.3162,2306.9098,0.0,0.0,0.0,-1352.2499,-11580.4686,618.9657,5729.1959,-3130.5707,82.57720608,-2173.4566000000013,-3047.99349392,-5221.450093920002
16,605.7447,1506.7513,2335.4763,0.0,0.0,0.0,-1373.4732,-11606.9642,629.7495,5788.8673,-3138.4281,83.04637608,-2113.8483000000015,-3055.3817239200002,-5169.230023920001
17,563.8804,1509.4586,2321.5816,0.0,0.0,0.0,-1348.4156,-11590.4543,625.5455,5740.0112,-3140.6622,83.85980904,-2178.3926,-3056.80239096,-5235.19499096
18,568.5568,1565.9949,2321.0426,0.0,0.0,0.0,-1361.1578,-11640.7233,614.7415,5740.8522,-3105.5072,83.33910864,-2190.6930999999977,-3022.16809136,-5212.861191359998
19,576.7521,1497.9677,2318.6285,0.0,0.0,0.0,-1357.1873,-11630.2344,631.6351,5778.9352,-3098.4816,83.03382072,-2183.5031,-3015.44777928,-5198.95087928
20,566.0524,1500.5528,2293.5659,0.0,0.0,0.0,-1353.8566,-11514.2579,638.5342,5727.5562,-3195.9001,84.16983384,-2141.853,-3111.7302661599997,-5253.58326616
