GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,623.049,1492.389,2333.9886,0.0,0.0,0.0,-1378.7365,-11651.7085,628.7877,5760.7116,-3050.9376,83.4100524,-2191.5191000000013,-2967.5275476,-5159.046647600002
1,637.0032,1531.1109,2323.525,0.0,0.0,0.0,-1357.8539,-11770.4924,626.2807,5770.3873,-2994.42,83.06236296,-2240.0391999999983,-2911.35763704,-5151.396837039998
2,576.0919,1571.4662,2315.538,0.0,0.0,0.0,-1357.793,-11695.1906,624.5423,5738.7817,-3007.1476,83.89412928,-2226.5634999999993,-2923.2534707199998,-5149.816970719999
3,589.8423,1526.2574,2297.642,0.0,0.0,0.0,-1368.6541,-11647.657,648.0718,5776.6132,-3094.286,84.3428232,-2177.884400000001,-3009.9431768,-5187.827576800001
4,600.2342,1516.0193,2300.1655,0.0,0.0,0.0,-1360.5192,-11611.4613,609.6693,5734.0731,-3067.4103,84.10710096000001,-2211.8191000000006,-2983.30319904,-5195.12229904
5,555.1297,1563.2087,2336.2427,0.0,0.0,0.0,-1373.9241,-11653.569,640.0554,5746.8548,-3042.3196,82.32197255999999,-2186.0018,-2959.9976274399996,-5145.99942744
6,553.8688,1571.8749,2305.4161,0.0,0.0,0.0,-1346.629,-11686.1182,631.6796,5816.4855,-3103.1877,84.99925944,-2153.4223,-3018.18844056,-5171.6107405600005
7,617.0013,1592.6583,2306.8521,0.0,0.0,0.0,-1346.3619,-11718.6176,623.1385,5760.482,-3050.7505,83.37166776000001,-2164.8472999999985,-2967.37883224,-5132.226132239999
8,603.6013,1551.9077,2302.7298,0.0,0.0,0.0,-1366.0192,-11605.7074,607.5331,5729.6134,-3056.4837,83.93759928,-2176.341299999999,-2972.54610072,-5148.887400719999
9,592.0513,1500.0639,2311.5989,0.0,0.0,0.0,-1389.8357,-11687.3897,616.7611,5799.3625,-3042.0125,82.03169159999999,-2257.3877,-2959.9808083999997,-5217.3685084
10,581.9988,1490.205,2304.2421,0.0,0.0,0.0,-1390.2777,-11597.1583,628.1359,5779.8319,-3117.1099,81.25467264,-2203.0222999999987,-3035.85522736,-5238.877527359999
11,596.9073,1518.1706,2301.7425,0.0,0.0,0.0,-1404.2239,-11621.0686,632.5876,5749.9219,-3051.3043,80.30615112000001,-2225.9626000000007,-2970.99814888,-5196.96074888
12,587.9234,1557.5228,2293.9332,0.0,0.0,0.0,-1386.1292,-11652.2183,651.6057,5789.6669,-3063.0166,82.08078551999999,-2157.6955000000016,-2980.93581448,-5138.6313144800015
13,641.7437,1514.5519,2335.5876,0.0,0.0,0.0,-1363.0469,-11554.1993,623.1007,5713.927,-3105.709,82.12324824,-2088.3353000000016,-3023.5857517599998,-5111.921051760001
14,590.8984,1548.2517,2342.8026,0.0,0.0,0.0,-1381.9893,-11630.982,621.1659,5688.6288,-3009.4214,80.70037776,-2221.223899999999,-2928.7210222400004,-5149.944922239999
15,587.0931,1488.1727,2322.7725,0.0,0.0,0.0,-1384.7209,-11755.5584,625.3265,5805.7916,-3015.761,81.4912308,-2311.1229000000003,-2934.2697692,-5245.3926692000005
16,597.5457,1513.5557,2288.5251,0.0,0.0,0.0,-1372.147,-11788.9816,615.971,5782.8642,-2955.5263,81.32767416,-2362.6668999999983,-2874.19862584,-5236.865525839998
