GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,594.1251,1519.5667,2321.3262,0.0,0.0,0.0,-1391.8642,-11474.5556,617.3046,5500.1,-3083.7238,82.87651584000001,-2313.997199999999,-3000.84728416,-5314.844484159999
1,531.4281,1508.5068,2288.2979,0.0,0.0,0.0,-1384.4587,-11460.4502,611.8876,5493.7676,-3079.6919,81.33398712,-2411.0209000000004,-2998.3579128799997,-5409.378812880001
2,547.1993,1519.6631,2309.499,0.0,0.0,0.0,-1387.2517,-11511.5447,622.9018,5556.6482,-3094.452,81.9374904,-2342.885000000002,-3012.5145096,-5355.399509600003
3,597.0281,1568.7691,2295.9844,0.0,0.0,0.0,-1392.8068,-11525.597,616.1005,5506.1755,-3055.2256,80.76353759999999,-2334.346199999999,-2974.4620624000004,-5308.8082624
4,635.5594,1487.6886,2276.5311,0.0,0.0,0.0,-1412.4551,-11540.2522,620.0227,5590.3152,-3051.136,79.558074,-2342.5903000000026,-2971.577926,-5314.1682260000025
5,599.5616,1515.3456,2336.7453,0.0,0.0,0.0,-1374.699,-11539.7367,610.3965,5458.7442,-3003.689,80.32678488,-2393.6425,-2923.3622151199997,-5317.004715120001
6,573.4457,1548.0811,2276.7399,0.0,0.0,0.0,-1369.5608,-11616.9347,632.9127,5535.181,-2987.974,80.72456976000001,-2420.1351000000013,-2907.24943024,-5327.384530240001
7,593.0301,1491.5046,2296.843,0.0,0.0,0.0,-1371.3517,-11558.9205,608.9292,5490.9107,-3006.8309,80.6234256,-2449.0545999999995,-2926.2074744,-5375.2620744
8,596.7738,1525.7727,2324.2631,0.0,0.0,0.0,-1395.2614,-11510.7931,623.9792,5465.0882,-3039.7186,79.67440872,-2370.1775000000016,-2960.04419128,-5330.221691280001
9,555.9405,1471.5165,2291.0786,0.0,0.0,0.0,-1378.307,-11484.8728,624.1495,5539.2803,-3087.9921,81.38061288,-2381.214399999999,-3006.6114871199998,-5387.825887119999
10,605.2811,1513.4438,2294.9287,0.0,0.0,0.0,-1366.4472,-11514.6375,606.8573,5521.826,-3096.6008,81.57873384,-2338.747800000002,-3015.02206616,-5353.7698661600025
11,594.8198,1553.2118,2317.5086,0.0,0.0,0.0,-1371.5158,-11511.6648,620.2417,5541.4757,-3114.2639,81.64040472,-2255.923,-3032.62349528,-5288.546495279999
12,590.2586,1537.2375,2314.3774,0.0,0.0,0.0,-1392.1962,-11520.7627,617.0308,5516.47,-3055.2015,80.66212992,-2337.584599999999,-2974.53937008,-5312.12397008
13,603.0375,1553.2059,2316.285,0.0,0.0,0.0,-1372.5013,-11583.2722,623.3171,5542.307,-3058.9266,80.47247112,-2317.621,-2978.4541288799996,-5296.07512888
14,596.1419,1476.9774,2329.1806,0.0,0.0,0.0,-1382.9346,-11520.6089,635.4332,5503.3892,-3046.9471,80.48613384,-2362.4211999999998,-2966.4609661599998,-5328.88216616
15,549.8264,1526.9838,2295.8427,0.0,0.0,0.0,-1397.5384,-11548.2326,631.9975,5522.7005,-3036.7428,80.06076216000001,-2418.4201000000003,-2956.68203784,-5375.10213784
16,580.5073,1525.7104,2319.4327,0.0,0.0,0.0,-1357.2625,-11558.7311,642.9852,5485.3273,-3030.4734,79.84289159999999,-2362.0306999999993,-2950.6305084,-5312.661208399999
17,604.3523,1565.3695,2294.61,0.0,0.0,0.0,-1389.4635,-11494.0377,614.2066,5517.1966,-3081.3154,81.33102504,-2287.766200000001,-2999.98437496,-5287.750574960001
18,608.0001,1530.5668,2279.9141,0.0,0.0,0.0,-1417.0878,-11418.8843,616.9285,5518.5057,-3145.1985,79.88975856,-2282.0568999999996,-3065.30874144,-5347.36564144
19,571.7066,1548.3397,2279.7792,0.0,0.0,0.0,-1399.1938,-11426.2477,608.6782,5520.8534,-3134.2302,82.8088812,-2296.0843999999997,-3051.4213188,-5347.5057188
20,567.7171,1548.7465,2337.4434,0.0,0.0,0.0,-1392.3483,-11403.357,645.2868,5518.9895,-3161.0534,82.23050232,-2177.522000000001,-3078.8228976799996,-5256.344897680001
21,624.0141,1503.5347,2279.4266,0.0,0.0,0.0,-1364.3547,-11503.6234,627.0902,5581.5556,-3141.0509,85.02915743999999,-2252.3569000000016,-3056.0217425600003,-5308.378642560002
22,597.5364,1538.7732,2303.8532,0.0,0.0,0.0,-1367.0685,-11355.0085,600.7833,5498.6185,-3233.7481,86.2445484,-2182.5123999999996,-3147.5035516,-5330.015951599999
23,600.5443,1540.5314,2305.6278,0.0,0.0,0.0,-1375.3461,-11363.7345,612.8299,5546.0685,-3241.8428,84.66329664,-2133.4786999999997,-3157.17950336,-5290.65820336
24,584.8791,1551.1522,2278.8033,0.0,0.0,0.0,-1351.0887,-11438.3967,625.4974,5526.7549,-3144.5122,83.71938599999999,-2222.3984999999993,-3060.7928140000004,-5283.191314
25,613.0553,1537.9549,2305.0814,0.0,0.0,0.0,-1358.795,-11344.7578,619.5709,5513.0285,-3228.4149,85.20279479999999,-2114.8617999999997,-3143.2121052,-5258.073905200001
26,618.8312,1586.2686,2286.7565,0.0,0.0,0.0,-1390.8176,-11454.7413,608.6142,5518.9061,-3133.2486,82.99600704,-2226.1823000000004,-3050.2525929599997,-5276.43489296
27,601.8906,1565.5772,2284.5198,0.0,0.0,0.0,-1372.3944,-11372.3724,631.8323,5488.2956,-3153.3624,82.32245136,-2172.6513000000004,-3071.03994864,-5243.691248640001
28,630.2848,1518.9598,2298.4479,0.0,0.0,0.0,-1398.6078,-11450.8494,634.3753,5545.0285,-3172.2979,82.70327807999999,-2222.3608999999997,-3089.59462192,-5311.955521919999
